MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003
2:Del:R:3	4	0	0	1	2	1	3	1	3	2	1	28	0	2	1	3	0	0	3	1	5	1	2	20	2	4	1	1	0	0	0	0	2	3	6	0	2	1	1	13	3	1	1	0	2	2	0	0	0	1	4	2	0	2	1	0	0
2:Del:R:4	1	0	1	0	1	0	1	1	1	3	0	10	0	0	0	2	2	0	1	0	2	0	0	8	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	10	4	1	1	0	0	3	1	0	0	0	2	0	1	0	0	0	0
2:Del:R:5	1	2	0	0	2	1	3	3	1	1	2	9	1	0	0	3	1	1	1	4	1	2	1	4	0	0	0	3	0	1	1	2	1	2	1	1	0	0	1	11	2	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0
3:Del:R:0	9	0	4	3	2	1	16	3	6	2	4	4	3	8	2	4	2	1	0	3	1	3	4	1	4	9	2	5	1	1	2	0	3	1	4	3	2	2	5	6	5	2	3	1	3	3	2	0	0	1	3	2	0	2	1	3	2
3:Del:R:1	10	5	4	3	6	10	14	5	10	7	2	4	24	9	8	4	2	4	11	3	14	4	5	6	3	19	9	10	4	14	5	0	5	15	10	5	10	9	5	8	14	10	7	2	9	9	13	3	0	8	18	3	1	10	10	4	8
3:Del:R:2	3	0	3	1	1	2	3	0	2	3	1	2	7	2	2	1	1	2	2	3	1	2	3	2	2	3	0	2	1	0	2	0	1	1	1	0	2	2	0	1	3	2	0	2	3	2	2	0	0	1	2	0	1	1	4	0	2
3:Del:R:3	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
3:Del:R:4	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	1	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0
3:Del:R:5	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	2	1	1	0	1	0	0	0
4:Del:R:0	3	1	1	7	0	3	19	0	3	2	3	10	2	3	5	2	1	2	0	1	2	0	3	4	2	3	2	0	2	1	3	0	2	4	3	1	1	1	3	1	7	2	3	0	1	2	2	0	1	1	1	0	0	2	0	1	1
4:Del:R:1	3	3	4	6	4	5	9	5	3	4	3	3	13	3	9	1	0	2	5	4	2	6	5	4	3	11	4	4	2	3	2	0	2	5	7	3	6	2	4	3	17	2	1	8	1	8	4	1	0	3	8	2	1	2	5	3	4
4:Del:R:2	0	0	1	0	2	2	0	0	0	1	0	0	3	0	1	0	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	2	2	2	2
4:Del:R:3	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	1	1	1
4:Del:R:4	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
4:Del:R:5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5:Del:R:0	32	3	17	53	9	20	113	8	35	13	6	31	12	46	93	20	2	6	21	11	10	5	15	18	16	32	9	6	7	6	7	0	18	30	17	6	7	13	32	17	43	7	6	12	18	10	9	4	1	12	15	4	3	8	14	9	21
5:Del:R:1	1	0	8	0	2	1	2	1	4	2	0	4	7	7	3	6	0	0	2	1	3	0	0	1	2	11	2	0	1	1	1	0	7	13	5	1	2	4	0	1	16	0	1	0	1	0	0	0	0	0	4	0	1	2	7	1	5
5:Del:R:2	0	0	0	0	1	0	1	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	4	0	2	2	3	2	4	1	5	3	0	10	1	3	4	1	0	1	4	1	1	1	3	13	0	1	2	3	0	1	0	0	4	3	3	0	1	1	2	18	2	2	1	0	0	1	1	1	0	2	0	1	1	0	2	5	0
2:Ins:R:1	6	0	1	0	1	2	16	3	9	5	1	13	4	6	2	3	2	2	0	1	3	1	2	4	4	10	3	4	2	4	0	0	2	4	4	1	2	3	5	4	4	1	0	2	2	1	3	2	0	1	3	2	1	3	3	0	3
2:Ins:R:2	5	0	3	0	1	1	7	0	1	1	1	9	0	2	1	0	0	0	1	1	4	0	1	5	0	7	1	1	1	0	1	0	3	3	1	2	4	1	3	4	0	1	0	1	1	2	3	0	0	0	3	2	2	1	1	1	2
2:Ins:R:3	1	0	0	0	0	3	1	0	0	1	0	4	2	1	0	0	0	1	1	0	2	0	1	3	0	3	1	2	0	0	0	0	1	1	0	0	0	0	0	5	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0
2:Ins:R:4	4	1	0	1	2	3	3	1	1	4	1	3	2	4	1	0	0	2	1	2	1	0	0	2	0	3	1	2	1	0	0	0	5	4	1	2	1	2	1	4	4	3	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0
2:Ins:R:5	27	2	5	10	4	13	11	9	15	26	3	10	26	6	2	10	0	2	5	3	14	2	0	13	5	15	4	1	3	9	3	1	11	11	13	0	4	5	11	3	18	6	11	4	3	7	7	1	0	4	18	3	0	6	8	4	2
3:Ins:R:0	2	1	0	1	0	3	3	1	0	0	1	2	1	2	5	0	0	0	1	0	1	1	0	3	0	2	0	2	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1
3:Ins:R:1	4	0	2	1	1	4	6	2	2	6	0	2	5	4	0	5	0	1	1	2	2	0	4	4	3	6	1	0	0	2	2	0	5	2	3	2	2	2	3	0	3	1	2	3	6	2	3	0	0	0	2	0	1	1	2	5	5
3:Ins:R:2	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	2	1	0	1	0	0	1	0	0	1	0	2	2	2	0	0	1	1	1	0	0	1	0	0
3:Ins:R:3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3:Ins:R:4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:5	2	0	2	0	1	1	1	0	1	0	0	0	2	1	2	1	0	1	1	0	0	0	2	1	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0
4:Ins:R:0	0	0	1	0	0	1	1	0	1	0	0	4	2	0	0	2	0	0	1	1	0	0	0	1	0	0	0	4	1	0	1	0	0	0	1	0	0	1	2	1	3	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1
4:Ins:R:1	2	1	3	2	5	3	9	3	0	1	3	2	6	1	4	1	0	0	3	2	3	1	0	1	7	12	2	2	2	0	1	0	3	6	4	3	2	3	4	2	6	3	3	2	1	4	1	1	0	2	4	2	1	0	6	4	5
4:Ins:R:2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4:Ins:R:4	1	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1
4:Ins:R:5	1	0	0	0	0	3	2	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	2	0	1	1	0	1	0	0	2	0	0	1	0	0	1	4	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0
5:Ins:R:0	4	1	5	0	1	2	3	2	2	5	1	1	2	4	5	1	0	0	1	0	0	1	0	4	2	6	1	3	0	1	1	0	0	3	2	0	3	4	3	7	2	1	1	0	1	1	0	2	1	1	3	1	0	1	0	0	0
5:Ins:R:1	6	4	14	5	3	9	22	13	14	15	3	8	13	11	12	8	0	1	4	4	11	2	2	8	5	28	3	7	2	6	2	1	5	11	9	6	5	8	9	8	13	6	3	3	5	6	15	0	0	2	9	4	4	3	17	8	12
5:Ins:R:2	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
5:Ins:R:3	2	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5:Ins:R:5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2:Del:M:1	17	5	9	21	5	8	34	6	8	7	5	25	13	10	13	10	5	3	9	9	14	4	8	32	7	11	6	6	2	6	3	0	8	13	10	7	2	21	3	20	24	4	5	2	7	9	9	5	0	4	13	2	0	8	3	5	6
3:Del:M:1	8	0	6	9	1	4	15	1	5	3	0	6	5	8	4	4	0	0	4	2	1	1	1	0	1	5	2	2	0	0	0	0	1	2	7	1	2	2	3	0	6	1	1	0	2	2	1	1	0	2	1	1	1	3	1	2	2
3:Del:M:2	8	2	2	4	4	5	13	5	7	4	4	7	10	12	7	5	1	6	1	2	6	4	8	4	2	9	2	11	1	7	1	0	4	6	6	1	6	2	7	2	8	3	5	1	4	5	4	3	1	6	13	2	2	7	8	2	10
4:Del:M:1	2	0	2	9	2	1	13	1	3	3	6	4	3	3	5	2	1	2	2	4	2	0	0	4	1	8	1	3	2	0	0	0	2	4	2	3	0	7	3	2	4	2	2	1	2	3	0	1	0	2	3	1	0	1	2	0	2
4:Del:M:2	3	1	3	4	0	2	14	1	3	6	3	2	7	12	6	2	0	2	5	2	4	0	1	2	2	6	0	3	0	4	2	0	6	5	2	0	1	1	4	2	4	0	3	1	2	5	4	1	0	2	1	0	1	6	3	4	6
4:Del:M:3	2	2	2	5	1	4	4	3	5	8	1	2	6	9	13	3	0	5	2	1	5	2	7	2	0	2	3	5	2	6	1	0	2	6	4	2	6	0	3	1	9	0	0	2	1	5	1	0	0	1	4	0	2	3	4	6	7
5:Del:M:1	15	9	22	58	19	25	94	9	28	15	9	19	5	45	126	29	1	4	12	10	10	7	5	15	7	28	9	11	6	2	6	0	14	29	15	8	6	23	30	12	34	7	13	9	10	12	9	6	3	8	10	0	5	4	19	7	32
5:Del:M:2	16	4	25	49	14	21	63	5	24	14	7	25	10	49	170	25	3	7	11	6	9	3	11	15	16	19	7	5	4	5	3	0	11	25	15	15	3	10	24	16	45	4	10	2	14	9	6	3	0	17	14	3	2	4	15	10	38
5:Del:M:3	14	4	13	22	3	12	34	5	18	17	3	20	8	36	135	13	5	0	9	3	10	0	9	12	9	8	4	8	6	3	1	0	10	22	10	6	8	6	15	8	41	2	5	2	5	6	8	1	0	4	6	0	3	3	7	0	42
5:Del:M:4	3	0	9	5	5	13	22	2	3	5	0	7	3	13	80	13	1	2	4	2	2	2	7	12	12	8	6	5	2	3	1	0	4	16	3	4	2	8	5	5	20	2	2	1	3	4	2	0	0	5	7	1	1	3	2	5	16
5:Del:M:5	8	2	17	7	9	3	8	0	13	7	0	13	4	28	90	14	1	1	6	3	6	1	6	5	9	11	3	6	3	2	1	0	11	31	10	3	4	5	9	11	35	5	1	0	6	7	4	1	0	8	9	0	2	7	4	5	16
