MutationType	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
A[Del(T):R(5,7)]G	1	2	4	2	3	4	3	4	18	9	4	3	5	12	2	2	1	11	4	2	5	4	17	2	0	15	5	10	5	10	779	1	0	8	1	10	10	1	4	2	18	12	5	4	10	3	6	1	5	2	62	4	1	1	1	8	17	9	2	4	6	4	7	8	3
C[Del(T):R(5,7)]A	2	2	5	2	1	1	3	10	21	5	6	4	3	4	1	3	1	12	9	2	6	2	18	1	0	6	7	14	1	7	622	4	0	9	3	2	9	0	2	3	14	10	0	2	3	1	4	0	0	3	3	0	3	0	1	6	9	7	1	0	3	2	4	5	2
C[Del(T):R(5,7)]C	0	3	2	4	1	4	3	4	15	4	8	7	5	6	0	2	2	18	9	0	2	1	15	2	0	8	2	6	3	11	616	4	1	3	1	0	5	0	3	2	13	13	0	4	3	0	5	0	1	4	2	0	0	1	0	1	7	7	0	0	8	4	4	4	3
C[Del(T):R(5,7)]G	0	1	3	0	1	5	1	2	11	7	5	3	0	5	1	2	0	9	5	2	4	3	12	0	0	9	2	6	1	13	546	4	0	3	4	2	4	0	1	2	10	9	1	3	4	0	2	0	2	3	0	1	0	0	3	5	6	4	4	1	0	5	4	3	1
G[Del(T):R(5,7)]A	2	1	0	3	1	4	2	3	8	5	4	6	2	5	0	1	2	7	2	0	6	1	8	7	1	7	3	5	1	6	491	3	0	5	5	3	4	0	2	1	5	2	2	2	4	0	3	0	1	2	3	2	1	0	0	3	6	3	1	2	2	4	1	3	2
G[Del(T):R(5,7)]C	2	1	2	2	1	3	2	2	2	3	2	1	3	2	2	0	0	10	3	4	5	2	3	1	0	7	1	6	1	1	383	2	0	3	0	3	8	1	3	0	8	6	1	0	3	1	5	0	2	1	2	1	0	1	0	1	6	4	0	1	3	4	4	3	1
G[Del(T):R(5,7)]G	0	4	5	3	0	2	2	4	16	4	4	2	5	6	1	3	0	3	3	1	4	1	11	4	2	3	0	5	1	4	397	2	0	2	2	1	5	1	2	3	0	8	1	2	5	1	4	0	0	1	1	1	1	1	1	3	2	3	1	1	3	2	4	2	2
A[Del(T):R(8,)]A	0	4	5	8	4	8	2	4	32	14	10	7	8	12	2	0	3	53	7	1	19	10	23	7	1	20	11	25	5	28	2821	3	0	11	3	3	41	0	7	1	31	55	0	5	15	2	11	1	1	2	5	0	0	1	2	7	29	4	4	1	13	9	6	14	1
A[Del(T):R(8,)]C	0	4	3	1	3	2	4	2	16	7	5	2	7	14	1	1	1	41	6	1	14	2	18	1	1	17	8	15	9	24	1800	2	0	10	3	3	25	2	10	0	19	36	0	3	8	1	12	1	4	4	7	2	0	1	0	8	25	10	2	0	15	3	13	9	0
A[Del(T):R(8,)]G	0	2	4	1	1	6	5	3	12	1	5	3	5	5	1	1	0	29	4	0	10	4	10	7	0	11	2	19	1	9	1526	3	0	2	1	0	17	2	3	0	10	16	1	3	8	3	8	0	0	1	3	1	0	0	0	4	15	9	1	1	7	6	3	7	2
