MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
A[Del(T):R(1,4)]A	541	412	149	309	522	434	281	147	289	105	1170	409	54	132	379	396	121	38	124	128	111	72	55	25	189	71	4	217	221	294	321	177	360	442	104	196	1631	163	319	3195	160	185	222	98	59	69
A[Del(T):R(1,4)]C	280	217	78	155	229	191	190	159	195	78	934	213	35	97	272	259	77	30	67	44	14	56	23	32	68	53	2	46	110	188	221	107	165	257	32	73	581	79	142	1411	78	82	131	45	20	30
A[Del(T):R(1,4)]G	251	277	69	166	216	167	168	49	163	35	540	178	37	48	145	145	61	17	70	57	65	22	13	30	74	26	1	58	103	154	178	99	185	215	38	83	483	77	149	1247	71	58	101	23	26	32
C[Del(T):R(1,4)]A	328	277	66	190	280	223	211	15	250	8	132	247	26	10	46	60	56	36	69	104	160	34	15	31	81	41	3	76	153	210	214	142	229	329	61	122	334	114	155	703	77	63	198	53	26	30
C[Del(T):R(1,4)]C	353	335	84	218	382	265	236	20	327	7	126	271	40	17	33	52	69	41	86	80	83	31	23	49	96	63	1	74	162	274	296	178	300	380	61	129	261	147	195	430	101	84	221	50	43	61
C[Del(T):R(1,4)]G	270	250	45	189	256	186	186	8	249	4	56	210	28	13	16	32	46	28	60	134	154	30	19	23	72	43	3	42	123	162	185	125	223	284	58	92	184	97	159	380	92	47	150	50	39	36
G[Del(T):R(1,4)]A	271	221	44	186	229	264	252	41	179	22	218	155	38	39	111	102	36	40	84	70	54	42	17	17	67	31	1	98	131	151	321	188	231	357	39	71	1185	73	105	1673	50	31	92	42	23	20
G[Del(T):R(1,4)]C	254	187	57	137	211	254	281	62	236	11	153	172	25	33	59	65	37	48	58	43	24	34	16	37	59	34	0	40	135	152	306	178	216	307	37	71	772	81	82	1128	55	28	84	21	25	15
G[Del(T):R(1,4)]G	266	187	49	188	263	300	243	22	211	10	98	178	29	54	34	50	37	42	55	72	54	31	12	24	61	38	1	37	123	137	283	164	207	334	25	79	537	83	100	908	71	45	86	27	29	27
A[Del(T):R(5,7)]A	6529	7256	1981	4939	6243	5316	4867	541	5184	229	2324	5283	963	352	1255	851	528	352	1403	51	19	217	267	598	2465	743	11	1081	3878	6178	5988	2933	5924	6028	1486	2459	12816	2656	4976	16389	2610	1719	3076	868	769	790
A[Del(T):R(5,7)]C	3212	3100	1006	1880	2574	2634	2479	286	2327	128	1112	2326	364	255	552	515	266	211	726	26	11	197	176	327	890	427	7	488	1806	2264	3937	1633	2648	3154	567	933	3633	1087	1928	4427	1029	820	1253	364	301	278
A[Del(T):R(5,7)]G	4353	5658	1395	3353	4197	3474	2949	193	3206	99	969	3310	614	154	528	404	404	336	930	38	9	108	130	411	1618	363	6	742	2442	3843	4477	1986	4226	4269	910	1734	5842	1687	3478	7564	1676	1013	1730	503	466	487
