MutationType	DRUP01010001T	CPCT02010424T	CPCT02010349T	CPCT02020325T	CPCT02030246T	CPCT02070010T	CPCT02010370T	CPCT02010369T	CPCT02070013T	CPCT02060018T	CPCT02060022T	CPCT02070009T	CPCT02010398T	CPCT02010408T	CPCT02030246TII	CPCT02010386T	CPCT02020309T	CPCT02080045T	CPCT02020398T	CPCT02010392T	CPCT02090003T	CPCT02060274T	CPCT02020650T	CPCT02080181T	DRUP01340015T	CPCT02070436T	CPCT02050225TII	DRUP01070031T	CPCT02070278T	CPCT02010732T	CPCT02060181T	CPCT02080175T	CPCT02020903T	CPCT02070441T	CPCT02080181TII	CPCT02070290T	DRUP01090011T	CPCT02080297T	CPCT02010680T	CPCT02090064T	CPCT02020937T	CPCT02090065T	CPCT02060191T	CPCT02060192T	CPCT02011090T	CPCT02070463T	CPCT02011094T	CPCT02030458T	CPCT02060282T	DRUP01090012T	CPCT02090042T	CPCT02340078T	WIDE01010040T	CPCT02020683T	CPCT02020691T	DRUP01010077T	DRUP01050021T	CPCT02080206T	CPCT02060292T	CPCT02060290T	CPCT02090044T	WIDE01010138T	CPCT02130062T	WIDE01010160T	CPCT02020706T	CPCT02070313T	WIDE01010187T	WIDE01010169T	CPCT02100161T	CPCT02070317T	WIDE01010239T	WIDE01010233T	CPCT02070322T	WIDE01010262T	WIDE01010267T	WIDE01010293T	WIDE01010167T	CPCT02060211T	DRUP01080012T	WIDE01010356T	WIDE01010374T	WIDE01010393T	CPCT02090036T	CPCT02340018TII	CPCT02340088T	WIDE01010452T	CPCT02080227T	CPCT02060230T	CPCT02020750T	CPCT02060241T	CPCT02060245T	CPCT02070319T	CPCT02010856T	CPCT02090052T	CPCT02090053T	CPCT02070357T	CPCT02090057T	CPCT02270035T	CPCT02060254T	CPCT02070365T	CPCT02060258T	CPCT02080247T	CPCT02020794T	CPCT02020790T	CPCT02060253T	CPCT02020775T	CPCT02030513T	CPCT02380051T	CPCT02080248T	CPCT02070371T	CPCT02070366T	CPCT02050392T	CPCT02130147T	CPCT02020812T	CPCT02020820T	DRUP01090014T	CPCT02060240T	DRUP01060024T	CPCT02020848T	CPCT02010648T	CPCT02060130T	CPCT02010649T	CPCT02060127T	CPCT02340106T	CPCT02150034T	CPCT02030415T	CPCT02060235T	CPCT02010625T	CPCT02060275T	CPCT02340026T	CPCT02090063T	CPCT02010549T	CPCT02060066T	CPCT02020450T	CPCT02010406TII	CPCT02050167T	CPCT02110036T	CPCT02010599T	CPCT02010595T	CPCT02100091T	CPCT02060104T	CPCT02010600T	CPCT02110040T	CPCT02340018T	CPCT02050225T	CPCT02040141T	CPCT02340020T	CPCT02080139T	CPCT02060061T	CPCT02070051T	CPCT02010408TII	CPCT02010429T	CPCT02020438T	CPCT02040072T	CPCT02020428T	CPCT02010494T	CPCT02070095T	DRUP01070006T	DRUP01070005T	CPCT02020465T	CPCT02030325T	CPCT02090011T	CPCT02060071T	DRUP01070010T	CPCT02070111T	CPCT02070098T	CPCT02090012T	DRUP01090001T	CPCT02070108T	CPCT02010548T	CPCT02090014T	CPCT02010559T	CPCT02080102T	CPCT02030422T	CPCT02070249T	DRUP01070029T	CPCT02070247T	DRUP01010053T	DRUP01100003T	CPCT02070257T	CPCT02340046T	DRUP01080008T	DRUP01340002T	CPCT02010715T	WIDE01010465T	WIDE01010487T	WIDE01010492T	WIDE01010497T	WIDE01010521T	WIDE01010519T	WIDE01010527T	WIDE01010517T	WIDE01010699T	WIDE01010713T
1:Del:T:5	27	25	4	17	22	23	21	53	62	9	20	38	44	11	25	61	38	87	21	7	16	58	22	18	15	179	28	13	10	27	39	25	25	25	24	32	5	25	17	23	22	31	72	9	8	15	4	5	8	18	7	3	38	58	69	15	741	9	27	10	40	22	34	68	3	27	36	108	123	48	25	98	11	60	64	0	5	74	109	21	22	111	137	70	31	16	17	14	4	34	45	20	31	62	35	261	6	23	89	21	6	34	44	14	11	20	16	21	38	42	9	21	70	25	12	98	33	54	5	34	28	24	21	12	77	68	7	10	45	23	17	28	12	3	15	27	11	36	27	37	2	17	92	71	29	12	40	3	214	14	11	5	32	33	9	23	35	4	38	1	26	61	32	17	9	47	48	27	24	8	39	8	64	9	34	33	3	16	48	76	7	66	21	7	11	17	34	8	114	27	0	17	9	84
1:Ins:C:0	0	5	1	3	4	3	1	5	4	6	3	2	6	2	3	5	5	9	1	0	3	3	3	3	88	13	2	3	2	2	4	2	4	6	31	4	7	6	4	4	1	5	4	3	5	3	2	0	4	6	1	4	3	5	2	3	45	3	5	2	17	5	6	7	0	1	4	3	6	1	4	8	1	1	3	1	2	4	10	4	4	6	2	7	3	4	5	2	0	1	2	5	1	6	3	5	0	0	5	1	2	8	8	3	8	3	5	3	1	2	1	1	11	4	6	2	6	6	2	7	5	0	3	5	7	17	3	3	3	3	0	1	3	0	0	4	4	2	0	22	0	6	13	11	2	4	3	1	3	4	4	1	2	5	3	3	2	1	4	4	4	6	2	5	2	2	4	1	1	0	1	6	9	1	6	3	2	6	26	5	3	27	4	3	1	5	5	3	4	5	1	1	4	6
1:Ins:C:1	4	8	1	0	2	0	1	6	5	1	1	2	4	1	1	1	1	4	1	1	2	2	1	2	32	10	1	1	1	4	1	3	2	1	11	2	2	5	1	0	0	3	1	1	0	2	0	3	3	0	3	0	3	1	4	3	11	2	0	2	9	1	0	3	2	1	1	1	12	4	2	4	0	2	4	0	3	2	5	5	3	10	5	8	3	2	1	2	3	1	1	6	2	6	1	4	0	2	3	1	1	4	3	1	1	3	4	0	4	0	1	1	6	0	1	1	2	6	3	1	6	1	1	1	5	3	2	0	3	1	2	3	0	0	0	2	0	0	2	4	0	0	4	4	0	2	2	2	3	1	3	0	3	1	2	3	2	0	2	2	1	4	5	3	1	5	0	4	4	1	1	3	1	0	8	3	5	1	7	3	1	8	3	3	2	5	1	4	5	2	0	0	1	1
1:Ins:C:2	2	4	1	0	0	3	1	9	1	1	0	0	0	5	2	0	1	4	0	0	1	1	5	1	5	8	1	0	1	0	2	2	0	1	5	4	4	2	0	0	3	2	0	2	0	4	0	0	0	0	1	1	5	6	2	0	3	0	1	0	4	1	1	2	0	1	11	6	2	2	0	1	0	2	0	0	1	1	7	2	1	4	0	0	1	1	1	1	0	0	2	3	2	1	0	3	0	1	0	1	1	4	1	2	1	3	3	0	1	3	0	2	8	2	1	1	2	1	0	4	0	1	1	4	3	4	1	2	0	2	1	1	0	0	1	0	0	2	1	4	0	1	3	2	1	1	0	4	0	3	5	3	1	0	0	0	3	0	0	1	1	2	3	2	2	4	1	0	0	1	0	2	2	0	10	1	1	1	5	1	1	5	5	0	1	1	1	2	2	3	2	2	0	4
1:Ins:C:3	2	2	0	1	1	1	1	1	0	3	2	1	4	0	2	0	0	4	0	0	3	0	1	0	8	4	2	2	1	1	0	2	1	2	1	1	0	2	1	0	1	1	4	0	0	1	0	1	3	0	0	2	3	2	0	1	1	1	2	0	3	2	2	2	0	1	5	3	3	3	2	0	1	0	0	1	0	0	6	0	1	3	0	0	2	1	0	2	0	2	0	1	2	5	1	3	2	0	0	1	0	2	3	4	2	0	1	0	2	1	3	1	4	0	1	3	2	1	2	1	0	5	0	2	2	4	2	0	2	0	2	3	0	1	0	4	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	0	0	2	0	1	1	1	1	1	1	0	5	0	2	0	0	2	0	0	1	1	3	0	7	2	2	2	1	3	1	5	1	1	0	1	0	0	2	1	1	0	1	3
1:Ins:C:4	1	1	0	0	0	1	1	0	2	0	0	3	1	0	0	1	0	2	2	0	0	0	0	1	13	1	1	2	3	0	1	1	1	0	2	2	0	1	0	0	0	3	6	0	1	1	0	1	1	0	2	0	1	3	2	4	2	0	1	0	0	1	1	0	1	3	0	0	4	1	0	0	1	0	2	0	0	1	4	1	0	1	0	2	2	0	2	0	2	1	0	0	1	7	2	7	1	0	2	0	0	1	2	1	3	2	1	0	0	1	2	1	1	1	1	1	1	3	2	2	0	2	1	0	2	0	1	3	0	0	2	1	1	0	1	0	0	4	3	2	0	0	2	1	0	2	0	0	2	3	0	0	1	0	0	1	1	0	3	0	1	2	1	2	2	0	0	2	0	1	2	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	4	1	0	0	0	2
1:Ins:C:5	3	6	1	8	1	1	0	4	2	0	1	6	3	4	3	11	4	8	5	1	2	6	5	1	24	7	2	6	5	11	5	5	0	5	6	2	2	5	3	6	4	4	8	0	2	4	1	2	4	0	3	3	2	6	12	13	19	2	5	2	2	7	5	6	3	7	9	14	14	3	2	7	3	5	4	2	0	3	9	1	2	5	11	2	2	6	4	4	1	4	2	1	4	2	2	14	1	5	2	4	1	3	9	3	4	2	6	5	4	4	3	6	13	2	2	11	6	13	1	2	2	14	9	3	13	4	0	11	4	3	3	2	2	1	0	3	3	4	5	4	1	3	21	2	2	2	2	1	6	1	4	0	4	1	2	2	3	3	7	2	0	7	8	4	1	3	1	6	0	1	8	3	2	0	2	5	2	4	6	9	1	4	4	1	2	2	1	1	19	4	0	0	1	16
1:Ins:T:0	5	6	1	9	3	6	2	6	5	2	3	8	10	1	4	2	9	6	3	1	5	6	3	3	41	17	2	8	3	5	7	7	9	4	24	3	5	3	4	7	2	5	6	5	5	5	1	2	2	5	5	2	10	8	8	5	88	0	5	3	41	9	6	7	2	4	7	11	17	8	5	10	3	3	6	2	5	5	9	5	5	12	7	14	4	3	7	1	5	0	4	3	5	2	2	16	2	5	7	4	6	4	8	2	5	2	3	4	5	3	9	2	7	8	8	12	10	9	4	4	5	7	9	7	9	37	8	3	10	2	3	3	2	0	4	3	1	1	1	6	0	7	18	6	2	7	3	2	5	5	4	4	9	6	6	3	4	5	10	2	4	7	3	11	2	6	5	4	2	1	6	7	7	3	10	3	4	6	10	7	1	16	4	6	8	4	5	7	9	8	1	22	8	19
1:Ins:T:1	6	9	2	8	5	6	6	14	10	5	3	10	6	4	6	5	8	10	2	7	6	15	4	11	24	12	6	8	3	3	2	8	3	6	16	7	5	6	4	4	5	9	6	8	3	4	7	9	1	12	4	2	4	12	11	5	23	1	2	4	23	7	8	9	2	3	11	8	21	7	3	2	6	9	9	4	7	4	16	8	5	16	2	20	3	4	11	3	4	5	2	3	8	14	6	14	3	10	6	6	6	9	10	0	10	7	7	2	2	2	3	6	11	4	7	11	5	11	13	7	6	7	2	11	8	19	8	8	4	4	6	3	4	3	5	3	1	4	4	28	4	6	15	13	8	10	2	1	4	4	4	4	7	1	7	7	2	3	10	4	11	11	3	8	1	5	7	3	4	5	11	7	28	5	17	2	4	11	32	6	5	22	2	7	11	7	3	8	12	7	5	6	4	16
1:Ins:T:2	6	4	1	2	0	3	1	8	7	3	0	4	2	2	3	7	4	7	1	2	0	12	5	5	12	6	2	3	2	5	1	4	1	2	4	1	2	3	0	0	2	3	4	4	5	1	2	5	1	0	2	0	5	4	8	4	22	1	4	0	22	2	9	8	1	2	12	5	23	2	1	5	3	6	4	2	1	3	9	4	3	5	1	20	4	1	2	3	2	2	5	4	1	7	0	8	3	2	5	3	1	4	3	1	1	3	1	2	3	1	1	2	8	1	3	12	1	8	2	2	1	2	3	5	3	14	2	2	2	5	1	4	4	2	1	3	1	3	0	16	2	8	7	8	1	2	1	1	5	2	2	3	2	6	3	4	2	1	5	1	3	7	9	2	1	1	2	0	3	4	12	1	28	1	17	3	2	2	25	6	5	18	4	3	0	1	4	2	10	3	0	6	3	10
1:Ins:T:3	7	3	0	3	3	2	1	11	4	3	1	1	4	7	0	4	4	5	1	3	1	3	3	3	4	8	2	2	2	3	2	5	3	3	2	6	4	1	0	0	3	1	6	4	2	6	2	1	1	2	3	0	7	3	4	2	28	2	1	0	25	2	7	4	1	2	3	8	8	2	4	3	1	1	1	1	3	4	9	0	0	6	3	8	2	4	1	1	3	0	2	0	2	5	3	9	2	3	3	5	3	2	4	2	4	9	3	0	2	2	1	2	4	0	7	8	3	2	2	4	3	5	4	3	4	19	3	2	2	4	4	0	2	0	1	2	2	1	0	11	0	1	3	1	0	3	0	1	2	0	8	2	3	1	1	0	3	1	1	1	4	6	3	8	3	3	1	2	3	1	3	3	10	1	3	4	5	7	17	3	0	8	2	6	5	3	2	3	2	1	1	0	2	11
1:Ins:T:4	3	2	0	1	3	1	1	2	5	3	2	7	2	3	2	4	2	3	1	1	2	5	3	3	6	14	1	2	4	3	1	2	2	3	4	2	3	2	1	1	0	3	3	2	0	1	2	2	1	4	2	1	2	4	2	1	28	1	4	1	14	2	0	4	0	2	4	12	6	6	2	1	1	2	5	1	0	2	4	1	0	9	5	1	0	5	0	4	0	1	3	1	3	2	0	11	1	2	2	0	2	2	4	1	1	2	1	0	1	1	0	4	14	3	5	6	2	11	2	2	3	5	1	3	3	4	1	1	2	2	1	1	1	1	0	0	0	1	3	4	0	2	11	4	0	0	2	1	9	3	3	1	0	1	1	1	2	0	6	1	4	5	6	3	0	0	3	1	0	2	4	1	3	0	0	2	1	1	6	10	0	4	1	1	0	1	2	1	6	2	0	1	0	6
1:Ins:T:5	60	92	10	58	40	72	13	136	91	51	59	96	41	51	58	145	132	81	32	9	95	104	81	54	48	164	68	146	31	108	39	88	24	91	61	76	86	42	30	56	99	84	107	16	23	46	15	28	30	127	48	13	48	80	111	97	568	27	100	15	76	69	55	124	7	40	58	259	332	99	131	169	37	36	125	2	23	52	93	41	28	113	237	70	40	131	78	204	12	32	45	38	69	48	27	260	3	95	92	31	28	81	132	35	28	46	83	21	50	16	22	32	257	67	53	188	122	294	2	17	52	216	105	53	199	67	38	119	69	21	59	30	28	27	10	57	10	42	47	65	2	118	227	65	80	74	38	3	181	50	50	45	43	47	157	52	86	12	93	9	101	79	169	93	11	91	59	87	22	41	132	98	112	32	108	112	15	86	86	189	12	114	15	38	65	30	27	19	246	52	1	8	46	257
2:Del:R:0	13	9	5	8	7	2	2	8	21	2	5	12	13	6	8	5	6	24	3	7	3	5	19	9	8	19	2	1	7	7	3	11	4	4	9	9	3	3	4	4	2	6	17	3	8	3	2	3	2	9	7	2	22	33	6	8	35	1	10	3	10	3	4	2	1	3	21	7	35	5	7	4	1	18	9	4	2	5	26	9	6	25	1	15	6	2	9	5	1	5	3	6	21	6	3	35	3	4	6	4	3	8	30	7	7	4	4	0	6	6	2	9	22	8	2	9	6	14	9	5	12	6	4	7	12	21	1	3	5	3	3	7	8	1	4	1	1	5	9	55	2	8	14	14	6	3	3	3	10	5	7	6	9	3	4	13	3	0	6	2	8	4	11	3	1	3	27	2	2	4	4	6	15	4	16	2	5	6	66	9	5	25	2	6	7	6	5	2	14	13	0	0	3	9
2:Del:R:1	15	14	4	8	6	2	4	24	17	3	5	6	20	10	9	4	9	20	4	5	2	5	9	9	8	25	12	1	3	4	3	5	7	7	8	7	2	4	3	4	2	4	13	10	4	6	4	4	2	6	5	2	15	29	8	4	60	3	10	2	10	2	4	5	2	8	12	16	30	7	3	6	4	16	9	1	2	3	24	3	7	15	2	10	11	4	6	3	3	8	3	5	57	6	6	20	5	5	8	1	1	10	51	3	2	2	8	1	3	5	3	7	19	4	4	4	12	10	8	4	12	8	6	4	10	16	4	7	3	4	5	2	4	4	4	10	2	2	4	22	1	10	12	10	11	7	2	3	11	1	10	6	8	5	1	23	4	0	6	4	4	5	12	3	2	6	32	5	3	1	13	4	18	4	19	3	4	6	32	8	5	25	4	4	9	9	6	4	22	14	1	2	6	11
