MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
1:Ins:T:1	4	15	5	9	8	16	9	14	8	8	15	12	17	17	32	10	47	48	4	8	7	6	4	19	33	12	7	1	13	16	10	10	4	8	27	9	17	9	6	25	15	21	16	5	10	16	26	11	6	43	15	7	7	8	6	8	19	20	10	9	15	7	4	25	53	15	78	73	8	36	48
1:Ins:T:2	6	4	5	12	15	10	6	28	7	3	10	9	4	9	200	8	29	49	4	6	6	5	4	12	40	5	5	6	4	15	4	10	1	5	15	7	9	1	1	36	6	14	6	5	4	8	14	5	11	123	9	3	3	7	4	1	16	10	5	3	6	4	7	21	133	14	57	248	2	170	24
1:Ins:T:3	2	3	4	5	8	8	4	15	6	1	7	7	10	11	116	5	17	19	7	6	1	2	1	8	28	5	1	3	8	5	5	8	3	5	6	7	4	2	5	35	7	9	12	4	3	9	6	5	8	84	11	2	0	5	3	2	7	5	8	7	11	8	3	15	90	5	32	163	2	108	11
1:Ins:T:4	4	6	4	0	6	6	6	44	4	3	5	7	8	13	219	8	9	12	6	9	3	7	2	7	56	3	1	5	11	6	0	4	3	1	7	7	5	3	3	67	2	21	4	1	2	10	7	2	5	151	12	2	4	5	0	4	10	3	4	1	4	4	6	6	145	5	14	270	3	178	8
1:Ins:T:5	123	412	240	56	174	174	185	1789	143	95	227	71	350	479	7498	196	419	188	214	419	174	219	129	143	2904	136	50	153	196	459	138	178	41	100	265	374	168	82	39	3218	42	440	143	91	128	199	267	240	331	6308	273	56	134	54	100	77	170	202	526	182	151	75	99	138	5875	123	118	13273	225	5880	202
2:Del:R:0	7	5	21	4	14	6	13	41	9	6	5	12	13	9	126	16	19	16	5	4	4	4	2	8	44	14	6	5	11	10	7	12	1	4	22	6	19	2	4	45	17	8	10	14	9	10	24	6	19	110	9	4	6	8	7	8	4	23	11	8	11	14	7	29	222	20	11	265	3	81	10
2:Del:R:1	9	14	29	8	10	18	28	61	5	7	18	14	18	8	165	12	28	9	6	12	10	11	11	11	45	10	4	8	28	27	3	23	4	13	29	18	8	9	3	70	16	17	14	17	10	27	29	15	14	154	13	4	6	9	6	10	11	19	19	8	14	15	7	26	317	9	13	278	9	118	14
2:Del:R:2	2	6	7	1	7	3	15	27	4	1	9	2	8	5	90	2	4	4	1	7	0	1	1	3	36	1	1	5	5	7	3	7	2	3	7	3	4	1	3	44	7	7	2	1	4	8	6	1	7	105	1	2	4	2	3	1	4	7	5	1	3	1	1	8	242	2	7	179	0	76	2
2:Del:R:3	2	3	1	0	4	2	3	69	0	3	1	0	2	4	499	1	3	0	0	2	2	0	2	1	133	1	1	1	1	2	2	3	1	2	6	1	4	0	2	123	2	2	2	0	4	1	5	1	0	564	1	1	0	1	2	1	1	6	1	1	2	2	2	1	916	3	0	698	0	364	0
2:Del:R:4	2	1	2	0	4	0	2	69	3	0	0	1	3	2	322	1	2	1	2	0	0	1	1	0	111	0	1	1	4	5	1	4	0	3	3	0	1	1	0	141	0	4	0	0	0	5	3	1	2	234	0	0	0	0	0	2	0	1	1	0	1	0	0	0	920	1	0	491	0	281	0
2:Del:R:5	2	0	10	1	8	1	4	263	4	0	7	1	4	7	763	3	2	0	3	2	2	3	2	3	354	2	3	1	5	5	2	1	2	4	14	4	7	3	2	394	7	4	2	2	1	3	7	3	5	794	4	2	3	2	2	2	2	3	0	0	1	1	0	4	2738	6	6	1588	3	851	2
3:Del:R:0	1	3	2	1	2	5	14	10	2	1	4	8	5	3	42	5	8	1	1	2	3	2	1	7	16	2	3	2	2	8	2	3	1	2	12	3	6	2	2	7	6	5	3	6	9	3	12	2	11	53	2	0	3	3	2	2	3	11	5	1	3	6	3	16	67	14	16	66	2	24	0
3:Del:R:1	3	23	19	5	14	13	12	37	3	12	10	8	14	9	153	10	20	15	6	13	7	14	3	17	55	8	0	11	19	21	6	22	4	13	21	22	10	7	4	70	3	21	6	17	7	14	19	11	6	127	7	4	14	8	6	4	11	17	26	9	6	14	6	26	254	9	10	208	9	100	15
3:Del:R:2	0	4	3	1	2	4	2	14	2	3	2	2	1	1	44	4	2	1	2	5	4	2	2	1	16	2	2	1	3	5	1	11	1	1	6	7	4	2	1	24	2	7	0	2	3	3	6	2	2	58	0	1	3	2	1	2	1	3	7	1	0	5	4	5	138	2	0	95	2	36	2
3:Del:R:3	0	2	2	1	0	0	1	6	0	0	3	1	2	2	19	2	1	1	0	1	1	1	0	1	6	3	0	2	2	2	1	4	1	3	2	0	1	0	1	11	0	2	2	1	0	2	3	1	1	17	0	0	2	0	1	0	0	1	3	0	2	0	0	1	57	0	0	40	2	31	1
3:Del:R:4	0	1	0	0	1	0	0	2	0	0	1	0	1	1	12	0	0	0	0	0	0	0	1	0	8	1	0	1	0	1	0	0	0	0	1	1	1	1	0	5	0	3	0	0	1	0	2	0	0	10	1	1	0	0	0	0	2	0	0	0	0	0	0	1	60	1	1	29	0	16	1
3:Del:R:5	0	0	3	0	0	0	1	11	0	0	0	0	1	1	34	0	0	0	0	0	0	0	0	0	13	0	0	1	2	1	1	1	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	1	22	1	0	0	0	0	0	0	0	1	0	0	0	2	1	129	0	0	68	0	38	0
4:Del:R:0	0	1	2	1	2	3	5	5	2	3	2	4	5	4	13	4	16	6	2	1	5	5	2	7	9	4	1	0	2	4	3	5	2	3	15	0	3	1	3	6	5	4	1	6	11	6	14	2	6	17	1	3	1	5	3	1	3	10	2	0	1	10	0	10	26	5	13	21	0	12	5
4:Del:R:1	1	6	7	2	12	8	12	21	6	3	10	5	9	7	67	10	11	4	7	7	10	3	4	21	17	6	7	5	19	12	7	19	4	7	15	9	6	4	4	24	8	7	4	7	5	15	15	3	8	77	7	8	2	3	3	5	5	16	3	3	4	5	3	9	129	6	2	119	6	41	9
4:Del:R:2	0	7	1	2	5	2	4	12	0	1	0	2	4	3	30	3	2	1	2	2	1	1	2	2	10	3	0	3	2	2	2	5	1	1	6	6	3	3	1	8	1	5	3	3	1	2	9	1	2	25	1	1	4	1	2	1	5	4	5	3	4	2	1	6	93	1	0	87	2	17	3
4:Del:R:3	0	2	4	0	1	1	1	10	1	0	0	0	1	1	26	0	2	0	0	0	1	1	0	2	6	0	0	1	1	2	0	4	0	4	4	0	0	0	0	7	0	2	0	1	2	1	3	1	1	32	1	1	1	0	1	0	0	1	4	0	0	1	1	1	108	1	1	97	1	24	2
4:Del:R:4	0	0	1	0	1	0	0	3	0	0	1	0	1	0	7	1	0	0	0	0	0	0	1	0	6	1	1	0	2	0	0	1	0	2	2	0	0	0	0	8	0	0	0	0	1	1	2	0	1	5	2	1	0	0	3	0	1	1	0	1	0	0	1	0	39	1	0	33	0	11	1
4:Del:R:5	0	0	0	0	0	0	0	11	1	0	0	1	2	0	24	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	1	0	0	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	61	1	26	0
5:Del:R:0	8	22	38	6	14	24	89	22	19	15	59	69	22	27	137	24	93	35	19	29	22	34	16	18	40	6	25	12	23	27	46	21	20	34	186	25	28	34	16	27	16	27	29	84	47	10	198	17	36	23	22	6	18	53	40	18	18	70	20	12	23	43	7	79	42	63	78	56	8	19	9
5:Del:R:1	3	4	7	1	17	4	6	13	4	2	11	2	4	8	20	2	6	5	1	2	2	5	0	4	9	1	6	4	8	7	2	6	2	4	14	6	5	3	1	13	6	9	4	5	2	7	14	4	4	12	1	2	2	2	5	1	6	6	1	2	5	1	4	11	49	2	5	45	1	12	3
5:Del:R:2	0	1	2	1	5	1	1	4	1	1	2	0	2	2	5	2	1	1	0	0	0	2	1	3	6	1	0	0	1	2	1	3	0	3	3	1	6	0	0	4	0	4	0	0	1	1	3	1	0	4	0	1	1	1	2	0	1	0	2	1	1	0	0	0	21	3	1	19	0	9	0
5:Del:R:3	0	0	1	0	0	2	0	2	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	3	1	0	1	0	0	2	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0	1	16	0	9	0
5:Del:R:4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	4	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	2	0
2:Ins:R:0	7	7	9	26	7	9	8	47	6	6	10	4	8	13	62	7	12	9	5	8	1	9	3	7	36	2	11	11	7	15	5	6	4	7	27	17	14	6	10	36	30	8	5	5	2	46	28	11	11	57	11	1	7	6	7	8	7	5	8	8	6	14	4	9	121	7	5	311	7	62	9
2:Ins:R:1	2	2	6	1	2	1	2	8	1	3	4	3	2	3	13	5	14	4	2	4	4	4	2	3	8	0	1	2	5	11	5	6	0	4	4	6	7	1	1	14	18	5	4	2	5	7	5	5	9	7	3	1	5	2	4	0	8	5	3	5	3	9	3	6	18	7	5	39	0	8	4
2:Ins:R:2	2	3	4	1	2	4	1	11	1	1	0	4	3	2	15	0	8	3	1	0	3	2	1	3	9	0	1	1	7	4	1	0	1	2	5	1	1	3	1	16	5	3	2	2	2	6	3	2	0	21	0	2	2	2	0	1	4	5	5	2	3	3	1	1	19	4	0	45	1	13	3
2:Ins:R:3	2	4	1	0	1	3	0	7	1	0	0	0	0	1	36	1	2	1	3	6	1	0	1	1	13	1	1	2	2	6	1	0	1	1	0	1	4	0	1	17	1	2	0	2	2	3	0	1	1	45	1	0	1	0	1	0	1	0	0	0	0	0	0	1	38	0	1	93	0	15	3
2:Ins:R:4	1	6	7	0	3	1	1	20	2	0	4	2	3	6	162	3	3	2	3	2	1	5	3	0	58	3	0	0	2	8	5	3	0	2	3	2	0	0	0	76	1	1	1	0	2	1	3	6	3	151	2	0	2	0	0	0	1	3	3	1	1	1	4	0	137	2	1	408	1	125	1
2:Ins:R:5	5	19	23	2	20	16	19	204	10	7	10	4	9	28	741	26	27	9	21	24	12	18	12	6	340	11	3	6	13	37	13	14	1	10	13	26	11	7	2	445	4	43	5	9	11	10	11	24	30	822	12	6	9	1	7	5	18	17	38	11	4	9	16	11	866	12	9	1867	15	635	17
3:Ins:R:0	4	4	5	8	1	3	8	16	2	3	6	5	4	2	19	3	4	6	2	6	5	6	1	1	14	3	3	5	5	2	6	3	1	2	23	5	1	1	2	10	11	5	1	5	2	12	28	3	0	13	5	2	3	1	5	2	7	6	3	2	1	5	2	4	34	5	1	47	2	11	3
3:Ins:R:1	1	1	4	1	1	3	2	7	0	1	2	1	1	1	7	2	6	1	2	2	3	4	2	3	4	1	3	2	2	5	4	2	6	1	3	2	4	1	7	3	8	4	4	3	2	5	3	3	4	8	3	2	1	0	0	2	2	4	2	3	4	3	0	2	6	6	6	14	0	6	7
3:Ins:R:2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	2	0	1	2	1	4	0	0	0	0	5	1	1	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	1	0	7	1	1	1
3:Ins:R:3	1	1	0	0	0	1	0	3	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4	0	0	10	1	2	1
3:Ins:R:4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	8	0	0	18	0	8	0
3:Ins:R:5	0	1	0	0	2	0	2	12	0	2	1	0	3	1	44	2	1	1	0	4	1	3	0	1	25	2	0	2	1	2	1	3	0	1	1	1	4	0	0	41	0	4	1	1	0	1	1	2	2	54	1	0	0	0	1	0	0	0	3	0	1	0	0	0	64	0	2	122	0	45	0
4:Ins:R:0	2	10	12	5	1	2	7	30	5	4	7	3	4	9	38	6	5	5	3	9	7	14	6	2	16	4	5	13	7	11	8	5	4	7	22	3	5	3	3	27	19	15	5	8	4	12	25	11	6	34	7	1	7	3	4	3	7	9	5	7	3	9	1	5	76	5	5	192	9	31	9
4:Ins:R:1	2	3	6	3	2	3	2	10	2	3	1	0	3	2	1	2	3	2	2	2	4	3	2	3	5	2	2	3	1	12	1	5	1	3	6	2	2	1	3	4	4	7	4	1	1	2	4	3	4	3	0	1	4	0	3	0	5	3	7	1	4	5	2	6	13	7	5	23	0	2	4
4:Ins:R:2	1	0	0	0	1	1	1	0	1	0	1	0	0	0	3	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	3	1	0	0	2	0	0	0	0	2	0	1	2	1	6	0	0	1	0	1	1	0	0	1	0	1	0	0	1	9	0	2	27	0	2	1
4:Ins:R:3	0	0	2	0	0	0	0	1	1	1	0	0	0	0	13	1	0	0	0	0	1	0	0	0	4	1	0	1	0	0	0	0	0	0	2	0	0	0	0	5	0	1	1	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	42	0	11	1
4:Ins:R:4	0	2	0	0	1	0	2	2	1	0	0	0	0	0	13	2	1	0	2	0	1	2	0	0	2	0	0	0	0	3	0	0	0	0	2	0	1	0	0	5	0	2	0	0	1	0	2	0	1	10	1	1	0	0	1	0	0	0	2	1	0	0	0	0	20	0	0	69	0	15	0
4:Ins:R:5	1	1	4	1	2	1	0	9	3	1	2	1	0	1	13	0	2	2	1	0	2	2	2	1	6	0	2	1	2	5	2	1	0	2	3	2	0	1	1	7	2	3	1	0	0	1	4	0	1	11	0	0	0	0	0	0	1	0	1	3	1	0	0	1	32	1	0	62	1	17	0
5:Ins:R:0	10	38	51	12	22	53	97	88	47	19	95	43	32	58	343	59	14	36	27	51	59	100	35	54	125	20	51	29	45	43	78	39	40	59	118	36	91	61	23	151	30	66	31	22	45	48	113	33	33	116	48	16	19	27	63	20	34	38	32	14	16	20	4	15	173	49	48	521	15	153	21
5:Ins:R:1	12	6	17	2	12	12	10	16	4	3	15	2	13	9	13	8	21	3	5	10	8	8	4	8	17	7	8	15	26	15	11	3	15	22	30	11	9	5	15	10	8	12	11	10	3	22	32	16	7	11	7	6	14	3	5	1	11	16	17	6	12	15	1	14	24	10	12	42	3	15	8
5:Ins:R:2	0	1	1	0	1	0	0	1	0	0	3	0	3	1	5	1	0	2	1	1	0	1	0	0	2	1	0	0	2	3	0	1	0	1	8	0	2	0	0	2	0	0	1	0	0	1	5	0	1	2	0	0	0	0	2	2	1	5	1	1	1	1	0	1	5	3	0	12	1	7	0
5:Ins:R:3	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	8	1	1	1
5:Ins:R:4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	6	0	0	10	0	3	0
5:Ins:R:5	0	1	1	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0
2:Del:M:1	8	11	21	6	12	11	21	38	8	4	9	11	11	18	147	18	28	20	8	9	7	9	10	14	30	16	3	7	28	27	8	33	4	10	27	21	7	8	4	49	16	22	11	12	10	25	31	13	14	167	9	7	8	11	12	10	11	31	15	6	11	18	4	33	280	22	22	287	6	89	6
3:Del:M:1	2	4	4	2	2	4	9	6	1	2	2	10	3	1	20	1	14	10	1	3	1	1	2	5	3	1	2	3	1	6	2	8	0	2	5	2	4	1	1	5	4	1	5	4	3	3	6	0	8	15	3	3	0	12	1	2	2	6	7	0	5	6	1	16	36	9	10	26	1	12	2
3:Del:M:2	3	5	9	4	11	7	10	16	3	6	5	10	5	6	70	6	14	4	4	4	7	3	2	8	38	5	2	5	10	6	10	7	1	8	25	7	4	5	4	43	9	3	2	10	5	9	24	5	12	77	4	4	3	4	6	2	7	17	7	6	3	11	3	11	183	8	11	126	8	50	9
4:Del:M:1	4	4	3	0	4	3	10	16	4	0	7	8	4	5	31	1	13	7	2	3	4	6	1	8	14	1	1	3	4	7	1	3	0	2	18	5	1	4	0	27	1	2	3	2	5	2	18	3	5	26	2	1	1	8	1	4	1	9	5	1	2	7	0	13	97	9	15	98	2	25	3
4:Del:M:2	4	6	0	1	5	4	10	10	2	1	4	5	14	3	27	6	9	3	2	1	3	3	0	5	3	4	4	1	7	8	4	7	1	5	22	6	4	2	2	9	6	5	6	8	5	7	20	5	4	31	2	4	5	2	4	0	2	6	4	1	8	3	2	15	53	6	5	56	0	18	3
4:Del:M:3	5	7	10	2	11	10	9	8	4	2	1	2	9	5	45	7	7	1	1	4	6	4	3	8	16	5	1	2	20	14	6	21	1	16	18	8	4	1	0	18	4	6	2	11	7	22	18	3	2	44	0	5	3	1	2	1	2	8	8	3	1	4	5	12	92	6	1	77	2	30	7
5:Del:M:1	10	17	28	12	19	25	73	45	27	12	24	67	16	21	83	20	69	23	9	24	11	18	7	13	26	9	14	6	21	22	17	13	10	16	238	22	27	13	10	48	9	27	25	79	44	17	230	10	38	53	20	10	13	47	22	11	15	65	12	10	19	43	5	86	143	57	84	151	6	62	11
5:Del:M:2	3	5	10	4	13	14	46	9	24	5	14	25	15	8	37	10	39	26	6	12	8	7	7	23	14	7	11	2	14	13	16	12	4	7	386	6	32	9	4	20	10	12	11	113	44	9	384	12	16	12	13	10	8	13	26	6	10	77	6	10	15	32	7	40	17	49	58	33	4	10	17
5:Del:M:3	4	5	9	0	15	8	27	20	20	1	12	10	11	9	28	9	13	15	2	5	2	5	4	10	17	3	9	8	13	10	10	13	3	1	314	10	17	6	6	10	7	20	12	62	12	12	311	11	14	27	5	5	6	10	22	3	7	48	8	4	15	19	5	30	45	23	22	42	2	17	10
5:Del:M:4	5	4	2	3	6	8	9	9	9	4	2	9	4	2	17	3	11	8	1	4	2	4	2	4	4	1	1	3	8	11	5	4	2	1	204	7	16	1	2	6	3	4	3	56	9	8	203	7	2	8	5	4	3	6	12	2	4	31	3	2	2	12	1	5	12	6	11	19	1	10	5
5:Del:M:5	4	3	11	0	8	8	15	5	9	0	10	4	9	10	15	7	11	10	4	2	2	3	5	10	8	0	6	3	7	9	5	1	2	1	150	6	10	1	2	10	6	9	2	38	4	7	152	4	6	16	5	7	8	3	11	3	11	21	5	3	4	6	3	11	54	10	13	43	3	14	10
