MutationType	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
G[Del(T):R(8,)]A	0	4	46	29	34	24	10	24	37	30	42	19	3422	18	8	14	2543	21	51	45	20	10	39	32	34	1	2	40	43	13	15	7108	65	12	27	28	15	29	50	10	19	43	16	25
G[Del(T):R(8,)]C	0	6	56	37	28	17	5	20	31	33	30	13	2489	21	4	9	3110	8	44	35	20	12	28	29	29	0	3	44	27	8	10	4857	49	7	18	11	14	35	45	20	28	31	19	19
G[Del(T):R(8,)]G	0	5	32	14	16	17	4	14	29	18	18	21	2759	13	6	12	2217	14	36	23	16	16	24	20	28	0	8	36	32	9	8	5030	42	7	15	11	18	19	39	10	17	27	13	12
A[Ins(C):R0]A	0	4	15	18	26	14	8	35	25	35	135	2	171	19	11	41	80	1	19	230	5	28	59	7	6	2	60	43	13	2	11	57	6	22	9	138	7	47	7	8	37	90	12	22
A[Ins(C):R0]T	0	2	0	8	19	5	9	21	14	16	54	1	71	12	4	27	22	0	4	87	3	3	28	1	2	1	44	14	3	2	4	12	3	7	4	84	1	24	4	7	6	56	4	12
Ins(C):R(0,3)	1	3	20	21	13	13	8	17	26	22	43	5	180	25	7	21	1336	12	20	71	10	22	30	17	14	5	28	32	19	9	13	231	25	16	14	40	13	25	28	7	18	39	21	19
Ins(C):R(4,6)	2	3	23	15	11	9	5	7	14	7	18	4	568	14	7	9	39268	11	15	21	11	5	16	5	17	5	5	24	18	8	14	997	13	11	7	10	6	11	23	1	9	14	16	9
Ins(C):R(7,)	2	6	26	22	9	25	9	8	40	21	22	13	824	26	8	13	7761	22	25	24	10	11	14	24	26	2	6	34	31	11	6	910	30	14	6	21	4	21	37	1	10	25	13	11
A[Ins(T):R(0,4)]A	2	7	26	15	21	14	10	15	33	20	18	13	250	16	11	22	1998	16	17	41	15	10	27	12	34	4	15	38	26	6	9	249	26	13	16	38	9	27	23	6	14	19	21	12
A[Ins(T):R(0,4)]C	2	1	5	6	6	7	2	1	5	4	6	2	96	7	2	5	4211	1	5	7	6	2	9	3	6	0	3	4	7	1	2	121	4	3	4	4	0	7	6	2	1	5	3	4
A[Ins(T):R(0,4)]G	0	1	10	6	5	6	2	8	5	2	15	3	123	4	1	4	806	5	6	15	9	8	6	6	6	1	3	12	10	2	4	199	12	8	2	4	0	14	9	1	3	5	12	5
C[Ins(T):R(0,4)]A	2	2	6	4	5	7	3	4	12	7	8	6	49	7	3	8	791	2	2	8	2	8	6	4	5	2	1	6	9	3	4	84	5	5	6	4	3	7	8	4	5	3	11	3
C[Ins(T):R(0,4)]C	3	0	6	4	6	3	3	2	8	2	6	2	84	7	5	5	2001	3	3	7	4	5	1	2	10	1	2	10	8	5	2	126	5	6	2	5	3	7	6	2	4	4	9	4
C[Ins(T):R(0,4)]G	2	3	5	3	3	7	1	6	7	3	7	1	83	5	1	3	688	4	7	11	7	1	1	5	8	0	1	8	5	2	5	176	4	2	2	5	3	6	4	2	5	1	5	4
G[Ins(T):R(0,4)]A	3	3	3	5	11	6	2	3	5	7	5	3	24	5	4	8	509	4	3	7	6	6	8	3	4	0	5	7	10	7	45	34	4	6	7	2	1	12	5	6	6	3	12	2
G[Ins(T):R(0,4)]C	1	1	2	2	3	3	1	2	2	4	3	0	11	4	1	0	822	1	1	6	5	1	4	3	3	0	3	2	2	2	34	37	2	0	1	2	2	4	3	3	3	0	6	1
G[Ins(T):R(0,4)]G	1	3	7	6	12	4	3	0	3	8	6	4	87	6	2	4	830	6	2	9	7	5	10	7	13	0	3	9	5	2	74	157	7	1	5	5	4	7	7	5	11	4	12	4
A[Ins(T):R(5,7)]A	2	9	81	47	41	49	15	38	64	24	64	12	1108	70	8	25	10070	41	34	68	29	20	35	38	68	13	16	67	45	26	20	1295	60	17	16	38	22	41	75	5	26	50	36	19
A[Ins(T):R(5,7)]C	4	13	76	37	44	56	14	38	57	30	47	16	870	71	18	16	6590	42	35	53	31	19	29	46	60	8	12	63	57	26	20	970	65	14	21	47	12	60	67	5	42	26	44	36
A[Ins(T):R(5,7)]G	5	15	79	53	35	51	13	37	55	21	57	20	1195	64	10	34	8824	34	36	69	29	31	32	31	53	10	5	77	51	31	17	1288	68	20	29	38	20	64	49	6	44	32	31	19
C[Ins(T):R(5,7)]A	2	7	35	30	21	13	9	20	30	18	27	12	411	28	7	17	5975	24	11	33	19	5	21	21	20	6	6	33	17	10	8	555	34	8	12	14	10	21	30	2	21	19	21	16
C[Ins(T):R(5,7)]C	3	8	43	25	20	23	5	17	33	18	33	9	507	38	7	15	6297	21	13	36	14	13	23	22	35	4	3	35	19	17	10	489	38	11	8	19	9	35	30	3	22	19	18	14
C[Ins(T):R(5,7)]G	1	3	34	14	19	25	5	24	32	16	33	6	608	39	5	12	5698	21	11	40	16	14	15	14	33	5	5	31	24	15	10	654	40	9	14	16	9	28	38	5	15	16	29	14
G[Ins(T):R(5,7)]A	3	6	29	24	9	21	4	10	31	16	29	10	534	30	4	13	3197	16	18	31	14	6	18	8	33	10	5	28	21	17	11	619	27	9	11	21	10	18	23	3	18	19	17	8
G[Ins(T):R(5,7)]C	2	6	37	17	20	24	13	20	24	14	21	8	661	36	12	13	2639	15	17	29	19	12	13	22	38	4	10	31	25	10	15	578	33	10	16	25	11	35	26	6	11	16	24	12
G[Ins(T):R(5,7)]G	8	7	44	29	25	31	7	12	32	18	36	12	1210	34	9	17	4410	18	16	40	16	13	29	17	38	8	12	32	27	16	10	1046	46	9	8	15	15	29	39	5	24	20	16	15
A[Ins(T):R(8,)]A	2	21	74	43	44	47	10	40	61	21	64	22	1231	57	16	31	8028	32	40	65	38	20	35	33	82	6	21	85	69	28	30	1096	80	22	22	42	16	61	72	9	49	39	39	20
A[Ins(T):R(8,)]C	3	24	56	36	28	37	14	35	54	35	62	16	1085	51	26	26	8442	25	46	75	48	21	39	29	57	6	11	80	52	29	25	1036	66	20	20	33	17	67	64	9	39	27	45	23
A[Ins(T):R(8,)]G	5	13	50	27	37	43	12	20	53	23	44	12	1065	54	14	21	6883	24	34	54	27	16	31	32	83	5	5	56	52	30	22	867	57	18	12	41	13	45	51	7	41	31	23	31
C[Ins(T):R(8,)]A	3	12	30	28	24	30	10	17	52	14	28	11	716	26	4	15	4341	16	24	29	19	13	32	24	37	3	11	40	28	11	13	582	30	13	12	21	11	32	39	5	18	18	17	12
C[Ins(T):R(8,)]C	4	9	47	24	26	33	4	14	26	22	54	15	837	31	12	16	5637	21	17	58	25	15	22	19	44	6	8	43	40	13	17	620	46	13	14	29	10	32	44	7	27	26	32	12
C[Ins(T):R(8,)]G	0	12	44	37	19	27	11	15	42	22	24	18	979	39	13	13	5976	15	26	31	27	13	19	22	59	5	8	45	34	17	13	703	50	10	11	31	5	44	44	3	32	17	19	16
G[Ins(T):R(8,)]A	3	5	34	20	21	29	5	16	33	22	23	11	754	35	8	10	2609	23	18	32	22	10	23	20	38	9	5	38	35	12	10	539	37	6	8	19	10	17	31	4	14	21	25	10
G[Ins(T):R(8,)]C	4	7	36	21	17	25	4	20	44	19	20	7	782	41	10	10	2837	15	30	30	18	9	29	18	40	3	5	33	26	13	10	618	44	9	12	26	9	31	29	4	19	24	30	9
G[Ins(T):R(8,)]G	6	10	30	24	8	25	10	11	34	16	23	7	910	30	12	13	3209	14	17	34	30	12	38	25	42	8	5	44	38	19	8	682	50	10	9	20	7	24	40	3	18	19	22	12
Del(2,4):R1	3	15	17	12	36	8	15	9	20	33	35	11	407	14	10	16	251	15	17	37	24	14	32	19	33	5	13	30	22	9	14	602	34	22	32	15	7	27	32	16	11	15	54	12
Del(5,):R1	10	18	26	21	13	27	43	23	33	43	55	13	68	30	29	28	49	26	18	27	81	13	36	47	33	13	8	50	33	11	17	82	27	11	41	52	21	33	31	12	20	14	58	8
Del(2,8):U(1,2):R(2,4)	3	16	32	27	39	9	16	35	32	43	33	24	798	21	30	20	295	21	31	43	38	17	46	35	41	8	21	55	54	18	48	1051	44	31	39	14	24	44	37	9	14	25	86	18
Del(2,):U(1,2):R(5,)	2	8	22	3	19	8	4	6	16	18	15	8	2232	6	8	9	1391	16	7	21	17	8	18	10	31	5	11	26	16	11	13	6855	31	3	24	6	10	14	15	5	6	19	33	7
Del(3,):U(3,):R2	9	17	40	29	49	12	11	35	30	35	28	13	425	14	19	26	86	29	30	43	47	20	37	42	57	7	12	68	62	21	33	464	62	30	56	26	23	35	29	8	19	29	105	19
Del(3,):U(3,):R(3,)	1	10	18	13	16	10	12	17	11	20	21	12	461	11	3	10	214	17	13	25	39	14	19	26	42	5	8	21	41	8	19	610	32	14	23	14	15	13	16	5	11	12	57	7
Ins(2,4):R0	8	15	29	22	21	23	13	27	54	40	42	15	414	29	30	21	2050	24	33	73	40	38	40	21	36	10	15	55	32	11	23	309	49	33	24	58	21	38	32	10	22	78	37	19
Ins(5,):R0	14	52	60	44	30	63	54	47	66	54	92	16	506	52	54	41	1966	41	36	87	69	49	59	32	39	38	34	92	60	13	31	317	64	37	83	112	39	39	43	27	32	58	29	22
Ins(2,4):R1	1	8	19	12	13	10	8	11	27	22	27	9	63	15	8	9	371	9	11	37	15	5	15	14	15	3	12	23	23	6	13	35	19	12	15	14	11	25	11	2	9	11	16	5
Ins(5,):R1	3	8	25	10	19	20	12	14	20	21	23	8	22	14	11	7	50	8	5	34	19	19	13	10	18	7	20	25	34	8	9	19	17	10	10	20	9	30	18	7	24	12	16	12
Ins(2,):R(2,4)	6	10	19	22	19	14	7	10	34	20	29	13	398	18	10	17	5234	22	26	43	26	12	28	16	29	6	8	27	25	12	12	506	34	14	16	21	8	17	23	4	17	25	23	10
Ins(2,):R(5,)	4	19	53	38	45	41	8	30	102	48	73	27	2309	73	21	29	37270	61	54	101	49	21	48	57	78	5	18	95	54	33	23	2914	112	29	27	42	11	52	75	7	35	54	39	22
Del(2,5):M1	4	7	15	9	36	12	13	14	21	28	21	9	380	20	12	20	218	24	15	25	28	15	27	27	28	5	18	29	44	13	14	493	32	20	30	18	19	35	31	8	17	21	56	14
Del(3,5):M2	1	13	15	14	24	10	10	25	16	29	22	9	296	16	14	18	102	14	11	27	40	8	24	27	46	4	13	36	28	13	20	335	28	17	48	15	18	24	24	8	10	16	52	8
Del(4,5):M(3,4)	2	12	12	4	16	4	8	7	4	16	16	2	82	4	6	9	45	9	6	18	23	4	11	16	18	3	6	27	21	8	11	138	10	13	19	12	11	14	13	2	4	8	54	4
Del(6,):M1	7	15	21	18	8	19	20	12	21	69	27	11	128	14	15	29	51	14	4	27	85	6	23	47	24	9	9	27	35	5	14	163	33	14	28	23	24	25	29	11	18	20	43	7
Del(6,):M2	1	11	14	11	12	20	17	11	23	119	17	3	26	12	10	15	19	16	3	25	100	7	31	68	23	4	12	28	21	3	21	28	23	9	27	20	25	26	26	14	22	17	55	8
Del(6,):M3	1	2	9	7	5	11	4	5	8	66	12	5	38	6	3	24	16	8	6	17	81	1	26	78	12	1	2	18	8	6	14	45	14	9	12	13	11	15	9	9	13	9	23	6
Del(6,):M(4,)	2	7	18	9	8	20	11	11	22	81	23	9	51	13	13	17	68	17	15	31	109	9	38	72	23	2	7	17	17	8	18	56	35	12	24	26	21	29	16	6	18	8	35	5
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
