MutationType	SP85623	SP85491	SP87582	SP89090	SP85511	SP85952	SP85840	SP87675	SP85836	SP120767	SP105708	SP85818	SP105922	SP86118	SP86306	SP87099	SP87434	SP85864	SP105807	SP89291	SP88050	SP88593	SP88158	SP87534	SP88776	SP85725	SP86660	SP87903	SP88098	SP85487	SP105759	SP86775	SP88322	SP85582	SP87446	SP87337	SP86929	SP86130	SP86425	SP85495	SP85787	SP86836	SP89245	SP86989	SP88757	SP85733	SP85737	SP85647
A[Del(T):R(1,4)]A	1	6	1	1	1	1	3	1	4	2	2	0	1	4	2	0	1	1	3	1	1	0	0	1	2	1	3	0	4	5	2	0	4	1	2	1	3	0	2	1	0	0	0	3	1	2	0	2
A[Del(T):R(1,4)]C	0	5	1	1	3	1	0	0	1	1	2	0	2	2	0	1	1	0	1	1	0	1	0	4	1	0	2	0	1	1	1	0	0	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0
A[Del(T):R(1,4)]G	1	2	0	6	2	0	0	0	4	3	1	0	0	3	0	2	0	0	1	0	1	1	0	4	1	2	2	0	0	1	1	0	1	0	2	2	3	2	3	1	1	0	1	1	1	3	1	1
C[Del(T):R(1,4)]A	2	3	0	1	4	2	3	1	3	7	2	0	2	0	3	0	2	0	3	0	0	4	0	2	2	3	6	2	2	1	3	1	1	1	1	2	4	0	2	2	1	0	2	2	1	0	0	0
C[Del(T):R(1,4)]C	4	2	0	1	4	0	2	5	4	2	0	0	1	2	0	1	2	0	1	0	0	1	0	5	2	3	4	2	0	2	0	1	5	1	2	1	2	2	3	0	1	0	1	2	2	1	2	0
C[Del(T):R(1,4)]G	1	2	1	2	1	1	2	0	6	2	0	0	3	0	2	2	1	0	2	1	2	5	0	2	3	4	0	1	1	3	2	1	0	3	1	1	1	2	0	0	0	0	1	3	0	0	0	2
G[Del(T):R(1,4)]A	0	0	0	2	1	1	3	0	2	1	2	0	1	0	4	1	3	0	0	0	1	0	1	1	0	1	0	0	3	5	1	0	1	2	4	1	0	0	0	1	0	0	0	0	0	2	0	0
G[Del(T):R(1,4)]C	1	0	0	0	4	0	2	2	3	2	1	0	1	0	0	1	4	0	1	1	0	0	0	0	2	3	1	1	0	2	0	0	1	2	2	1	1	1	2	0	1	0	0	0	0	1	0	2
G[Del(T):R(1,4)]G	1	2	0	1	2	0	2	0	3	3	2	0	1	1	3	1	3	0	3	0	0	2	0	3	1	0	5	0	0	3	1	0	0	2	1	1	1	0	2	1	0	0	0	2	2	0	0	1
A[Del(T):R(5,7)]A	3	1	0	1	1	0	0	0	0	2	2	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	5	0	0	0	0	1	1	1	0	1	0	0	0	1	2	1	0	0	0
A[Del(T):R(5,7)]C	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	2	3	0	0	0	0
A[Del(T):R(5,7)]G	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	2	0	0	0	1	1	1	0	0	0
C[Del(T):R(5,7)]A	0	1	1	0	1	0	0	3	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0
C[Del(T):R(5,7)]C	1	1	1	0	0	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
C[Del(T):R(5,7)]G	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0
G[Del(T):R(5,7)]A	1	0	0	0	1	0	0	0	1	0	3	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	2	1	0	0	0
G[Del(T):R(5,7)]C	1	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
G[Del(T):R(5,7)]G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0
A[Del(T):R(8,)]A	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1
A[Del(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(8,)]G	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
C[Del(T):R(8,)]A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C[Del(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
C[Del(T):R(8,)]G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(8,)]A	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
G[Del(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(8,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
A[Ins(C):R0]A	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(C):R(0,3)	1	1	1	0	0	2	1	0	0	0	0	0	1	0	4	0	1	0	3	1	0	0	0	5	1	1	1	0	0	1	1	0	0	0	3	2	3	2	5	0	0	1	0	0	1	1	0	0
Ins(C):R(4,6)	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	2	1	0	1	0	3	0	0	0	1	0	0	0	0	1	1	0	0	1
Ins(C):R(7,)	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
A[Ins(T):R(0,4)]A	0	3	1	0	4	0	2	0	1	2	0	0	0	1	1	0	1	0	3	0	1	0	0	1	1	2	1	0	1	0	0	0	0	0	3	1	2	0	1	1	0	0	0	2	1	0	0	0
A[Ins(T):R(0,4)]C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	2	0	0	0
A[Ins(T):R(0,4)]G	0	1	0	0	1	0	2	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	1	1	0	2	4	1	0	1	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0
C[Ins(T):R(0,4)]A	0	1	1	0	1	0	0	1	2	1	0	0	0	0	4	3	2	0	0	0	2	0	0	3	1	0	1	1	0	3	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0
C[Ins(T):R(0,4)]C	1	0	0	0	1	0	0	0	1	1	0	0	0	1	4	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C[Ins(T):R(0,4)]G	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	0	0	0	1	0	0	1	5	1	0	1	3	3	0	0	0	2	0	0	0	0	0	0	0	1	2
G[Ins(T):R(0,4)]A	2	1	2	1	6	0	3	1	4	1	3	0	0	1	1	1	0	1	0	1	0	1	1	2	1	2	3	3	2	6	1	1	1	3	3	1	2	0	4	1	0	1	2	3	0	1	0	2
G[Ins(T):R(0,4)]C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
G[Ins(T):R(0,4)]G	1	1	0	0	3	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	4	0	1	0	0	0	1	0	1	0	0	0
A[Ins(T):R(5,7)]A	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	1	0	0	1	0	2	0	1	2	0	1	1	2	3	3	0	0	3	0	1	0	3	1	1	0	0	0	0	1	1	1	0	1
A[Ins(T):R(5,7)]C	0	0	1	3	1	2	1	1	4	0	0	0	0	0	4	0	2	1	1	1	1	0	0	5	2	0	1	1	1	5	1	0	0	2	6	0	4	1	3	0	0	0	0	2	0	0	0	1
A[Ins(T):R(5,7)]G	2	0	0	1	4	1	0	1	3	2	3	0	0	0	3	1	0	0	1	1	1	1	1	5	0	3	2	1	0	7	0	0	2	0	2	0	4	0	0	0	0	0	1	0	1	0	0	1
C[Ins(T):R(5,7)]A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0
C[Ins(T):R(5,7)]C	0	1	1	1	0	0	0	2	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	1	3	0	0	2	0	2	0	3	1	1	0	0	0	0	1	0	0	0	1
C[Ins(T):R(5,7)]G	0	1	0	0	0	1	0	1	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	1	0	2	1	0	1	2	0	0	1	0	4	0	3	0	3	0	0	0	0	1	0	0	0	1
G[Ins(T):R(5,7)]A	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0
G[Ins(T):R(5,7)]C	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
G[Ins(T):R(5,7)]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	2	2	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0
A[Ins(T):R(8,)]A	0	0	1	1	2	0	1	0	1	2	0	0	0	2	2	2	1	1	1	0	1	0	0	7	0	1	3	0	1	7	0	0	1	2	1	0	1	0	2	0	0	0	0	2	0	1	0	0
A[Ins(T):R(8,)]C	1	1	2	0	2	0	1	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	1	1	2	4	0	3	5	0	0	0	1	1	0	0	0	1	1	0	0	2	1	0	0	0	0
A[Ins(T):R(8,)]G	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	1	0	2	3	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
C[Ins(T):R(8,)]A	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	3	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0
C[Ins(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	5	1	0	1	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0
C[Ins(T):R(8,)]G	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
G[Ins(T):R(8,)]A	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
G[Ins(T):R(8,)]C	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
G[Ins(T):R(8,)]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Del(2,4):R1	4	5	1	3	1	1	3	1	2	5	2	0	1	4	1	1	0	0	3	0	2	2	1	7	1	7	5	1	7	5	1	0	1	2	4	0	4	0	4	0	4	0	1	6	1	3	0	1
Del(5,):R1	6	6	2	1	7	3	3	1	3	9	4	0	3	2	6	7	1	0	4	3	2	1	1	12	4	2	8	2	12	6	1	0	3	4	5	1	10	0	5	1	1	0	0	10	3	6	3	1
Del(2,8):U(1,2):R(2,4)	0	1	2	1	5	1	4	1	6	7	3	0	4	3	8	4	0	1	5	0	0	3	1	5	4	2	4	3	2	10	3	0	5	0	8	0	6	1	1	0	0	0	2	6	2	5	0	1
Del(2,):U(1,2):R(5,)	3	1	4	0	6	1	6	4	4	5	4	2	1	3	1	7	4	5	2	5	4	5	1	8	2	1	7	0	1	3	3	1	0	8	12	2	4	9	0	5	6	10	0	6	0	3	2	6
Del(3,):U(3,):R2	3	5	5	3	5	8	5	4	11	5	7	0	4	2	6	4	2	0	6	2	0	6	2	8	13	3	13	2	4	9	5	1	10	7	6	2	8	8	7	2	2	0	2	4	4	9	3	3
Del(3,):U(3,):R(3,)	2	2	6	1	9	2	4	2	4	3	4	0	1	4	2	2	1	3	4	4	2	2	1	4	4	3	3	7	5	7	1	4	1	9	5	1	5	1	3	2	3	1	1	8	1	5	0	5
Ins(2,4):R0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	2	1	1	1	1	2	2	0	0	0	0	3	0	1	2	1	0	0	0	1	1	0	0	1	1
Ins(5,):R0	1	0	1	2	2	0	0	0	1	2	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	0	1	0	0	1	1	1	0	0	1	0	3	1	1	0	2	0	0	1	1	2	0	0
Ins(2,4):R1	0	1	1	1	2	2	2	0	5	3	1	0	1	2	1	0	0	0	2	0	0	1	0	2	1	0	3	0	0	4	3	0	2	1	3	1	1	0	1	1	0	0	0	1	1	2	0	0
Ins(5,):R1	0	2	3	0	3	0	1	1	2	1	2	0	1	1	4	2	0	0	0	0	1	1	1	4	0	1	0	1	1	2	1	1	2	1	5	0	2	3	1	0	0	1	1	1	0	4	1	3
Ins(2,):R(2,4)	0	1	0	1	4	1	3	1	4	0	0	0	0	0	1	0	1	0	0	2	0	1	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0
Ins(2,):R(5,)	1	0	1	0	0	0	0	2	1	0	1	0	0	0	1	0	5	0	1	3	0	2	1	1	0	2	1	2	2	4	1	0	1	1	1	2	1	1	1	0	0	0	1	1	1	0	0	0
Del(2,5):M1	4	0	2	2	5	0	1	2	5	3	6	0	0	2	2	1	2	1	5	2	0	0	0	5	3	5	3	1	2	6	1	0	1	1	2	0	5	1	3	1	1	0	1	3	5	3	1	0
Del(3,5):M2	4	3	2	6	5	1	3	3	2	7	1	0	3	2	10	2	1	1	10	1	0	3	0	8	5	4	7	1	3	12	1	0	8	2	7	1	4	2	3	1	0	0	1	8	7	6	1	2
Del(4,5):M(3,4)	2	1	2	2	2	2	2	4	8	9	0	0	3	1	1	2	0	0	2	4	1	0	2	2	6	5	6	0	8	2	0	0	3	2	4	3	2	3	2	0	1	0	2	6	3	5	1	4
Del(6,):M1	1	3	1	1	9	4	2	2	7	4	4	0	1	8	6	2	3	0	1	1	0	1	1	5	4	2	2	2	5	5	3	2	3	2	6	0	3	3	3	0	1	1	0	4	0	1	3	3
Del(6,):M2	1	4	1	0	4	2	1	1	4	2	2	0	0	5	1	3	2	0	1	1	2	0	0	1	2	1	2	0	3	8	0	2	1	0	3	0	2	2	1	0	0	0	1	5	2	4	0	1
Del(6,):M3	0	1	2	1	1	0	0	0	1	1	0	0	3	2	2	2	0	0	2	0	0	2	1	1	1	0	0	0	2	2	0	0	0	1	3	1	1	1	1	0	1	0	0	1	0	1	0	1
Del(6,):M(4,)	0	0	0	2	1	0	2	2	5	1	1	0	0	0	1	0	1	0	1	0	0	1	1	3	1	0	2	0	2	4	0	1	0	2	4	1	3	0	2	1	1	0	1	4	0	1	1	0
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
