MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027
1:Del:T:5	23	26	17	24	5	27	30	28	35	33	25	14	33	55	54	57	20	88	39	28	5	31	29	30	49	8	83	20	13	2	72	74	73	62	12	32	32	11	13	15	14	32	18	4	26	45	107	26	12448	5	50	57	13	26	36	99	20	23	20	10	130	13	38	5	88	31	36	31	172	42	45	28	100	28	39	0	29	29	76	13	5	26	50	22	38	90	17	37	36	20	36	22	8	20	15	16	21	71	24	29	22	25	13	42	36	27	21
1:Ins:C:0	7	16	10	6	1	4	23	5	5	21	24	2	12	27	11	47	11	5	24	6	2	1	3	4	26	2	10	1	2	0	40	106	34	20	5	7	12	4	2	3	4	8	1	0	6	15	50	5	48	2	12	9	4	3	11	6	5	3	6	2	69	5	15	2	4	4	8	4	7	8	59	9	12	7	5	2	3	6	46	3	0	21	2	7	10	12	5	7	7	7	18	17	5	3	3	2	1	45	3	6	5	4	2	27	16	4	1
1:Ins:C:1	1	5	3	2	0	0	7	2	1	8	2	3	4	3	3	10	4	9	12	2	3	3	4	4	4	0	4	0	5	0	14	14	7	1	3	2	2	0	1	2	5	2	0	0	1	5	11	3	21	4	7	2	4	0	4	3	2	0	5	2	17	1	11	2	1	0	8	4	5	6	10	2	6	4	4	0	2	4	10	0	1	7	4	3	5	5	2	4	1	3	8	7	2	2	4	3	1	13	4	0	1	4	1	8	5	2	0
1:Ins:C:2	3	2	2	1	0	0	2	2	2	3	6	0	3	4	2	2	0	3	5	0	0	0	1	2	3	0	0	1	2	0	0	7	3	1	0	0	5	0	0	0	2	0	0	1	0	3	3	3	7	1	1	1	3	0	0	1	2	0	2	1	9	3	2	2	1	2	4	4	1	1	4	2	2	0	1	0	0	0	4	3	2	3	0	4	1	5	1	4	1	2	3	3	1	2	7	1	0	6	0	2	1	3	1	4	3	2	3
1:Ins:C:3	2	1	1	1	0	0	2	3	2	2	1	2	1	1	4	0	1	1	1	5	0	0	1	0	1	0	0	2	3	0	5	6	2	2	1	2	0	1	3	1	2	2	0	0	3	1	2	1	17	0	2	3	2	2	0	0	0	1	2	1	4	1	1	1	4	1	0	3	0	3	2	3	5	2	2	0	2	0	4	2	0	2	2	1	1	2	0	1	1	0	4	2	1	2	1	4	2	5	1	2	0	2	1	1	1	1	1
1:Ins:C:4	0	0	1	0	0	2	3	3	1	2	1	1	2	2	3	5	0	5	4	2	1	1	0	1	0	0	0	2	1	0	1	0	1	2	1	1	0	0	0	0	1	0	0	0	0	2	3	0	81	1	1	2	3	1	2	1	0	0	1	1	1	1	1	3	3	3	1	1	0	0	3	0	0	1	2	0	5	0	2	0	1	0	2	1	3	2	1	1	0	0	3	2	2	1	0	3	0	5	0	3	1	1	0	1	2	0	1
1:Ins:C:5	4	8	0	1	4	9	7	20	6	9	6	4	1	14	10	24	6	6	5	16	1	9	7	8	7	1	2	6	6	0	2	10	29	8	3	1	3	6	3	1	3	13	2	1	10	3	22	3	326	1	6	11	15	3	8	10	6	3	1	12	11	4	9	20	12	5	5	3	6	3	9	3	8	6	13	0	2	2	1	4	6	11	11	4	4	30	6	3	14	8	20	9	6	13	5	24	6	11	3	7	4	4	10	3	2	3	7
1:Ins:T:0	8	31	10	3	3	6	13	3	6	31	20	3	16	33	20	66	11	10	41	3	3	0	3	2	55	1	6	0	3	0	60	152	49	30	6	5	12	3	4	3	5	2	0	3	6	19	74	6	38	2	15	7	5	14	22	2	22	0	15	3	127	1	29	3	3	3	16	5	14	7	97	7	25	4	6	0	4	11	68	11	2	27	5	8	7	17	6	17	10	12	34	14	4	5	8	3	1	69	14	5	8	9	1	39	12	5	1
1:Ins:T:1	8	16	6	8	1	8	9	8	8	12	8	1	8	17	7	29	4	8	21	6	4	4	4	13	18	5	5	3	12	0	47	43	33	15	3	3	9	7	5	5	7	8	1	4	10	12	43	8	25	4	8	18	10	8	15	10	8	5	6	12	48	6	20	11	9	4	15	14	11	19	40	8	15	6	7	1	9	11	24	10	3	15	7	6	7	15	6	20	11	11	14	15	5	8	8	8	10	33	8	6	12	6	5	20	13	11	4
1:Ins:T:2	5	8	2	2	0	6	6	6	1	4	8	0	6	12	7	21	4	3	15	7	1	5	1	5	14	2	5	1	2	0	27	44	21	10	3	2	2	0	3	6	6	4	0	2	0	9	28	12	107	0	6	8	6	1	8	7	5	3	5	10	39	3	7	6	3	4	7	7	7	8	28	3	12	5	8	0	5	5	23	4	1	7	4	2	3	12	4	13	8	3	12	5	1	4	8	4	5	16	5	5	4	13	3	23	1	3	5
1:Ins:T:3	8	17	2	3	0	5	8	2	2	12	3	1	9	9	12	17	6	4	13	7	0	4	3	1	16	0	8	2	3	1	22	52	28	13	11	2	12	1	3	3	2	4	0	4	3	11	24	6	75	1	5	11	4	5	9	3	10	1	2	6	40	3	7	1	2	2	3	8	10	7	19	2	7	1	4	0	5	3	23	5	2	6	4	0	5	11	4	15	6	4	11	12	2	2	7	6	0	23	7	7	3	6	1	19	8	3	0
1:Ins:T:4	6	8	10	13	0	1	9	6	5	11	6	2	7	17	9	12	2	2	16	7	0	3	4	6	12	3	3	2	2	1	17	35	25	10	3	0	9	0	4	1	4	5	1	3	3	11	21	4	110	3	6	6	6	3	7	5	4	6	13	6	27	2	10	5	8	3	7	3	10	12	21	3	6	2	5	0	4	4	20	4	3	4	4	3	4	14	0	13	8	7	7	9	1	7	10	6	3	18	5	3	4	6	3	10	10	4	3
1:Ins:T:5	39	108	44	76	22	73	54	210	55	133	80	58	61	195	143	166	55	123	125	74	26	136	56	192	72	30	26	64	73	13	125	157	247	121	27	21	60	68	41	42	46	123	30	11	93	62	204	106	3704	4	95	279	174	55	89	97	43	97	36	97	194	47	73	55	151	124	71	78	143	71	112	52	80	48	118	5	32	30	83	53	37	102	93	62	42	408	49	92	70	83	47	90	23	110	52	189	76	124	56	66	61	56	41	88	60	40	64
2:Del:R:0	8	22	7	9	2	4	11	6	8	15	16	4	13	22	15	35	17	12	14	2	3	7	10	8	18	3	13	1	8	1	50	41	45	19	12	10	9	2	10	8	6	4	0	2	6	22	45	6	50	2	12	12	7	10	17	8	10	3	16	5	81	4	14	2	11	4	13	6	46	11	28	5	305	10	10	0	8	7	36	4	3	23	11	5	4	8	7	15	10	12	13	13	5	12	10	6	2	42	10	8	5	11	3	25	9	8	1
2:Del:R:1	5	9	3	6	6	5	5	1	3	6	15	2	7	13	3	16	4	14	12	2	3	6	8	10	6	1	30	2	6	2	30	13	28	13	3	3	11	6	5	7	6	7	4	4	8	13	13	8	80	1	15	8	7	6	8	4	8	6	4	9	35	3	14	1	6	3	6	7	202	17	9	9	1331	14	17	2	6	6	25	5	3	7	7	4	5	13	4	7	6	9	11	8	3	4	7	8	2	27	4	5	4	5	4	15	14	5	4
2:Del:R:2	0	3	3	1	1	1	1	1	4	2	4	0	3	2	3	6	0	2	12	3	0	1	5	1	3	0	8	2	1	1	18	3	8	2	1	4	0	2	1	3	3	2	0	3	6	6	8	3	42	0	3	6	3	2	3	2	6	1	2	3	7	0	2	0	6	0	6	3	41	4	8	1	303	3	2	1	2	3	6	0	4	2	0	0	1	5	3	6	0	2	6	4	1	0	1	1	3	6	1	1	1	2	3	12	2	4	2
2:Del:R:3	0	3	0	0	0	1	1	0	0	0	2	0	2	0	1	0	2	1	0	0	0	0	0	1	1	0	2	1	0	0	0	2	2	0	0	1	0	0	0	0	1	1	0	0	3	0	3	3	68	2	2	0	0	0	1	0	0	1	1	1	2	0	1	0	0	0	0	0	15	1	0	0	92	2	2	1	0	0	1	0	0	3	0	0	0	4	1	0	0	0	3	0	0	1	1	0	0	2	2	1	0	1	0	2	4	0	0
2:Del:R:4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	64	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	3	0	0	0	16	2	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	2	0	1	0	1	0
2:Del:R:5	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	2	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	124	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	2	4	0	8	0	7	5	0	6	2	1	3	8	6	2	3	0	1	3	5	5	4	1	4	2	6	1	1	7	2	5	7	6	0	2	0
3:Del:R:0	2	10	5	3	0	7	6	4	2	8	5	0	2	7	6	11	6	8	2	2	0	0	7	4	7	0	4	1	3	0	15	8	19	2	7	4	10	1	5	2	2	1	0	0	5	7	9	0	12	3	6	5	1	2	5	4	1	0	3	0	20	0	5	1	2	4	6	0	3	0	4	6	12	3	2	0	3	2	16	4	2	10	1	0	4	4	2	4	3	3	4	8	2	2	3	1	3	18	5	4	0	3	1	12	3	5	3
3:Del:R:1	4	5	4	3	4	5	6	3	4	2	4	6	3	7	3	4	4	6	8	2	2	4	4	6	6	2	32	1	3	0	14	4	14	7	2	6	5	1	5	4	1	3	1	1	3	6	10	4	90	0	8	6	8	3	10	15	1	5	6	5	7	5	5	2	6	2	9	5	174	6	4	5	175	8	10	2	0	4	3	1	3	8	2	3	4	7	2	11	4	7	3	2	4	3	2	7	2	7	3	1	0	2	2	7	4	0	6
3:Del:R:2	0	0	0	3	0	0	1	1	2	1	3	1	0	1	0	1	0	1	1	0	2	0	1	1	2	0	10	1	0	0	6	1	3	0	0	1	1	0	1	1	0	1	0	0	1	1	3	0	38	0	2	0	1	0	2	3	1	2	0	2	2	0	1	0	2	2	1	2	41	2	1	0	35	2	5	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	3	0	1	1	2	1	0	0	0	1	1	0	0	1	2	0
3:Del:R:3	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	9	0	1	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	1	0	14	0	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0
3:Del:R:4	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	2	1	0	0	2	0
3:Del:R:5	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	0	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	1
4:Del:R:0	0	2	2	3	2	0	2	1	2	3	5	2	2	8	5	11	4	4	5	1	0	2	2	1	5	0	1	1	3	0	18	7	10	6	1	3	4	1	2	4	2	2	0	0	2	5	9	1	5	3	9	3	0	4	4	2	2	0	5	2	14	1	6	0	0	0	5	4	10	3	6	0	13	4	1	1	4	1	10	2	0	2	1	2	1	2	2	5	0	2	6	4	1	1	4	3	1	10	3	1	1	0	0	3	3	1	0
4:Del:R:1	1	1	1	2	0	0	0	3	1	3	3	0	1	2	1	4	1	7	2	4	0	1	5	1	1	0	7	2	2	0	4	6	3	0	0	3	1	1	0	2	0	4	1	1	2	1	5	2	37	1	3	4	4	5	1	6	3	5	0	1	2	3	1	1	4	1	0	2	65	4	0	1	61	5	5	0	3	1	3	0	3	4	3	1	4	7	0	1	1	1	1	1	1	1	3	0	1	4	1	2	1	2	2	2	2	0	4
4:Del:R:2	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	2	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	10	0	1	0	0	3	1	3	0	1	0	0	2	0	1	0	1	2	3	0	15	1	0	0	14	0	1	0	0	0	1	0	0	1	2	1	0	1	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1
4:Del:R:3	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	6	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0
4:Del:R:4	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
4:Del:R:5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5:Del:R:0	14	36	53	19	7	26	31	7	8	54	82	6	27	94	29	159	61	24	31	6	7	9	34	6	59	9	32	8	11	4	243	62	106	30	32	54	43	4	55	41	23	7	4	15	30	103	147	5	73	14	67	23	6	66	61	8	37	10	39	22	342	3	52	6	7	16	45	37	29	32	47	24	90	37	23	15	25	39	159	13	5	51	5	6	11	49	21	71	14	62	53	60	10	13	38	11	8	151	36	9	17	22	9	122	27	47	10
5:Del:R:1	0	2	2	2	0	2	0	2	0	3	2	2	9	25	2	6	2	3	0	2	1	1	2	2	1	0	9	0	0	0	8	5	2	3	0	4	0	0	4	1	1	1	0	2	4	10	15	1	19	1	3	2	1	0	9	4	3	3	0	2	33	1	2	2	1	4	1	9	7	7	0	3	12	3	2	0	4	3	7	3	1	4	1	2	2	1	1	3	0	6	3	0	0	0	2	1	2	11	2	1	1	0	0	4	5	4	2
5:Del:R:2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	2	0	0	0	0	1	0	0	0	2	0	0	2	1	1	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	2	7	3	1	0	2	8	4	1	9	7	1	6	27	13	27	11	5	3	1	0	1	2	1	21	0	8	1	4	0	17	73	12	7	2	1	5	0	2	1	5	2	2	1	3	9	27	2	22	1	8	4	1	4	11	0	4	0	2	2	44	2	7	0	2	2	5	3	4	5	13	5	9	2	1	0	1	7	19	3	1	10	1	6	4	12	2	3	2	7	10	6	2	3	3	2	0	20	4	5	2	7	3	16	6	2	1
2:Ins:R:1	2	6	1	2	1	1	8	2	3	1	8	2	4	9	6	7	8	3	6	4	1	0	6	4	4	3	4	2	3	1	8	11	9	2	3	2	6	1	2	0	2	3	0	1	5	9	16	5	5	1	5	5	2	3	1	2	3	1	3	2	7	1	3	2	4	1	5	2	1	6	2	1	5	2	5	0	1	4	10	1	0	7	3	2	2	2	0	4	1	2	3	4	0	3	2	7	0	2	3	2	2	7	1	6	3	4	1
2:Ins:R:2	2	2	0	1	0	4	1	1	0	4	2	0	1	5	3	6	3	0	0	2	1	4	0	3	2	1	1	0	2	1	3	7	6	5	1	1	2	1	0	1	1	0	0	1	0	2	4	1	12	0	5	1	2	1	1	3	1	0	1	2	10	0	1	0	1	2	2	4	4	0	4	2	3	1	4	0	3	5	7	0	1	1	2	3	3	4	0	0	0	0	2	3	0	0	1	1	1	6	0	0	2	0	0	3	1	1	1
2:Ins:R:3	0	1	0	0	1	0	2	0	2	1	0	0	0	0	0	3	1	0	4	0	1	0	1	0	1	0	1	0	0	0	2	8	4	2	0	0	0	0	1	0	0	2	0	0	1	0	4	0	22	0	1	2	3	0	1	1	1	0	1	0	4	0	1	0	2	0	0	0	0	2	1	2	1	1	1	0	0	0	1	0	0	0	2	1	1	0	0	2	0	0	0	0	0	1	0	1	1	2	1	0	0	1	1	2	1	0	0
2:Ins:R:4	1	2	1	0	0	0	4	0	1	1	1	0	0	2	0	1	0	2	3	1	0	4	5	1	0	1	0	2	1	0	1	4	2	2	0	1	1	1	0	0	0	0	0	1	2	0	1	0	58	0	1	2	1	0	2	0	0	2	0	1	1	1	0	0	4	1	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	3	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	3	0	0	1
2:Ins:R:5	4	13	1	4	5	3	8	12	8	15	5	5	9	16	9	3	1	9	1	4	4	12	6	20	8	2	1	3	8	2	5	2	5	13	2	0	1	3	1	2	3	10	1	2	7	2	9	2	335	1	4	11	18	3	7	4	3	5	3	11	9	3	10	5	5	14	4	6	3	3	4	3	4	2	6	1	5	2	2	3	7	7	7	5	4	16	6	3	7	6	3	1	1	5	3	5	9	7	9	5	4	3	2	1	2	2	4
3:Ins:R:0	0	2	0	0	0	0	1	0	0	2	1	1	1	1	1	3	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	3	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	1	4	0	1	1	1	0	1	3	1	0	2	2	1	0	0	0	0	0	1	1	1	0	0	1	0	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0
3:Ins:R:1	2	8	1	1	0	1	5	0	4	6	2	1	3	4	8	6	2	1	5	1	0	3	3	2	5	1	0	2	2	1	12	7	4	3	1	0	4	0	2	6	3	1	0	0	1	5	10	8	4	0	1	6	3	0	0	2	4	1	3	2	9	0	5	1	5	2	0	4	1	1	7	3	7	2	4	1	0	3	11	5	2	7	1	1	3	0	1	3	3	1	4	3	1	1	5	1	1	17	3	1	0	3	0	10	2	1	0
3:Ins:R:2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	1	1	0	0	1	0	0	3	1	0	0	1	0	2	1	1	0	0	0	0	0	1	0	0	4	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	2	0	4	0	1	0	0	1	1	0	0	2	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0
