MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027
C[Del(T):R(1,4)]G	7	8	5	9	2	3	8	3	5	8	10	2	9	11	12	24	12	10	16	4	2	2	3	9	5	0	8	1	8	0	32	13	21	7	8	1	4	1	7	3	8	1	0	3	5	7	24	15	42	2	9	14	5	4	10	11	7	1	7	7	59	5	14	2	8	4	13	4	4	5	13	9	15	5	8	3	3	8	21	6	2	13	7	10	5	15	5	14	8	4	10	9	4	11	9	7	3	26	3	1	6	7	5	24	5	8	2
G[Del(T):R(1,4)]A	41	89	37	36	2	29	64	4	2	44	53	1	44	119	48	133	39	25	79	6	1	4	26	6	112	4	36	1	2	12	249	172	168	88	27	16	50	3	32	37	18	5	1	17	10	64	237	1	98	2	50	19	5	44	59	3	46	0	70	18	216	4	62	4	9	8	42	22	45	65	174	29	78	35	24	3	36	37	150	31	2	66	9	31	18	35	9	100	33	43	45	37	8	11	100	0	3	172	49	20	16	52	12	112	46	31	1
G[Del(T):R(1,4)]C	1	8	6	3	1	2	3	1	1	5	6	1	5	4	4	10	4	3	5	3	1	0	1	2	5	0	5	0	1	2	34	14	33	7	3	2	10	1	5	5	3	5	1	1	5	7	21	6	40	1	11	1	1	7	6	6	5	3	4	3	28	2	7	0	14	0	7	2	1	5	14	3	16	1	6	0	2	6	21	3	1	8	3	2	4	12	0	6	4	5	10	4	2	4	6	2	1	20	9	3	3	4	1	23	1	3	1
G[Del(T):R(1,4)]G	3	5	9	4	2	1	5	5	6	11	10	2	2	10	7	19	4	5	3	6	1	1	7	3	6	1	4	1	5	1	21	23	24	7	4	4	9	0	4	2	4	2	0	1	5	5	22	7	37	4	5	7	1	5	4	7	7	2	2	2	26	1	11	1	9	4	4	4	6	5	14	4	13	2	7	1	5	7	21	3	0	5	1	7	3	8	3	13	3	8	7	10	3	3	7	4	1	36	4	6	4	6	3	15	4	10	0
A[Del(T):R(5,7)]A	9	18	8	5	2	7	8	4	5	15	10	4	10	28	15	28	9	19	20	10	0	1	13	4	24	4	16	5	3	1	49	44	42	17	3	7	9	1	10	5	7	5	6	2	5	13	40	11	1081	0	19	14	6	12	8	10	7	3	17	3	85	4	15	2	20	6	11	15	29	17	28	13	26	10	8	0	10	9	38	6	1	16	2	5	14	12	7	19	10	2	11	10	1	1	14	1	0	39	13	6	8	13	3	24	12	12	2
A[Del(T):R(5,7)]C	2	3	7	5	1	2	3	6	2	3	3	2	1	12	5	7	1	9	6	7	1	2	5	1	1	0	10	1	3	0	13	7	12	4	1	4	7	1	3	0	0	2	0	0	4	6	10	5	488	0	3	3	5	1	4	6	4	3	1	2	21	2	3	2	5	2	3	4	18	6	4	6	8	5	9	0	1	3	9	1	0	3	7	3	6	11	2	4	3	2	7	7	0	0	4	4	2	5	2	2	2	2	0	7	0	5	3
A[Del(T):R(5,7)]G	4	5	1	5	1	4	4	0	4	10	9	1	3	3	7	7	3	4	5	6	0	0	2	2	4	1	8	2	1	0	12	5	10	5	0	6	5	3	3	1	3	3	1	0	2	4	11	3	742	0	5	9	0	2	2	5	5	2	3	1	13	2	3	3	11	3	1	3	14	3	6	3	10	2	4	3	3	5	7	1	2	3	5	2	1	12	1	8	5	4	3	2	0	0	1	2	2	11	1	1	2	2	0	8	3	1	2
C[Del(T):R(5,7)]A	1	4	6	3	0	1	9	3	4	5	5	0	4	3	5	17	4	2	9	2	1	0	2	7	13	1	6	0	0	1	21	13	9	9	5	7	5	0	2	1	1	2	1	2	3	4	16	5	618	2	4	5	1	5	5	5	5	2	6	2	27	1	7	1	3	0	5	4	15	7	16	2	14	4	3	0	1	6	20	1	0	9	5	4	4	9	0	8	6	4	5	4	3	3	4	1	2	16	7	0	2	6	3	14	5	0	2
C[Del(T):R(5,7)]C	2	2	3	3	1	1	4	0	2	3	3	1	3	8	4	4	2	3	2	4	2	3	2	1	2	1	5	0	2	0	8	5	8	0	1	2	5	1	3	2	1	5	2	0	2	5	14	3	477	0	3	6	0	1	3	4	1	3	0	4	11	3	3	0	7	1	2	5	10	1	4	1	11	2	6	0	7	6	8	0	1	1	4	1	2	5	1	1	5	1	5	1	1	1	0	0	1	5	4	7	2	0	3	4	1	1	1
C[Del(T):R(5,7)]G	1	1	1	1	0	2	1	0	2	1	1	2	1	8	0	5	2	4	4	2	0	2	2	1	1	2	4	1	0	0	6	4	13	3	1	2	2	0	1	0	1	3	1	1	4	4	5	6	566	0	4	2	0	0	3	3	2	0	0	0	8	0	1	1	7	2	4	2	7	3	4	1	7	0	4	0	1	3	5	0	0	3	2	1	2	6	1	1	2	1	4	1	2	1	3	0	1	10	0	1	2	2	0	4	2	1	3
G[Del(T):R(5,7)]A	6	7	4	4	0	2	2	3	3	4	3	1	3	7	7	5	5	4	5	5	0	1	1	5	6	1	8	1	1	0	14	8	15	4	5	3	3	2	1	3	4	3	0	2	2	8	11	3	363	1	5	5	1	2	3	5	3	1	2	1	17	2	4	0	4	2	5	5	9	4	10	3	11	3	3	0	3	4	12	4	0	5	6	2	2	3	4	5	3	2	8	4	1	1	5	0	2	12	4	8	1	3	1	11	9	4	2
G[Del(T):R(5,7)]C	1	1	0	2	0	0	4	0	4	1	4	2	4	4	3	5	2	3	2	3	1	1	0	1	2	0	2	1	0	1	1	3	6	2	3	3	2	1	0	4	1	5	1	0	5	1	3	3	284	0	1	4	0	1	0	6	1	0	3	1	4	1	2	0	6	2	4	2	3	2	4	1	6	5	3	0	2	2	4	2	0	2	2	0	2	11	1	8	1	1	2	2	1	2	1	1	1	2	0	3	0	1	1	3	3	0	1
G[Del(T):R(5,7)]G	1	1	0	1	1	4	3	2	4	2	1	2	1	12	1	5	1	5	6	3	1	4	1	0	2	0	1	1	3	1	7	11	5	1	1	3	1	0	0	5	1	0	0	1	3	4	9	2	347	0	1	5	2	1	2	4	4	1	0	2	9	1	1	2	5	1	4	0	3	3	7	2	7	2	0	0	1	3	4	2	1	2	2	4	3	3	3	1	1	2	2	5	0	1	3	4	2	6	0	0	1	2	0	2	1	4	2
A[Del(T):R(8,)]A	0	2	0	0	0	4	3	2	6	0	2	2	2	4	7	3	1	12	4	1	0	10	3	3	7	0	9	3	1	0	10	4	5	7	0	4	2	0	0	3	1	6	0	0	0	4	14	1	1462	0	7	6	1	5	6	16	0	4	1	0	8	0	3	0	5	1	2	3	26	3	2	4	8	3	4	0	1	1	9	2	1	1	4	3	5	16	0	2	1	4	0	3	0	5	0	1	2	4	5	3	1	4	0	4	4	1	3
A[Del(T):R(8,)]C	1	0	0	2	0	2	3	4	2	2	1	0	3	6	5	2	0	6	2	1	1	2	2	3	2	3	6	1	1	0	2	2	3	9	0	3	2	1	1	1	1	5	3	0	2	2	4	1	801	0	4	2	1	3	2	14	1	4	1	1	8	1	3	0	8	2	2	2	17	1	2	3	5	0	1	0	4	1	7	1	0	0	1	0	5	8	3	1	3	1	3	2	2	2	1	3	2	0	2	4	1	1	1	1	3	2	1
A[Del(T):R(8,)]G	1	1	1	1	0	1	0	1	1	2	0	0	1	1	2	1	0	6	1	0	0	2	1	0	3	0	5	2	0	0	0	2	0	3	0	1	0	1	1	1	0	1	0	0	2	2	6	3	860	0	2	2	0	0	1	2	0	2	0	0	3	0	1	0	1	5	2	0	13	1	1	2	1	1	1	0	0	1	1	0	1	0	1	1	1	4	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	2	1
C[Del(T):R(8,)]A	3	1	1	0	0	3	1	0	3	1	0	0	3	3	3	1	0	9	1	1	0	0	2	1	0	0	9	0	1	0	0	7	2	3	0	1	2	0	0	1	1	3	2	0	2	4	3	0	1205	2	4	2	0	0	1	8	0	0	0	0	4	0	2	0	4	4	1	0	8	4	2	1	3	1	2	0	1	1	0	0	0	1	1	0	1	5	0	2	0	2	3	0	1	1	0	0	0	1	1	4	2	3	1	1	2	1	2
C[Del(T):R(8,)]C	1	0	0	0	0	2	1	2	0	1	2	2	3	1	4	2	2	6	3	0	0	2	0	3	3	0	6	3	0	0	0	8	1	4	0	0	1	1	1	0	0	4	1	0	2	2	2	1	1094	1	1	5	0	3	3	10	0	3	0	1	6	2	1	0	7	3	0	1	14	1	2	0	9	0	2	0	0	0	1	0	0	0	7	4	3	5	0	0	1	2	3	1	1	0	0	1	1	4	0	3	1	1	1	0	3	3	1
C[Del(T):R(8,)]G	0	0	0	1	0	0	0	3	1	1	2	1	1	1	1	2	0	3	1	0	0	0	0	3	0	0	1	1	0	0	0	2	2	2	0	0	1	0	0	0	0	0	1	0	0	2	2	1	1524	0	3	1	2	1	3	5	1	0	0	0	2	0	1	0	4	0	0	0	7	0	0	2	3	0	0	0	2	1	0	0	0	0	3	1	3	5	1	0	1	2	1	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0
G[Del(T):R(8,)]A	2	2	0	2	1	1	0	1	2	0	0	0	2	2	2	1	2	4	0	0	0	2	0	2	3	0	3	2	1	0	2	4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	2	1	587	1	2	2	0	0	0	8	0	0	0	0	1	1	0	0	3	1	3	0	6	0	0	1	5	2	1	0	1	1	2	0	1	0	7	1	2	3	1	1	1	0	1	0	0	4	0	1	2	0	0	1	1	2	2	0	1	1	0
G[Del(T):R(8,)]C	0	0	1	0	0	1	1	1	0	1	0	0	2	1	1	1	0	1	1	0	0	2	1	2	2	1	1	0	0	0	0	4	2	2	0	1	1	0	2	0	0	0	0	1	0	1	1	0	428	0	1	3	0	0	1	2	0	1	0	1	1	0	0	1	8	3	0	1	5	0	0	0	2	0	2	0	1	0	0	2	0	1	2	1	1	3	0	1	2	0	1	1	0	1	0	0	2	1	1	0	2	0	0	0	1	0	0
G[Del(T):R(8,)]G	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	0	459	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	3	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0
A[Ins(C):R0]A	2	5	3	3	0	3	10	2	0	7	8	0	6	7	3	12	5	3	4	3	1	0	3	2	5	1	1	0	2	0	13	33	16	6	4	2	3	0	1	2	2	3	0	0	2	5	23	2	10	0	5	3	1	1	2	3	0	0	2	0	26	2	4	2	3	1	3	3	4	3	18	4	2	1	2	1	0	1	17	1	0	11	1	2	6	3	1	2	1	2	8	3	0	2	0	0	1	13	1	0	0	2	1	5	6	1	0
A[Ins(C):R0]T	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	3	1	0	0	0	0	2	1	2	0	0	0	3	3	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	1	0	2	1	0	0	0	0	1	0	0	1	1	1	2	1	0	1	0	0	1	0	0	2	0	1	0	2	2	0	0	0	1	0	0	0	1	2	0	1	0	1	0	0	0	0	1	0	0
Ins(C):R(0,3)	11	19	13	7	1	1	24	10	10	25	23	6	14	28	17	46	11	15	35	9	4	4	6	8	27	0	11	4	10	0	43	97	30	18	5	8	15	4	5	4	11	9	1	1	8	18	42	10	82	7	17	12	12	4	12	5	9	4	12	6	71	7	25	5	7	6	16	12	9	14	56	11	21	11	10	0	7	9	46	7	3	20	7	12	11	19	5	14	9	10	24	26	9	7	14	8	3	55	7	9	7	11	4	35	18	8	5
Ins(C):R(4,6)	3	4	1	1	0	6	7	9	5	6	2	2	2	15	4	19	5	9	7	10	1	8	3	3	3	1	1	6	3	0	2	3	23	5	2	1	2	2	3	1	3	5	1	1	3	3	15	2	225	1	6	7	14	2	6	4	5	1	2	9	9	3	7	20	11	3	4	3	4	1	9	2	3	4	10	0	5	0	3	2	3	8	7	4	5	11	6	3	9	1	19	6	4	7	3	17	2	15	3	4	4	5	8	2	4	1	5
Ins(C):R(7,)	1	4	0	0	4	5	3	14	2	5	5	3	1	1	9	10	1	2	2	8	1	2	4	6	4	0	1	2	4	0	1	7	7	5	2	1	1	4	0	0	1	8	1	0	7	2	10	1	182	1	1	6	4	2	4	7	1	2	0	4	3	2	3	3	4	5	2	1	2	2	3	1	5	3	5	0	2	2	0	2	4	3	6	1	2	21	1	1	5	7	4	5	4	7	2	10	4	1	0	6	1	0	2	2	0	2	3
A[Ins(T):R(0,4)]A	9	27	5	5	3	3	13	5	8	26	21	1	14	27	17	52	9	4	44	6	1	5	2	4	46	1	6	2	7	0	61	128	45	31	7	5	15	3	5	4	5	8	0	3	6	24	58	7	45	4	14	11	6	12	24	8	19	4	13	7	110	2	21	6	7	3	16	12	11	14	75	6	18	8	8	1	5	9	75	11	1	22	7	3	10	19	4	17	11	5	24	17	2	5	11	6	7	76	13	6	11	12	3	37	16	9	3
A[Ins(T):R(0,4)]C	2	9	3	3	0	1	6	2	2	9	4	0	8	8	5	14	3	2	11	4	0	2	2	3	9	1	3	1	1	0	26	29	16	5	3	3	4	1	2	0	1	2	0	2	1	4	22	1	36	0	7	8	2	4	5	2	5	1	7	3	26	1	8	3	2	0	3	4	8	8	17	0	6	1	2	0	5	2	11	2	0	5	0	2	2	8	2	4	3	4	8	9	0	0	2	2	2	15	5	3	2	4	1	11	4	0	0
A[Ins(T):R(0,4)]G	5	4	1	4	1	4	8	3	3	6	1	1	3	9	2	10	4	3	4	7	1	2	2	2	10	2	4	0	1	0	10	15	11	4	2	1	4	1	1	4	2	2	0	4	1	6	19	6	69	1	2	6	4	0	6	4	5	2	5	8	32	2	10	2	2	3	5	0	4	5	22	2	6	0	3	0	4	3	8	3	1	7	2	4	0	9	2	12	7	5	9	3	4	5	3	2	3	10	5	4	2	6	1	12	6	4	1
C[Ins(T):R(0,4)]A	5	7	5	3	0	4	3	3	3	7	6	1	3	5	11	16	2	6	8	3	2	0	2	2	9	2	1	0	5	1	13	19	10	10	0	0	7	3	1	1	2	2	1	2	1	5	17	6	28	1	4	2	4	3	0	4	3	0	3	4	15	3	6	2	2	2	4	5	2	4	15	3	8	3	2	0	3	5	10	4	2	5	4	3	3	4	2	4	1	3	8	5	3	2	6	3	1	11	2	3	3	2	2	9	2	2	2
C[Ins(T):R(0,4)]C	6	16	7	4	0	4	7	2	2	6	5	1	9	20	8	26	3	6	17	2	0	0	2	3	22	1	4	1	0	0	31	97	29	14	7	2	7	0	6	4	2	2	0	2	2	12	43	5	43	1	5	3	1	4	8	3	10	2	7	5	49	0	10	2	2	6	6	5	14	7	51	4	10	1	4	0	3	5	31	9	1	6	2	3	5	6	5	19	7	9	11	11	0	5	7	4	0	23	6	1	4	6	1	13	5	8	2
C[Ins(T):R(0,4)]G	4	6	2	3	0	2	1	4	1	4	1	0	2	3	6	5	2	2	7	1	3	2	2	5	3	1	3	0	0	0	11	12	15	4	0	0	1	1	2	1	7	4	1	0	3	1	10	4	62	2	0	3	3	3	6	3	3	2	2	3	13	3	5	4	3	0	6	2	4	6	7	1	5	1	3	0	4	1	4	3	1	4	1	2	4	7	2	8	9	3	5	2	1	3	3	4	2	10	5	1	5	5	1	8	4	0	3
G[Ins(T):R(0,4)]A	1	2	2	2	0	2	3	4	0	3	1	2	4	5	2	11	3	4	8	1	1	4	1	5	3	2	2	3	4	1	4	7	11	3	0	1	3	2	2	0	1	1	0	1	4	3	10	5	10	1	1	9	2	2	5	2	2	1	2	2	16	2	7	5	3	2	4	5	3	4	8	3	6	1	3	0	2	5	9	1	2	1	4	1	1	4	3	7	1	2	6	3	1	3	3	4	2	4	0	2	2	4	0	9	5	0	1
G[Ins(T):R(0,4)]C	1	6	2	3	0	4	2	0	1	4	4	1	2	3	4	5	0	0	3	1	0	0	2	0	9	0	3	0	2	0	8	15	3	4	6	0	0	0	0	1	2	0	0	1	2	5	6	1	13	0	4	4	5	2	4	0	1	2	2	4	12	2	5	1	1	0	0	2	3	4	8	1	2	2	1	0	1	1	8	0	2	3	1	0	0	6	0	4	2	3	5	3	0	1	3	0	1	5	1	5	0	1	2	4	1	2	0
G[Ins(T):R(0,4)]G	2	3	3	2	0	2	2	2	2	5	2	0	1	8	0	6	1	0	4	5	0	1	0	3	4	1	1	1	2	0	9	4	16	3	1	0	3	0	0	3	2	2	0	1	2	2	5	1	49	0	3	4	4	1	3	1	1	1	0	1	8	0	1	1	3	0	4	2	3	1	2	3	4	1	4	0	0	3	2	1	1	6	3	1	1	6	0	3	2	3	2	2	2	2	3	2	1	5	2	1	2	0	2	8	1	1	1
A[Ins(T):R(5,7)]A	7	8	2	12	1	9	5	23	4	13	11	5	5	15	10	22	2	10	9	12	2	10	3	18	6	0	7	5	10	2	9	16	27	7	5	1	1	5	4	3	3	21	3	3	13	4	22	10	337	1	9	26	11	5	8	11	3	6	4	10	23	2	11	4	15	13	11	9	16	11	11	8	7	6	14	0	7	2	8	5	4	12	15	9	4	43	3	7	8	7	6	16	2	7	4	18	7	18	6	4	6	3	6	7	2	4	11
A[Ins(T):R(5,7)]C	9	14	7	12	4	9	7	16	2	19	9	7	3	18	16	16	7	19	17	10	3	12	6	23	10	4	2	9	6	1	17	26	20	17	7	0	8	8	3	8	4	7	3	2	13	8	23	17	262	1	10	31	15	2	6	5	7	12	7	8	25	5	7	3	19	10	8	9	22	5	24	3	9	7	16	1	3	5	7	11	5	12	6	1	5	37	5	12	9	8	2	7	3	12	9	16	5	17	3	7	4	8	7	9	8	5	6
A[Ins(T):R(5,7)]G	6	18	4	10	4	4	5	15	6	12	11	2	12	21	20	26	6	11	15	8	1	15	3	17	9	1	2	3	7	2	12	10	23	13	2	2	7	4	4	6	5	12	2	4	11	5	26	8	361	0	6	21	13	8	10	7	4	8	6	19	17	8	6	6	15	11	6	6	17	6	9	5	10	4	14	2	3	3	12	5	2	8	10	6	3	36	4	7	8	10	2	6	2	16	4	28	6	16	8	3	8	7	2	8	4	5	8
C[Ins(T):R(5,7)]A	0	1	2	2	0	5	1	8	2	8	3	1	3	7	6	5	3	1	9	3	0	4	2	4	3	2	1	1	3	1	9	8	13	2	3	1	5	1	2	4	3	6	2	0	3	2	10	3	138	0	5	10	11	4	4	3	1	3	2	2	11	1	1	3	5	4	1	5	5	1	7	1	7	0	5	0	3	1	11	1	0	1	6	2	0	18	2	3	5	3	3	1	1	6	3	11	1	1	3	4	5	3	0	7	4	0	1
C[Ins(T):R(5,7)]C	1	6	6	6	0	2	5	13	1	3	3	1	4	14	8	5	6	4	12	3	1	7	2	7	4	0	3	1	3	0	8	4	16	4	3	3	5	5	8	2	2	6	1	1	3	8	9	6	162	0	3	3	6	2	4	5	6	4	1	6	18	3	2	3	9	3	2	5	9	9	7	1	3	3	6	0	2	3	6	1	2	7	3	2	1	21	2	9	5	3	1	4	2	4	3	11	2	8	3	5	1	4	1	10	10	1	3
