Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP111062	4:Ins:R:3	0.07741232806526444	0.8389133832849744	0.0017267763889389834	0.05645431216818732	0.02153577019786048	0.003957429894774607
SP111062	4:Ins:R:4	0.1867542211981984	0.6563064071067389	0.005384953760564813	0.08556716905173754	0.01473028440999322	0.05125696447276705
SP111062	4:Ins:R:5	0.3044367566428006	0.6177914506260713	0.004139984998114894	0.040988552321313154	0.018405535256535734	0.01423772015516422
SP111062	5:Ins:R:0	0.0003217839186002444	1.2324180498736819e-06	3.991483764393962e-05	0.9884302838099553	0.00524547718604314	0.005961307829707435
SP111062	5:Ins:R:1	0.03142469137158049	0.5792972046445454	0.005251970058784258	0.025442326514178343	0.3069003263743485	0.05168348103656293
SP111062	5:Ins:R:2	0.20188835551814674	0.5586478795756357	0.0037835933679957467	0.09932629677614506	0.06435935446599013	0.07199452029608688
SP111062	5:Ins:R:3	0.23719009872333854	0.3581735161026049	0.002362609287307057	0.12115136219797774	0.2238880838085765	0.05723432988019523
SP111062	5:Ins:R:4	0.08548892979819984	0.8046608195939279	0.008124026785492027	0.08138880302992864	0.010190418260220272	0.010147002532231131
SP111062	5:Ins:R:5	0.09169473346809229	0.7728943392066816	0.0031325198766444053	0.020726949344380213	0.07359704521876724	0.03795441288543439
SP111062	2:Del:M:1	0.15552054024150716	0.26271747057649814	0.0014959673921027573	0.024911648867900777	0.5269626585799977	0.028391714341993633
SP111062	3:Del:M:1	0.07928826477020111	0.08236562631520633	0.00041371978247408645	0.03802704436588372	0.657576294868525	0.14232904989770975
SP111062	3:Del:M:2	0.16466920116696745	0.28676408458640346	0.0013221783342605947	0.013244806840480858	0.49679208420574494	0.03720764486614262
SP111062	4:Del:M:1	0.15863377650942823	0.08357184043468159	0.0010391168170982858	0.06444313440294863	0.4970373813853109	0.1952747504505325
SP111062	4:Del:M:2	0.08630294910863687	0.22132932853512216	0.0008325992585377318	0.014769566243630784	0.5634884200335821	0.11327713682049023
SP111062	4:Del:M:3	0.19150599587903372	0.16901804306222404	0.0014053304426270969	0.0269905788258799	0.5335953707487853	0.07748468104145009
SP111062	5:Del:M:1	0.027352724709486586	0.06404818840496776	0.0024856462595294862	0.0776517252188687	0.36721116389733754	0.46125055150981004
SP111062	5:Del:M:2	0.018144407651877265	0.05171991227877176	0.0012837919791318414	0.03082965892335543	0.18908873054914052	0.7089334986177231
SP111062	5:Del:M:3	0.025356410774257692	0.030286950038409952	0.0013905182226016616	0.02891073906335763	0.14706343269447164	0.7669919492069014
SP111062	5:Del:M:4	0.0698053977835469	0.08808125499634575	4.562463369292475e-05	0.012918126258315083	0.15265451046393627	0.6764950858641631
SP111062	5:Del:M:5	0.061238692117917916	0.28881611031996873	0.002467713668853693	0.06641935575771953	0.05247592247011102	0.5285822056654291
SP111006	1:Del:C:0	0.030269799186713336	0.06310503371965803	0.2986864942563641	0.04404227704420157	0.46971424861379635	0.09418214717926668
SP111006	1:Del:C:1	0.011398948123481115	0.03259929791668848	0.21625695463069822	0.03262560289610722	0.6274246802417387	0.07969451619128624
SP111006	1:Del:C:2	0.01721851105835033	0.011793762628679386	0.02526622184552289	0.046623316188934935	0.8319921537599735	0.06710603451853897
SP111006	1:Del:C:3	0.06658215977522546	0.10622090747935768	0.4285321810198413	0.012472794063010731	0.35292931397406146	0.03326264368850327
SP111006	1:Del:C:4	0.1737228395954126	0.07447828050062649	0.40309376127782	0.0013045475611615928	0.30561983848866925	0.041780732576310084
SP111006	1:Del:C:5	0.372707476136461	0.024766894384552006	0.4192977944694057	0.025576200334441735	0.12104050500361588	0.03661112967152382
SP111006	1:Del:T:0	0.016332402914417083	0.05344296995078591	0.7195305537669118	0.013080230497802879	0.1617636979965527	0.03585014487352973
SP111006	1:Del:T:1	0.033841312574174935	0.017489737228324462	0.7947305346080047	0.00703144952535062	0.12579854216493763	0.021108423899207637
SP111006	1:Del:T:2	0.04470373494780157	0.09441492159981972	0.6006101501955226	0.01063277982681099	0.19219784249007713	0.05744057093996806
SP111006	1:Del:T:3	0.07760573430206906	0.06260770471972889	0.6504843808665114	0.0013695122329380233	0.16347586083225393	0.04445680704649862
SP111006	1:Del:T:4	0.15524812210416114	0.0566977053908111	0.640697340438882	0.0	0.10302588782349406	0.04433094424265173
SP111006	1:Del:T:5	0.36473873061803674	0.025733488926715294	0.5724980057179814	0.004287956127646368	0.0037039484388533303	0.029037870170767015
SP111006	1:Ins:C:0	0.00041698624545030667	0.0003041276685204992	0.996718115610592	0.0021302198643195374	9.830528073294419e-05	0.00033224533038476425
SP111006	1:Ins:C:1	0.006774708761193919	0.1091272588710087	0.7981028801641228	0.02164216236659278	0.05557287575575775	0.008780114081324106
SP111006	1:Ins:C:2	0.030158689054619818	0.13616086785806947	0.4872020213376155	0.02568332106853826	0.2818961024796138	0.03889899820154315
SP111006	1:Ins:C:3	0.04562816508740874	0.40811416042341636	0.32181354357039665	0.038847473052300525	0.17991037604561955	0.005686281820858312
