Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
WIDE01010270T	10	22	16	59	126	42	36	21	48	161	121	106	41	21	44	83	8	16
CPCT02060221T	24	86	17	18	43	3	105	27	18	37	1	90	21	25	10	9	0	7
WIDE01010288T	51	158	0	6	16	7	16	23	0	24	17	85	23	52	15	9	15	11
CPCT02270030T	20	36	5	14	39	0	91	35	20	23	6	46	54	22	12	14	20	6
CPCT02310011T	25	170	5	57	56	24	92	62	0	74	41	2	35	32	29	14	18	13
WIDE01010311T	58	154	0	47	222	60	44	69	85	185	45	2	51	21	46	80	4	18
CPCT02120001T	57	56	18	26	27	15	73	0	39	26	105	83	49	56	47	22	15	9
WIDE01010322T	23	136	10	20	12	2	12	32	6	36	12	24	50	30	24	0	34	12
CPCT02290035T	185	127	8	478	610	135	174	50	106	27	75	50	6	0	29	29	8	57
WIDE01010326T	0	99	11	9	25	6	17	18	21	37	18	0	45	16	17	20	23	19
CPCT02270028T	159	85	27	55	73	13	66	82	1	88	30	73	53	67	39	38	0	14
CPCT02030478T	137	131	16	11	12	15	55	101	0	63	21	0	19	24	22	22	13	23
WIDE01010308T	47	52	8	37	76	22	32	54	26	2	32	0	40	61	26	16	19	17
WIDE01010268T	21	94	17	26	48	20	24	47	0	41	28	15	23	14	17	12	17	6
CPCT02060214T	8	78	98	19	52	80	85	0	0	45	180	78	34	0	24	663	30	38
WIDE01010335T	107	90	0	76	167	19	27	73	30	82	32	117	34	27	48	26	7	13
CPCT02360017T	4	52	21	10	43	12	107	36	0	9	12	10	30	25	14	7	23	10
WIDE01010303T	30	122	3	44	36	14	32	44	0	29	25	80	50	39	22	33	42	33
CPCT02220044T	25	72	14	14	19	14	40	68	0	41	62	47	46	36	16	51	15	2
CPCT02120047TII	119	259	12	16	37	53	157	10	38	2	39	128	55	16	21	5	14	10
WIDE01010339T	95	141	26	15	0	18	29	54	5	3	20	20	30	30	3	8	22	14
WIDE01010352T	127	124	64	93	337	113	73	295	238	173	105	193	37	46	76	102	0	30
WIDE01010346T	18	12	12	29	1	14	46	65	56	42	13	55	44	20	31	15	33	5
CPCT02010824T	70	47	12	27	3	3	49	81	34	35	39	22	1	36	16	13	10	7
WIDE01010341T	229	166	41	361	465	0	43	110	101	27	37	0	34	6	38	26	2	59
WIDE01010332T	77	99	2	32	98	69	23	102	40	138	44	57	49	14	47	43	18	16
