MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
5:Ins:R:4	2.89E-05	2.46E-05	6.09E-05	4.56E-05	6.56E-05	3.38E-05	8.68E-05	2.37E-05	3.85E-05	4.78E-05	5.79E-05	8.14E-06	8.14E-05	1.50E-09
5:Ins:R:5	9.72E-06	1.83E-05	5.54E-05	7.88E-05	5.70E-05	1.81E-05	7.34E-05	4.33E-05	4.61E-05	5.23E-06	6.91E-05	2.01E-05	2.45E-05	9.32E-10
2:Del:M:1	4.59E-04	1.91E-04	9.65E-04	1.43E-03	1.12E-03	1.66E-04	9.95E-04	4.79E-04	1.97E-03	3.14E-04	1.29E-03	2.20E-04	1.20E-03	2.60E-04
3:Del:M:1	7.64E-05	5.16E-05	1.68E-04	3.15E-04	2.38E-04	3.38E-05	5.29E-04	1.94E-04	6.18E-04	2.08E-04	4.50E-04	1.89E-04	9.64E-04	7.35E-05
3:Del:M:2	3.62E-04	1.47E-04	7.62E-04	1.33E-03	8.71E-04	1.03E-04	1.25E-03	3.08E-04	1.67E-03	2.09E-04	1.13E-03	2.21E-04	9.06E-04	1.07E-04
4:Del:M:1	1.18E-04	2.97E-05	2.11E-04	3.42E-04	2.90E-04	4.25E-05	3.88E-04	1.30E-04	6.03E-04	3.13E-04	4.01E-04	1.99E-04	8.72E-04	1.86E-05
4:Del:M:2	6.84E-05	7.59E-05	3.99E-04	6.38E-04	4.65E-04	4.00E-05	5.13E-04	2.71E-04	9.67E-04	1.16E-04	6.20E-04	2.43E-04	6.63E-04	1.40E-04
4:Del:M:3	3.48E-04	9.52E-05	6.99E-04	1.09E-03	9.20E-04	8.85E-05	7.14E-04	2.72E-04	1.74E-03	3.84E-04	1.00E-03	2.28E-04	7.78E-04	8.66E-05
5:Del:M:1	1.95E-04	1.80E-04	6.57E-04	9.20E-04	7.94E-04	3.81E-04	2.42E-03	3.44E-04	2.14E-03	1.54E-03	1.98E-03	1.04E-03	3.13E-03	3.75E-04
5:Del:M:2	2.09E-04	1.11E-04	6.70E-04	6.27E-04	5.62E-04	3.16E-04	1.18E-03	4.73E-04	1.16E-03	6.95E-04	9.11E-04	1.52E-03	2.25E-03	4.29E-04
5:Del:M:3	2.07E-04	8.37E-05	4.50E-04	3.60E-04	3.43E-04	2.21E-04	5.48E-04	3.66E-04	6.94E-04	4.78E-04	8.12E-04	1.26E-03	1.02E-03	3.55E-04
5:Del:M:4	1.56E-04	6.59E-05	3.15E-04	3.41E-04	2.67E-04	3.10E-06	4.19E-04	2.83E-04	4.05E-04	1.59E-04	6.85E-04	7.82E-04	6.18E-04	2.07E-04
5:Del:M:5	4.66E-04	2.42E-04	7.23E-04	9.38E-04	9.05E-04	2.35E-04	7.54E-04	1.84E-04	9.85E-04	7.46E-04	1.87E-03	7.25E-04	4.78E-04	1.40E-04
