Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02190044T	8.13E-01	1.84E+00	4.93E-01	4.13E+00	5.03E+00	5.17E+00	3.38E+00	1.40E+00
CPCT02130131T	1.82E+00	2.55E-01	2.37E+00	2.84E+00	6.00E+00	5.41E+00	2.80E+00	9.79E-01
CPCT02220054T	3.13E+00	2.87E+00	3.77E+00	3.28E+00	8.68E+00	7.82E+00	2.50E+00	1.58E+00
CPCT02330075T	7.56E+00	2.99E+00	1.44E+01	1.01E+01	1.71E+01	6.66E+00	3.17E+00	1.44E+00
CPCT02130134T	1.35E+00	2.12E+00	3.68E+00	4.10E+00	4.84E+00	3.72E+00	3.81E+00	1.62E+00
CPCT02130148T	2.06E+00	2.35E+00	3.36E+00	3.61E+00	8.43E+00	7.72E+00	2.03E+00	1.26E+00
CPCT02070381T	1.15E-01	1.33E+00	1.55E+00	2.12E+00	2.68E+00	2.31E+00	2.62E+00	8.82E-01
DRUP01070053T	2.62E+00	2.02E+00	2.64E+00	2.75E+00	4.89E+00	4.14E+00	3.26E+00	7.09E-01
DRUP01060025T	4.40E+00	6.18E+00	4.86E+00	3.76E+00	4.79E+00	3.92E+00	5.61E+00	8.46E+00
DRUP01100007T	4.74E+00	1.70E+00	7.57E+00	4.55E+00	1.01E+01	4.97E+00	2.74E+00	1.34E+00
CPCT02380019T	1.21E+00	2.24E+00	2.77E+00	4.92E+00	6.03E+00	6.34E+00	5.14E+00	2.10E+00
CPCT02020598T	9.57E-01	1.73E+00	1.75E+00	2.86E+00	3.60E+00	2.90E+00	3.09E+00	1.25E+00
DRUP01070059T	3.55E-01	8.66E-01	1.98E+00	4.06E+00	5.72E+00	4.00E+00	4.22E+00	9.99E-01
CPCT02080152T	2.24E+02	4.32E+01	8.09E+01	8.72E+01	2.69E+02	4.75E+00	5.49E+00	1.81E+00
CPCT02070406T	1.10E+00	2.09E+00	8.35E-01	5.88E+00	1.05E+01	6.10E+00	7.92E+00	1.13E+00
CPCT02450002T	9.15E+00	1.21E+00	1.27E+01	9.08E+00	1.68E+01	5.29E+00	3.55E+00	1.53E+00
DRUP01070024T	1.12E+00	1.63E+00	2.90E+00	5.41E+00	6.67E+00	5.73E+00	2.76E+00	1.61E+00
DRUP01060027T	1.50E+00	2.73E+00	1.69E+00	2.99E+00	4.91E+00	4.66E+00	2.42E+00	3.13E+00
CPCT02030381T	7.52E-01	1.99E+00	2.92E+00	6.91E+00	7.70E+00	6.21E+00	3.25E+00	3.05E+00
DRUP01220005T	4.17E+00	3.33E+00	7.04E+00	1.03E+01	2.24E+01	8.56E+00	1.59E+01	1.62E+00
CPCT02370010T	4.77E+00	6.77E+00	5.43E+00	3.97E+00	4.92E+00	3.01E+00	5.69E+00	7.52E+00
CPCT02020623T	6.40E+00	2.43E+00	8.41E+00	5.82E+00	1.16E+01	5.14E+00	2.48E+00	1.28E+00
CPCT02290023T	4.19E+00	2.11E+00	1.04E+01	1.12E+01	1.31E+01	8.27E+00	3.18E+00	2.40E+00
DRUP01010022T	5.81E+02	1.35E+02	1.42E+02	1.90E+02	6.83E+02	9.70E+00	6.88E+00	1.79E+00
CPCT02070159T	1.06E+00	1.30E+00	3.16E+00	4.20E+00	4.59E+00	4.12E+00	3.32E+00	1.43E+00
CPCT02030354T	1.47E+00	1.82E+00	1.55E+00	1.58E+00	2.86E+00	2.63E+00	1.46E+00	9.86E-01
CPCT02020565T	1.48E+00	1.61E+00	2.09E+00	1.86E+00	3.18E+00	3.10E+00	2.00E+00	1.16E+00
CPCT02060114T	1.03E+00	1.79E+00	1.56E+00	9.06E+00	1.09E+01	8.93E+00	3.15E+00	3.57E+00
CPCT02060118T	1.83E+00	2.04E+00	2.18E+00	2.58E+00	3.35E+00	3.11E+00	3.06E+00	1.66E+00
CPCT02220002T	1.29E+00	1.39E+00	1.90E+00	2.27E+00	3.33E+00	2.66E+00	1.73E+00	1.06E+00
DRUP01030002T	1.64E+00	2.03E+00	4.65E+00	4.30E+00	5.46E+00	3.98E+00	2.93E+00	1.44E+00
CPCT02070060T	4.00E+00	3.00E+00	4.06E+00	9.28E+00	1.10E+01	8.97E+00	3.31E+00	3.75E+00
CPCT02030320T	4.46E+00	1.09E+00	1.02E+01	6.51E+00	1.31E+01	5.16E+00	2.35E+00	1.08E+00
CPCT02060035T	3.26E+00	1.19E+00	5.70E+00	3.81E+00	6.79E+00	2.55E+00	1.87E+00	9.55E-01
CPCT02070110T	1.38E+00	1.94E+00	1.97E+00	4.61E+00	6.09E+00	5.66E+00	2.08E+00	1.58E+00
CPCT02020492T	1.58E+00	1.29E+00	2.09E+00	7.23E+00	8.13E+00	7.66E+00	2.98E+00	2.47E+00
CPCT02030327T	2.71E+00	2.07E+00	3.93E+00	3.32E+00	4.89E+00	3.09E+00	1.11E+00	9.17E-01
CPCT02020503T	3.51E+00	2.81E+00	3.21E+00	1.64E+01	1.86E+01	1.69E+01	2.81E+00	5.63E+00
CPCT02380029T	9.05E+02	2.04E+02	4.05E+01	3.79E+02	1.12E+03	4.28E+01	1.76E+01	3.99E+00
CPCT02020636T	1.95E+00	2.66E+00	3.43E+00	1.38E+01	1.64E+01	1.44E+01	4.25E+00	4.45E+00
CPCT02130013T	2.98E+00	3.06E+00	4.04E+00	2.46E+01	2.70E+01	2.47E+01	6.88E+00	6.61E+00
DRUP01110002T	7.91E+02	1.86E+02	4.52E+02	3.71E+02	9.63E+02	3.54E+01	2.74E+01	4.04E+00
WIDE01010639T	3.23E+00	6.77E-01	4.46E+00	3.19E+00	5.52E+00	2.58E+00	1.74E+00	7.45E-01
DRUP01010167T	4.56E+02	1.16E+02	1.29E+02	1.86E+02	5.30E+02	6.06E+00	8.97E+00	2.01E+00
WIDE01010570T	5.21E+00	3.25E+00	5.89E+00	6.48E+00	9.10E+00	7.09E+00	4.36E+00	1.43E+00
