MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:T:4	0.0430008384026587	0.0018015197372369585	0.021717339747410733	0.07988386450801045	0.016251889535342342	0.01630087372905109	0.0069611855875700715	0.045996647899737585	0.0004229608620516956	0.01173418249381939	0.07517794508952648	0.04966236091175119	0.01933178661204238	0.01723016965785064	0.02765191958867945	0.021519582211546436	0.02816008790687192	0.012082369026097694	0.03339242884889245
1:Del:T:5	0.7937060880661011	0.11038853513993672	0.7119797168672085	0.07666201106513264	0.0167621850876926	0.22827545423060655	0.1586628086218843	0.07005813662370201	0.01762484186257675	0.005313331858553849	0.08146006799263333	0.015021203983435507	0.009478437765101261	0.013616089500192174	0.008283416540798498	0.0051557721018082306	0.39648207478225234	0.015277288071812105	0.4329219084233046
1:Ins:C:0	0.0009005424019420616	0.0007009286052141306	0.0010262421979980018	0.0005913250144612903	0.0008322790729701524	0.0034218114178491987	0.4789195656776428	0.0004349662735427273	0.0014794490792644766	0.0043112242862447655	0.001974200403369082	0.00160345495206343	0.0014004720039798712	2.3256310246893008e-05	0.00037430220353115826	0.0019300021926204635	0.004311197657444552	0.00033016354805170066	0.002339688464765004
1:Ins:C:1	0.000554721662774682	0.001825948371551931	0.0009093515621134429	0.0007883221367592341	0.0007650218711933121	0.002321011813910445	0.017704706294462084	0.0010296549309350667	0.007386572340546991	0.0006246782074595103	0.004969144420911107	0.007829558087978512	0.003216619751183316	0.004122438318372588	0.005698932411614805	0.0051574398156185456	0.002277654560166411	0.012540440220036544	0.0029471465145070397
1:Ins:C:2	0.0003730014203756582	0.0010258830105885864	0.00022425173330702818	0.0008980494176194043	0.00048811779226525686	0.0012912426401453557	0.0028962820033484604	0.0027138664641825016	0.00019852880970574915	0.00037816458685455243	0.004847575676939187	0.002749070814415404	0.0033312944465433247	0.0018358702741690536	0.002063247079235708	0.010642369641074083	0.0009464838721760316	0.0018760841141312312	0.0019280693889550094
1:Ins:C:3	0.0006106499492716466	0.0017371549387462438	0.0003670636747483513	0.0021648897353952635	0.0010113822541461558	0.0016179220529738813	0.0011278709063481075	0.001394399515411351	0.0030876449440103214	0.0	0.0036293262432445773	0.002524708721662137	0.0022447358322824585	0.0023731391225010156	0.0016487842911848815	0.004232830700944703	0.0011191992431560038	0.0038559772365647405	0.0014951789234231682
1:Ins:C:4	0.001474608173224965	0.10257830552756786	0.0009000623867177637	0.011815491763554746	0.0004169771005513212	0.0008956553837845149	0.0007444424342247657	0.0008014093428715796	0.0008039642963728966	7.141249144297034e-05	0.0014693693267906838	0.0010227191658163548	0.0016172327614020787	0.0015619100143302945	0.0018861948944095275	0.0029854110758975594	0.0025376516505446036	0.0014577025971118473	0.0015081318638249285
1:Ins:C:5	0.008398193382490718	0.10345290068536997	0.008326030542775698	0.04361419041641056	0.025555094161536545	0.021043422617949545	0.000849236017675139	0.009918185470160096	0.004611528613750125	0.0012369274263983243	0.014463514567996754	0.006641854036133737	0.022191526869719383	0.008397068176709582	0.0018830342078581452	0.012924510820175783	0.01417034816229716	0.008519363806076399	0.01036114020156674
1:Ins:T:0	0.0007475616373994853	0.0023661139293108136	0.0019375451146720478	0.0008420662114804145	0.004727347292791819	0.005787739518564194	0.02264126743655652	0.0027115639734256545	0.03110938336700201	0.0034952345676720143	0.00927990505937487	0.006790986637934111	0.006322774215805111	0.003514498187423669	0.013955227261758409	0.005562942819960881	0.007038630611932603	0.020034796696854755	0.006592849745538842
1:Ins:T:1	0.0006126246124404134	0.0018838100309949367	0.0017223990936381028	0.0032742138729190628	0.0039013342238531836	0.00407955506363578	0.010234048648562748	0.00804712566517992	0.005322747492666622	0.0016564955898502377	0.009384615181625122	0.011161402219515964	0.013307731096865609	0.012950665469979868	0.011514006173238158	0.017961166019499614	0.004704586520747398	0.17880159182474017	0.009395471581956371
1:Ins:T:2	0.0014569571028187056	0.002654396032448858	0.0025323350599501283	0.008609126822120743	0.002013846564805135	0.0036534941007266755	0.0030482648067118134	0.004637604302843101	0.0038955139887355016	0.0012325760474050185	0.007291409675162868	0.006561018354033194	0.0038310180528787897	0.008647096696566053	0.007459185608445296	0.00403147483302746	0.005788641241088044	0.10575534647330642	0.006528228168608621
1:Ins:T:3	0.0012142258475614654	0.001738134289626032	0.001974681187148235	0.008269457435235382	0.004007979799644091	0.0037958368787076326	0.0026578555651940406	0.0057961345393414375	0.002684254756895825	0.000633516214111296	0.00789324798563939	0.004365936462029296	0.009001380571717163	0.013443731752877284	0.01592926686818828	0.008190231811022386	0.0045348079413815865	0.044849529188359154	0.007092622880236377
1:Ins:T:4	0.0013779205965693108	0.045794020118191836	0.0011525215845540515	0.015279749645851553	0.018621752998733428	0.005373784879666345	0.002044351770018693	0.01201353115029633	0.00047544519752818815	0.0019091688640764915	0.010538216902641579	0.0030097193484309058	0.013707297130022198	0.007009867495798972	0.0046399130247300495	0.0042486723605543375	0.005469342099968344	0.013360099032622657	0.002723557468561921
1:Ins:T:5	0.018508180670074252	0.4119327560067177	0.1164088565018028	0.1816088326555655	0.7491886962950229	0.4341542783379555	0.10035767962224781	0.44541134089231493	0.18977521035292738	0.009120475855888798	0.06261672161184834	0.034335517785802946	0.4323644958436489	0.20146187070757152	0.02058108923026788	0.027294793133914936	0.23695254229009152	0.04282844029832631	0.03776440755710035
2:Del:R:0	0.0023509660476520367	0.0005556764670473057	0.0032324914212222213	0.002178634920564946	0.002076805399847217	0.006529977102181874	0.003138368487416301	0.011610637639097376	0.002994589713507594	0.002699166124104977	0.0168187824904453	0.006082947643008083	0.008324043888715096	0.020703459388460032	0.045667924071312885	0.024468100800877437	0.0068858506421383935	0.023780691300853505	0.009991022284666543
2:Del:R:1	0.003898984216682493	0.0001831514029890968	0.005470115698408336	0.009724252277956112	0.0032997991623415148	0.01048688223818317	0.004242649645093479	0.020073281821678394	0.0016940493824404257	0.003927163030020893	0.027966608639690093	0.02122593402178609	0.022268266442697495	0.02142949919216335	0.022260688761180064	0.08084392297198065	0.01254991305598196	0.0463763229525648	0.016917496779642535
2:Del:R:2	0.0018153861414793937	0.00013106832004268652	0.0019858863509216464	0.007687138541950844	0.0011243094597011805	0.003800486090913182	0.00031025653675897046	0.007138436071982141	0.0004545805513043888	0.0016077505219800514	0.010194321192102507	0.005343716710585795	0.006665602274151752	0.008936969351489098	0.007444557338106108	0.02499430819763802	0.004474680408166023	0.010673141074671549	0.006684559222994721
2:Del:R:3	0.013803572872648716	0.0002677587973548157	0.004711543377687657	0.027252522882076278	0.0002586370811488337	7.031510001979768e-05	6.736403045124462e-05	0.00017207478680120403	0.00014683246859007682	0.00036775703320607534	0.02491979087599887	0.00018893952705766992	0.0014660815790415427	0.0007484739185170497	0.0005665051026163326	0.0005363774747437588	0.002169595695263524	0.0016036027847468404	0.024376498492079436
2:Del:R:4	0.0034139008569400177	0.00046037769076065163	0.0015914243037843789	0.018469223517458885	0.0002354348689550534	0.0006320788293680834	9.05649740161607e-06	0.0016150022579741118	0.0013726466745711719	0.00026257943503942726	0.013885654923410868	0.0003429932300397098	0.0011979318210069323	0.00034552175708881807	0.0007734317989338991	0.0013062735162867511	0.0015607621714323727	0.00027565292234008607	0.008413703426331267
2:Del:R:5	0.009057317890233207	0.00011132154666881888	0.004694025707417921	0.019050048599215757	0.0023894328298047184	0.0009289252796128266	0.0011178712897992682	0.009497415284143359	0.0003075497865420118	0.0003196620200284883	0.07021984947026066	0.00015538170203718949	0.0034380952495106955	0.0009471004642894342	0.0006966323613809066	0.0013011817439051753	0.002529999422407343	0.0003962610028450797	0.03622302654227383
3:Del:R:0	0.00047874722571577877	0.00011687330118093087	0.0010237582827539882	0.0011031990518677048	0.0012688988307490946	0.0010627780597133097	0.0010944835482881341	0.0036627364487503656	0.0013758448477648245	0.001527771967878948	0.0073422452935483305	0.004065288097813493	0.005284751612125546	0.008888463434996084	0.009241905082308221	0.006304055312648415	0.0016566825393238105	0.002997332764807652	0.003432938524783822
3:Del:R:1	0.0028507411080499877	0.00010063697583973408	0.004569753695268446	0.010577727776981192	0.005486416953426669	0.011729404493235052	0.0020836946780764267	0.022188727350439877	0.006146038493254196	0.005277769062668085	0.020816237366670976	0.018456098622409628	0.026481086899002547	0.02436621445347555	0.009381633375865022	0.07888019854552113	0.014229166456207167	0.015217067107165007	0.014856683563803017
3:Del:R:2	0.0013640756315783165	2.0385593495575448e-05	0.0015885332888956338	0.003862604959140299	0.002496687566235778	0.002880610518374169	0.0007049975992487134	0.006385872934188228	0.00134220972773619	0.0006618131162395003	0.00445452701652755	0.0024914022345268448	0.006288998279342195	0.008960775095280553	0.007101686899841297	0.012208977949759543	0.0038752211410246675	0.003936662698960305	0.0038907209594748336
3:Del:R:3	0.0006015477591566309	5.884640480076086e-06	0.0007731590168395996	0.001104912531386617	0.00047747384378453716	0.0009856394332746277	9.367012009533937e-05	0.0014174885262036696	0.0005799262830051078	0.00016730886700244696	0.0010832730809224244	0.000475681922536495	0.0015298800852360727	0.002391704824549521	0.002842025809776629	0.0018773222418917612	0.0020869231185133685	0.0017482695252934554	0.0020003813512653322
3:Del:R:4	0.000353927694725833	1.3264281337086459e-05	6.805258158237848e-05	0.001350795448034887	0.0003434063810345833	0.0003711048240558057	0.0	0.0018150013501372086	5.903422239939005e-10	0.00011438528023994366	0.002821673079753495	0.0018779797551096778	0.0011507533199619502	0.00205818362486184	0.0007035532900037467	0.002243820588888852	0.0003360445763973985	0.001982186890092663	0.0007547544522266492
3:Del:R:5	0.0004062871772153187	3.075026743822207e-05	0.0003696562054756214	0.0014140724653790926	0.0006165165609884582	0.0004262914376158733	0.0001234509346249979	0.0014329280293109293	3.51693111997875e-05	0.00019002995538315305	0.004033074751612134	0.00026160491017741095	0.0008396068085858132	0.0006112975057823177	0.00021557535725531983	0.0015816903696652673	0.0003915936304792922	0.0002306699522815592	0.0017195415497167233
4:Del:R:0	0.00036760028822754973	9.564412800045829e-05	0.0004266877577174455	0.0006513340675155632	0.001019023492153792	0.001621680847601965	0.0023107334846281446	0.0036599492881214247	0.0053213628825108114	0.002493561782175675	0.0059599532837324885	0.0009886948317415546	0.005100555148383137	0.006818815051810816	0.0048041342734359204	0.00623264384898448	0.0017448012542627112	0.0016674410716117905	0.001697419192714733
