Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP112779	3	19	139	9	167	48	2	12	12	10	1
SP112975	15	8	130	15	77	47	2	15	24	10	21
SP112867	3	0	25	14	79	54	2	18	8	11	46
SP112903	11	0	70	1	0	68	0	3	27	9	56
SP112933	11	1	40	8	41	24	0	7	4	1	18
SP112869	8	16	107	8	101	45	0	10	13	32	34
SP112999	0	3	3	5	16	19	1	1	12	1	20
SP112939	6	0	50	7	38	33	0	0	23	0	15
SP112921	11	3	12	14	15	64	0	8	10	6	37
SP112901	0	40	23	8	31	53	4	17	13	0	20
SP112831	0	3	39	0	46	51	0	7	23	0	39
SP112891	5	23	48	6	68	41	2	21	21	0	16
SP112775	20	0	87	14	110	81	4	4	53	1	0
SP112897	8	6	76	1	45	59	0	37	58	0	36
SP112885	13	0	59	7	48	15	0	11	15	9	29
SP112789	19	0	88	217	51	108	8	9	115	0	1
SP102630	31	56	41	24	124	94	0	26	40	0	11
SP112971	36	0	56	18	85	39	0	93	4	0	9
SP112821	4	0	112	2	34	19	3	2	17	0	15
SP112813	0	0	4	2	41	25	0	0	5	1	27
SP112961	39	31	106	121	89	31	8	52	9	4	34
SP112977	23	0	31	8	39	45	0	4	25	20	26
SP112905	24	0	87	4	56	56	6	2	22	5	27
SP102647	12	3	112	19	95	92	0	31	29	2	16
SP112873	13	3	84	11	57	19	0	23	45	1	34
SP112959	0	0	1	1	0	0	1	0	0	0	45
SP112931	7	0	34	9	58	34	0	14	24	4	23
SP112865	10	32	56	8	37	23	0	17	37	0	43
SP113003	10	10	15	3	56	69	2	9	3	0	4
SP113001	24	0	93	15	52	25	0	7	12	4	35
SP112879	7	0	29	16	45	50	2	0	25	1	36
SP112945	14	0	64	12	87	84	2	39	21	4	14
SP112935	13	15	100	12	18	66	0	6	17	10	4
SP112863	8	0	211	2	52	69	3	21	23	8	31
SP112983	27	0	115	25	65	92	3	15	39	35	35
SP112809	33	7	160	17	150	31	0	10	41	4	10
SP112923	16	4	83	13	39	29	0	32	28	9	41
SP112853	16	3	58	4	35	50	1	0	24	8	34
SP113005	4	0	9	11	23	9	2	2	8	0	29
SP112957	3	0	53	0	64	61	0	17	17	10	38
SP112783	37	0	86	10	69	33	3	32	16	5	0
SP112943	7	0	26	5	32	27	1	26	20	5	6
SP112861	1	12	0	0	55	21	1	40	10	14	69
SP112917	37	2	48	4	111	22	2	9	4	1	18
SP112787	10	0	88	16	127	55	0	4	22	12	39
SP112995	22	0	66	4	53	55	2	18	26	4	73
SP112811	21	10	70	14	87	34	0	7	34	0	14
SP112797	26	3	160	10	61	54	2	37	23	6	0
SP112909	21	6	64	9	92	26	2	22	10	12	33
SP112781	21	0	48	4	79	41	3	15	23	0	28
SP112991	23	34	146	3	114	86	0	51	28	3	10
SP112907	2	0	1202	7	72	93	5	0	34	0	26
SP112817	269	0	0	2	528	21	0	214	0	0	61
SP112993	12	1	65	18	73	44	0	26	29	6	22
SP112827	16	0	71	12	41	47	0	31	8	2	10
SP112855	14	0	15	8	61	38	0	1	5	10	29
SP112969	11	0	16	7	49	72	2	11	1	0	65
SP112883	10	0	78	8	15	29	6	14	16	1	48
SP112929	23	0	119	10	83	49	0	33	53	4	5
SP112833	5	14	12	7	36	21	0	8	19	3	21
SP112777	276	0	0	0	33	37	0	0	89	123	44
SP112887	9	0	24	8	64	91	0	2	7	10	30
SP112877	1	0	0	0	0	0	1	0	0	4	13
SP112871	10	4	41	2	67	41	0	12	1	7	27
SP112875	9	32	100	16	50	61	5	16	26	17	50
SP112913	4	0	31	18	10	51	1	24	10	11	56
SP112849	10	0	76	7	89	71	0	14	24	7	4
SP112881	1	11	33	0	49	41	0	20	23	9	18
SP112951	0	0	4	0	0	5	0	6	0	0	11
SP112845	18	8	32	5	85	37	5	29	13	0	9
SP114910	92	31	452	30	146	39	1	26	36	14	0
SP114906	37	26	318	21	99	36	1	20	38	9	0
SP114921	103	27	235	84	128	405	0	19	117	62	0
SP114901	59	8	323	50	236	18	38	52	150	41	0
SP114926	51	0	281	8	56	87	4	43	6	16	0
SP114974	70	7	347	16	110	101	4	51	23	0	0
SP114958	404	61	290	40	97	218	0	95	49	7	0
SP114935	45	0	260	7	56	81	3	42	4	17	0
SP114900	47	32	314	45	216	18	34	57	150	39	0
SP114941	98	0	267	99	65	520	6	64	86	0	0
SP114937	85	2	280	87	54	538	5	58	67	0	0
SP114945	97	4	317	91	56	546	3	55	71	0	0
SP114943	104	20	322	86	49	552	9	65	68	0	0
SP114949	18	0	370	27	92	82	5	28	37	16	3
SP114960	372	67	282	43	104	220	0	100	51	11	0
SP114962	86	13	367	1608	0	466	74	52	47	16	0
SP114996	66	0	141	588	0	503	37	0	0	6	0
SP114987	65	0	139	633	0	514	34	0	1	6	0
SP114966	94	0	408	1688	0	551	91	34	50	48	0
SP114903	53	40	380	28	206	54	30	75	132	25	0
SP114914	54	33	400	26	137	28	0	18	35	18	0
SP114944	88	0	286	90	60	526	8	77	69	0	0
SP114930	54	0	244	36	126	227	2	23	33	5	0
SP114946	13	0	370	16	90	62	7	31	22	21	2
SP114951	15	0	328	18	68	85	8	39	29	19	0
SP114953	372	33	294	49	123	216	2	125	57	12	0
SP114924	57	45	163	67	98	394	0	8	87	38	0
SP114957	385	49	282	39	98	211	0	98	44	10	0
SP114986	68	0	341	17	112	111	2	47	27	2	0
SP114971	77	0	336	33	130	83	2	47	29	0	1
SP114991	62	0	147	569	0	505	38	0	2	3	0
SP114992	59	0	146	650	0	514	27	0	0	8	0
SP114920	85	13	466	24	126	44	0	19	49	18	0
SP114898	51	34	389	31	143	52	34	72	141	35	0
SP114932	41	0	272	8	64	87	3	40	9	19	0
SP114934	39	0	246	9	57	82	3	41	3	14	0
SP114968	97	0	398	1711	0	571	106	39	53	66	0
SP114982	76	0	325	37	105	104	2	44	23	0	0
SP114973	83	0	344	28	127	88	2	43	15	0	0
SP114908	45	41	357	21	106	37	0	18	38	9	0
SP114904	86	41	422	23	130	38	0	17	47	18	0
SP114918	43	36	319	21	120	38	0	17	37	10	0
SP114984	75	0	283	18	113	99	1	41	18	0	1
SP114994	57	0	142	632	0	501	27	0	0	0	0
SP114978	85	0	286	24	99	121	1	48	17	0	2
SP114912	84	8	433	21	128	38	0	29	33	13	0
SP114917	83	42	445	26	117	35	0	19	41	16	0
SP114980	95	0	362	44	112	111	2	48	25	0	0
SP114976	90	0	334	43	105	85	1	50	17	0	0
SP114916	62	31	410	22	125	49	0	22	39	14	0
SP125579	0	0	0	0	0	1	0	0	0	0	0
SP111131	26	7	121	18	62	60	3	0	14	0	0
SP111126	5	0	0	11	81	119	0	16	24	0	6
SP111146	16	3	44	7	29	84	3	33	23	0	0
SP111123	9	16	27	14	75	89	4	17	16	0	0
SP111127	51	5	121	17	92	28	2	11	32	8	2
SP111121	2	0	4	2	1	10	2	4	3	0	0
SP111156	4	0	29	3	60	88	3	7	8	9	2
SP111122	18	15	85	12	90	63	5	3	18	0	0
SP111129	25	1	99	4	143	86	3	7	17	9	1
SP111152	27	1	60	12	66	58	4	42	6	8	0
SP111154	10	0	107	14	84	106	7	31	65	25	4
SP111124	7	0	36	0	58	26	4	3	12	0	2
SP111128	11	0	53	3	26	60	1	3	11	11	1
SP111125	39	2	191	6	81	98	10	36	31	11	0
SP111130	0	0	44	11	41	34	4	6	0	4	0
SP106835	8	0	8	4	23	15	1	9	3	4	0
SP106834	1	5	15	10	53	28	1	8	33	1	0
SP106825	45	0	139	18	121	102	0	30	64	27	0
SP106841	2	0	0	11	35	9	2	11	9	0	0
SP106827	26	0	98	9	72	51	2	49	31	7	0
SP106833	5	0	27	5	33	36	1	17	29	4	0
SP106839	14	40	51	4	97	45	0	16	22	6	0
SP106840	1	28	7	0	75	30	0	6	19	4	0
SP106828	9	0	19	5	32	21	0	16	24	5	0
SP106829	34	0	96	8	88	47	2	1	34	3	0
SP106836	2	1	3	0	5	8	0	0	4	0	0
SP106837	5	3	10	1	38	28	0	1	5	4	0
SP80037	17	16	83	3	8	56	0	102	18	8	0
SP102690	12	6	40	7	51	60	0	0	35	10	7
SP80213	0	0	1	0	0	0	0	1	1	0	7
