Samples	ID1	ID2	ID6	ID8	ID9	ID11	ID16	ID19	ID21	ID23
SP117690	216	86	0	0	0	0	0	0	0	85
SP125742	211	0	0	217	0	0	0	0	0	171
SP125804	360	81	490	595	0	0	0	0	0	0
SP125695	205	60	0	0	0	0	0	0	0	111
SP77986	37	13	0	24	0	0	0	0	0	35
SP125689	673	187	0	0	0	0	0	0	0	256
SP117523	382	75	0	0	0	0	0	0	0	0
SP125694	397	134	0	0	0	0	0	0	0	0
SP125745	300	91	0	0	0	0	0	0	0	0
SP117001	328	138	0	0	0	0	0	0	0	0
SP117949	437	478	0	0	0	0	0	0	0	0
SP117653	179	79	0	0	0	0	0	0	0	0
SP117522	398	89	0	0	0	0	0	0	0	0
SP125710	419	86	0	0	0	0	0	0	0	0
SP117214	468	139	0	0	0	0	0	0	0	0
SP125768	987	465	0	0	0	0	0	0	0	0
SP117722	332	163	0	0	0	0	0	0	0	0
SP125699	285	349	0	0	0	0	0	0	0	0
SP125771	755	394	0	0	282	0	0	0	0	0
SP125719	178	57	0	0	86	0	0	0	0	0
SP117648	131	39	0	55	73	0	0	0	0	0
SP125760	297	113	0	0	0	0	0	0	0	0
SP125770	12892	8840	0	0	0	0	0	0	0	0
SP77956	0	0	0	0	0	3588	1885	0	0	0
SP125785	204	183	0	0	87	0	0	0	0	0
SP125706	344	111	672	287	0	0	0	0	0	0
SP125705	229	171	0	0	0	0	0	0	0	97
SP125715	44	0	0	31	0	0	0	0	0	52
SP116962	231	58	0	0	0	0	0	0	0	0
SP117660	419	115	0	0	0	0	0	0	0	0
SP117643	326	162	922	345	0	0	0	0	0	0
SP125713	190	187	958	328	0	0	0	0	0	245
SP117760	299	101	0	0	0	0	0	0	0	0
SP116968	590	107	0	0	0	0	0	0	0	0
SP125775	297	95	0	0	0	0	0	0	0	0
SP125731	338	109	0	0	0	0	0	0	0	0
SP125733	319	115	0	0	0	0	0	0	0	0
SP78502	49	25	0	0	0	0	0	0	0	61
SP125791	379	134	0	0	0	0	0	0	0	0
SP125755	489	92	0	0	0	0	0	0	0	0
SP117340	373	457	0	0	0	0	0	0	0	0
SP125781	197	96	0	0	0	0	0	0	0	98
SP125783	204	44	0	0	0	0	0	0	0	109
SP116950	567	287	0	0	0	0	0	0	0	0
SP125712	408	142	0	0	0	0	0	0	0	0
SP125786	63	0	338	96	66	0	0	0	0	0
SP125693	898	437	0	0	0	0	0	0	0	0
SP116949	315	231	0	0	159	0	0	0	0	0
SP78533	80	35	0	0	0	0	0	0	0	74
SP117215	244	98	0	0	113	0	0	0	0	0
SP117040	464	196	0	0	0	0	0	0	0	0
SP117476	311	191	0	0	0	0	0	0	0	0
SP116985	351	146	0	0	0	0	0	0	0	0
SP125769	149	60	0	0	67	0	0	0	0	0
SP125778	203	0	1394	634	0	0	0	0	0	0
SP117440	500	138	0	0	0	0	0	0	0	0
SP125730	172	80	0	0	0	0	0	0	0	0
SP125686	482	86	0	0	0	0	0	0	0	0
SP125758	270	147	0	0	0	0	0	0	0	0
SP77848	76	45	0	0	0	0	0	0	0	0
SP117974	480	186	0	0	0	0	0	0	0	0
SP117911	398	204	0	0	0	0	0	0	0	0
SP117165	243	116	0	0	114	0	0	0	0	0
SP117412	398	124	330	201	0	0	0	0	0	0
SP117650	61	24	0	81	0	0	0	0	0	103
SP117076	299	0	0	0	0	0	0	0	0	0
SP125757	379	134	0	0	0	0	0	0	0	0
SP125711	317	116	0	0	133	0	0	0	0	0
SP125811	186	80	0	0	0	0	0	0	0	105
SP125723	230	89	0	0	0	0	0	0	163	0
SP125809	652	152	0	0	0	0	0	0	0	0
SP125722	179	88	0	0	0	0	0	0	0	0
SP117908	362	129	0	0	0	0	0	0	0	0
SP125741	669	139	0	0	0	0	0	0	0	0
SP125724	199	190	0	0	0	0	0	0	220	0
SP117037	314	90	0	0	0	0	0	0	0	0
SP125777	256	0	812	353	0	0	0	0	0	0
SP117291	524	175	0	0	0	0	0	0	0	0
SP125793	126	68	118	0	0	0	0	0	0	0
SP125744	267	215	0	0	0	0	0	0	0	0
SP125795	340	95	0	0	0	0	0	0	0	0
SP125703	353	149	0	0	0	0	0	0	0	0
SP125761	178	65	0	0	118	0	0	0	0	0
SP117661	401	298	0	0	0	0	0	0	0	0
SP125776	348	223	0	0	0	0	0	0	0	0
SP117261	149	54	0	0	66	0	0	0	0	0
SP125698	230	197	601	226	0	0	0	0	0	0
SP125714	432	171	0	0	0	0	0	0	0	0
SP77972	243	225	0	0	0	0	0	0	0	0
SP77866	48	0	0	0	24	0	0	0	0	0
SP125704	196	98	0	0	0	0	0	0	0	93
SP117290	1080	154	0	0	0	0	0	0	0	0
SP125738	144	72	0	0	67	0	0	0	0	0
SP135427	36	0	0	26	50	0	0	0	40	0
SP135403	4	0	0	0	6	0	0	0	0	0
SP102557	20	0	0	18	21	0	0	0	0	0
SP106801	0	0	0	20	0	0	0	0	16	21
SP106758	89	0	0	0	47	0	0	0	0	0
SP106808	41	0	0	23	38	0	0	0	52	0
SP102617	0	41	0	0	125	0	0	0	0	0
SP102605	10	0	0	0	17	0	0	0	0	19
SP117086	0	0	0	5	0	0	0	0	0	8
SP117700	7	16	0	25	0	17	0	0	0	38
SP135339	157	0	0	0	112	0	0	0	0	0
SP135324	117	0	0	0	0	0	0	0	0	0
SP102529	27	14	0	44	62	23	0	0	0	0
SP102507	75	20	0	0	0	0	0	0	0	74
SP102485	0	0	0	13	0	12	0	0	0	20
SP117043	32	0	0	29	35	0	0	0	0	57
SP135496	59	0	0	0	40	0	0	0	51	0
SP117228	34	11	0	0	34	0	0	0	34	0
SP118044	0	0	0	0	0	0	0	11	0	0
SP117984	53	0	0	0	61	0	0	0	0	0
SP135346	14	12	0	27	37	0	0	0	0	0
SP135492	5	0	0	0	5	0	0	0	8	0
SP102573	0	0	24	0	0	0	0	0	0	30
SP135460	0	0	0	22	0	0	0	0	0	45
SP117667	0	0	0	9	9	0	0	0	10	0
SP106815	115	0	0	0	80	0	0	0	0	0
SP106734	0	0	0	9	12	0	0	0	29	0
SP117796	21	0	0	23	0	0	0	0	42	54
SP102537	33	0	0	28	74	0	0	0	58	0
SP135334	18	21	0	0	59	0	0	0	0	0
SP102517	36	16	0	37	78	0	0	0	0	0
SP117493	2	2	0	0	4	5	0	0	7	0
SP106722	0	0	0	30	34	0	0	0	0	32
SP135434	56	0	0	0	0	0	0	0	74	78
