Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
CPCT02030277T	2053	285	0	283	0	254	32	224	224	67	0	34	192	81	7	0	0
CPCT02100064T	283	319	445	0	149	1	95	32	78	19	0	18	24	4	20	0	0
CPCT02010569T	1237	536	1098	0	494	0	22	71	0	65	227	44	71	11	0	0	0
CPCT02110032T	0	78	0	46	219	20	4	133	34	28	29	81	77	30	54	0	0
CPCT02340011T	198	74	388	0	250	0	0	13	5	67	51	10	5	18	0	0	66
CPCT02330033T	157	120	0	0	172	0	480	8	58	94	0	22	22	47	27	0	251
CPCT02040119T	268	122	0	26	0	302	21	61	37	85	0	54	64	39	12	70	0
CPCT02020536T	375	77	0	0	97	0	307	148	57	64	18	66	188	104	42	155	98
CPCT02340012T	446	429	203	0	360	0	57	23	64	40	0	20	42	26	14	0	0
CPCT02020527T	62	61	0	12	72	101	9	42	0	27	5	16	19	7	126	55	0
CPCT02020526T	415	521	0	44	804	0	19	236	0	55	22	165	62	37	16	0	0
CPCT02100098T	209	200	0	118	488	0	5	13	14	23	0	28	23	35	70	108	0
CPCT02230029T	717	237	38	96	121	334	10	4	0	39	44	47	7	40	13	0	0
CPCT02230030T	574	0	606	0	636	0	21	48	47	19	222	46	88	46	17	0	0
CPCT02230034T	664	354	261	0	82	264	103	0	9	67	41	0	37	22	4	0	0
CPCT02070034T	553	187	302	0	157	215	15	127	20	101	5	44	22	16	69	28	0
CPCT02030363T	664	246	0	85	0	55	7	23	1	19	0	15	47	0	7	0	0
CPCT02230039T	1293	512	882	0	232	0	238	133	562	104	0	252	0	75	0	0	0
CPCT02080130T	238	0	628	0	441	14	70	66	21	290	182	107	166	65	0	40	0
CPCT02340019T	699	379	774	0	496	195	75	64	13	50	21	13	51	34	0	0	0
CPCT02050233T	835	60	0	0	72	0	90	143	151	157	158	33	82	38	70	0	147
CPCT02100044T	660	1074	554	0	0	328	36	59	0	44	0	14	0	14	13	0	0
CPCT02050100T	439	66	330	0	0	365	40	0	103	67	16	3	22	4	18	0	0
CPCT02030243T	0	64	0	0	0	0	7	27	256	29	79	48	246	202	61	0	100
CPCT02050041T	1324	430	787	0	436	328	130	149	161	160	284	615	91	30	4	9	0
CPCT02030310T	565	307	303	0	192	0	55	96	127	29	10	48	256	30	51	0	0
CPCT02220007T	255	198	336	0	217	0	81	48	21	19	0	19	139	42	27	54	0
CPCT02030307T	692	196	374	0	107	409	46	59	171	14	0	129	0	20	0	0	0
