MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027	CPCT02060044T	CPCT02030247T	CPCT02050043T	CPCT02020342T	CPCT02010371T	CPCT02030256T	CPCT02050045T	CPCT02050047T	CPCT02010393T	CPCT02020358T	CPCT02090002T	CPCT02010403T	CPCT02030272T	CPCT02020373T	CPCT02050052T	CPCT02030270T	CPCT02050056T	CPCT02050055T	CPCT02030279T	CPCT02020320T	CPCT02060037T	CPCT02100033T	CPCT02010436T	CPCT02010439T	CPCT02060043T	CPCT02030284T	CPCT02020410T	CPCT02020408T	CPCT02030291T	CPCT02050079T	CPCT02050073T	CPCT02220001T	CPCT02010440T	CPCT02011020T	CPCT02340050T	CPCT02080280T	CPCT02080282T	CPCT02060163T	CPCT02011025T	CPCT02010754TII	CPCT02010716T	CPCT02170039T	CPCT02080284T	CPCT02030555T	CPCT02011037T	CPCT02120180T	CPCT02050304T	CPCT02020895T	CPCT02090032T	CPCT02020662T	DRUP01080025T	CPCT02020891T	CPCT02080266TII	CPCT02020901T	CPCT02080287T	CPCT02011045T	CPCT02020897T	CPCT02120101T	CPCT02020910T	CPCT02120095T	CPCT02080294T	CPCT02080292T	CPCT02120098T	CPCT02120105T	CPCT02020914T	CPCT02160035T	CPCT02050310T	CPCT02290061T	CPCT02050308T	CPCT02090035T	CPCT02020933T	CPCT02020930T	CPCT02020934T	CPCT02020939T	CPCT02020670T	CPCT02020837TII	CPCT02030459T	CPCT02350019T	CPCT02050424T	CPCT02340064T	CPCT02011045TII	CPCT02120189T	CPCT02010754T	CPCT02020868T	CPCT02060286T	CPCT02060288T	CPCT02120193T	CPCT02120187T	CPCT02120191T	CPCT02080304T	CPCT02080307T	CPCT02080303T	CPCT02340067T	CPCT02030461T	CPCT02020919T	CPCT02050432T	CPCT02120110T	CPCT02080308T	CPCT02020951T	DRUP01060009T	CPCT02020949T	CPCT02020960T	WIDE01010033T	CPCT02340115T	CPCT02050322T	CPCT02050046T	CPCT02050331T	WIDE01010071T	CPCT02020895TII	CPCT02030468T	CPCT02020959T	CPCT02080313T	CPCT02080311T	CPCT02011108T	CPCT02080314T	CPCT02020694T	CPCT02020672T	WIDE01010123T	CPCT02020665T	CPCT02080207T	CPCT02060291T	CPCT02050441T	CPCT02050440T	CPCT02050438T	DRUP01230001T	CPCT02080205T	CPCT02020714T	WIDE01010172T	CPCT02340081T	CPCT02010801T	CPCT02010794T	CPCT02340083T	CPCT02050347T	CPCT02120198T	CPCT02120199T	WIDE01010255T	CPCT02040241T	WIDE01010305T	WIDE01010314T	CPCT02060228T	WIDE01010328T	CPCT02030479T	CPCT02040246T	WIDE01010376T	WIDE01010381T	WIDE01010392T	CPCT02080221T	CPCT02020723T	CPCT02020736T	CPCT02020743T	CPCT02020739T	CPCT02050365T	CPCT02020670TII	CPCT02030490T	CPCT02300042T	CPCT02020700T	CPCT02220050T	CPCT02050370T	CPCT02050373T	CPCT02080234T	CPCT02030499T	CPCT02020770T	CPCT02050376T	CPCT02080239T	CPCT02050301T	CPCT02080242T	CPCT02020789T	CPCT02020796T	CPCT02220057T	CPCT02340098T	CPCT02340097T	CPCT02170038T	CPCT02010920T	CPCT02050399T	CPCT02050404T	CPCT02050402T	CPCT02060256T	CPCT02080259T	CPCT02020813T	CPCT02020785T	CPCT02020810T	CPCT02020821T	CPCT02340100T	CPCT02080266T	CPCT02010941T	CPCT02020822T	CPCT02020819T	CPCT02050405T	CPCT02020837T	CPCT02340102T	DRUP01060021T	DRUP01060019T	DRUP01060018T	CPCT02070394T	CPCT02080269T	CPCT02030459TII	CPCT02050411T	CPCT02030547T	CPCT02020828T	CPCT02080270T	CPCT02060133T	CPCT02050276TII	CPCT02080271T	CPCT02050243T	CPCT02060126T	DRUP01010106T	CPCT02050245T	CPCT02030548T	CPCT02050415T	CPCT02020853T	CPCT02020506TII	DRUP01080021T	CPCT02020854T	CPCT02010994T	DRUP01080022T	CPCT02020863T	CPCT02050276T	CPCT02030552T	CPCT02080275T	CPCT02030553T	CPCT02120062T	CPCT02020615T	CPCT02050421T	CPCT02120053T	CPCT02020626T	CPCT02120055T	CPCT02070422T	CPCT02120058T	CPCT02170017T	CPCT02020609T	CPCT02050249T	CPCT02060146T	CPCT02060049T	CPCT02050159T	CPCT02010550T	CPCT02010534T	CPCT02050079TII	CPCT02050170T	CPCT02050168T	CPCT02020509T	CPCT02050073TII	CPCT02020511T	CPCT02010565T	CPCT02020517T	CPCT02010393TII	CPCT02050181T	CPCT02020519T	CPCT02020520T	CPCT02060092T	CPCT02080116T	CPCT02080113T	CPCT02050194T	CPCT02050193T	CPCT02030350T	CPCT02080123T	CPCT02020542T	CPCT02010505T	CPCT02020553T	CPCT02170006T	CPCT02050212T	CPCT02050214T	CPCT02050217T	CPCT02020573T	CPCT02180032T	CPCT02010503TII	CPCT02010622T	CPCT02030370T	CPCT02030339TII	CPCT02040142T	CPCT02120050T	CPCT02120037T	CPCT02050235T	CPCT02050236T	CPCT02050232T	CPCT02050240T	CPCT02020574T	CPCT02020578T	CPCT02090005T	CPCT02020423T	CPCT02020426T	CPCT02050092T	CPCT02010403TII	CPCT02020412T	CPCT02010469T	CPCT02180012T	CPCT02020445T	CPCT02050105T	CPCT02050055TII	CPCT02010493T	CPCT02010503T	CPCT02010501T	CPCT02020464T	CPCT02090009T	CPCT02020468T	CPCT02340001T	CPCT02080079T	CPCT02010526T	CPCT02010532T	CPCT02060051T	CPCT02050141T	CPCT02110024T	CPCT02120013T	CPCT02050158T	CPCT02050149T	CPCT02010557T	CPCT02220014T	CPCT02050052TII	CPCT02020506T	CPCT02030339T	CPCT02080163T	CPCT02050281T	CPCT02070243T	CPCT02340040T	CPCT02120077T	CPCT02030437T	CPCT02010641TII	CPCT02050291T	CPCT02020643T	CPCT02150006T	WIDE01010503T	WIDE01010567T	WIDE01010459T	CPCT02060041T	WIDE01010561T	WIDE01010651T
A[Del(T):R(1,4)]A	68	210	84	93	0	50	124	9	13	143	169	4	92	238	92	281	88	55	190	7	2	4	57	25	248	2	68	7	9	5	534	292	329	173	56	39	122	4	77	81	29	5	0	34	39	151	470	19	217	13	117	21	3	90	104	9	116	6	138	32	466	4	114	2	10	23	77	71	97	109	347	70	173	68	45	0	64	74	332	54	3	142	7	44	40	66	35	200	58	66	116	85	15	37	145	8	7	391	80	34	41	99	25	242	110	69	2	84	27	10	86	43	27	81	12	136	22	99	2	45	29	33	3	77	41	14	74	5	35	78	37	14	85	99	64	195	2	15	1	25	135	12	107	42	3	48	36	218	24	12	79	201	32	198	11	36	42	179	76	13	52	58	37	27	8	100	77	6	3	75	124	89	105	12	100	36	57	8	70	128	18	325	10	8	2	966	27	35	90	35	34	138	42	33	42	53	8	60	26	15	738	51	12	7	8	5	14	164	76	3	93	89	56	0	59	12	24	28	39	25	65	86	86	3	46	42	34	244	6	65	121	492	77	28	120	4	6	185	144	11	73	18	321	72	164	55	37	25	159	75	21	121	51	4	2	44	23	148	135	331	52	105	47	25	276	5	257	52	115	14	24	47	87	122	134	137	55	80	54	11	6	4	21	36	49	57	589	26	71	340	12	203	125	67	61	7	29	145	18	18	14	177	15	120	26	13	56	3	33	44	8	36	41	59	48	69	55	181	85	21	58	205	146	34	79	206	293	252	42	72	62	69	20	51	33	46	432	31	8	7	208	100	4	2	70	42	6	16	209	66	95	133	24	131	164	9	260	63	101	90	13	269	11	4	4	48	74	22	17	25	3	53	65	9	110	4	5	122	216	177	13	208	2	302	235	174	107	65	2	118	56	26	15	114	52	41	50	209	14	65	0	21	2	8	140	3	36	89	32	93	3	31	13	31	183	93	5	57	95	2	30	28	6	26	51	264	73	234	149	288	69	2
A[Del(T):R(1,4)]C	0	6	4	6	0	3	7	5	0	10	9	3	5	22	5	20	8	3	8	6	0	4	7	6	11	2	7	2	4	0	32	20	34	10	5	1	7	3	6	0	3	9	1	3	4	14	26	9	46	2	9	5	9	8	3	4	7	1	3	4	43	1	8	4	9	0	11	6	13	7	12	3	9	3	4	3	8	3	29	7	4	12	6	5	4	16	3	17	2	2	7	10	1	3	12	3	2	28	4	6	2	7	2	27	9	4	3	8	3	2	1	3	2	7	5	15	1	8	2	4	3	7	0	5	9	1	4	1	1	3	2	5	6	3	2	6	1	6	2	6	9	3	1	5	3	5	4	9	3	2	5	8	3	26	1	8	3	16	7	2	4	6	2	1	0	4	4	2	0	6	15	5	4	4	15	3	3	2	2	2	2	10	4	4	0	49	4	2	9	4	2	12	7	2	5	5	2	11	1	12	38	4	3	5	1	1	4	6	9	0	8	4	6	1	4	1	1	2	6	2	10	7	4	3	1	2	8	8	1	8	7	88	5	4	11	2	4	16	7	1	5	7	13	6	7	3	13	4	6	5	3	15	3	5	0	8	3	22	3	10	3	8	7	19	12	0	24	5	3	3	2	0	7	6	3	11	6	3	1	2	3	5	1	4	3	1	44	6	7	23	2	6	14	4	8	1	2	8	6	7	14	15	8	12	2	2	4	1	7	2	10	2	14	8	3	6	4	4	9	2	9	26	7	7	5	15	15	14	4	17	13	7	3	11	1	8	29	7	5	2	13	3	1	1	33	4	0	7	13	8	6	14	4	16	12	2	10	8	8	4	2	10	2	2	4	3	6	2	1	4	5	7	4	0	5	3	2	10	16	7	2	32	2	19	11	8	21	6	1	7	3	0	4	10	13	1	9	5	3	3	2	5	2	0	7	3	5	12	4	6	3	6	2	6	3	4	1	2	5	3	5	1	1	5	9	21	4	27	12	14	8	3
A[Del(T):R(1,4)]G	6	9	8	7	2	5	7	3	6	12	16	5	5	13	6	27	5	6	18	5	2	3	7	8	9	4	7	1	6	1	32	17	36	9	5	3	5	1	6	7	6	3	2	1	9	5	26	6	58	4	13	10	7	7	8	5	5	4	7	9	37	1	7	2	5	5	10	6	2	6	24	6	19	8	4	1	6	7	25	4	5	9	8	6	6	10	6	15	8	4	10	8	4	4	12	6	3	30	7	2	3	7	1	19	11	4	4	12	1	0	6	11	1	3	1	9	3	9	2	8	11	3	2	3	9	3	8	2	4	2	10	4	3	2	3	7	0	2	3	1	10	1	7	3	1	2	1	10	3	0	1	9	3	20	4	6	4	16	5	0	5	4	2	4	2	2	4	2	0	7	21	3	4	8	13	4	3	2	1	6	1	10	7	2	1	43	2	3	6	2	3	8	5	2	8	1	5	8	0	8	46	2	4	3	1	1	6	4	7	2	11	11	7	3	7	4	5	1	4	5	15	2	3	0	3	4	2	10	6	4	10	77	9	2	8	0	5	15	8	0	4	4	20	6	5	4	8	4	18	10	4	5	5	2	2	10	5	14	8	11	2	12	8	19	16	1	27	4	7	4	7	3	6	12	18	8	3	7	3	0	1	1	0	2	3	3	38	7	11	24	1	9	16	2	7	1	1	17	5	4	8	17	6	8	2	1	8	2	2	2	2	2	34	3	2	4	7	9	11	4	4	22	6	3	4	19	13	11	5	13	7	4	3	37	4	4	26	11	2	2	10	5	4	0	25	3	0	3	12	4	13	7	8	7	12	1	19	2	4	6	2	12	10	1	2	2	6	0	4	3	2	6	10	4	7	3	3	5	13	10	1	30	1	26	6	7	10	3	1	8	1	0	4	22	13	4	6	8	6	5	1	5	1	2	9	6	1	15	4	9	7	1	5	4	9	4	4	5	3	0	4	4	3	5	10	7	7	30	13	10	5	3
C[Del(T):R(1,4)]A	17	45	27	20	3	15	36	3	3	35	51	3	22	65	30	82	24	18	46	8	2	1	17	11	60	0	20	6	7	3	164	82	85	38	17	12	19	3	18	15	15	3	2	10	11	34	129	11	76	6	42	10	8	20	31	10	22	3	29	12	140	8	31	2	11	12	21	23	20	29	103	21	43	21	20	0	13	10	84	25	2	37	4	16	14	20	11	58	16	29	25	22	4	10	45	3	2	102	25	9	7	19	3	67	29	22	3	21	9	4	21	20	4	22	4	35	5	20	0	16	9	11	5	15	14	8	32	1	6	16	17	5	21	18	27	50	2	6	4	9	28	7	23	6	4	16	12	47	10	5	23	40	11	92	3	13	9	53	19	6	18	7	9	9	1	24	20	3	2	15	29	29	27	4	51	12	15	5	25	32	14	80	10	5	1	233	8	10	30	9	10	36	12	8	5	16	0	21	5	9	157	12	11	6	8	1	8	42	16	2	25	30	23	1	13	3	9	7	9	10	18	24	33	2	8	13	14	53	0	27	29	129	25	6	29	1	1	49	37	7	23	8	93	25	29	13	16	22	38	19	3	32	18	3	0	23	5	44	28	81	22	31	22	16	57	2	105	15	28	1	11	15	16	33	21	35	20	22	12	4	1	2	5	13	9	15	153	8	19	110	6	52	44	15	16	4	11	42	11	10	22	53	5	24	10	5	17	4	4	12	2	7	73	13	14	26	5	54	25	5	15	86	25	4	16	50	90	59	11	37	32	23	9	37	11	16	108	10	4	3	43	20	1	2	28	13	5	7	46	12	21	34	11	40	43	6	68	8	32	24	3	50	9	0	1	12	14	8	12	9	1	15	18	7	22	4	0	28	57	42	6	60	1	76	64	47	27	17	0	24	12	2	8	31	21	14	13	53	4	16	0	5	2	2	38	5	8	23	7	16	5	13	4	10	54	18	1	9	29	0	14	13	4	9	17	55	12	88	38	69	26	7
C[Del(T):R(1,4)]C	3	6	8	4	1	4	3	2	3	7	12	3	8	10	4	13	5	7	10	4	2	2	2	8	5	0	9	3	3	1	44	10	24	14	2	6	11	1	7	3	2	3	4	4	6	16	28	11	74	3	15	4	2	4	7	4	7	1	6	3	44	2	7	1	14	2	10	5	9	12	22	6	23	12	6	0	4	5	27	3	1	15	4	7	4	12	3	9	6	7	8	12	1	6	9	3	1	32	8	1	5	8	2	28	5	7	4	9	4	4	4	5	7	8	3	6	3	8	1	8	4	5	3	3	9	2	4	2	2	9	4	2	6	2	1	7	2	10	5	3	8	7	5	4	2	5	4	8	2	0	11	12	4	46	1	5	0	16	7	5	6	5	1	0	7	9	6	4	1	10	10	6	7	4	7	6	2	5	6	11	2	10	5	2	2	51	3	1	10	4	3	8	6	2	5	5	7	9	2	12	31	6	4	3	3	0	3	10	9	2	10	11	5	0	4	3	5	2	2	6	12	6	2	2	5	8	3	12	0	10	11	98	10	1	6	0	7	14	4	3	8	4	28	6	9	7	10	7	9	4	1	11	7	4	7	6	3	17	4	10	5	3	4	18	17	2	51	3	10	4	2	3	6	13	6	8	7	6	3	1	5	3	3	5	2	6	40	4	5	15	7	13	4	5	7	2	1	7	7	3	19	17	2	6	2	1	4	3	2	1	4	4	33	4	2	6	6	7	14	2	2	37	9	3	1	12	12	17	6	20	10	4	4	24	3	5	23	7	4	0	9	5	0	2	35	4	0	10	14	6	4	7	7	7	7	5	17	3	9	9	7	8	8	4	7	1	5	3	0	2	2	10	5	3	11	7	3	7	10	9	0	28	0	22	11	10	19	3	2	8	5	2	4	8	15	6	6	12	6	7	1	4	3	1	7	1	5	18	8	3	3	3	7	6	7	10	3	5	6	0	2	3	0	2	9	17	5	50	11	14	8	0
C[Del(T):R(1,4)]G	7	8	5	9	2	3	8	3	5	8	10	2	9	11	12	24	12	10	16	4	2	2	3	9	5	0	8	1	8	0	32	13	21	7	8	1	4	1	7	3	8	1	0	3	5	7	24	15	42	2	9	14	5	4	10	11	7	1	7	7	59	5	14	2	8	4	13	4	4	5	13	9	15	5	8	3	3	8	21	6	2	13	7	10	5	15	5	14	8	4	10	9	4	11	9	7	3	26	3	1	6	7	5	24	5	8	2	6	6	1	2	4	6	4	4	6	1	1	4	4	4	5	3	1	10	3	3	3	3	2	2	2	8	5	7	11	0	3	5	0	10	5	7	3	2	8	8	5	5	0	6	8	4	47	1	8	3	17	1	6	3	4	0	2	1	5	4	1	0	1	14	9	2	9	13	7	0	3	4	6	3	17	4	3	0	28	3	2	7	9	3	14	10	3	3	4	1	9	2	6	32	5	4	1	1	1	4	6	8	2	7	6	6	1	6	2	1	5	7	4	10	5	7	3	2	3	4	15	4	5	6	60	3	1	10	1	9	18	7	0	4	6	15	10	10	7	10	3	9	8	2	11	4	2	2	8	3	15	5	18	6	9	9	17	10	0	59	4	7	1	2	7	4	5	11	12	3	1	3	3	3	4	4	5	6	5	31	5	6	23	6	15	13	5	8	2	4	8	7	7	20	19	2	9	4	1	6	2	2	5	6	8	74	6	1	10	6	5	3	1	0	45	9	3	4	11	15	14	2	21	4	3	3	57	6	7	20	5	6	2	12	4	0	0	12	6	3	3	11	2	9	5	5	5	11	4	6	6	5	5	4	13	11	4	3	5	5	3	4	2	2	8	7	10	7	5	9	4	13	6	1	12	2	21	10	4	12	5	4	4	2	1	3	4	15	3	8	7	1	3	2	3	4	0	7	4	4	13	8	3	4	6	12	6	4	4	4	9	4	1	6	2	5	1	8	10	7	30	7	8	8	1
G[Del(T):R(1,4)]A	41	89	37	36	2	29	64	4	2	44	53	1	44	119	48	133	39	25	79	6	1	4	26	6	112	4	36	1	2	12	249	172	168	88	27	16	50	3	32	37	18	5	1	17	10	64	237	1	98	2	50	19	5	44	59	3	46	0	70	18	216	4	62	4	9	8	42	22	45	65	174	29	78	35	24	3	36	37	150	31	2	66	9	31	18	35	9	100	33	43	45	37	8	11	100	0	3	172	49	20	16	52	12	112	46	31	1	37	19	9	42	24	12	38	7	65	14	33	1	16	11	14	1	25	20	8	33	2	19	32	24	6	32	40	27	122	0	5	0	9	57	8	42	19	0	25	22	103	13	5	44	61	12	91	5	19	21	78	33	3	22	16	14	9	6	44	43	4	2	21	43	36	63	6	67	20	30	2	26	65	7	129	1	2	0	456	17	14	32	24	17	61	19	16	21	14	0	28	16	10	308	24	6	7	1	1	6	97	27	0	40	33	16	1	18	5	15	6	11	12	33	30	40	3	16	23	22	114	2	37	59	185	29	6	45	2	4	76	64	4	43	7	201	43	82	17	20	10	81	26	11	68	21	0	1	14	13	62	55	131	18	52	30	7	107	1	125	18	50	3	20	19	37	60	16	75	31	52	14	2	4	1	10	11	19	25	325	15	31	171	3	86	72	27	30	1	12	78	9	8	11	79	6	42	22	6	20	0	16	17	2	23	18	16	21	33	28	100	31	8	33	98	70	17	31	91	141	108	17	56	45	26	9	23	25	18	233	10	9	0	75	43	0	0	33	18	7	5	106	23	47	60	5	66	81	10	150	33	66	46	3	106	7	2	0	12	40	16	11	12	3	31	27	3	62	3	2	75	115	104	9	83	0	146	120	78	35	39	1	40	33	7	13	43	24	13	31	89	4	34	1	8	0	8	83	7	17	32	9	41	4	16	6	17	100	50	2	24	39	1	31	12	4	13	37	97	32	114	72	140	44	4
G[Del(T):R(1,4)]C	1	8	6	3	1	2	3	1	1	5	6	1	5	4	4	10	4	3	5	3	1	0	1	2	5	0	5	0	1	2	34	14	33	7	3	2	10	1	5	5	3	5	1	1	5	7	21	6	40	1	11	1	1	7	6	6	5	3	4	3	28	2	7	0	14	0	7	2	1	5	14	3	16	1	6	0	2	6	21	3	1	8	3	2	4	12	0	6	4	5	10	4	2	4	6	2	1	20	9	3	3	4	1	23	1	3	1	4	2	0	5	4	2	5	2	5	1	5	0	2	1	3	3	1	6	2	0	1	1	2	2	2	4	4	1	9	2	5	1	5	8	3	2	3	0	4	0	7	3	1	4	4	4	32	0	10	3	13	5	3	4	2	2	3	0	5	2	2	1	1	13	4	7	5	7	3	3	4	3	3	1	12	2	1	3	28	2	2	5	2	2	8	0	1	3	5	1	3	0	4	30	3	2	0	1	1	1	4	9	0	3	5	1	0	1	0	2	1	2	3	7	1	5	2	0	2	4	16	1	5	4	86	1	2	9	0	3	7	4	1	5	2	8	2	4	2	2	2	9	6	2	14	6	1	1	5	4	10	5	12	7	3	2	11	12	1	19	1	5	0	0	3	4	6	1	4	4	4	4	1	0	0	1	2	3	5	22	2	5	14	2	8	10	2	0	1	1	10	4	4	10	13	0	5	0	2	2	0	4	6	4	1	16	1	3	0	1	3	2	0	0	12	4	6	6	2	10	9	8	19	2	3	0	6	1	3	17	3	5	0	8	0	0	2	20	3	0	5	10	5	2	5	4	1	5	6	9	3	5	3	2	7	1	0	2	1	3	2	2	4	1	7	6	1	3	0	2	5	15	3	0	18	0	14	10	8	13	5	0	1	2	2	3	6	10	1	6	7	3	2	0	4	0	0	6	3	0	5	3	6	3	1	2	2	3	3	1	0	4	2	2	0	2	3	2	8	2	22	7	5	4	1
G[Del(T):R(1,4)]G	3	5	9	4	2	1	5	5	6	11	10	2	2	10	7	19	4	5	3	6	1	1	7	3	6	1	4	1	5	1	21	23	24	7	4	4	9	0	4	2	4	2	0	1	5	5	22	7	37	4	5	7	1	5	4	7	7	2	2	2	26	1	11	1	9	4	4	4	6	5	14	4	13	2	7	1	5	7	21	3	0	5	1	7	3	8	3	13	3	8	7	10	3	3	7	4	1	36	4	6	4	6	3	15	4	10	0	7	3	3	7	5	1	5	7	6	4	6	2	1	5	2	4	5	12	2	5	2	4	2	3	4	10	4	4	4	1	1	1	2	6	6	6	3	3	4	2	13	2	2	5	9	2	20	3	13	3	6	4	1	7	1	1	4	3	7	2	1	1	3	25	4	1	3	7	5	1	5	7	2	3	11	2	1	2	35	1	2	2	3	0	7	6	1	3	4	1	6	3	10	31	1	3	7	1	2	4	3	9	4	4	3	4	0	4	2	0	5	3	2	9	3	6	6	3	3	3	11	0	5	3	91	5	2	8	0	2	20	10	1	5	3	9	4	7	9	10	3	5	1	1	18	6	3	1	2	3	7	4	11	6	4	3	14	8	1	22	1	6	0	0	2	2	7	4	4	4	5	5	3	3	1	1	10	4	6	27	2	4	17	2	9	9	6	5	0	4	8	3	4	10	6	3	4	5	2	5	0	5	0	4	2	22	4	1	3	5	2	5	3	4	15	11	2	2	5	9	9	6	13	7	5	5	21	4	5	18	2	1	2	9	5	1	2	43	2	1	2	0	6	4	6	8	8	8	3	13	2	9	5	3	12	3	1	0	3	6	0	1	2	4	8	3	4	9	3	1	7	7	11	1	8	0	9	10	8	12	8	2	5	2	4	10	8	19	3	5	7	2	7	0	1	1	1	8	3	5	9	2	5	0	7	5	1	3	6	2	8	7	0	2	2	2	6	12	13	3	24	8	8	7	2
A[Del(T):R(5,7)]A	9	18	8	5	2	7	8	4	5	15	10	4	10	28	15	28	9	19	20	10	0	1	13	4	24	4	16	5	3	1	49	44	42	17	3	7	9	1	10	5	7	5	6	2	5	13	40	11	1081	0	19	14	6	12	8	10	7	3	17	3	85	4	15	2	20	6	11	15	29	17	28	13	26	10	8	0	10	9	38	6	1	16	2	5	14	12	7	19	10	2	11	10	1	1	14	1	0	39	13	6	8	13	3	24	12	12	2	18	5	1	11	9	1	17	2	4	6	10	0	7	5	6	1	12	15	5	16	0	7	9	9	8	17	9	12	9	1	5	1	3	11	18	14	7	1	5	7	17	0	0	11	16	6	28	4	6	5	28	7	2	13	4	5	7	6	13	12	3	0	5	166	8	12	6	15	7	5	3	9	12	4	18	3	7	1	100	3	5	10	8	5	15	11	3	6	11	4	15	6	18	66	9	5	5	2	1	13	17	11	1	21	7	5	1	4	5	10	9	5	3	25	11	15	0	4	7	7	23	6	16	9	1261	19	3	29	3	4	28	15	5	12	7	35	7	20	3	10	3	19	10	4	110	8	1	4	7	4	14	10	17	5	7	6	11	24	0	30	9	8	1	1	5	16	25	9	16	6	15	9	2	0	2	3	4	8	12	68	3	6	73	2	27	17	7	9	2	5	23	22	16	30	28	5	16	3	3	15	1	7	6	3	3	7	3	6	9	6	24	27	0	3	21	23	8	5	23	28	29	14	20	13	6	5	19	9	12	55	6	9	0	18	15	0	1	793	6	1	5	18	4	6	4	61	12	16	2	28	5	18	5	3	28	9	1	3	2	10	4	2	7	3	14	17	4	14	3	1	8	45	16	4	72	1	49	25	9	64	5	1	8	5	7	7	20	16	6	14	22	4	11	0	5	2	1	12	10	3	31	6	10	3	9	11	10	21	11	1	10	12	1	6	10	5	6	13	34	8	29	17	19	21	2
A[Del(T):R(5,7)]C	2	3	7	5	1	2	3	6	2	3	3	2	1	12	5	7	1	9	6	7	1	2	5	1	1	0	10	1	3	0	13	7	12	4	1	4	7	1	3	0	0	2	0	0	4	6	10	5	488	0	3	3	5	1	4	6	4	3	1	2	21	2	3	2	5	2	3	4	18	6	4	6	8	5	9	0	1	3	9	1	0	3	7	3	6	11	2	4	3	2	7	7	0	0	4	4	2	5	2	2	2	2	0	7	0	5	3	2	1	2	2	2	1	1	2	13	2	0	0	4	3	2	2	2	10	0	3	0	0	2	1	1	2	1	8	5	1	2	1	4	4	10	6	2	0	3	1	4	1	1	1	9	1	8	2	4	3	9	4	3	3	2	5	1	1	1	1	4	0	3	136	5	4	5	5	5	6	2	2	3	2	11	3	4	0	15	2	6	4	1	1	8	6	1	3	6	1	4	0	8	16	7	2	5	1	1	5	6	1	1	4	6	4	0	6	2	2	2	2	1	27	3	1	1	1	2	1	0	2	4	2	520	10	1	8	1	4	19	4	0	5	6	12	3	4	2	4	0	2	4	2	41	1	1	2	1	0	3	8	11	6	9	2	5	13	0	8	2	4	0	1	0	4	5	1	5	4	4	6	0	3	3	1	3	3	2	18	2	6	24	2	2	5	0	3	2	2	12	15	14	20	8	7	5	1	2	5	1	1	4	0	5	7	6	2	2	1	5	12	0	5	5	8	3	2	5	0	6	5	14	7	2	4	11	4	7	9	2	9	0	5	9	1	2	315	10	1	3	4	3	2	11	28	7	7	1	11	2	3	2	3	8	3	4	0	2	2	1	1	3	3	7	4	3	10	2	0	2	18	4	1	32	0	9	5	2	31	3	2	6	1	0	3	15	13	2	7	5	1	4	0	4	3	0	5	4	0	19	6	1	1	2	1	4	5	4	2	2	1	1	1	2	7	2	7	4	1	11	4	6	10	2
