MutationType	SP53460	SP50827	SP50263	SP50317	SP54113	SP50406	SP51824	SP55387	SP52779	SP55235	SP50713	SP50611	SP50485	SP51037	SP55142	SP53387	SP54745	SP52284	SP53618	SP52232	SP50412	SP50321	SP53548	SP55004	SP56079	SP56168	SP54363	SP53810	SP50518	SP56303	SP55711	SP55509	SP55309	SP52607	SP52667	SP51446	SP50592	SP53073	SP56638	SP56537	SP57586	SP56541	SP56553	SP56771	SP57941	SP57818	SP56460	SP56474	SP56704	SP56533	SP56730	SP59245	SP57024	SP57933	SP56754	SP56827	SP57084	SP57538	SP57735	SP57669	SP56566	SP56569	SP58342	SP58349	SP56644	SP57629	SP56941	SP57619	SP58245	SP57251	SP56502	SP58668	SP58101	SP58991	SP56607	SP58326	SP57267	SP57066	SP57901	SP57651	SP57450	SP57846	SP58612	SP56821	SP58882	SP57189
A[Del(T):R(5,7)]G	7	11	8	5	12	0	4	1	9	16	1	13	1	2	38	7	8	1	8	2	1	0	1	0	5	5	5	9	4	6	2	12	1	0	7	1	0	7	3	16	10	10	15	4	21	10	8	9	11	9	12	13	5	22	4	3	15	18	11	11	0	8	15	22	12	26	0	11	16	22	15	17	9	13	4	24	19	9	7	5	5	9	8	14	7	34
C[Del(T):R(5,7)]A	11	15	6	6	21	0	6	0	6	19	3	10	2	3	40	13	10	4	9	7	0	2	1	0	7	3	12	18	3	6	2	8	1	0	2	5	2	10	12	14	8	5	12	4	17	11	6	9	13	9	3	15	9	15	4	8	14	22	25	19	2	11	19	8	13	17	2	9	30	21	19	16	22	12	8	22	15	12	8	8	5	16	7	5	9	36
C[Del(T):R(5,7)]C	6	14	9	4	10	0	6	1	9	10	2	8	1	1	41	6	9	3	11	8	0	2	0	0	4	2	7	14	2	3	5	10	0	1	3	1	1	4	7	13	2	10	20	7	17	8	8	11	10	10	13	9	10	14	9	6	21	23	14	12	5	11	9	19	10	19	0	9	23	5	7	20	13	9	4	23	21	16	3	6	10	15	11	10	6	26
C[Del(T):R(5,7)]G	4	12	1	7	13	0	6	1	15	18	0	9	1	1	34	6	6	1	12	5	0	4	0	0	5	2	8	17	2	3	1	10	2	0	9	1	1	5	10	17	8	8	19	4	31	10	7	9	13	5	6	7	6	17	10	5	11	13	19	15	2	5	21	22	8	13	1	12	17	19	9	14	8	5	3	17	11	11	11	3	8	6	5	10	5	35
G[Del(T):R(5,7)]A	2	3	2	3	12	0	2	0	4	8	1	4	0	6	24	3	5	1	3	2	0	2	2	0	3	2	1	8	2	2	2	6	0	1	1	1	1	3	4	9	5	0	13	4	10	9	7	9	2	2	12	9	5	10	2	2	8	8	4	5	1	4	5	13	7	10	0	3	6	9	7	9	8	8	2	13	7	7	7	3	4	0	3	6	8	16
G[Del(T):R(5,7)]C	2	4	2	4	12	0	6	0	3	7	1	5	1	0	27	2	5	1	7	2	0	0	3	0	5	1	5	7	2	5	3	3	1	1	2	1	0	4	3	2	2	3	14	2	10	5	2	4	11	4	8	5	2	7	3	5	5	9	7	5	0	4	7	6	4	5	0	4	11	7	6	7	6	8	0	13	8	7	9	1	3	4	2	8	10	14
G[Del(T):R(5,7)]G	1	4	1	1	13	0	6	1	3	10	3	6	1	2	29	6	5	1	6	4	0	0	1	0	7	1	6	8	4	3	1	4	1	1	1	0	0	1	4	6	7	3	13	3	65	6	8	3	3	7	6	10	9	25	5	4	10	8	3	11	6	8	8	13	7	6	2	3	16	81	6	8	10	2	5	16	9	6	5	3	2	7	5	7	7	24
A[Del(T):R(8,)]A	0	3	6	17	7	0	2	0	3	2	1	2	3	0	17	0	6	0	1	0	0	1	2	0	1	4	4	1	2	4	1	0	0	0	0	1	0	2	2	9	7	0	16	3	5	4	7	11	9	5	3	5	2	23	3	1	10	6	6	4	2	7	7	1	7	13	0	6	1	6	13	4	8	6	2	17	9	2	5	2	8	6	6	6	3	35
A[Del(T):R(8,)]C	1	7	4	10	1	0	1	0	2	2	0	1	0	1	19	4	3	2	2	0	1	0	2	0	0	2	5	1	1	4	0	1	0	0	2	1	2	3	5	10	3	5	12	6	7	4	7	9	8	2	8	3	0	16	4	0	5	5	5	2	4	3	3	3	11	17	0	3	5	4	5	5	13	8	2	13	9	4	2	3	7	3	3	6	5	25
A[Del(T):R(8,)]G	1	0	1	1	3	0	1	0	0	1	0	2	0	0	7	0	4	2	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	1	2	1	1	4	1	1	11	3	0	3	3	8	2	4	5	1	1	13	3	0	5	1	3	1	4	2	0	2	9	7	0	1	4	0	4	2	1	4	0	5	6	2	4	3	4	1	3	2	4	14
C[Del(T):R(8,)]A	0	1	2	6	2	0	1	0	1	4	0	2	0	1	13	0	4	2	1	0	0	0	1	0	1	0	2	0	0	2	0	3	0	0	1	0	0	2	4	6	4	5	5	5	7	3	7	10	2	3	11	5	1	11	0	1	9	5	1	7	9	1	5	2	5	17	0	2	6	3	5	1	4	9	2	9	4	4	3	3	5	2	4	4	9	16
C[Del(T):R(8,)]C	1	3	4	5	4	0	2	0	3	2	0	0	0	2	11	0	6	2	1	1	1	1	1	0	0	0	3	2	0	1	1	2	0	0	2	0	1	1	2	5	4	1	7	1	4	0	8	7	5	6	6	2	2	16	3	1	4	6	1	4	5	4	6	0	6	11	1	2	8	1	6	6	5	4	1	5	6	3	2	4	4	0	7	3	5	15
C[Del(T):R(8,)]G	0	2	0	1	1	0	1	0	0	4	0	0	0	1	4	1	1	1	1	0	0	1	1	0	0	0	0	2	1	3	0	2	0	0	1	0	0	1	0	6	2	0	2	2	3	1	2	7	2	0	6	2	0	6	1	0	5	3	2	2	1	1	2	2	4	12	0	0	5	1	6	3	3	3	1	9	3	2	0	1	4	1	3	3	2	10
G[Del(T):R(8,)]A	0	1	3	3	2	0	0	0	0	1	0	2	0	1	6	1	3	2	1	0	0	1	0	0	0	1	1	1	0	4	0	2	0	0	1	0	0	0	0	7	1	0	3	0	3	1	4	3	2	2	2	3	0	2	4	0	4	1	1	1	0	6	5	1	6	6	0	1	3	3	1	3	6	3	1	6	2	2	1	1	2	1	5	0	5	6
G[Del(T):R(8,)]C	0	1	0	3	1	0	0	0	0	5	0	2	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	2	1	1	1	0	2	0	1	2	2	5	3	0	1	1	0	10	1	3	2	3	1	2	2	3	0	1	4	4	0	0	2	1	4	4	4	5	1	4	3	3	0	0	2	1	4	3	1	12
G[Del(T):R(8,)]G	0	0	1	3	0	0	0	0	0	1	0	0	0	2	0	0	1	2	1	0	1	0	2	0	0	0	1	0	0	0	1	2	0	0	1	0	1	2	1	3	1	0	4	0	0	0	1	1	1	1	3	1	0	4	2	1	2	1	0	0	1	2	2	1	4	2	0	2	1	1	4	1	2	3	1	3	4	0	0	0	2	0	2	1	2	2
A[Ins(C):R0]A	1	0	0	1	10	0	2	0	2	2	0	1	0	1	7	3	7	2	0	1	0	0	3	0	4	2	3	4	0	1	1	2	0	0	0	0	0	2	3	2	1	4	1	1	3	1	2	1	1	0	5	5	2	1	2	0	2	4	5	4	3	3	22	11	2	2	0	1	1	4	3	9	4	1	0	2	24	3	3	0	5	4	1	1	1	6
A[Ins(C):R0]T	3	2	0	1	6	0	0	0	1	2	0	1	0	0	5	4	3	0	1	0	0	0	0	0	1	0	1	6	0	2	0	0	0	0	0	0	0	3	5	4	3	3	4	0	3	0	1	1	2	0	5	9	1	6	0	3	1	1	0	1	0	6	12	6	3	1	0	0	2	1	2	3	4	0	3	3	10	2	0	1	1	0	1	5	0	5
Ins(C):R(0,3)	25	25	7	6	96	2	22	8	42	50	10	35	5	3	63	38	17	4	49	18	2	10	7	0	22	9	28	88	9	3	5	28	1	3	14	11	5	10	39	27	27	25	66	7	39	30	14	9	51	17	28	32	23	31	27	15	32	33	34	27	8	27	36	33	24	14	3	23	29	33	38	52	45	17	11	50	35	43	17	11	14	30	37	29	24	94
Ins(C):R(4,6)	8	23	8	3	49	0	12	7	26	45	2	23	0	0	59	23	6	8	27	9	0	5	1	0	17	4	11	70	3	6	1	24	0	0	7	2	2	14	17	19	15	29	48	8	24	11	13	7	33	8	12	14	10	21	10	12	15	26	12	13	12	7	24	14	17	15	1	8	3	7	22	30	23	19	16	49	20	23	14	11	10	34	21	21	11	45
Ins(C):R(7,)	1	1	4	2	1	0	0	0	8	2	1	1	0	4	7	1	5	1	6	1	0	2	2	0	4	0	4	3	1	3	3	3	0	1	3	4	2	2	4	7	4	2	6	5	1	6	11	5	4	1	7	3	4	14	2	0	7	6	2	3	2	0	8	1	2	9	3	2	1	2	8	7	4	2	2	7	5	10	7	1	4	6	5	3	5	6
A[Ins(T):R(0,4)]A	7	16	4	3	15	0	4	1	10	23	1	9	2	4	34	11	11	3	7	3	0	7	2	0	5	1	12	28	6	4	6	16	1	0	5	2	1	9	14	12	7	6	10	8	13	27	6	10	11	9	14	13	5	10	9	9	15	11	7	13	9	6	24	12	11	16	3	9	11	17	10	9	13	21	5	20	16	22	12	4	4	8	7	5	10	25
A[Ins(T):R(0,4)]C	8	8	0	1	16	0	5	1	8	7	1	4	1	1	21	5	4	2	3	1	1	6	2	0	3	4	9	23	2	2	3	4	1	1	2	0	3	3	4	12	5	6	6	5	9	8	6	4	10	6	6	3	1	9	3	2	8	7	3	8	3	7	10	7	10	2	2	2	8	12	0	9	6	4	1	11	11	5	10	5	3	8	6	1	2	9
A[Ins(T):R(0,4)]G	41	73	3	6	94	1	19	14	45	128	14	64	0	2	130	46	25	6	91	39	2	19	0	0	53	9	48	230	1	4	2	87	0	2	23	0	3	20	43	40	36	42	53	13	101	63	16	10	83	20	43	59	17	45	29	30	51	31	31	48	12	34	83	45	45	22	4	38	58	46	40	77	42	27	19	96	60	68	20	12	8	42	33	42	15	150
C[Ins(T):R(0,4)]A	7	12	5	4	12	0	10	0	12	12	4	14	1	0	18	11	6	1	11	8	1	6	0	0	7	5	17	36	1	3	4	11	0	2	8	5	5	6	5	6	7	3	12	1	14	12	1	7	12	4	2	9	5	6	8	5	5	12	6	6	5	5	9	12	8	5	0	7	5	11	9	20	1	7	6	20	15	12	9	3	1	10	7	7	6	22
C[Ins(T):R(0,4)]C	6	13	4	1	18	1	8	1	10	16	1	8	1	1	19	5	5	2	12	8	0	1	1	0	13	6	6	39	3	3	0	12	0	2	5	1	0	7	5	6	4	5	12	5	13	8	5	2	9	9	7	10	5	11	3	6	10	7	2	9	9	3	12	6	7	3	0	8	5	4	6	6	8	5	3	22	9	10	1	3	3	9	6	4	3	23
C[Ins(T):R(0,4)]G	38	69	1	7	128	0	20	8	70	136	16	76	3	0	145	52	27	2	129	33	1	13	1	0	62	10	42	233	2	1	3	103	2	2	43	2	2	16	59	43	26	60	79	7	110	83	9	4	74	22	32	38	18	43	17	38	38	40	36	39	6	25	77	42	45	17	4	44	70	48	36	80	44	33	23	82	59	57	17	9	9	46	30	43	13	163
G[Ins(T):R(0,4)]A	7	14	3	3	16	0	7	2	10	20	5	6	4	1	24	12	9	3	18	4	3	5	1	0	9	6	7	31	6	4	4	19	1	3	8	2	4	3	5	2	8	6	7	3	20	12	4	4	6	2	7	5	4	11	5	4	4	9	11	3	3	4	10	10	3	7	2	9	8	6	9	13	6	2	4	8	9	18	3	4	1	5	3	6	3	17
G[Ins(T):R(0,4)]C	7	3	1	2	20	0	3	1	7	14	4	9	2	0	20	4	5	0	8	5	1	3	3	0	2	0	8	15	2	2	1	10	1	0	6	0	0	6	3	5	4	3	6	0	7	7	3	2	3	1	2	2	2	3	4	2	1	4	3	8	5	5	8	4	10	9	1	5	6	4	8	13	3	5	4	5	2	4	2	1	1	6	4	1	2	9
G[Ins(T):R(0,4)]G	45	63	1	2	107	0	31	10	44	108	4	89	1	0	138	27	17	2	87	36	1	17	1	1	46	2	45	207	0	3	0	78	0	1	32	0	2	19	45	28	25	35	62	4	89	57	12	3	64	17	36	38	19	46	17	49	39	27	30	47	14	23	73	50	48	15	1	50	43	30	35	52	36	24	21	92	61	40	14	8	8	44	25	28	13	131
A[Ins(T):R(5,7)]A	2	11	17	6	11	0	9	1	7	8	2	5	4	9	32	5	18	6	7	0	6	11	7	1	5	11	23	10	7	17	10	18	1	1	2	13	6	4	12	15	28	5	19	17	22	8	42	20	10	21	27	22	18	18	13	5	35	14	4	13	19	5	22	4	35	83	8	3	5	27	19	18	10	27	20	28	17	38	38	9	24	16	31	30	14	30
A[Ins(T):R(5,7)]C	1	18	18	9	8	0	15	2	8	15	3	12	6	10	47	4	26	21	7	0	0	2	10	0	4	16	31	14	11	11	13	14	1	2	8	12	16	1	10	23	20	3	26	18	10	13	34	20	11	17	18	12	18	21	18	5	47	15	9	15	17	10	38	10	29	70	11	5	15	28	30	23	12	36	13	34	26	45	29	14	27	19	17	32	18	41
A[Ins(T):R(5,7)]G	8	18	14	7	35	0	16	4	18	31	4	22	4	5	80	10	27	18	21	8	4	7	8	1	14	20	36	30	11	22	18	24	2	7	7	18	13	9	24	26	17	16	35	31	37	19	55	18	30	22	29	18	14	38	16	5	33	13	11	18	29	22	53	21	47	65	2	22	28	35	31	38	11	29	15	54	42	58	43	10	19	22	24	24	31	68
C[Ins(T):R(5,7)]A	3	10	8	3	5	0	3	1	2	6	2	5	1	6	24	1	10	7	1	1	0	4	3	0	4	8	11	7	5	5	4	7	0	2	4	4	11	1	5	9	9	0	18	9	11	3	23	13	5	6	8	5	8	9	6	3	12	9	4	9	11	5	9	2	7	26	5	3	4	9	6	9	5	10	12	14	10	18	10	3	12	14	8	17	3	14
C[Ins(T):R(5,7)]C	0	5	7	8	13	0	8	1	4	17	2	10	2	5	37	4	10	11	8	1	0	4	8	1	7	12	15	11	6	12	11	10	0	1	1	12	9	3	7	12	6	2	25	5	11	5	30	13	8	6	8	8	1	11	11	3	21	5	4	6	14	5	22	9	18	45	6	2	4	20	9	7	5	14	14	26	17	35	25	2	7	9	13	9	4	27
C[Ins(T):R(5,7)]G	2	8	7	4	16	0	6	1	8	21	1	7	3	6	33	2	21	8	17	2	3	7	6	0	8	9	10	21	5	4	6	8	0	0	9	6	4	9	14	13	16	3	12	12	9	8	23	13	11	8	15	12	9	15	11	2	23	19	10	13	18	13	23	17	19	46	1	7	5	22	18	22	12	20	4	23	9	22	21	6	8	16	14	16	12	31
G[Ins(T):R(5,7)]A	1	8	4	2	6	0	5	0	6	7	2	2	3	4	14	2	11	4	4	2	1	4	4	0	1	3	7	5	4	6	5	6	1	0	2	6	6	2	8	9	9	1	9	9	7	4	10	7	1	2	8	10	6	7	5	1	14	5	5	5	11	3	19	6	12	29	4	1	11	15	7	5	10	12	7	9	5	12	13	4	10	12	10	13	9	8
G[Ins(T):R(5,7)]C	2	6	7	2	7	0	7	0	4	10	1	6	1	7	22	7	9	13	5	2	2	3	6	0	3	6	12	10	6	9	5	11	0	1	1	3	5	5	8	9	14	1	14	8	9	4	21	12	6	11	13	7	4	6	6	6	17	7	4	11	6	5	29	3	12	32	5	3	5	6	9	8	6	14	8	13	13	31	14	6	14	10	10	16	13	15
G[Ins(T):R(5,7)]G	6	6	11	1	14	1	9	1	6	13	3	9	0	10	29	4	9	4	14	0	1	1	5	0	8	10	14	21	12	8	9	9	0	2	5	8	4	6	17	11	11	4	21	20	12	11	17	13	12	10	16	14	7	21	5	5	30	12	9	12	11	8	35	10	18	48	7	9	9	20	11	21	10	12	11	18	16	28	21	5	15	15	12	15	11	41
A[Ins(T):R(8,)]A	0	15	12	7	1	0	8	0	6	4	0	2	2	7	16	2	9	9	4	1	2	2	5	0	1	2	11	3	6	7	2	4	0	1	2	7	4	3	9	11	7	0	20	8	7	9	20	14	9	5	14	15	15	11	11	2	26	5	2	9	20	7	18	5	19	62	9	5	5	17	10	5	7	28	7	25	12	31	18	4	11	12	13	15	14	26
A[Ins(T):R(8,)]C	1	10	15	1	3	0	7	0	11	3	0	3	1	8	26	4	4	2	7	1	0	2	0	0	1	3	11	2	7	13	4	3	1	1	0	7	1	4	16	19	4	1	19	20	14	5	29	13	7	6	15	11	12	14	8	4	23	5	5	13	18	10	30	1	26	47	8	2	7	15	13	13	8	13	6	21	10	21	20	7	10	13	18	26	17	24
A[Ins(T):R(8,)]G	2	9	11	4	1	0	3	1	8	2	0	7	2	3	11	2	4	6	5	2	1	4	1	0	1	0	13	8	9	9	6	5	0	0	0	6	6	5	13	11	5	2	17	16	6	6	26	9	7	6	15	10	6	10	5	5	20	5	2	5	13	6	17	5	22	45	5	2	1	6	13	14	4	17	8	17	7	22	16	4	20	10	5	17	14	27
C[Ins(T):R(8,)]A	1	7	5	1	2	0	3	0	1	1	0	2	0	1	10	1	3	5	1	0	0	0	2	0	0	3	7	3	2	2	4	3	0	0	0	4	2	4	4	10	7	1	12	6	6	3	14	8	5	6	4	2	3	10	7	1	11	5	3	6	4	1	18	9	8	28	4	2	1	5	5	8	4	13	7	9	14	12	12	4	6	6	7	4	5	11
C[Ins(T):R(8,)]C	0	4	7	3	8	0	1	0	1	1	0	4	0	1	9	2	0	11	3	1	0	1	1	0	0	1	3	2	3	6	4	0	0	1	1	5	4	3	7	6	5	2	12	12	5	2	14	6	4	4	11	7	6	4	8	0	11	0	3	4	7	2	11	4	16	31	5	1	3	6	2	6	8	10	7	17	7	15	12	5	16	5	6	9	11	17
C[Ins(T):R(8,)]G	2	4	3	3	3	0	1	0	6	1	0	4	0	0	11	0	4	6	2	0	1	4	3	1	1	0	6	4	5	3	0	2	0	1	0	2	2	2	11	8	6	2	17	7	4	5	25	10	3	3	8	4	5	14	8	1	18	5	1	2	9	7	16	2	13	31	6	1	4	6	9	6	2	19	8	16	10	28	14	0	11	4	10	11	8	16
G[Ins(T):R(8,)]A	0	4	3	4	2	0	2	0	5	3	0	2	0	3	6	1	3	6	1	1	0	2	0	0	0	1	4	1	4	2	3	2	0	2	1	1	1	1	2	9	3	1	4	9	1	2	16	4	1	6	9	7	4	6	4	0	9	5	2	2	9	1	9	1	5	19	1	2	2	2	2	2	4	12	3	7	6	12	14	1	8	7	5	6	5	8
G[Ins(T):R(8,)]C	1	4	3	0	5	0	1	0	3	0	2	0	0	3	12	0	4	4	0	0	1	2	1	0	0	2	5	2	3	3	4	0	0	0	1	3	2	3	4	6	6	1	9	7	1	2	10	1	3	7	7	9	7	11	3	3	8	2	5	3	6	5	12	3	17	23	3	1	2	2	2	4	5	16	5	12	7	9	8	4	10	6	5	8	13	13
G[Ins(T):R(8,)]G	0	1	3	2	1	0	2	0	1	1	0	1	1	3	6	1	1	3	4	1	0	0	1	0	1	1	2	1	7	8	5	2	0	0	0	4	1	0	7	5	3	1	10	7	2	5	19	9	3	2	8	4	2	13	0	1	7	2	4	3	4	11	9	6	15	13	4	3	3	4	9	6	2	14	7	8	6	11	12	4	8	6	6	7	7	16
Del(2,4):R1	18	34	5	10	40	0	16	5	39	48	8	30	3	4	80	18	25	6	41	12	5	24	3	0	24	14	28	63	6	17	10	40	3	2	31	7	8	13	14	20	22	27	30	15	52	43	25	17	23	24	20	35	12	61	20	19	15	22	22	33	9	18	28	30	31	21	5	14	26	29	23	19	15	22	18	42	21	28	17	12	15	22	22	14	22	53
