MutationType	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
A[Del(T):R(1,4)]A	34	7	31	5	15	16	29	8	10	8	21	10	7	10	39	70	313	15	11	98	11	8	10	21	14	7	20	24	8	29	23	31	9	41	24	5	28	25	20	13	14	131	8	36	15	13	18	20	20	16	21	8	22	5	7	23	18	8	6	17	7	11	24	237	13	17	14	7	5	11	14	428	7	19	104	3	6	14	4	20	7	4	13	30	7	20	20	15	6	15	15	12	6	17	19	9	13	16	13	20	11	53	73	9	27	22	26	19	444	27	36	21	16	13	25	50	16	22	21	24	7	17	5	15	31	5	22	28	8	8	11	15	9	22	16	14	27	10	12	5	35	23	4	26	68	25	7	2	15	20	27	14	18	6	21	16	8	4	27	15	21	11	17	16	12	9	20	15	17	9	30	17	31	8	15
A[Del(T):R(1,4)]C	18	2	11	3	5	5	18	9	6	9	8	4	6	3	17	39	114	8	3	51	14	1	2	18	3	3	9	8	0	18	6	17	3	24	3	3	11	3	8	7	3	84	4	11	6	10	12	11	15	6	12	3	5	1	3	17	7	11	3	20	9	5	16	101	9	2	0	4	2	3	7	337	4	11	40	3	9	4	3	6	2	5	3	16	4	12	10	6	2	14	17	4	0	5	8	3	5	3	8	11	3	58	44	3	6	13	13	11	134	12	15	14	10	8	11	33	13	6	11	17	6	7	2	5	20	6	14	15	7	5	6	6	1	11	10	7	10	6	2	2	15	5	4	14	18	18	1	2	6	17	15	6	12	2	8	2	14	1	9	8	13	4	4	3	8	11	7	7	8	7	14	7	13	7	7
A[Del(T):R(1,4)]G	17	7	9	5	11	11	11	6	9	11	8	4	7	5	16	24	98	4	3	31	10	3	4	13	1	7	4	4	6	8	11	22	4	22	9	0	16	9	10	3	1	49	7	12	9	11	8	13	6	12	4	4	6	1	4	11	2	2	2	17	2	5	17	118	8	5	7	1	3	5	6	151	5	14	60	3	1	4	5	5	1	1	3	19	1	10	5	11	2	6	4	3	2	10	6	1	3	4	3	7	5	31	36	3	13	8	18	10	99	22	6	10	6	3	17	34	13	9	10	14	3	4	5	1	18	0	15	17	11	4	5	7	4	7	14	10	8	3	3	3	24	7	1	15	16	17	2	2	3	13	12	8	7	3	10	6	5	2	15	7	6	4	15	4	12	2	6	10	12	4	23	5	18	2	10
C[Del(T):R(1,4)]A	23	6	12	5	11	10	23	12	6	10	15	6	11	10	29	1	111	11	4	9	19	2	2	16	7	5	3	9	2	26	7	32	3	27	20	5	15	21	9	6	5	7	2	21	14	15	9	10	6	15	4	4	6	7	3	12	6	4	2	14	9	6	19	165	6	5	3	5	9	8	4	7	8	15	51	5	3	6	6	17	3	3	5	12	2	16	16	12	4	7	10	6	8	11	8	8	5	11	8	14	2	42	35	5	20	23	23	7	130	18	34	14	8	10	15	24	16	16	15	13	5	4	3	3	35	2	18	21	8	5	2	12	4	13	9	2	12	2	6	7	21	16	6	15	11	18	3	3	9	18	16	6	13	6	15	6	6	0	16	13	10	3	9	3	11	4	21	9	9	6	24	7	19	4	7
C[Del(T):R(1,4)]C	13	3	4	1	11	11	18	9	12	9	9	4	4	8	24	0	129	10	6	10	8	1	3	15	2	7	5	7	3	19	7	23	13	31	10	2	11	10	16	5	11	13	2	12	11	10	7	12	9	14	9	2	4	8	8	16	10	7	8	6	1	6	16	165	9	4	3	3	5	2	10	15	6	20	52	4	4	11	2	7	3	2	4	18	6	18	8	12	1	5	7	8	4	12	10	8	3	7	12	14	5	44	47	5	7	16	14	8	179	14	24	13	8	5	14	23	16	5	14	11	2	8	4	5	23	2	13	12	5	7	12	13	5	12	8	5	9	9	6	6	12	13	7	16	24	19	2	3	8	12	13	3	11	7	12	5	13	2	14	7	8	5	14	5	3	7	14	13	7	7	16	9	17	1	9
C[Del(T):R(1,4)]G	13	9	16	5	11	11	16	9	16	4	16	3	1	2	15	3	100	10	5	4	7	2	1	15	6	5	5	10	5	22	13	21	10	40	14	0	13	13	9	5	3	14	5	18	17	7	6	12	10	10	7	3	6	2	2	14	6	15	4	14	9	7	22	93	6	10	3	2	3	7	6	7	7	18	52	5	5	6	2	10	1	1	8	20	4	17	12	15	5	4	10	4	2	10	6	4	5	5	10	6	10	40	34	10	20	23	13	5	57	20	16	10	7	10	9	19	13	12	15	16	4	5	2	2	20	4	21	21	7	4	3	4	3	11	7	7	14	7	9	6	26	18	4	17	10	17	1	2	5	14	19	11	14	9	11	13	4	0	13	13	13	2	8	4	11	14	18	12	10	10	21	9	16	4	10
G[Del(T):R(1,4)]A	12	1	11	3	4	7	14	10	7	6	6	2	2	2	9	2	91	5	3	2	2	4	3	10	3	2	7	12	4	10	10	14	3	28	6	1	6	5	5	3	5	8	1	8	5	5	7	9	5	8	6	0	7	5	2	5	9	6	3	6	5	1	10	73	5	4	6	2	6	3	5	7	8	13	41	2	2	5	4	10	3	4	3	11	0	20	10	2	3	4	3	3	1	6	3	6	1	5	7	11	4	23	34	2	4	11	12	5	182	10	19	10	3	1	11	10	12	4	13	11	4	8	7	2	21	4	10	3	3	4	11	12	4	7	5	3	8	4	4	2	15	7	6	10	3	12	2	3	3	6	15	4	4	5	5	5	4	0	10	6	10	3	6	5	9	5	6	11	2	5	11	2	11	3	9
G[Del(T):R(1,4)]C	9	5	8	0	1	5	11	3	7	3	6	6	3	3	19	3	87	9	4	6	9	1	3	13	2	1	5	10	3	2	5	14	2	22	4	1	7	4	4	1	6	8	4	6	8	3	4	5	5	6	8	1	2	3	2	5	8	1	2	6	1	0	9	55	3	0	3	1	0	4	5	7	3	12	38	2	5	0	3	5	3	1	2	13	2	15	9	3	5	7	5	2	2	1	8	3	5	2	8	4	4	29	34	1	5	10	6	7	166	9	8	6	3	3	8	18	9	5	16	5	1	3	2	1	13	2	9	7	4	4	1	5	2	2	2	8	7	5	1	4	17	4	3	5	11	15	0	2	6	10	6	4	7	0	8	2	5	0	6	8	5	3	4	1	5	1	11	6	8	4	8	2	9	0	6
G[Del(T):R(1,4)]G	12	6	7	0	9	10	14	9	8	6	6	6	7	3	11	4	111	5	5	7	5	3	2	13	2	6	6	14	1	9	2	9	8	17	9	1	9	8	2	3	6	11	7	8	7	2	1	5	10	8	8	3	4	1	2	7	8	7	1	8	4	4	19	104	2	3	3	7	3	8	4	8	5	6	34	3	2	4	3	8	2	1	3	14	2	14	9	8	4	1	5	4	5	9	3	2	3	5	8	9	6	23	45	4	7	8	13	16	199	7	11	12	5	4	10	19	12	5	8	12	2	6	7	1	13	4	15	10	3	5	7	6	2	12	5	4	12	3	2	5	11	7	2	7	7	8	1	1	10	15	12	5	2	3	7	3	5	1	12	6	14	3	10	2	5	7	13	3	7	3	16	0	13	3	7
A[Del(T):R(5,7)]A	17	11	19	4	11	10	49	7	14	20	18	20	20	9	12	33	2898	15	22	34	13	6	1	12	4	6	7	39	10	37	32	13	16	52	15	1	7	16	31	10	25	50	10	10	13	33	16	33	11	18	8	5	10	1	9	13	11	7	7	9	19	3	15	3039	31	10	12	9	2	22	1	58	10	64	34	3	2	13	4	43	1	4	9	10	2	40	18	9	4	9	12	10	3	9	11	6	3	7	17	5	14	186	591	8	27	11	28	48	3546	21	36	8	18	6	63	21	18	15	20	31	8	48	6	17	18	9	13	10	42	13	7	25	8	5	17	32	59	8	4	10	23	20	4	38	490	13	5	3	12	58	22	8	10	2	22	15	19	3	28	11	13	18	15	23	14	8	7	14	24	3	24	28	19	6	15
A[Del(T):R(5,7)]C	12	13	18	6	4	9	16	9	12	9	11	10	6	5	6	23	1192	15	13	26	14	2	4	6	3	1	2	11	7	30	22	12	13	36	3	3	7	3	14	2	11	31	4	7	6	28	17	24	3	11	3	2	11	3	12	9	4	6	9	3	11	6	16	1619	15	5	7	6	2	8	2	60	3	23	21	2	2	5	6	21	2	1	6	6	5	25	19	8	7	10	6	4	2	5	5	8	5	5	8	10	9	150	333	4	10	6	20	35	1902	21	21	8	5	4	34	4	7	7	12	19	7	35	4	8	6	4	11	6	25	13	6	15	5	10	13	28	42	3	5	4	9	15	2	28	257	8	5	3	10	41	17	5	5	0	9	13	12	3	18	9	2	11	3	9	10	8	10	1	8	4	8	25	24	4	15
A[Del(T):R(5,7)]G	12	6	20	1	2	5	18	8	4	7	10	8	10	5	8	26	1825	9	12	38	5	6	3	8	2	8	4	13	4	17	15	11	9	19	4	0	10	5	29	2	8	29	10	5	4	18	10	24	6	6	4	2	9	4	4	5	7	9	6	6	8	6	9	2296	11	8	6	4	6	11	3	85	0	23	16	2	5	7	3	9	1	4	5	10	1	16	12	8	5	7	8	5	3	2	2	5	1	5	7	13	9	69	363	6	10	2	25	22	1762	11	16	14	6	10	25	10	10	2	9	16	1	17	7	7	8	3	10	6	18	6	4	12	7	8	7	10	27	4	6	5	15	17	2	24	382	7	0	1	4	31	13	8	6	2	8	8	9	0	18	7	8	12	3	10	8	9	4	6	14	5	6	15	12	7	10
C[Del(T):R(5,7)]A	7	5	16	3	7	4	14	7	9	3	12	7	5	5	12	7	1685	7	5	5	10	2	3	9	4	4	1	21	1	17	10	15	9	22	8	1	11	9	11	1	8	16	5	7	9	18	6	18	10	9	2	2	1	2	2	6	9	2	4	1	12	7	18	1677	6	6	4	2	3	4	3	1	1	33	14	1	3	1	3	15	2	2	3	5	0	21	9	3	1	5	5	3	0	6	7	4	4	5	9	8	7	82	241	1	7	14	17	17	1797	10	21	10	7	2	21	10	6	7	8	15	6	12	4	2	12	3	15	11	16	3	1	7	1	7	5	9	10	1	2	6	13	11	1	21	263	5	3	1	8	12	12	6	2	3	9	4	7	1	14	10	2	6	1	3	6	3	9	4	10	3	10	6	8	4	8
C[Del(T):R(5,7)]C	6	2	6	2	9	6	22	4	8	4	13	5	5	3	9	8	1406	10	5	6	5	1	3	2	3	5	0	17	2	21	13	11	13	14	3	2	5	4	24	4	6	14	6	6	7	16	11	10	2	12	0	1	3	3	4	6	5	5	5	4	8	4	15	1528	7	2	9	1	6	7	5	3	0	17	5	0	3	5	3	10	0	2	2	7	1	16	9	5	2	4	5	3	2	7	4	5	2	6	4	8	4	130	322	3	9	2	9	17	2259	11	18	7	3	5	15	10	4	4	12	10	5	7	2	1	10	2	12	5	6	8	3	5	1	6	5	8	14	2	3	2	7	5	0	15	241	7	4	0	6	17	16	8	5	1	5	5	2	0	7	7	1	6	4	4	10	5	13	9	12	3	9	4	11	3	3
C[Del(T):R(5,7)]G	6	2	8	2	6	7	8	2	1	1	9	5	5	4	3	6	1323	8	3	5	4	3	0	3	0	3	1	8	2	12	8	10	7	16	4	1	6	4	18	4	8	8	3	7	4	13	4	6	3	4	1	2	7	5	2	2	2	6	1	1	10	2	6	1557	6	3	8	2	1	7	3	3	2	14	5	1	1	3	1	8	2	1	3	3	1	6	7	1	1	5	2	3	1	6	7	10	2	7	3	6	5	54	273	1	7	7	7	15	1299	8	15	7	3	0	9	8	5	4	10	14	2	6	0	0	5	0	6	4	13	3	2	6	0	5	3	7	13	2	3	2	4	13	0	6	276	9	5	3	1	9	7	6	3	1	8	2	4	1	8	5	4	2	3	6	7	6	2	7	7	6	6	6	8	2	10
G[Del(T):R(5,7)]A	6	4	2	1	0	7	12	5	5	2	2	5	2	5	4	5	1116	7	2	5	5	1	1	5	0	2	0	12	3	21	15	8	3	13	4	2	8	6	7	0	6	14	3	7	6	7	7	11	4	3	1	2	4	1	2	6	4	3	2	3	6	2	9	955	9	2	12	3	1	6	2	0	1	16	18	0	2	5	0	11	0	0	5	3	2	7	6	6	2	6	2	4	3	0	3	1	2	6	5	7	2	46	274	4	3	3	8	13	2148	6	7	5	3	0	8	5	4	1	4	6	1	6	1	3	8	2	7	4	8	6	2	5	0	5	1	6	15	1	3	2	8	8	0	11	160	6	0	1	2	13	11	1	0	3	4	2	4	0	4	5	5	4	3	2	3	3	4	3	4	1	11	9	4	4	1
G[Del(T):R(5,7)]C	6	1	8	1	7	1	8	2	2	4	9	5	6	1	7	4	793	6	9	4	5	1	2	3	1	2	3	15	3	13	9	11	1	10	7	0	4	5	10	1	2	6	1	1	1	8	8	10	3	3	3	0	2	1	1	4	7	2	4	4	8	3	2	1018	1	0	6	3	4	7	3	2	2	11	2	1	6	2	0	9	1	2	0	5	1	17	5	3	2	2	4	0	0	6	5	1	0	3	3	8	3	48	225	5	8	5	4	5	1370	10	12	8	1	2	11	6	2	7	8	9	1	4	3	3	10	7	1	4	6	7	4	5	0	0	6	3	5	2	0	3	12	6	1	6	161	3	2	0	3	11	10	3	6	0	6	6	3	0	3	6	4	1	4	2	1	5	5	5	0	1	10	6	3	3	6
G[Del(T):R(5,7)]G	7	0	6	1	3	8	10	2	3	3	4	2	2	4	3	6	863	2	1	6	3	4	2	4	1	4	1	9	3	11	3	9	5	16	5	1	2	4	16	0	2	5	1	10	3	9	7	11	6	7	3	0	4	3	2	5	3	0	1	1	4	1	10	957	5	2	3	4	2	4	4	1	2	12	12	0	5	6	1	9	2	1	1	4	1	12	4	2	3	1	2	5	5	3	4	3	3	3	3	9	5	35	215	2	6	5	9	10	1312	9	12	7	3	2	11	8	0	3	5	5	4	3	3	2	13	0	9	14	8	4	3	4	0	8	2	7	6	4	1	0	9	7	1	12	170	3	0	3	2	9	7	4	4	2	5	3	2	0	11	3	3	3	4	1	7	2	3	4	5	5	9	8	4	1	6
A[Del(T):R(8,)]A	18	12	41	7	9	11	71	13	16	16	23	26	20	27	9	41	5991	23	44	30	19	14	5	17	1	13	1	45	16	39	62	11	50	57	5	2	12	6	83	4	44	52	16	12	20	51	33	40	11	17	3	5	14	7	19	12	7	5	8	2	34	3	13	5946	34	9	31	19	7	33	8	22	7	115	18	2	8	14	8	43	1	3	18	13	1	74	17	15	12	11	5	6	4	10	20	9	1	12	14	11	11	378	1066	12	28	9	24	91	6743	34	56	14	18	5	72	4	26	11	17	72	9	75	7	15	13	13	12	7	51	24	6	30	9	8	23	64	85	11	14	6	31	42	1	67	1161	15	13	3	21	90	47	3	10	6	20	20	14	3	35	10	5	33	11	32	15	7	9	7	26	5	33	74	26	10	25
