MutationType	CPCT02020315T	CPCT02020321T	CPCT02020330T	CPCT02010372T	CPCT02020326T	CPCT02020403T	CPCT02040063T	CPCT02060054T	CPCT02060053T	CPCT02020886T	CPCT02130167T	CPCT02080186T	CPCT02130172T	CPCT02020413TII	CPCT02130180T	CPCT02130057T	CPCT02130186T	CPCT02130184T	CPCT02020690T	CPCT02080215T	CPCT02050360T	CPCT02130096T	CPCT02020759T	CPCT02130127T	CPCT02060242T	CPCT02050386T	CPCT02290055T	CPCT02130048T	CPCT02130155T	CPCT02130156T	CPCT02130157T	CPCT02130158T	CPCT02020852T	CPCT02020839T	CPCT02130159T	CPCT02020861T	CPCT02060276T	CPCT02350014T	CPCT02030315T	CPCT02090015T	CPCT02020533T	CPCT02020546T	CPCT02050224T	CPCT02180031T	CPCT02080057T	CPCT02020421T	CPCT02080054T	CPCT02020413T	CPCT02020448T	CPCT02190014T	CPCT02080101T	CPCT02030336T	CPCT02050295T
G[Del(T):R(1,4)]C	3	0	4	3	8	6	12	11	1	9	5	4	7	24	7	9	5	7	7	7	8	7	9	5	12	5	0	5	5	7	4	1	8	0	3	5	6	3	10	5	2	2	12	4	0	8	12	33	7	5	3	8	4
G[Del(T):R(1,4)]G	5	0	9	5	4	2	2	8	2	12	6	9	5	16	9	5	7	8	11	8	8	15	11	5	9	6	2	8	6	9	5	8	9	1	4	6	4	2	9	8	6	1	14	9	7	7	13	41	1	3	3	10	4
A[Del(T):R(5,7)]A	12	0	10	5	1	9	18	9	1	14	13	18	7	7	8	5	7	11	12	9	11	7	6	8	8	7	1	6	3	11	4	3	11	3	4	10	3	6	10	13	6	2	9	9	5	6	10	12	1	1	1	13	9
A[Del(T):R(5,7)]C	7	1	3	6	6	4	13	8	3	9	3	9	4	2	8	3	5	7	2	5	3	2	12	5	10	2	1	3	2	4	5	4	7	1	0	6	1	1	15	9	4	1	6	2	6	5	4	4	0	4	2	16	3
A[Del(T):R(5,7)]G	4	0	6	3	2	0	16	4	3	11	7	1	5	4	9	5	6	14	8	2	7	5	10	3	9	5	1	4	4	6	3	4	3	0	4	3	6	5	7	8	6	2	9	5	3	4	4	11	1	5	3	10	5
C[Del(T):R(5,7)]A	3	1	4	6	3	4	7	6	0	7	5	3	1	3	5	6	4	4	5	7	5	8	8	4	2	4	0	3	4	5	2	3	1	3	2	3	4	4	23	10	2	3	5	6	1	8	7	7	3	4	0	6	3
C[Del(T):R(5,7)]C	5	0	4	0	6	4	11	7	0	5	7	4	3	3	3	3	5	4	2	2	1	3	6	4	4	4	1	2	1	6	3	5	3	2	2	5	5	0	13	11	4	0	4	5	3	8	3	8	0	4	7	8	2
C[Del(T):R(5,7)]G	4	0	3	2	2	3	10	11	0	7	3	4	2	3	4	3	1	4	8	2	3	2	4	3	4	8	0	3	3	6	1	2	8	0	4	5	0	1	7	7	5	1	3	8	4	5	4	2	1	1	0	5	3
G[Del(T):R(5,7)]A	3	0	2	1	5	4	6	3	0	9	1	8	3	4	7	3	4	4	1	4	2	5	7	4	7	2	0	2	3	1	8	6	10	2	1	1	2	3	5	5	1	0	5	7	2	4	2	6	0	5	2	4	2
G[Del(T):R(5,7)]C	3	0	4	2	3	3	6	5	1	3	2	1	1	1	3	2	2	3	2	1	7	5	4	0	6	1	0	4	1	1	2	0	5	1	2	4	3	3	3	4	2	1	4	1	0	3	5	7	0	2	4	6	2
G[Del(T):R(5,7)]G	7	0	4	0	1	2	4	3	0	4	6	3	1	5	0	3	7	4	3	0	7	8	5	3	5	2	2	0	3	4	4	2	3	0	2	4	6	1	2	3	3	3	1	1	0	2	1	1	0	3	0	3	7
A[Del(T):R(8,)]A	5	0	4	12	6	0	10	8	1	14	7	4	0	3	3	8	8	5	0	5	11	4	6	5	2	2	3	1	2	4	11	3	5	0	1	0	5	3	5	14	8	1	4	1	12	5	2	1	0	1	2	15	2
A[Del(T):R(8,)]C	3	0	9	13	6	0	11	4	0	9	5	0	4	0	8	7	8	6	2	2	7	2	6	3	5	3	1	2	1	5	2	1	7	0	1	2	3	3	5	5	10	0	4	1	5	2	2	2	0	3	0	16	1
A[Del(T):R(8,)]G	2	0	6	9	3	2	9	2	3	7	3	5	2	1	1	5	2	3	3	0	2	1	5	1	2	4	0	0	0	1	3	2	5	0	1	3	1	1	2	5	8	0	1	0	3	3	2	0	0	2	1	6	0
C[Del(T):R(8,)]A	4	0	3	12	1	3	7	0	3	14	1	4	3	0	0	3	7	2	1	1	4	7	3	2	3	4	1	4	2	3	5	2	5	1	0	2	2	3	2	5	7	0	0	5	6	3	2	0	0	2	0	8	0
C[Del(T):R(8,)]C	4	0	4	10	2	2	5	10	0	9	2	4	0	1	2	0	10	4	4	3	3	3	5	1	5	3	4	2	2	3	2	1	7	0	2	2	2	3	5	5	6	0	0	3	7	4	1	1	0	2	0	13	2
C[Del(T):R(8,)]G	1	0	1	6	3	0	6	3	0	12	3	3	1	0	1	2	3	4	0	2	3	2	6	1	1	0	0	0	0	2	4	0	2	0	0	2	2	0	4	3	8	0	1	0	7	2	2	1	0	1	1	7	2
G[Del(T):R(8,)]A	3	0	2	8	2	3	5	0	0	3	2	2	2	0	1	2	5	3	1	1	2	2	2	3	2	0	1	4	0	2	0	0	2	0	1	0	2	3	3	2	6	0	1	1	2	1	0	1	0	3	2	8	0
G[Del(T):R(8,)]C	2	0	1	6	3	2	7	1	0	1	1	3	1	0	0	1	2	3	2	0	2	0	2	0	1	0	0	0	0	0	3	1	4	0	1	1	0	1	2	3	5	0	0	0	5	2	1	1	0	1	0	4	2
G[Del(T):R(8,)]G	2	1	2	3	1	1	3	2	1	3	1	3	0	0	3	3	2	0	1	0	0	2	3	1	0	2	0	0	0	2	2	0	3	0	1	1	1	1	0	0	6	0	0	2	2	1	0	1	0	2	1	4	1
A[Ins(C):R0]A	3	0	1	2	0	3	3	4	0	0	2	0	0	0	3	3	0	0	5	3	0	1	4	0	3	1	1	2	2	1	1	2	5	0	2	0	1	2	2	1	4	0	2	2	0	0	2	2	0	0	1	1	0
A[Ins(C):R0]T	2	0	1	2	1	2	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	4	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0
Ins(C):R(0,3)	12	2	7	10	9	10	16	19	4	12	12	14	4	20	16	17	18	27	15	10	10	10	12	8	9	16	8	5	10	6	9	15	9	4	14	13	8	101	15	12	5	6	26	22	8	13	17	34	7	6	10	15	17
Ins(C):R(4,6)	5	1	13	7	4	3	19	6	5	8	9	8	3	4	6	5	9	11	6	4	10	5	15	3	7	8	3	2	6	3	11	5	11	0	9	6	10	19	3	8	3	1	16	5	3	11	7	4	1	8	2	7	7
Ins(C):R(7,)	13	0	8	12	8	1	11	8	2	8	3	5	8	0	7	2	15	10	7	8	3	14	7	7	13	3	7	2	2	2	17	2	9	1	8	6	6	15	2	3	6	3	9	4	5	9	2	1	2	7	1	3	12
A[Ins(T):R(0,4)]A	12	0	10	15	11	9	17	17	5	11	9	10	3	7	15	12	12	55	10	6	19	14	8	10	5	12	5	7	4	15	12	10	5	5	5	9	7	10	11	10	6	1	9	6	6	7	18	12	4	9	5	16	9
A[Ins(T):R(0,4)]C	1	0	4	3	2	1	5	5	1	1	4	2	5	7	5	5	3	21	2	6	9	1	8	1	2	4	6	3	2	5	9	3	2	1	4	7	1	5	3	2	1	4	9	6	0	6	8	7	2	3	3	5	6
A[Ins(T):R(0,4)]G	11	0	10	4	3	4	8	8	7	7	4	4	5	5	5	13	6	49	12	4	11	9	6	3	6	5	4	3	4	14	8	7	9	0	4	8	5	14	2	7	4	2	13	7	1	3	11	13	6	4	5	9	5
C[Ins(T):R(0,4)]A	4	1	7	2	3	7	7	6	1	2	2	5	2	6	10	4	5	18	9	4	6	5	8	9	2	4	6	3	5	8	7	4	5	2	2	3	5	0	3	7	6	2	8	7	3	4	7	11	2	1	2	3	2
C[Ins(T):R(0,4)]C	1	0	3	6	5	1	4	2	2	2	4	5	5	3	6	3	6	7	6	5	3	5	6	2	3	6	0	3	2	7	4	4	11	3	4	4	3	12	3	9	2	2	4	7	4	0	7	6	3	2	3	10	6
C[Ins(T):R(0,4)]G	5	0	5	5	2	5	13	10	0	3	1	5	4	8	4	7	6	11	11	2	3	12	5	4	8	6	5	4	3	5	6	5	9	0	1	6	4	4	2	2	5	1	10	10	5	4	5	5	1	1	3	3	5
G[Ins(T):R(0,4)]A	11	0	5	0	7	3	3	2	2	2	6	3	6	4	4	6	4	10	2	6	4	6	3	3	4	1	2	2	2	5	3	2	1	3	3	6	7	28	2	8	3	1	5	2	2	6	3	4	1	2	1	4	3
G[Ins(T):R(0,4)]C	2	0	2	0	2	6	5	1	1	1	3	4	2	3	2	1	7	3	1	1	3	2	5	2	5	1	1	4	1	0	1	1	2	0	1	4	2	2	1	6	3	0	5	1	0	1	3	5	0	2	3	2	2
G[Ins(T):R(0,4)]G	5	0	1	3	6	2	7	8	0	2	5	4	1	4	5	7	8	8	9	4	6	8	4	3	5	4	4	2	4	4	3	2	4	1	3	2	4	2	1	20	3	0	7	7	2	7	4	3	0	4	3	8	5
A[Ins(T):R(5,7)]A	8	0	13	28	18	8	12	17	15	21	7	18	12	3	10	17	27	17	9	23	18	16	19	11	17	14	23	16	11	14	24	17	16	0	10	15	12	19	7	7	21	4	16	14	20	11	17	7	1	6	15	12	15
A[Ins(T):R(5,7)]C	20	0	21	34	20	14	13	11	12	17	10	19	15	0	13	14	26	17	12	19	24	16	24	8	29	9	17	16	13	13	48	25	25	0	10	10	14	26	9	7	31	6	25	8	15	14	9	3	1	7	12	16	11
A[Ins(T):R(5,7)]G	14	0	19	30	22	7	19	18	16	15	10	18	19	4	13	10	30	28	15	33	27	20	30	11	33	18	15	18	5	21	25	18	37	2	19	25	14	19	15	9	22	4	32	16	16	24	20	10	1	14	10	17	19
C[Ins(T):R(5,7)]A	9	0	4	16	3	4	11	8	7	8	7	2	5	1	3	5	9	12	1	8	5	6	14	5	10	3	8	9	6	3	8	10	17	1	11	6	8	6	5	6	7	2	10	11	5	3	8	2	1	7	3	11	13
C[Ins(T):R(5,7)]C	7	0	12	16	9	4	11	7	12	9	6	8	7	3	13	5	10	13	11	6	10	8	9	8	17	5	12	10	4	10	19	12	14	1	5	12	7	13	7	4	12	6	10	11	20	6	14	3	0	5	9	10	7
C[Ins(T):R(5,7)]G	6	2	14	12	9	12	10	17	8	13	5	11	11	1	8	7	18	10	8	8	13	15	17	9	19	3	3	6	8	8	14	13	5	0	13	9	5	9	5	11	12	1	19	11	7	5	10	1	1	2	5	7	9
G[Ins(T):R(5,7)]A	0	0	7	7	9	5	7	13	2	3	6	7	3	3	5	3	7	9	10	3	7	10	8	2	13	7	2	5	2	5	7	6	8	1	3	5	6	5	3	6	3	3	7	7	9	3	8	3	0	3	5	3	4
G[Ins(T):R(5,7)]C	5	0	12	15	4	4	9	10	6	11	1	10	12	2	5	9	20	7	8	9	7	6	7	5	14	6	8	5	3	8	17	10	8	2	9	7	12	8	5	6	11	4	11	9	12	8	7	1	3	6	6	8	4
G[Ins(T):R(5,7)]G	8	0	5	14	5	3	12	10	13	10	11	12	13	4	7	14	17	5	6	14	14	12	11	6	20	8	10	10	11	14	10	15	4	0	11	9	8	14	8	7	16	1	10	9	11	14	8	6	1	8	3	10	9
A[Ins(T):R(8,)]A	17	0	14	27	16	9	15	6	12	22	13	18	21	2	10	10	25	16	9	21	15	18	10	17	28	16	12	14	14	12	32	23	18	0	10	21	15	22	9	16	15	4	24	18	20	15	11	5	0	5	12	7	20
A[Ins(T):R(8,)]C	12	0	12	25	13	8	13	17	16	22	12	19	15	0	8	12	30	16	10	11	12	10	19	8	23	13	27	21	13	18	35	18	19	0	15	9	15	22	7	12	15	7	17	13	12	9	12	4	1	9	8	9	14
A[Ins(T):R(8,)]G	5	0	8	29	14	6	14	12	11	12	12	15	19	2	19	9	20	12	11	19	12	14	14	13	22	10	8	6	10	12	30	13	14	1	14	20	6	17	8	8	16	4	19	9	8	10	21	2	1	6	7	4	10
C[Ins(T):R(8,)]A	4	1	9	8	10	3	9	6	6	8	7	7	10	1	5	6	16	8	12	13	8	11	10	5	17	2	10	10	7	12	19	11	7	0	8	7	4	12	8	5	12	3	12	10	8	9	7	5	2	3	7	2	10
C[Ins(T):R(8,)]C	5	0	13	9	24	4	13	7	0	10	3	9	6	3	8	5	18	16	5	14	6	7	12	7	16	3	8	13	5	10	15	15	18	0	8	12	3	20	7	8	15	3	16	8	3	9	11	3	2	5	5	5	9
C[Ins(T):R(8,)]G	12	0	8	11	17	3	12	20	8	8	12	11	7	1	3	2	19	13	6	10	8	6	12	6	14	7	8	9	10	7	20	10	13	0	10	10	8	18	4	7	21	2	10	10	9	3	5	1	1	5	5	10	13
G[Ins(T):R(8,)]A	11	1	7	7	8	7	5	5	5	4	4	9	9	0	6	9	13	8	5	6	8	9	8	5	9	9	11	6	5	4	9	7	5	1	8	3	6	14	5	2	4	2	13	9	9	9	5	2	1	3	5	8	7
G[Ins(T):R(8,)]C	5	0	8	9	10	5	5	8	13	6	6	11	8	3	7	5	13	11	7	14	7	7	12	3	12	5	10	7	3	7	21	12	10	1	8	15	5	17	2	6	10	4	16	7	5	6	4	3	0	1	3	6	5
G[Ins(T):R(8,)]G	7	0	4	7	9	3	12	6	7	11	4	17	11	2	5	8	15	9	6	5	10	9	19	10	10	2	6	10	8	11	22	13	14	1	12	8	8	17	6	8	9	1	22	5	5	7	6	6	2	1	3	7	19
Del(2,4):R1	24	2	18	13	14	11	34	26	7	14	11	21	11	66	28	10	16	24	16	11	16	20	18	13	18	8	13	11	19	15	25	18	15	5	24	15	9	19	32	19	14	9	25	17	11	12	22	140	5	15	15	20	16
Del(5,):R1	24	6	18	36	29	32	39	69	8	29	10	26	40	161	37	38	22	40	58	30	43	59	46	21	35	33	16	30	31	37	50	63	45	14	43	53	25	27	97	14	21	12	49	61	9	48	48	183	27	22	28	42	21
Del(2,8):U(1,2):R(2,4)	24	1	19	30	11	18	38	26	8	18	14	20	8	31	22	25	22	25	16	10	20	29	21	20	20	17	12	15	13	11	20	14	20	5	15	17	10	14	21	20	19	2	33	21	10	10	28	48	4	13	11	27	17
Del(2,):U(1,2):R(5,)	8	3	9	11	8	10	6	13	1	13	6	7	4	9	8	10	21	5	10	8	9	13	7	8	11	6	7	11	5	10	11	5	10	3	5	8	8	6	5	13	9	3	4	8	6	10	7	18	2	7	7	7	13
Del(3,):U(3,):R2	8	1	10	29	13	20	22	10	7	17	16	17	15	15	11	14	19	14	13	8	16	18	20	12	10	22	6	9	7	8	34	21	20	6	22	13	11	11	19	17	16	5	20	10	14	22	35	23	2	9	7	23	11
Del(3,):U(3,):R(3,)	9	0	5	11	9	5	6	9	6	9	14	8	3	3	7	10	8	4	9	4	6	12	7	10	6	7	5	7	3	9	6	6	8	2	6	8	6	5	6	5	14	1	8	7	9	5	6	2	0	5	6	6	8
Ins(2,4):R0	14	2	14	22	8	10	12	11	3	11	19	10	9	14	13	9	14	18	8	12	23	16	15	16	33	14	7	11	7	12	23	23	8	3	17	12	10	49	9	12	8	11	21	16	8	8	17	9	1	4	10	16	13
Ins(5,):R0	28	20	10	40	34	21	26	37	9	31	19	19	21	94	15	45	15	21	27	41	70	57	44	20	34	39	19	30	38	47	80	62	58	18	33	55	37	29	30	20	16	8	51	91	10	37	34	21	26	22	26	17	40
Ins(2,4):R1	7	2	15	20	9	5	8	10	4	5	4	12	9	15	10	7	7	10	6	5	13	8	10	12	8	12	8	10	4	10	11	8	9	3	5	6	7	25	7	7	5	2	13	5	4	2	7	19	2	4	10	12	10
Ins(5,):R1	15	0	8	26	8	5	21	24	5	8	8	13	16	10	15	8	7	14	3	11	8	12	14	11	7	13	5	16	6	8	24	15	7	1	10	9	4	7	16	18	10	1	21	13	5	10	17	16	6	8	7	6	17
Ins(2,):R(2,4)	7	0	5	9	13	13	14	9	5	8	8	12	4	15	9	4	9	15	10	5	12	16	9	13	13	10	9	4	7	9	13	10	4	0	12	8	8	7	16	9	5	2	9	8	4	3	9	15	4	3	4	6	10
Ins(2,):R(5,)	11	1	13	13	4	3	17	11	15	7	5	15	6	3	14	6	17	16	7	11	13	12	17	7	12	8	9	3	7	8	26	13	1	2	15	4	5	32	3	8	11	4	10	6	15	7	9	6	1	2	5	6	14
Del(2,5):M1	27	6	10	22	19	14	26	26	10	21	12	11	9	72	19	10	20	16	17	12	12	15	16	17	16	11	13	10	8	19	28	22	22	3	34	23	11	21	20	15	19	10	12	17	11	20	25	119	13	9	7	33	16
Del(3,5):M2	7	0	9	14	6	9	16	13	5	19	7	12	13	25	13	13	15	9	14	9	14	10	15	14	15	16	7	6	7	9	28	13	9	2	20	12	8	12	26	8	14	3	14	6	10	6	16	40	3	6	9	18	8
Del(4,5):M(3,4)	3	0	2	13	7	18	13	6	1	13	7	5	7	9	3	3	4	5	6	8	11	10	5	10	4	6	7	8	3	3	12	7	9	3	14	4	5	4	12	4	9	1	4	1	6	4	8	20	3	3	5	8	8
Del(6,):M1	27	3	25	38	22	25	37	65	4	32	11	29	28	97	41	23	20	36	37	22	32	34	29	28	27	19	14	20	18	20	39	37	25	8	32	32	14	11	75	20	13	12	21	47	9	41	31	155	16	18	29	36	16
Del(6,):M2	16	4	14	50	14	19	19	35	5	30	10	16	36	62	15	9	17	32	30	16	16	22	14	18	14	8	13	9	9	18	71	54	25	2	55	15	9	12	114	13	15	9	17	29	3	20	31	101	11	13	20	14	11
Del(6,):M3	7	0	9	40	8	10	15	12	0	24	5	5	24	22	10	5	7	13	9	7	10	8	7	6	8	5	9	6	11	7	38	27	7	1	46	8	6	8	92	8	5	7	12	6	1	7	16	46	2	5	14	19	9
Del(6,):M(4,)	10	1	11	51	10	9	24	25	3	44	7	5	20	22	15	9	7	15	8	8	17	22	11	12	14	8	9	11	10	14	60	53	15	1	51	15	4	10	97	10	10	8	15	12	5	13	13	34	4	5	15	21	13
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
