MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842
A[Ins(T):R(5,7)]G	11	2	9	6	2	10	3	5	7	5	7	14	2	4	9	7	8	5	6	6	0	7	3	3	0	6	3	4	4	6	2	6	9	2	9	14	0	2	1	1	11	4	7	3	5	6	953	1	2	10	7	3	1	6	9	2	4	2	3	2	5	12	12	4	6	4	4	3	1	2	7	0	18	7	3	5	1	10	5	3	5	8	3	5	7	5	10	1	6	8	4	3	2	3	3	8	2	4	1	3	14	13	4	7	9	2	4	4	1	11	4	13	2
C[Ins(T):R(5,7)]A	6	0	0	5	0	3	0	1	2	4	3	3	4	2	1	3	3	0	0	5	0	2	3	0	3	5	2	2	1	1	1	1	6	1	0	5	5	1	3	1	5	3	2	1	4	2	362	3	2	3	3	4	0	3	2	7	2	3	3	0	5	1	5	2	1	1	3	2	1	1	2	0	2	0	1	2	1	4	1	3	0	1	1	0	2	2	8	2	5	8	0	1	0	1	0	1	3	1	2	0	6	2	1	5	5	1	1	1	0	4	1	2	2
C[Ins(T):R(5,7)]C	3	6	3	6	1	5	0	4	8	3	3	10	4	0	2	4	2	1	1	5	3	7	2	3	2	3	2	3	1	1	2	1	4	2	5	7	1	1	5	2	10	2	4	1	4	2	379	2	5	5	5	3	0	4	3	3	2	0	1	0	2	2	6	0	1	2	5	3	4	0	7	2	11	4	2	1	3	10	2	2	2	1	2	2	4	3	5	2	4	11	2	2	0	1	3	5	3	3	0	2	4	5	1	2	10	5	5	5	1	4	3	6	1
C[Ins(T):R(5,7)]G	3	2	7	7	0	3	2	3	6	2	1	11	2	1	4	3	3	0	2	5	2	2	3	5	1	1	3	3	2	5	0	2	5	3	2	7	1	1	3	1	10	3	2	1	3	3	508	3	4	4	7	3	1	2	5	3	1	0	1	1	4	5	4	1	2	1	1	3	4	0	6	2	7	1	1	1	3	5	1	3	2	3	1	1	4	2	3	2	5	7	0	3	0	2	1	1	3	1	0	1	6	5	1	4	9	5	2	3	3	2	1	3	2
G[Ins(T):R(5,7)]A	6	2	5	4	3	0	0	2	6	1	2	4	1	0	2	4	4	1	2	6	2	0	0	1	2	2	1	0	0	2	1	4	5	4	3	6	3	2	3	2	3	3	1	2	3	1	508	1	1	1	3	1	0	1	4	2	0	2	0	0	3	1	2	1	1	1	2	0	0	0	2	1	5	1	1	3	2	6	0	0	0	3	0	3	1	3	0	1	3	4	1	3	0	1	4	4	2	1	4	2	0	1	0	8	6	2	0	3	1	3	4	5	2
G[Ins(T):R(5,7)]C	1	5	2	4	2	2	1	1	8	1	5	7	2	4	4	5	0	1	3	3	3	1	1	0	0	4	1	0	2	0	2	1	1	1	1	3	2	0	4	0	10	4	3	0	2	3	542	1	3	3	5	1	1	3	3	0	1	1	1	0	9	3	10	1	2	0	2	4	0	0	2	1	8	5	1	1	2	9	1	1	1	3	0	3	2	2	5	4	1	6	0	1	1	3	1	0	0	3	0	1	9	2	0	2	2	2	1	2	3	2	1	3	2
G[Ins(T):R(5,7)]G	4	5	8	7	0	3	0	4	4	0	4	7	2	0	6	6	4	2	2	0	0	5	1	4	1	4	4	2	1	7	5	1	2	1	3	8	6	2	3	2	10	1	4	3	3	2	853	0	5	3	5	3	2	3	5	4	2	4	1	1	1	1	5	0	0	0	2	2	1	0	2	1	8	3	2	3	1	4	3	3	0	4	1	3	2	1	4	5	3	5	1	2	5	2	5	0	2	4	0	1	9	4	2	5	3	1	1	3	3	4	1	6	1
A[Ins(T):R(8,)]A	5	3	5	10	3	2	2	4	2	6	2	9	4	4	4	8	2	6	3	9	3	5	4	5	1	1	2	1	3	1	3	1	2	1	1	8	2	5	8	0	12	5	12	1	7	16	1041	3	1	12	5	5	1	0	6	4	1	2	3	4	12	5	8	2	0	5	6	2	3	3	5	3	9	6	2	2	6	8	3	3	3	4	2	4	6	3	10	6	4	8	1	5	2	0	4	4	3	5	0	1	7	7	4	3	12	8	2	1	4	4	2	4	4
A[Ins(T):R(8,)]C	10	9	8	7	4	6	3	3	5	1	7	6	5	4	9	11	6	2	3	7	1	3	5	4	0	3	4	2	4	1	1	0	7	0	2	9	2	0	1	3	13	4	5	3	3	6	752	1	5	6	4	9	1	5	4	2	5	0	2	1	8	2	12	2	3	3	3	0	4	2	1	1	9	3	1	3	4	5	1	0	2	2	0	4	3	5	4	0	7	4	3	3	3	3	2	3	4	3	2	0	4	3	3	4	5	7	3	2	3	5	9	6	1
A[Ins(T):R(8,)]G	3	4	7	6	1	1	1	3	3	1	1	8	6	3	8	6	4	3	2	1	4	2	1	4	1	4	4	1	1	0	3	1	7	0	2	10	2	2	4	3	3	2	2	0	8	6	772	1	3	7	3	6	1	0	1	4	2	0	1	0	5	1	7	1	4	2	6	1	4	3	1	3	12	2	3	3	4	11	3	1	0	5	1	2	2	4	5	5	3	5	0	8	0	3	2	1	4	2	4	2	7	3	2	5	6	2	5	5	1	4	2	8	5
C[Ins(T):R(8,)]A	4	0	1	5	3	1	3	2	3	1	1	2	0	2	5	9	3	2	4	1	1	1	5	3	0	4	0	1	0	1	2	1	1	1	2	2	1	1	4	0	4	2	3	1	2	3	609	1	2	3	1	4	0	1	4	4	2	0	0	2	5	2	2	1	3	2	2	3	0	1	2	1	4	3	1	3	6	5	2	0	2	3	0	4	0	4	3	2	2	11	3	2	1	2	1	2	2	2	0	0	5	2	2	3	5	2	2	1	2	4	3	0	1
C[Ins(T):R(8,)]C	2	4	2	5	1	1	2	1	2	1	0	8	2	1	7	4	3	2	2	3	0	2	5	1	2	1	1	3	2	2	0	2	3	0	2	8	4	0	1	1	4	4	2	2	6	3	640	1	1	1	4	4	1	1	1	4	0	2	2	2	3	0	4	2	0	2	0	1	1	0	3	0	4	4	1	3	7	7	3	1	0	3	1	4	0	4	2	6	3	3	0	1	1	6	1	1	3	1	0	0	4	2	0	3	8	1	0	0	3	2	3	3	4
C[Ins(T):R(8,)]G	6	5	6	9	2	1	1	1	6	0	2	8	2	0	3	5	2	2	1	4	1	4	3	2	0	3	0	2	1	0	1	1	2	0	2	6	3	1	3	3	2	3	2	1	3	6	858	2	1	8	7	3	0	2	1	4	4	0	3	1	3	2	7	1	1	1	1	2	1	2	1	2	5	3	0	3	1	3	2	0	1	4	1	0	2	3	6	1	6	2	1	2	2	1	3	5	2	5	0	1	5	2	1	6	7	4	1	0	4	2	3	2	3
G[Ins(T):R(8,)]A	3	3	0	4	1	2	0	0	3	0	1	5	2	1	2	3	0	1	1	3	1	0	1	1	1	4	1	3	1	0	1	0	2	1	0	4	2	0	4	1	2	1	2	1	2	1	596	2	1	2	2	1	0	0	2	5	4	2	0	3	1	0	3	1	1	1	1	1	0	0	0	0	2	1	3	1	2	2	1	1	1	2	0	2	3	1	3	1	3	4	1	1	1	0	0	2	2	0	1	1	3	5	1	1	7	2	3	2	0	1	2	4	3
G[Ins(T):R(8,)]C	0	2	3	2	0	1	0	0	3	1	1	4	3	2	1	6	2	3	1	2	1	2	5	2	1	0	1	2	2	4	2	1	2	0	1	5	3	3	0	1	5	2	1	1	2	2	546	1	0	4	1	3	0	1	1	0	2	0	1	1	4	2	2	0	1	1	0	1	2	1	4	0	3	2	3	2	3	5	0	2	2	1	1	2	0	2	1	0	4	4	5	0	2	0	3	4	2	0	0	1	6	3	0	0	5	5	2	2	1	4	0	4	2
G[Ins(T):R(8,)]G	6	2	3	4	1	4	0	3	2	1	1	5	2	2	4	1	1	1	1	1	0	0	1	2	1	0	0	0	1	0	0	2	1	1	2	8	3	3	2	1	1	0	4	2	2	2	771	1	0	2	3	5	0	0	0	1	2	0	0	2	3	1	7	2	1	2	0	3	0	0	4	2	3	3	1	1	7	3	2	2	0	4	3	1	3	5	5	2	4	5	2	1	3	1	0	1	1	0	0	2	4	3	1	1	9	6	1	1	1	2	4	2	1
Del(2,4):R1	11	18	6	16	11	11	7	8	18	8	15	11	9	6	14	13	4	11	8	9	11	2	7	10	14	10	13	11	10	14	4	12	13	15	6	11	9	2	40	26	4	23	10	11	4	13	12	15	15	29	14	19	5	6	12	24	7	18	14	8	8	14	13	9	12	11	12	13	6	7	22	8	23	5	5	18	9	3	5	4	8	38	9	12	17	12	13	33	8	20	3	17	8	8	35	24	8	8	9	8	13	6	12	19	10	4	20	10	18	29	6	6	6
Del(5,):R1	64	8	4	25	9	20	75	23	14	10	21	13	32	61	14	13	34	70	7	5	41	15	4	2	49	12	15	5	63	64	5	9	16	99	7	21	9	2	146	116	18	31	15	30	10	9	16	80	89	118	11	108	43	7	88	256	60	94	89	55	8	32	9	29	33	53	9	84	38	35	57	66	27	5	60	84	11	14	10	8	4	37	39	9	77	94	27	89	28	86	12	56	86	32	121	23	45	9	24	55	20	5	160	20	5	5	119	11	68	25	1	93	35
Del(2,8):U(1,2):R(2,4)	13	13	10	14	9	17	13	10	26	8	19	9	8	9	15	13	9	10	10	18	10	6	7	6	4	8	25	10	9	15	6	13	14	14	13	18	9	5	28	21	11	20	12	6	5	9	41	11	9	22	9	17	4	7	13	18	8	17	3	8	11	22	19	4	8	13	18	10	3	3	15	6	16	6	5	17	10	12	8	5	3	34	4	8	10	11	20	24	11	11	7	7	15	9	32	27	4	15	1	9	22	7	16	15	7	7	13	7	13	40	4	8	8
Del(2,):U(1,2):R(5,)	3	5	4	4	4	4	4	3	10	0	1	3	3	0	3	0	5	3	2	2	1	1	7	2	0	5	2	3	3	2	2	2	3	4	0	7	2	0	10	5	1	5	1	0	0	1	70	3	6	5	1	5	2	1	1	8	2	9	3	1	2	4	4	4	2	2	6	2	5	0	4	6	14	9	1	7	3	2	7	4	0	6	0	2	7	3	13	13	11	4	4	5	11	1	9	8	1	6	2	4	6	9	8	8	4	2	6	4	6	8	5	4	8
Del(3,):U(3,):R2	11	23	5	19	11	11	13	17	33	9	14	10	8	6	15	16	13	12	5	10	10	7	9	6	6	21	19	11	15	20	5	18	15	14	9	26	7	1	29	18	5	18	10	9	4	11	26	10	12	25	18	13	8	6	12	26	5	26	12	7	12	20	15	10	11	6	18	9	9	7	23	11	7	10	5	14	14	18	9	5	1	37	5	9	17	13	30	28	14	22	10	27	9	12	20	30	7	9	7	6	28	3	21	23	11	5	14	8	18	19	9	6	7
Del(3,):U(3,):R(3,)	7	8	2	5	2	3	0	9	9	1	6	4	3	1	7	7	6	3	3	6	1	1	2	4	2	5	11	4	4	2	3	4	3	1	3	7	7	1	5	3	1	6	6	5	2	2	20	3	8	9	7	2	1	2	1	8	2	7	5	3	1	4	3	6	0	2	5	4	0	4	6	0	11	3	5	7	4	3	4	0	1	10	4	3	5	2	11	7	9	4	2	5	0	2	10	12	1	7	3	3	12	4	10	8	7	5	9	4	6	16	4	2	1
Ins(2,4):R0	1	2	3	3	0	2	3	0	0	1	5	2	3	1	2	1	0	5	2	0	5	3	0	2	0	0	1	1	2	5	0	2	6	2	1	4	1	0	12	3	1	3	1	4	3	1	57	6	5	5	3	7	6	0	0	4	2	4	2	3	4	0	3	0	4	3	2	0	1	2	3	0	2	1	2	2	1	1	2	1	0	1	1	1	4	15	3	13	4	9	0	6	2	2	8	2	4	4	1	1	4	1	4	1	2	1	2	2	5	0	1	3	1
Ins(5,):R0	2	3	1	1	0	3	0	3	1	1	1	0	2	0	2	2	2	2	3	0	0	1	3	1	0	1	0	0	0	6	0	1	3	2	1	1	4	0	10	1	0	0	1	1	0	2	13	1	2	5	1	3	2	0	2	7	1	3	3	3	0	4	1	1	0	2	1	0	3	1	3	3	1	1	0	6	2	1	1	0	0	0	1	1	0	6	3	13	2	14	0	11	1	4	14	2	2	2	2	1	0	1	3	0	1	1	1	1	3	2	1	5	7
Ins(2,4):R1	11	2	4	5	4	4	3	2	2	4	2	4	3	1	5	0	1	1	2	6	3	2	2	1	8	3	1	4	0	1	0	1	2	3	5	4	7	0	7	3	1	2	3	3	0	6	25	4	2	7	6	2	3	1	5	7	1	5	2	1	1	3	4	0	3	6	5	2	1	0	4	3	6	3	2	4	5	3	2	0	2	4	2	4	3	4	2	5	3	2	3	3	2	3	2	3	2	5	2	3	3	1	5	5	9	1	4	4	2	4	3	2	4
Ins(5,):R1	12	2	4	4	4	7	3	3	3	3	2	3	1	5	1	2	8	6	1	0	5	4	1	3	1	8	2	0	4	7	6	3	9	4	6	5	3	0	19	8	1	5	3	4	3	10	13	5	3	15	3	1	5	3	4	13	7	7	3	4	4	5	11	6	8	7	5	4	4	2	8	6	8	3	5	6	0	4	1	2	1	5	1	1	7	7	4	16	4	8	2	11	8	7	12	5	4	6	5	8	4	5	13	3	1	4	6	6	10	8	0	9	9
Ins(2,):R(2,4)	5	3	4	6	4	5	4	3	5	2	5	5	2	3	4	3	0	3	1	7	0	1	3	0	3	5	6	1	1	6	2	5	9	2	5	6	1	1	7	6	0	4	4	4	0	3	254	2	2	2	2	5	3	3	3	7	1	0	4	3	1	2	5	2	2	4	2	2	1	2	9	6	3	1	2	5	5	3	5	0	0	4	2	4	4	2	5	8	5	9	2	4	2	0	5	1	3	0	0	6	1	0	6	0	3	6	7	4	7	2	0	2	2
Ins(2,):R(5,)	4	10	6	6	4	3	4	4	11	2	1	8	2	4	6	3	4	3	2	5	2	6	4	2	1	2	4	1	4	3	2	3	3	1	5	12	2	1	4	2	3	5	3	1	5	5	1291	0	2	14	4	4	3	2	2	5	1	6	1	3	4	2	8	2	1	1	0	2	3	2	3	2	5	2	1	5	5	10	0	0	1	6	3	2	2	6	4	5	5	4	0	5	3	2	1	6	1	4	0	2	6	2	2	3	7	2	1	1	6	3	2	3	2
Del(2,5):M1	21	16	4	17	13	9	13	12	23	7	12	11	7	4	15	11	15	10	9	13	10	5	7	3	7	8	14	11	4	20	6	5	6	14	10	17	7	2	55	16	6	20	14	8	4	9	27	12	19	24	11	21	8	3	18	37	11	22	13	9	10	15	8	7	12	10	8	13	8	10	30	6	24	5	7	15	8	9	8	6	2	30	6	16	16	19	18	27	8	17	4	20	10	1	31	23	7	13	11	6	10	5	18	22	8	3	9	8	16	17	4	10	13
Del(3,5):M2	15	18	6	12	6	9	16	8	31	6	11	10	14	4	9	15	7	9	12	8	10	11	9	4	8	18	24	6	6	17	4	14	15	6	5	23	11	1	53	25	8	20	10	8	1	8	25	10	18	25	13	16	8	5	13	17	13	18	12	11	5	15	8	12	14	4	7	8	10	2	24	6	21	1	11	19	9	7	3	6	6	26	9	10	6	23	15	34	7	16	3	24	8	8	29	15	6	12	7	8	9	8	15	12	12	5	20	3	14	15	6	9	9
Del(4,5):M(3,4)	3	10	1	8	5	9	4	2	13	3	8	9	1	5	4	7	4	8	3	3	7	10	5	8	2	11	10	5	3	15	6	9	8	4	2	8	5	1	31	16	2	12	4	8	1	5	10	9	9	15	6	11	6	1	6	19	4	12	11	2	6	7	6	6	8	7	4	6	6	6	14	4	6	2	4	8	4	4	6	1	1	24	7	3	7	9	11	25	3	11	1	15	3	5	26	8	5	9	1	5	7	5	5	6	7	3	7	4	9	6	2	2	3
Del(6,):M1	93	16	1	19	13	10	127	15	7	13	19	14	63	77	18	19	37	97	10	6	54	9	8	3	74	9	13	4	81	97	11	7	19	132	15	25	12	4	192	189	17	20	12	41	5	6	10	75	98	140	7	112	42	5	109	307	91	137	85	67	10	33	16	39	41	99	7	106	52	57	65	90	25	7	70	133	15	10	13	7	5	77	55	7	141	88	21	81	16	71	8	53	106	37	127	24	71	7	36	86	10	5	229	22	7	8	215	3	73	27	9	119	62
Del(6,):M2	84	8	1	32	7	15	145	31	15	12	29	32	64	69	15	37	53	106	9	7	61	9	8	7	98	19	11	4	109	113	13	5	25	141	3	27	14	1	323	229	24	29	12	88	2	15	13	121	181	230	9	187	64	4	121	400	100	160	162	70	3	26	7	61	119	123	6	116	67	63	103	95	19	1	82	274	19	7	11	4	3	85	96	14	170	182	20	179	17	126	9	127	146	60	261	11	95	8	53	89	8	3	260	29	6	6	223	3	164	27	6	111	55
Del(6,):M3	49	5	2	14	3	13	116	19	10	7	12	15	33	65	2	21	22	63	10	5	61	6	7	4	73	3	12	3	54	95	10	5	11	79	4	19	7	2	267	153	9	21	4	85	3	11	5	65	143	153	3	146	53	2	72	260	53	123	134	48	10	25	4	40	77	84	5	73	50	42	66	60	6	0	45	197	12	5	3	5	0	77	61	17	103	156	8	113	5	92	7	79	76	45	188	6	56	6	42	45	7	4	150	20	4	6	164	3	134	19	2	66	47
Del(6,):M(4,)	51	7	5	14	9	19	109	31	9	6	17	18	35	57	11	23	28	74	12	7	61	10	10	5	77	6	10	2	59	60	7	3	17	88	7	27	8	2	258	153	22	35	2	72	3	6	10	71	151	145	10	142	55	3	74	250	57	93	131	63	5	25	6	37	73	66	8	70	44	35	66	41	14	1	36	227	12	6	11	3	3	83	52	8	95	152	17	157	6	124	12	96	83	49	208	14	67	17	57	49	10	3	157	24	6	1	147	3	140	19	2	79	47
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
