MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
A[Del(C):R4]G	0	0	1	1	2	1	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	3	0	0	1	0	1	8	1	1	1	0	1	0	1	1	1	0	0	0	2	0	3	0	2	1	0	2	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	15	0	0	1	0	0	2	2	0	0	1	0	0	1	0	0	1	0	0	0	2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	3	1	1	2	0	1	1	0	1	9	0	3	3	3	0	0	1	0	1	0	1	0	1	0	0	3	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	1	0	0	3	0	2	0	0	0	0	2	0	0	1	0	2	0	1	1	0	0	1	0	1	0	0
A[Del(C):R4]T	0	2	3	3	1	1	2	0	5	0	1	6	1	3	0	4	1	0	0	3	1	2	2	1	3	1	0	1	0	2	2	1	2	1	0	2	0	4	2	31	0	2	1	3	0	1	3	1	3	0	1	0	2	0	4	1	2	4	0	2	4	1	3	0	0	0	0	1	0	0	2	1	3	0	0	0	1	2	4	2	2	0	2	1	2	2	23	0	1	0	0	0	2	0	2	1	1	6	0	1	1	0	3	0	0	0	1	1	0	0	2	0	2	3	2	0	1	2	1	0	2	0	3	0	8	2	0	0	2	3	0	21	2	3	4	3	0	1	3	1	0	1	3	1	1	0	1	4	0	2	0	0	1	1	0	0	2	2	1	0	0	0	1	4	1	0	2	2	2	0	0	0	1	2	4	2	0	4	2	0	0	1	3	0	1	1	1	0	2	2	0	1	1	4	1	4	0	0
A[Del(C):R5]A	0	2	6	1	1	2	1	0	7	1	1	6	1	2	2	2	0	0	0	3	0	1	0	1	2	4	0	2	2	2	3	1	0	2	0	1	1	3	0	128	3	3	0	3	2	1	3	0	3	1	1	0	9	1	6	2	4	10	0	2	8	2	2	1	1	1	1	1	4	2	5	2	3	1	1	0	1	1	3	1	1	0	0	1	1	1	121	0	0	1	2	1	0	2	1	3	4	4	2	1	0	0	2	0	1	1	2	1	0	2	1	1	1	1	0	0	2	2	0	0	1	2	1	1	13	10	0	3	8	4	1	118	1	6	2	1	1	3	2	0	3	1	2	1	3	1	0	4	0	1	3	2	1	4	1	0	3	3	3	1	0	0	1	5	2	1	5	11	3	0	0	0	2	2	4	5	0	8	3	1	0	1	3	1	0	1	2	1	1	3	3	3	0	3	1	2	0	3
A[Del(C):R5]G	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	2	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	4	0	0	0	0	0	24	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A[Del(C):R5]T	1	0	2	2	0	0	2	1	2	0	0	0	1	0	1	2	0	2	1	1	0	0	0	0	0	0	1	0	0	3	0	0	3	1	0	0	1	4	1	127	0	1	1	2	0	0	3	0	0	0	1	0	5	1	4	1	3	4	1	1	4	2	1	2	1	0	0	3	1	1	1	3	0	0	0	0	0	0	1	2	0	1	1	0	1	0	168	2	0	0	0	0	1	1	1	0	2	2	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	3	2	0	0	9	17	0	2	4	3	1	99	2	1	0	0	1	1	1	2	1	2	2	0	0	1	0	6	0	0	3	1	0	0	1	0	0	0	1	2	0	0	0	2	0	0	1	11	1	0	0	0	2	1	1	0	0	1	0	0	0	1	2	1	0	0	0	1	0	1	1	2	0	3	0	0	0	1
A[Del(C):R6]A	2	0	1	1	0	1	0	0	3	0	1	1	0	0	1	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	1	0	2	1	219	0	0	0	0	0	0	1	1	0	1	1	0	4	0	5	0	5	3	0	6	4	1	0	0	2	0	2	0	0	1	1	3	1	2	0	0	0	0	1	1	0	0	1	0	0	1	244	1	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	1	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	15	22	0	0	2	2	0	186	2	1	0	0	0	5	0	1	0	0	2	0	0	1	0	1	0	1	1	0	0	0	0	0	3	1	0	0	1	1	1	0	2	0	0	29	1	0	0	0	2	1	2	1	0	1	2	0	0	2	0	3	2	1	0	0	0	1	1	3	0	0	1	2	2	2
A[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	59	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	51	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	6	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
A[Del(C):R6]T	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	1	0	1	1	2	0	1	0	103	1	0	1	0	0	0	0	0	1	0	1	0	0	1	3	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	177	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	5	8	1	0	1	0	1	86	1	1	0	1	0	1	0	0	0	1	1	2	1	0	0	2	0	1	1	0	0	0	0	0	3	0	1	0	1	0	0	3	0	0	0	12	1	0	0	0	0	1	0	0	0	1	2	1	0	1	1	1	0	0	0	0	0	0	2	1	0	0	1	3	0	2
A[Del(C):R7]A	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	308	1	0	0	3	0	0	0	0	0	1	0	0	1	0	3	0	2	1	0	1	1	2	0	0	0	0	0	0	1	3	1	0	2	1	0	2	0	0	1	0	1	0	0	0	3	0	311	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	23	1	0	1	1	2	374	2	0	1	2	2	0	0	1	0	0	0	0	1	1	0	1	0	0	2	2	0	0	0	0	1	1	2	1	2	0	0	0	2	0	1	41	0	0	0	0	2	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	2	0	0
A[Del(C):R7]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	57	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	95	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	55	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	1	2	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	1	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A[Del(C):R8]A	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	212	0	1	0	0	0	1	1	0	0	0	3	0	1	2	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	2	0	2	0	1	0	0	1	0	0	0	1	0	1	2	0	200	1	0	1	0	1	1	0	0	2	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	3	22	0	0	0	1	1	284	0	0	2	0	0	6	1	0	0	1	3	1	3	0	0	1	1	0	0	0	0	0	1	0	1	0	3	3	0	0	0	0	1	0	3	48	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	3	0	1
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	41	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	40	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	34	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	11	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
