MutationType	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
C[Del(T):R(1,4)]A	6	8	2	7	3	11	5	6	1	3	5	4	12	12	6	9	7	2	19	4	12	9	0	5	7	13	9	7	163	4	193	98	9	3	5	3	6	5	9	1	6	10	6	4	6	8	3	18	7	5	22	8	16	6	3	0	1	5	3	4	15	4	4	3	5	2	6	8	8	3	6	3	4	13	6	10	12	7	2	5	1	6	4	2	7
C[Del(T):R(1,4)]C	3	7	4	4	6	8	3	6	4	3	4	3	8	10	11	8	5	11	18	5	4	8	0	6	3	6	11	7	182	4	223	117	8	7	3	6	6	6	2	4	4	10	2	1	4	4	9	23	7	2	22	1	18	7	8	4	5	4	3	2	16	3	5	1	6	3	4	13	1	2	9	0	8	10	4	12	18	7	8	5	1	4	8	1	5
C[Del(T):R(1,4)]G	3	5	4	5	5	8	5	2	4	4	4	2	12	5	6	10	13	2	24	6	9	6	1	5	5	8	8	2	110	6	179	85	3	3	3	2	13	6	8	1	1	7	7	5	3	2	5	35	6	6	23	5	19	7	5	3	4	6	6	3	14	10	5	2	3	5	8	7	7	3	1	2	1	8	8	21	11	10	4	7	1	6	6	4	5
G[Del(T):R(1,4)]A	2	6	3	5	1	3	1	2	2	2	3	2	11	5	4	3	7	6	14	1	8	8	2	2	7	2	4	1	112	7	145	87	6	5	3	7	6	2	7	3	1	5	3	2	1	4	3	21	4	4	38	3	9	2	7	2	0	0	5	1	11	2	2	2	0	2	6	7	1	1	2	3	3	8	2	12	9	3	3	3	0	2	2	3	3
G[Del(T):R(1,4)]C	2	4	1	1	3	3	0	4	0	1	2	1	7	3	4	3	5	1	14	4	7	1	1	2	4	7	3	2	101	2	145	97	1	1	1	1	4	2	1	1	0	3	1	2	1	4	1	20	3	4	26	1	17	8	3	2	1	4	5	1	8	1	2	3	4	1	3	9	4	0	0	3	2	6	3	6	4	10	4	9	1	3	1	0	0
G[Del(T):R(1,4)]G	2	3	1	2	1	5	6	2	3	3	6	2	8	1	8	3	5	4	15	3	3	5	3	5	5	5	7	6	129	8	164	115	7	1	0	5	4	1	5	3	1	2	3	8	2	3	1	21	6	2	29	3	12	5	8	2	1	5	1	0	12	11	2	2	1	6	6	9	4	2	2	1	4	4	2	17	14	7	4	5	3	1	1	0	4
A[Del(T):R(5,7)]A	5	3	6	11	3	22	9	4	5	4	16	5	8	8	22	2	15	4	54	5	20	14	6	2	6	38	23	6	2552	27	4585	2123	10	1	2	0	13	10	11	8	5	7	4	2	5	28	11	70	2	13	157	11	10	15	5	10	9	14	4	1	54	7	6	4	4	11	13	16	5	15	5	3	0	14	29	73	10	35	2	20	11	8	3	4	0
A[Del(T):R(5,7)]C	10	2	1	7	1	4	6	1	2	1	8	1	4	6	14	2	1	4	36	2	18	7	0	3	5	23	18	4	1265	20	2137	933	3	2	1	3	2	6	6	3	3	2	2	1	3	9	2	43	2	13	74	5	3	16	3	10	7	11	5	0	31	7	1	2	2	7	6	9	8	3	6	2	0	10	16	43	12	17	2	6	7	6	2	1	0
A[Del(T):R(5,7)]G	4	4	3	7	0	11	6	3	1	1	11	2	2	6	18	3	0	2	36	0	21	7	1	4	2	12	16	3	1867	15	2939	1426	3	1	1	0	0	8	7	4	2	5	1	1	2	8	2	39	3	9	72	2	3	8	1	6	7	11	0	0	25	4	3	2	1	5	7	11	3	3	4	1	0	10	15	53	11	20	2	7	5	2	0	0	0
C[Del(T):R(5,7)]A	6	0	2	5	2	7	2	2	1	2	4	1	4	5	10	3	7	1	19	2	9	8	1	3	5	29	13	0	1572	16	2293	1210	0	1	1	3	9	3	8	3	3	0	2	0	3	11	1	19	1	3	58	1	3	14	6	3	8	9	1	4	32	1	0	0	1	5	5	6	1	5	3	2	0	5	7	33	7	7	2	8	3	3	1	0	2
C[Del(T):R(5,7)]C	2	0	2	7	4	3	5	0	3	1	6	3	4	6	13	3	1	2	22	1	12	3	3	2	5	12	6	0	1497	3	2086	1107	1	1	0	2	1	3	7	3	2	4	1	1	2	4	2	18	2	5	49	1	1	12	1	5	5	2	1	3	18	1	2	1	2	3	5	11	3	6	2	1	0	8	8	30	10	7	1	6	8	2	0	0	1
C[Del(T):R(5,7)]G	2	2	1	8	1	6	2	1	3	2	4	2	3	3	9	1	2	3	15	1	11	0	3	1	1	11	10	2	1584	8	2030	1158	4	1	2	0	2	3	5	1	1	1	0	1	1	3	3	17	2	3	49	2	5	1	2	2	7	2	1	2	19	1	4	1	1	2	2	1	1	4	1	0	1	6	7	22	10	5	1	4	5	3	2	2	0
G[Del(T):R(5,7)]A	2	3	1	4	0	2	0	0	1	0	3	1	2	2	5	0	2	0	15	0	5	3	1	4	2	7	6	1	1141	5	1639	919	2	0	1	0	2	1	7	8	0	1	3	1	0	3	5	19	3	7	36	3	4	7	0	5	5	5	1	2	17	2	6	1	0	2	1	5	2	4	2	1	0	5	5	21	1	7	0	6	0	3	3	1	0
G[Del(T):R(5,7)]C	2	3	0	2	1	2	2	1	0	1	3	0	2	10	5	0	4	1	20	2	3	2	1	2	3	6	10	4	828	5	1317	625	1	0	0	2	4	1	6	3	1	0	0	1	1	8	3	23	3	9	37	0	4	4	0	4	2	2	2	0	9	1	5	3	0	1	0	2	2	3	1	1	0	7	4	11	4	9	4	2	2	1	3	0	2
G[Del(T):R(5,7)]G	1	3	0	5	1	1	1	0	1	0	1	1	3	1	10	3	4	0	24	1	6	1	0	2	1	11	8	2	890	7	1349	700	1	0	0	4	5	0	3	2	3	2	1	2	4	7	1	24	1	5	39	1	2	3	1	3	3	4	2	0	5	0	1	1	2	4	3	1	2	0	4	2	0	4	7	18	11	14	2	5	1	1	2	3	0
A[Del(T):R(8,)]A	15	3	8	25	3	51	9	2	8	1	37	1	7	18	46	1	5	5	113	2	51	9	4	4	7	98	46	9	5549	42	8020	4172	3	3	2	2	5	5	25	18	1	2	2	0	5	31	6	146	3	30	217	2	0	29	1	9	14	37	1	7	86	3	12	1	5	11	11	18	12	15	15	0	1	13	40	173	34	44	9	17	26	7	2	0	1
A[Del(T):R(8,)]C	8	2	4	17	2	21	4	1	5	2	20	5	6	13	30	2	10	1	84	2	36	9	2	5	5	55	40	3	3383	30	5067	2318	4	4	1	1	10	8	15	18	5	3	0	1	8	30	9	92	1	22	232	2	5	19	0	12	19	26	2	6	88	4	9	2	1	12	9	11	8	12	7	0	2	14	31	100	18	40	6	23	9	6	3	1	2
A[Del(T):R(8,)]G	9	2	2	11	0	17	7	0	4	3	13	1	6	6	17	1	4	3	61	0	22	4	1	2	5	46	26	5	3832	19	4960	2399	5	2	2	2	3	5	7	9	3	0	0	0	5	12	3	53	3	9	146	1	1	13	0	10	8	14	2	2	51	0	7	1	2	10	9	9	5	3	4	1	2	4	18	73	10	24	5	14	11	10	0	1	1
C[Del(T):R(8,)]A	9	2	2	18	2	22	4	3	3	0	23	0	5	8	40	0	11	1	49	2	20	6	4	1	7	44	22	3	4248	28	6120	3260	4	0	0	4	11	6	15	9	1	1	2	1	1	31	6	52	2	18	167	0	2	15	0	11	17	16	3	3	47	3	3	2	4	8	5	12	5	10	3	1	2	9	17	136	13	37	2	13	4	7	6	0	3
C[Del(T):R(8,)]C	7	3	3	19	0	25	8	2	4	1	21	1	6	11	29	3	10	2	64	1	34	6	4	2	3	58	26	6	4886	21	6452	3482	1	1	0	1	10	5	18	15	0	1	2	1	1	22	4	70	0	15	154	3	3	20	2	12	19	20	1	4	41	2	4	3	4	10	5	10	11	5	8	0	0	11	29	101	15	14	8	20	2	7	1	0	1
C[Del(T):R(8,)]G	6	4	2	15	2	10	1	0	2	0	15	1	7	8	14	0	3	1	38	2	18	6	2	2	2	36	18	4	5665	12	6882	3789	2	2	0	1	3	2	13	5	1	0	0	0	1	13	9	50	0	8	148	1	0	8	1	5	7	13	1	6	47	1	2	0	1	7	7	5	5	5	7	0	0	7	19	64	7	18	4	15	13	4	1	2	2
G[Del(T):R(8,)]A	5	2	1	7	0	14	5	0	4	1	11	0	0	6	16	1	6	0	46	0	9	3	1	1	4	37	9	3	2767	12	3573	2062	0	1	1	1	6	1	9	6	0	0	2	0	0	15	2	45	1	2	95	1	1	7	0	6	4	15	1	4	20	2	5	1	3	3	6	7	3	5	2	2	0	7	14	50	7	18	1	9	3	2	1	1	0
G[Del(T):R(8,)]C	5	3	3	7	0	11	3	0	3	0	10	0	1	5	16	1	3	0	37	0	14	3	3	1	0	22	9	3	2019	13	2758	1445	1	0	1	1	3	6	11	4	0	0	2	0	0	6	1	48	1	6	79	0	1	6	1	1	5	11	0	2	31	2	7	0	1	6	6	4	3	3	4	3	0	5	14	45	7	15	1	5	6	4	1	1	0
G[Del(T):R(8,)]G	3	2	3	11	0	10	5	0	2	0	7	0	2	2	5	0	4	0	34	0	13	0	2	1	4	22	11	4	2451	5	3010	1696	1	0	3	1	4	1	9	6	0	1	1	0	0	7	3	31	1	7	63	1	0	8	0	9	7	11	2	0	30	2	5	0	0	1	3	6	3	1	1	1	0	9	14	41	7	10	1	6	6	3	0	0	0
A[Ins(C):R0]A	2	1	0	12	0	4	2	2	0	0	1	0	0	8	0	1	9	1	3	0	5	1	1	1	1	6	3	1	27	14	36	14	2	0	0	1	9	0	42	1	2	7	0	0	2	1	1	9	0	2	42	1	3	19	1	4	4	2	0	1	1	1	1	2	2	1	1	31	3	0	0	0	0	2	12	75	13	2	0	3	1	2	1	0	1
A[Ins(C):R0]T	0	1	0	6	0	3	3	1	0	0	0	0	1	0	0	0	0	1	2	0	1	1	1	0	0	6	1	0	8	4	5	5	0	0	0	0	0	1	17	4	0	5	1	0	0	0	0	0	0	0	16	0	1	9	3	0	2	1	1	1	3	0	0	0	0	0	3	14	1	0	1	0	0	3	5	21	11	2	0	0	0	0	2	0	0
Ins(C):R(0,3)	10	10	10	10	56	14	10	6	6	5	17	7	7	12	4	9	14	12	23	6	13	13	3	9	6	22	14	11	120	12	202	86	6	5	5	10	13	5	15	3	10	11	6	5	10	11	6	22	11	7	34	14	13	17	7	6	5	5	8	8	14	11	7	3	4	9	13	11	6	6	7	4	1	7	14	29	25	9	4	10	4	2	9	4	8
Ins(C):R(4,6)	7	3	4	3	4	5	4	4	2	1	6	5	2	7	7	4	4	5	11	0	15	7	2	1	2	13	17	1	563	8	920	446	3	9	7	4	4	2	7	1	10	3	3	1	12	0	5	15	7	2	33	7	4	13	4	4	8	8	0	12	10	2	7	2	2	3	7	7	8	2	3	2	4	5	10	19	25	13	7	8	1	2	5	2	2
Ins(C):R(7,)	4	6	8	11	3	13	7	0	6	3	6	2	3	11	9	6	13	12	9	3	17	9	0	5	3	21	19	4	771	7	1051	583	2	2	0	4	9	3	10	4	14	6	0	0	19	3	14	15	6	10	62	5	1	24	1	9	4	13	2	10	19	8	5	3	2	11	7	5	9	8	2	1	1	18	22	33	12	9	2	10	1	3	1	3	4
A[Ins(T):R(0,4)]A	8	3	8	8	6	11	5	8	7	4	11	6	10	11	10	5	17	4	12	4	14	10	3	9	9	14	17	4	162	13	279	102	9	1	7	7	18	7	20	8	7	12	6	4	12	6	10	17	7	10	54	5	10	21	5	13	9	15	5	10	21	4	5	6	6	10	9	15	6	7	4	2	6	10	12	41	18	9	2	12	5	10	3	4	1
A[Ins(T):R(0,4)]C	3	4	5	1	3	2	0	2	1	3	5	2	2	1	6	2	5	1	3	1	7	2	1	2	1	6	8	0	40	4	135	42	2	0	0	2	5	5	8	1	3	6	0	4	6	3	2	5	6	0	13	1	3	4	2	5	1	2	5	2	7	3	3	0	2	4	5	4	1	3	2	3	0	8	5	7	9	11	1	5	2	2	1	2	3
A[Ins(T):R(0,4)]G	2	4	4	1	6	7	3	2	2	7	4	5	7	5	4	7	0	2	5	2	12	5	2	3	3	3	8	2	94	1	234	100	1	6	4	3	0	2	8	6	4	7	2	1	4	5	3	7	4	4	16	3	5	12	5	1	1	4	3	4	20	2	2	1	1	4	6	4	4	4	1	0	2	8	4	6	6	2	4	0	1	0	3	1	1
C[Ins(T):R(0,4)]A	0	4	4	3	0	1	5	3	2	1	3	5	3	3	3	5	4	3	6	2	3	2	0	10	2	7	4	0	26	4	98	43	2	2	0	3	4	2	5	2	0	4	1	1	2	3	5	6	4	2	8	1	6	8	4	1	0	5	1	1	9	3	5	3	3	3	3	4	6	2	3	2	1	6	2	7	2	7	1	0	2	3	0	2	1
C[Ins(T):R(0,4)]C	7	0	6	5	3	6	2	2	6	2	2	0	1	3	2	4	5	4	8	2	6	3	2	5	1	4	7	1	68	7	170	57	2	3	2	3	5	0	6	1	3	4	0	2	5	5	5	12	5	5	15	7	4	11	2	2	2	5	1	1	2	2	7	0	2	1	1	5	7	1	1	1	0	3	4	3	4	4	5	4	0	3	1	1	3
C[Ins(T):R(0,4)]G	1	3	0	5	0	7	3	2	3	0	5	1	6	4	6	5	3	3	2	0	5	8	0	2	3	4	6	3	73	7	310	92	1	4	2	4	3	0	6	4	2	4	1	3	2	7	5	2	2	6	8	4	1	5	2	1	0	4	0	2	6	2	4	1	2	6	1	5	4	4	2	1	1	4	1	6	4	4	1	5	2	2	5	0	2
G[Ins(T):R(0,4)]A	1	1	6	3	14	3	2	4	5	0	2	6	2	3	5	7	13	1	6	1	9	5	0	3	5	4	4	3	11	6	50	11	0	3	1	4	13	4	3	3	3	5	2	1	3	2	7	9	3	5	12	8	8	8	3	3	4	5	1	5	8	6	5	4	1	0	4	7	4	1	4	3	4	2	4	7	4	5	1	6	5	1	1	4	7
G[Ins(T):R(0,4)]C	2	1	1	1	0	0	0	1	1	0	1	1	2	1	5	1	0	0	1	0	8	1	2	0	2	1	2	1	19	1	39	14	0	1	0	0	0	1	0	1	1	2	0	0	2	1	1	6	1	6	6	8	3	1	1	0	1	1	2	1	7	0	0	0	0	0	0	1	1	0	0	2	1	3	2	1	1	0	0	0	0	1	0	0	1
G[Ins(T):R(0,4)]G	0	2	2	3	0	3	3	2	3	1	2	2	3	9	9	4	8	4	5	1	23	15	1	3	3	3	3	1	76	7	163	55	2	1	1	3	6	4	2	2	5	4	0	1	5	9	2	11	1	22	27	6	10	9	3	0	1	2	1	4	14	0	1	1	2	1	1	5	2	2	0	0	1	6	1	9	12	5	1	3	0	1	1	2	1
A[Ins(T):R(5,7)]A	14	15	14	11	2	33	15	3	14	5	32	12	19	26	24	16	16	12	21	4	40	15	3	22	21	36	42	9	687	54	1415	572	16	12	6	12	16	22	30	9	23	23	7	4	33	27	17	32	18	21	154	10	11	59	8	11	16	29	13	26	33	11	14	6	12	33	31	12	17	13	5	1	2	34	40	79	26	33	6	16	8	15	7	6	7
A[Ins(T):R(5,7)]C	16	18	25	22	6	46	13	5	12	12	35	15	12	26	25	12	24	9	29	6	31	20	8	26	26	37	41	6	468	59	1159	504	10	11	2	20	23	15	41	18	41	16	6	5	46	27	29	32	10	31	125	20	5	68	13	15	19	26	13	30	55	11	21	7	16	44	25	15	30	19	8	2	8	56	37	76	29	26	10	36	7	13	3	3	8
A[Ins(T):R(5,7)]G	16	19	19	20	4	42	14	3	18	9	27	22	24	24	34	14	19	13	32	4	38	30	3	15	21	33	40	9	687	61	1601	729	14	11	8	12	20	13	31	7	41	24	7	3	55	23	24	35	15	25	142	19	6	69	6	26	19	41	10	27	43	10	16	4	12	41	25	16	29	15	9	1	4	46	47	62	22	25	8	31	6	6	9	8	8
C[Ins(T):R(5,7)]A	3	8	9	6	4	14	6	3	7	2	9	2	6	5	9	3	11	11	7	4	12	12	4	5	10	28	27	4	292	25	542	241	3	3	3	4	11	8	17	9	7	8	4	3	12	10	6	9	5	14	55	5	3	28	3	8	6	16	9	16	25	5	15	2	5	16	14	8	13	8	6	0	2	18	21	33	8	12	1	16	4	3	2	4	2
C[Ins(T):R(5,7)]C	6	13	10	13	5	17	9	2	13	8	9	13	12	14	14	14	17	6	14	5	24	11	3	22	13	28	22	0	253	49	634	257	12	4	3	8	16	14	17	9	17	10	2	1	16	13	9	19	8	6	78	11	4	41	4	8	9	23	10	12	20	10	11	3	4	23	11	9	9	15	8	0	4	22	21	40	12	9	5	10	7	8	2	2	4
C[Ins(T):R(5,7)]G	6	11	12	13	3	13	5	3	6	6	14	7	12	13	13	15	13	11	10	1	25	14	3	12	10	15	32	11	331	29	742	325	9	4	3	8	13	11	18	9	15	10	4	1	18	12	11	12	5	16	70	9	9	44	3	13	8	25	11	12	29	3	10	1	1	15	14	9	7	13	3	0	4	25	29	40	6	8	7	16	3	5	6	1	2
G[Ins(T):R(5,7)]A	4	4	1	5	1	17	10	1	4	3	13	4	9	9	11	5	6	2	10	2	10	9	1	2	8	15	17	3	352	22	707	292	3	6	1	6	5	7	13	10	12	6	3	1	18	7	4	9	6	13	60	6	4	28	0	8	11	19	7	12	25	4	10	2	4	10	9	10	8	4	1	1	0	7	20	36	7	10	6	8	2	2	2	3	1
G[Ins(T):R(5,7)]C	7	12	11	9	2	17	11	4	6	4	4	9	14	16	10	6	18	4	13	2	9	7	5	6	7	23	25	3	322	23	854	388	6	5	6	9	15	6	11	7	14	10	3	2	20	9	17	18	7	10	61	9	6	26	5	8	9	13	9	14	20	8	7	2	4	19	11	8	12	13	3	0	0	26	22	35	14	17	7	19	3	5	1	1	4
G[Ins(T):R(5,7)]G	5	8	8	21	1	14	7	4	12	6	11	9	9	22	8	9	10	9	24	1	20	12	4	10	10	31	38	3	716	38	1485	676	8	3	3	12	10	10	11	5	25	11	1	1	28	8	16	23	8	13	71	7	3	52	1	11	11	24	5	18	23	4	12	4	9	25	13	13	18	16	6	0	5	16	27	35	17	17	4	16	4	9	3	1	5
A[Ins(T):R(8,)]A	14	14	20	15	5	22	15	1	13	8	22	14	15	29	23	13	31	18	26	5	37	26	5	19	19	52	65	9	721	73	1488	653	9	13	10	11	31	14	27	16	38	16	4	5	57	20	22	35	18	19	135	21	11	74	7	13	13	26	14	19	35	13	17	9	13	22	35	16	18	30	7	0	4	31	49	97	26	27	7	28	9	13	9	7	5
A[Ins(T):R(8,)]C	11	19	23	14	4	35	19	1	16	11	17	11	12	24	27	6	26	18	21	3	30	31	3	21	14	38	61	7	599	55	1317	563	11	12	10	16	24	16	21	10	40	10	7	5	50	14	25	19	18	20	136	24	6	60	4	16	16	36	6	27	49	12	19	4	9	20	29	16	15	18	9	0	2	43	36	81	25	28	4	22	9	20	5	4	6
A[Ins(T):R(8,)]G	12	15	13	12	6	28	14	4	8	7	28	8	10	18	24	13	10	7	26	2	35	23	6	14	18	41	47	6	645	41	1355	558	6	8	12	16	10	13	16	5	37	19	5	3	48	15	24	34	14	19	107	20	8	57	4	21	18	30	10	24	42	10	16	9	6	19	32	7	18	16	6	1	5	35	37	77	26	25	3	22	3	11	5	9	7
C[Ins(T):R(8,)]A	6	10	17	12	1	17	4	1	9	4	10	4	9	18	20	5	9	9	14	0	16	10	4	7	8	30	37	3	477	28	737	336	2	9	1	7	9	8	17	5	11	10	3	2	19	18	10	17	11	11	73	7	2	37	4	6	10	13	6	17	25	6	11	1	5	18	20	12	13	6	5	0	3	15	21	39	17	10	1	12	3	8	2	1	5
C[Ins(T):R(8,)]C	11	6	8	8	1	17	9	3	4	8	18	7	7	16	10	6	9	13	20	0	17	11	5	10	8	25	27	3	449	29	892	405	12	7	3	8	10	8	16	8	32	8	2	3	37	12	14	20	5	11	102	9	6	51	1	14	10	20	8	24	23	9	6	8	5	23	6	11	16	14	1	0	1	11	23	55	13	16	4	17	4	3	8	0	3
C[Ins(T):R(8,)]G	11	13	7	23	2	17	14	1	6	5	23	5	14	18	11	9	18	9	20	3	27	7	4	10	15	34	34	2	633	23	1102	531	12	5	4	10	16	11	14	6	40	7	0	7	48	6	21	22	9	16	97	5	6	50	6	16	13	29	5	18	33	9	5	6	8	18	16	14	16	19	5	0	4	25	26	54	22	14	2	15	6	6	4	6	5
