MutationType	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
Del4:U2:R4	3	1	3	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	2	0	3	0	0	1	0	0	3	2	1	3	1	0	0	1	2	1	0	0	0	3	0	1	0	1	1	0	1	0	0	1	0	0	1	2	2	1	0	0	0	3	0	2	1	1	0	1	1	1	3	3	10	0	0	2	0	0	1	1	0	0	0	2	1	1	3	0	1	1	0	0	2	2	0	0	3	0	2	0	0	0	1	1	1	0	0	1	3	3	0	2	1	2	4	1	3	0	0	0	2	0	2	0	0	0	1	1	1	0	0	1	0	2	3	1	3	1	0	1	0	1	2	4	1	1	1	1	2	0	1
Del4:U2:R(5,9)	0	4	2	2	0	1	2	2	2	3	3	0	3	1	2	0	5	4	1	1	0	3	0	2	5	0	1	2	4	1	1	0	2	1	5	4	5	1	0	1	1	4	2	5	2	5	2	2	0	1	3	0	3	0	0	9	2	0	2	1	1	5	5	1	3	6	1	2	5	0	62	2	4	4	1	6	4	2	5	0	4	1	3	0	9	0	2	2	7	2	1	0	1	0	6	1	1	1	2	2	2	2	2	2	2	1	1	3	2	4	0	4	6	4	6	3	1	1	4	5	1	2	2	3	2	3	3	4	2	5	1	1	10	3	3	0	8	0	1	3	0	7	1	0	7	7	0	2	0
Del4:U4:R2	6	12	6	10	2	2	8	10	7	18	22	2	15	7	6	12	15	12	12	16	9	5	7	7	7	0	3	5	10	9	13	6	18	8	28	5	7	2	2	9	2	9	7	8	8	13	10	16	2	13	9	6	20	9	9	21	16	4	11	11	3	32	18	11	7	11	13	4	11	21	112	9	16	5	5	25	20	9	8	2	23	3	13	13	26	8	7	11	17	6	12	11	9	6	13	6	23	4	6	6	4	17	7	4	9	8	11	15	8	5	4	6	18	18	21	7	4	5	24	10	4	6	2	4	10	7	9	6	7	26	18	9	34	9	19	5	12	11	7	13	11	18	8	3	12	19	10	7	13
Del4:U4:R3	3	5	0	1	0	2	2	1	3	5	6	2	4	2	3	5	2	1	2	5	5	6	0	6	2	2	2	2	5	1	5	2	7	3	8	3	3	2	1	1	1	3	1	2	2	2	3	2	0	5	4	0	5	1	3	5	9	1	2	3	0	4	4	1	4	5	7	1	5	4	43	0	3	3	2	2	6	4	1	0	3	3	8	1	7	3	3	1	4	0	4	3	4	4	6	0	6	3	1	1	3	3	3	2	3	2	1	7	1	2	3	1	4	1	3	1	2	2	10	1	4	5	4	2	5	1	2	2	2	11	7	5	7	2	7	2	4	1	2	4	8	3	4	2	7	5	3	2	2
Del4:U4:R4	1	2	2	0	1	1	3	3	0	1	4	1	2	4	0	0	1	1	0	5	0	0	0	6	2	0	2	0	5	1	2	0	5	1	3	3	1	1	0	2	1	1	0	3	0	1	1	5	0	1	1	0	3	2	0	1	5	0	3	0	2	2	3	1	0	1	3	1	3	5	23	1	5	1	1	2	0	0	1	1	2	1	3	1	4	0	0	1	1	2	5	1	3	1	1	0	4	1	1	2	0	1	2	0	1	1	2	1	0	3	1	2	3	1	4	1	0	0	1	0	0	1	0	2	0	1	2	5	2	2	4	2	5	0	3	3	1	3	2	2	0	3	1	0	5	1	3	2	2
Del4:U4:R(5,9)	1	1	0	0	1	1	2	0	0	3	2	1	2	0	1	1	4	1	0	2	0	0	0	1	1	0	0	1	4	0	1	2	2	1	4	1	1	1	0	0	0	0	0	0	0	3	1	0	0	2	1	2	1	1	0	4	2	0	0	1	1	2	1	2	0	2	4	1	2	1	67	0	2	0	2	2	0	0	2	0	1	1	4	2	5	0	1	0	2	0	1	2	3	0	2	1	3	0	1	1	0	2	0	0	2	1	0	2	1	1	1	4	2	2	2	4	0	2	1	4	1	0	1	1	2	1	3	5	2	6	1	3	5	1	2	1	1	0	1	1	0	3	3	1	1	1	2	2	1
Del5:U1:R(5,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0
Del5:U5:R2	1	3	1	3	0	0	1	1	4	4	4	1	3	2	2	3	3	2	1	2	1	1	0	0	1	0	1	1	1	2	1	2	1	3	7	1	1	1	0	2	0	6	0	5	0	1	2	2	0	0	3	2	6	3	3	4	0	2	2	2	1	6	1	3	1	1	2	2	4	5	14	0	0	2	1	1	2	4	1	0	5	1	2	0	5	1	1	1	3	1	6	4	4	1	4	0	6	1	0	0	3	5	1	1	3	1	1	3	4	3	2	10	5	2	3	2	0	1	4	4	3	4	0	2	1	1	1	5	3	9	4	1	8	1	2	0	2	0	1	2	1	2	0	1	1	3	0	3	9
Del5:U5:R3	1	0	1	0	0	0	0	4	1	0	1	0	1	0	0	0	2	2	2	0	0	1	0	0	1	0	1	1	2	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	9	0	2	0	0	0	1	1	0	0	0	1	0	0	2	1	0	0	1	0	1	0	0	0	0	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	2	0	0	0	0	0	2	0	2	0	1	1	0	1	2	0	1	0	0	0	0	1	1	0	0	1	1	2	0	0	2
Del5:U5:R4	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	7	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
