MutationType	CPCT02020340T	CPCT02140010T	CPCT02110007T	CPCT02140015T	CPCT02020376T	CPCT02050051T	CPCT02140017T	CPCT02040048T	CPCT02060029T	CPCT02060039T	CPCT02050077T	CPCT02060050T	CPCT02020866T	CPCT02120177T	CPCT02140095T	CPCT02120176T	CPCT02120085T	CPCT02100138T	CPCT02080177T	CPCT02230079T	CPCT02340107T	CPCT02120096T	CPCT02120102T	CPCT02440023T	CPCT02160060T	CPCT02180055T	CPCT02140104T	CPCT02140105T	CPCT02190055T	CPCT02030551TII	CPCT02050317T	CPCT02180078T	CPCT02220075T	CPCT02230085T	CPCT02120195T	CPCT02080302T	CPCT02070470T	CPCT02300034T	CPCT02020955T	CPCT02020965T	CPCT02140094TII	CPCT02210083T	CPCT02100200T	CPCT02140106T	CPCT02140059T	WIDE01010156T	CPCT02100174T	CPCT02120200T	CPCT02140070T	CPCT02040248T	CPCT02060149T	CPCT02020718T	CPCT02230096T	CPCT02180064T	CPCT02020764T	CPCT02440012T	CPCT02020752T	CPCT02140071T	CPCT02140074T	CPCT02140017TII	CPCT02120143T	CPCT02030431T	CPCT02180067T	CPCT02160052T	CPCT02140080T	CPCT02170036T	CPCT02290045T	CPCT02060269T	CPCT02230113T	CPCT02050407T	CPCT02030543T	CPCT02190050T	CPCT02140087T	CPCT02100190T	CPCT02140094T	CPCT02130164T	CPCT02140093T	CPCT02020592T	CPCT02180076T	CPCT02020865T	CPCT02230059T	CPCT02180022T	CPCT02120014T	CPCT02180033T	CPCT02140046T	CPCT02080111T	CPCT02120027T	CPCT02140042TII	CPCT02070169T	CPCT02160024T	CPCT02020566T	CPCT02230033T	CPCT02030356T	CPCT02090021T	CPCT02330047T	CPCT02100107T	CPCT02020580T	CPCT02180003T	CPCT02020414T	CPCT02050087T	CPCT02010458T	CPCT02020447T	CPCT02060067T	CPCT02020480T	CPCT02140042T	CPCT02120002T	CPCT02030332T	CPCT02230015T	CPCT02060138T	CPCT02360007T	CPCT02040181T	CPCT02300027T	CPCT02120090T	WIDE01010520T	WIDE01010600T	WIDE01010710T	WIDE01010727T
A[Del(T):R(1,4)]A	52	56	61	21	11	40	74	91	25	40	34	56	26	46	84	53	37	32	33	60	34	53	10	46	42	23	3	48	50	28	7	40	34	77	41	61	14	53	23	41	46	6	71	20	69	4	34	16	17	23	20	38	53	25	26	40	26	47	46	73	40	32	30	65	14	5	15	18	5	27	31	45	36	46	20	34	70	8	6	72	23	29	61	92	30	10	37	14	14	52	0	17	38	58	29	50	14	10	38	16	10	20	27	35	22	38	28	27	77	216	48	48	33	61	17	38	16
A[Del(T):R(1,4)]C	38	25	60	19	10	18	67	66	26	27	30	35	25	36	58	50	20	17	28	34	31	33	7	49	43	8	10	39	49	19	0	29	26	55	40	36	6	45	31	25	37	4	61	17	55	12	21	8	12	22	17	21	40	20	25	37	17	27	49	66	21	13	13	46	7	4	14	19	2	19	29	35	35	31	15	30	58	2	14	72	14	12	28	34	15	8	21	5	14	38	0	7	37	31	34	37	10	3	32	13	1	14	20	30	17	30	21	19	48	102	41	36	22	49	13	31	9
A[Del(T):R(1,4)]G	16	28	31	21	8	21	54	62	20	25	22	36	19	32	56	36	18	16	12	55	37	27	7	51	32	11	4	40	34	14	4	30	25	30	36	35	12	32	20	36	43	9	37	9	42	4	18	11	4	19	12	20	44	25	24	33	20	27	30	53	20	20	9	28	2	1	14	17	5	19	30	34	34	26	18	29	58	6	9	53	20	19	27	35	12	6	26	7	8	36	0	14	18	24	28	33	15	2	24	10	3	18	25	38	20	30	19	18	55	93	44	42	15	44	10	25	9
C[Del(T):R(1,4)]A	36	12	23	18	2	19	44	43	8	19	22	25	23	17	27	30	9	13	22	17	20	24	2	34	24	5	6	31	27	21	5	19	21	25	15	30	7	25	9	20	21	7	35	11	30	8	11	13	8	15	8	12	27	12	18	21	11	12	12	46	23	13	9	16	6	3	9	15	5	15	17	27	22	20	11	8	35	3	7	33	13	15	15	33	9	6	17	8	10	17	0	11	16	22	16	21	4	3	20	9	5	11	10	16	21	13	16	17	21	126	24	20	13	24	9	20	8
C[Del(T):R(1,4)]C	22	18	25	24	3	17	38	53	10	23	9	32	10	19	45	27	16	15	16	31	21	28	3	40	17	8	3	31	21	17	7	19	15	37	30	32	9	22	27	23	29	8	34	9	39	6	10	6	6	17	8	20	19	21	23	15	8	23	28	37	10	10	13	22	5	4	5	22	2	17	18	28	20	9	7	15	40	5	10	45	12	15	30	56	8	5	23	7	12	30	2	12	18	29	19	29	17	1	30	12	8	20	16	19	16	20	11	19	35	122	24	24	19	33	1	15	4
C[Del(T):R(1,4)]G	24	19	27	17	5	15	24	59	17	19	32	21	15	25	41	24	14	12	24	35	20	19	8	22	25	14	7	30	30	8	2	18	19	32	16	45	9	28	17	23	28	8	28	13	22	6	16	6	9	20	12	11	27	16	16	21	15	14	22	24	12	12	12	19	3	3	16	17	5	11	22	25	25	17	12	19	33	5	9	39	11	14	31	34	14	10	22	7	8	25	1	10	18	36	12	24	6	2	19	11	5	11	9	11	14	21	15	19	22	77	29	22	17	32	12	13	10
G[Del(T):R(1,4)]A	16	10	11	8	5	14	28	25	11	16	13	25	9	12	25	23	7	8	13	25	26	12	6	21	15	1	7	9	16	9	2	10	14	18	15	22	4	15	8	12	22	8	16	10	21	1	9	4	10	10	9	10	22	13	8	18	12	10	13	26	13	14	7	29	2	3	6	16	2	14	11	10	7	10	7	7	21	5	4	26	10	12	21	39	9	1	15	2	5	13	0	12	12	15	7	9	5	3	17	13	3	15	14	12	12	12	9	13	22	59	24	19	11	19	2	14	5
G[Del(T):R(1,4)]C	21	13	20	10	10	4	35	32	9	8	15	15	10	22	21	19	12	6	10	12	17	15	1	25	22	4	2	19	19	8	1	12	10	19	13	24	6	29	13	14	16	3	27	14	25	3	10	6	3	13	7	10	22	5	17	15	6	10	22	34	10	12	7	24	2	1	5	12	2	10	11	16	17	16	6	16	29	3	5	32	6	11	16	34	7	1	12	2	6	20	0	8	12	13	15	14	3	0	13	9	2	9	8	13	6	13	8	12	29	61	32	17	10	19	8	8	4
G[Del(T):R(1,4)]G	16	20	26	8	6	14	29	20	9	14	17	20	11	10	20	7	10	7	14	23	15	8	1	24	20	2	6	15	21	7	5	17	14	16	14	19	5	14	13	17	17	4	27	10	25	4	8	9	3	12	11	14	15	10	11	15	4	24	13	28	14	7	6	14	2	4	6	11	4	8	21	18	11	22	5	6	25	4	4	26	8	5	12	24	9	2	13	6	1	18	0	8	13	18	10	15	9	2	17	7	4	4	9	19	12	14	13	18	18	78	20	22	7	24	3	11	2
A[Del(T):R(5,7)]A	9	7	21	9	5	9	28	33	9	12	18	20	4	17	26	18	8	7	12	18	22	14	3	15	9	3	4	14	21	6	0	15	13	15	7	22	4	21	7	11	17	2	19	2	19	1	15	5	9	8	6	7	26	10	15	21	8	4	21	22	12	6	5	7	3	20	4	13	2	10	8	14	9	11	7	6	19	3	3	16	8	9	24	638	12	4	15	3	4	15	1	5	9	20	7	16	2	0	14	6	1	11	8	19	14	10	10	4	17	1852	17	14	6	13	4	25	3
A[Del(T):R(5,7)]C	5	12	11	8	5	4	20	18	8	7	10	13	8	7	9	13	6	4	7	11	8	6	3	6	12	5	5	4	9	3	0	9	6	14	5	14	2	8	5	9	10	0	11	3	23	2	6	1	8	4	3	9	8	7	7	10	5	4	14	19	4	8	3	10	4	6	1	7	3	2	8	6	3	3	4	10	9	2	6	13	5	12	6	272	9	2	10	1	1	12	0	6	6	4	5	12	3	2	8	7	1	4	8	6	6	7	6	6	8	702	13	14	4	10	3	5	2
A[Del(T):R(5,7)]G	11	8	8	8	5	5	11	12	6	4	9	16	7	6	13	19	20	8	8	16	7	8	2	11	11	2	4	12	7	6	2	3	3	15	9	13	2	5	6	13	7	2	8	3	20	3	13	4	8	5	4	5	18	7	6	5	7	4	5	12	6	4	3	14	2	6	3	5	1	4	8	8	5	6	1	5	3	2	3	16	9	11	6	397	2	8	12	7	8	8	0	4	14	11	9	16	2	2	10	2	1	3	9	9	17	4	7	8	5	1083	12	10	8	10	1	15	6
C[Del(T):R(5,7)]A	2	7	2	5	3	4	9	11	4	6	7	6	4	5	12	3	1	7	6	5	6	4	1	7	6	3	2	7	12	3	1	3	3	5	6	7	1	6	4	2	2	0	10	1	6	1	8	1	2	5	0	4	9	1	2	4	2	1	5	8	5	1	1	4	0	5	2	4	0	1	3	4	2	9	1	3	6	2	5	8	1	6	11	343	1	0	5	0	0	6	0	2	2	3	3	6	2	0	9	3	2	4	3	5	1	0	8	5	9	976	5	6	6	14	4	13	1
C[Del(T):R(5,7)]C	8	6	5	7	4	5	10	10	6	6	7	9	3	6	9	10	0	0	6	5	7	5	1	5	2	5	0	7	6	2	1	13	6	8	3	4	4	6	3	5	3	0	9	2	3	2	3	1	0	4	2	7	10	4	3	5	2	2	4	10	5	3	2	2	2	4	3	3	1	2	6	7	4	4	2	5	8	3	3	8	2	3	6	290	3	4	9	2	1	6	0	1	5	6	4	6	1	1	6	3	3	2	2	5	6	5	1	4	3	732	11	11	5	6	3	11	0
C[Del(T):R(5,7)]G	5	4	5	0	0	3	6	9	6	4	5	3	7	5	11	8	3	5	2	5	5	3	1	5	2	4	2	8	8	1	0	2	2	8	7	6	2	6	4	3	4	0	6	4	7	1	6	0	2	0	2	1	7	2	1	4	0	5	3	6	2	0	2	5	2	9	2	3	2	0	1	7	0	1	0	3	11	2	1	10	4	3	5	298	8	2	3	4	1	8	0	2	3	4	4	4	0	0	3	2	2	0	3	6	7	4	4	5	8	855	5	5	1	9	2	13	0
G[Del(T):R(5,7)]A	4	6	8	2	0	1	8	2	4	5	4	3	4	7	4	9	3	1	2	6	6	2	1	4	5	1	1	5	7	2	3	5	4	5	4	3	0	1	3	2	5	0	5	2	3	0	5	2	2	3	2	2	5	2	1	4	0	4	1	9	2	1	3	4	0	1	3	3	1	4	4	8	5	1	0	4	5	1	2	6	3	4	6	195	3	1	6	2	1	7	0	4	6	1	1	7	2	0	8	2	0	4	4	1	3	4	1	6	5	535	4	5	7	9	2	8	2
G[Del(T):R(5,7)]C	3	5	6	0	0	3	10	4	1	3	3	3	5	3	2	3	3	1	4	5	5	4	0	7	4	2	0	3	2	7	1	3	4	4	2	7	1	2	5	3	8	1	5	2	7	1	5	3	0	2	0	1	8	0	2	6	1	3	7	10	2	2	2	3	2	5	3	1	0	6	4	3	5	4	2	2	4	0	2	8	2	2	6	177	1	2	3	3	1	2	0	1	3	2	4	5	3	1	9	2	0	1	2	3	7	2	0	6	5	406	4	7	2	10	4	5	1
G[Del(T):R(5,7)]G	2	2	1	3	2	3	6	8	3	5	3	5	0	3	4	8	0	4	5	7	7	6	0	6	3	2	1	5	8	2	1	1	4	4	4	4	0	4	2	2	4	0	9	1	4	1	4	0	2	9	2	1	3	5	4	2	4	4	2	6	5	3	3	3	1	2	3	3	0	2	2	2	0	4	2	3	2	2	0	1	1	1	6	140	0	5	4	2	1	2	0	4	5	5	5	2	2	1	3	4	0	1	3	1	5	5	1	2	4	491	9	5	1	6	2	5	1
A[Del(T):R(8,)]A	2	3	0	2	3	2	6	2	1	1	5	0	1	1	3	11	2	3	1	6	16	1	0	3	2	2	5	2	5	2	0	0	0	4	1	2	3	1	1	0	4	0	1	0	3	0	4	1	1	0	2	3	9	1	3	2	1	2	3	3	3	1	0	0	0	33	0	1	0	4	1	1	1	3	3	1	2	0	0	6	1	7	5	1165	10	4	5	1	1	2	0	0	2	1	4	3	2	1	3	2	2	2	1	3	5	2	4	2	0	3473	1	2	2	4	0	36	2
A[Del(T):R(8,)]C	1	0	2	2	2	2	8	4	4	1	6	0	1	3	4	18	2	3	4	3	17	5	0	3	1	5	3	3	1	4	0	1	2	3	0	1	2	0	0	2	7	1	3	3	1	0	8	1	6	0	4	1	7	2	7	0	1	2	3	7	0	1	0	1	0	24	3	3	1	1	0	2	0	1	2	0	1	0	1	3	2	6	2	736	5	1	5	2	1	2	0	1	2	2	1	0	4	1	2	2	3	5	0	1	9	2	0	6	3	1837	4	5	0	3	0	15	0
A[Del(T):R(8,)]G	0	0	1	3	0	2	2	1	1	1	1	0	0	0	2	5	0	3	1	7	9	1	1	1	1	0	2	1	1	1	0	1	1	1	1	2	1	0	0	1	2	0	0	1	1	0	2	0	3	2	1	0	2	1	2	0	1	2	2	2	2	1	0	2	1	14	1	1	0	0	0	1	1	3	1	0	3	0	0	0	0	8	3	688	1	3	8	2	0	2	0	0	1	1	0	5	2	0	1	0	0	2	0	1	6	0	2	1	0	2088	2	2	1	0	0	15	2
C[Del(T):R(8,)]A	0	1	3	1	0	1	2	3	2	2	2	1	1	0	0	17	4	1	3	4	3	1	0	4	2	0	4	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	2	0	4	3	1	1	1	3	10	0	2	3	2	0	1	4	2	0	0	1	1	22	1	1	0	1	0	2	1	0	1	0	0	2	0	2	1	3	4	940	5	1	1	2	0	1	0	0	2	1	0	2	3	0	3	2	0	3	2	1	3	0	2	2	0	2777	0	1	2	4	0	12	0
C[Del(T):R(8,)]C	0	1	2	1	2	3	1	0	2	0	1	2	0	0	2	15	1	4	2	6	12	4	0	1	0	1	1	2	4	1	0	1	1	1	3	2	0	2	1	0	5	0	2	1	2	0	5	0	2	1	0	1	11	1	1	0	1	3	2	2	2	1	0	1	0	17	1	0	0	3	2	2	2	3	2	0	3	0	0	1	0	0	1	879	3	0	5	1	0	1	0	1	1	3	0	5	1	0	3	0	0	1	1	2	1	0	0	1	3	2220	1	0	0	3	0	18	0
C[Del(T):R(8,)]G	0	0	0	1	1	0	4	0	3	1	1	1	0	1	2	1	2	1	0	3	5	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	0	2	0	1	2	0	1	0	2	0	2	0	0	0	0	0	0	1	1	1	1	1	1	2	0	0	0	1	1	15	0	2	0	1	1	2	0	1	0	0	0	0	0	2	1	0	4	1077	0	0	3	0	0	3	0	0	2	0	1	2	4	0	1	0	1	0	1	2	0	1	1	3	3	3101	1	2	2	1	0	12	0
G[Del(T):R(8,)]A	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	2	0	0	1	1	5	2	0	2	0	0	0	1	4	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	4	0	1	0	0	0	1	1	0	0	0	0	0	6	1	1	0	0	1	1	0	3	1	0	2	0	2	0	0	2	1	498	3	1	6	0	0	1	0	1	2	2	0	0	1	0	1	0	0	2	1	0	4	0	1	1	1	1315	0	0	0	1	0	6	2
G[Del(T):R(8,)]C	0	0	0	1	1	0	2	0	2	0	0	1	0	0	0	2	0	3	0	2	6	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	1	0	0	0	1	0	1	1	0	0	2	1	1	1	1	0	4	1	1	1	1	0	1	0	0	2	0	0	0	7	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	2	2	418	4	1	2	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	3	1	0	0	3	902	1	0	1	2	0	8	0
G[Del(T):R(8,)]G	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	1	1	0	1	1	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	2	2	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	394	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	1	0	2	0	1	0	1	1	0	2	1150	1	1	2	0	1	6	0
A[Ins(C):R0]A	0	0	1	1	2	0	2	0	2	0	3	2	0	1	3	1	0	1	0	1	1	2	0	5	0	1	0	2	1	5	0	2	0	0	1	0	1	1	0	1	2	2	3	1	3	0	0	1	0	0	0	0	2	0	1	1	1	2	0	2	1	1	1	0	0	4	1	1	1	3	2	1	1	0	0	3	1	0	1	1	1	4	3	6	0	3	2	1	0	0	0	0	0	1	2	1	0	1	2	0	2	1	1	1	1	2	1	1	2	10	2	0	0	1	0	2	0
A[Ins(C):R0]T	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	2	1	0	1	0	1	0	1	2	0	0	0	2	1	2	0	0	1	2	0	1	0	1	0	3	1	0	0	1	0	0	0	1	1	0	0	0	1	3	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	2	1	1	0	1	1	0	1	1	1	0	1	0
Ins(C):R(0,3)	9	14	22	11	2	9	38	31	14	15	15	22	8	12	122	20	12	17	20	22	13	17	2	27	23	11	11	26	21	89	5	17	16	19	15	22	7	14	10	10	105	5	25	10	16	3	14	6	10	7	10	14	19	20	8	18	12	10	12	36	11	11	8	15	6	10	8	13	6	5	16	19	15	6	15	18	25	5	16	32	14	13	27	42	14	11	20	13	9	17	2	7	12	18	16	26	8	3	22	4	7	8	10	13	17	14	11	8	15	81	22	21	10	29	7	13	6
Ins(C):R(4,6)	0	1	3	5	2	0	4	6	5	2	2	2	5	5	16	11	3	5	3	8	8	3	1	5	6	2	4	10	8	12	3	1	8	10	1	8	1	2	4	5	16	1	1	5	7	2	4	0	3	3	2	2	6	7	9	2	5	2	4	4	2	2	0	4	8	9	2	4	3	1	6	6	2	6	2	4	3	1	1	9	4	9	6	137	2	6	3	2	2	4	1	9	1	1	5	4	0	2	3	1	2	2	4	3	5	1	6	2	1	241	4	2	0	3	0	6	0
Ins(C):R(7,)	0	0	2	3	3	1	7	5	1	0	0	8	1	1	7	6	1	4	4	3	10	1	0	3	0	0	3	2	3	14	1	0	2	4	2	1	1	3	1	1	4	0	2	1	1	0	0	1	2	1	2	0	8	1	4	2	1	0	2	3	1	0	1	1	1	9	0	0	3	3	1	0	1	7	0	1	2	1	0	4	1	7	2	114	1	3	3	1	0	0	0	1	3	1	3	1	4	0	3	3	1	1	4	3	4	0	0	2	5	284	2	0	1	5	2	5	0
A[Ins(T):R(0,4)]A	17	31	27	17	10	20	45	52	26	27	20	40	7	16	45	34	12	14	14	38	27	16	5	44	21	10	11	37	23	22	5	18	18	18	24	30	7	31	13	22	37	10	26	14	30	8	8	6	7	18	6	13	48	21	18	18	4	22	34	46	21	20	5	30	5	11	8	16	4	16	16	20	14	20	15	15	28	4	6	44	12	18	30	51	20	12	17	7	4	20	0	11	13	23	18	41	5	1	18	16	7	13	15	11	18	21	12	14	37	116	26	27	18	16	9	21	9
A[Ins(T):R(0,4)]C	8	10	9	8	1	8	19	25	6	9	8	20	5	11	13	12	5	8	6	13	9	9	0	18	9	1	2	19	8	6	1	14	7	15	7	17	6	14	6	9	12	1	14	2	13	1	5	2	4	7	3	5	21	4	11	12	6	8	11	20	6	5	3	13	2	3	3	8	2	0	7	10	8	10	3	9	11	0	2	14	3	7	10	26	3	4	8	1	2	14	0	10	4	13	13	14	3	1	13	5	3	7	4	5	1	4	2	9	15	63	10	11	12	10	4	4	5
A[Ins(T):R(0,4)]G	8	10	17	8	4	12	31	35	10	13	11	19	5	6	24	30	13	7	12	16	9	16	3	34	15	4	5	13	16	14	0	19	17	21	14	22	5	21	6	17	15	4	14	6	26	3	9	3	6	12	3	11	22	10	8	13	8	9	16	30	10	10	8	21	1	7	4	10	2	6	12	15	11	9	6	12	22	1	4	27	10	15	20	45	7	8	20	3	8	16	0	8	5	11	14	24	4	1	10	5	1	7	11	7	13	13	7	6	14	136	20	11	15	14	8	10	4
C[Ins(T):R(0,4)]A	5	7	14	10	4	7	23	11	5	8	4	14	7	7	14	14	7	5	6	12	6	14	4	12	17	7	6	8	11	10	1	12	9	17	4	17	2	14	6	3	10	8	12	8	13	2	4	6	2	5	4	8	13	10	12	14	5	6	10	20	4	4	6	16	1	3	7	6	0	6	10	12	8	4	2	10	9	6	5	16	7	7	13	22	8	9	11	2	6	7	0	10	10	8	9	16	4	5	16	8	3	7	5	6	3	6	5	3	9	66	13	8	7	8	4	7	2
C[Ins(T):R(0,4)]C	5	3	6	5	3	3	11	14	8	1	3	7	2	6	18	7	8	7	3	7	4	6	2	6	7	2	4	8	7	19	2	0	5	6	7	12	1	6	4	9	10	2	7	2	12	2	5	3	4	4	3	2	9	3	4	5	5	3	11	10	3	5	4	9	3	3	1	5	3	5	8	8	3	6	4	3	10	4	3	9	8	2	6	22	1	2	3	2	2	7	0	4	6	4	8	2	5	2	4	2	3	6	11	6	6	2	5	3	8	59	7	8	6	7	2	11	0
