MutationType	SP18310	SP17172	SP96133	SP110242	SP114330	SP21017	SP22383	SP81312	SP22031	SP96112	SP19215	SP96120	SP16886	SP96124	SP19295	SP19670	SP17905	SP16934	SP20993	SP19983	SP18121	SP96122	SP119755	SP96126	SP19606	SP96118	SP21528	SP21400	SP23078	SP17430	SP96110	SP18946	SP21057	SP22750	SP19750	SP17016	SP16958	SP17329	SP96116	SP96129	SP21193	SP18787	SP96114	SP19582	SP17294	SP80367	SP82087	SP80615	SP80271	SP81172	SP81840	SP80657	SP81494	SP81711	SP80423	SP80754	SP81440	SP80950	SP82103	SP81137
G[Ins(T):R(0,4)]C	34	9	24	47	2	25	18	6	2	1	16	2	8	5	2	2	14	1	2	2	38	3	2	5	2	4	0	4	6	0	2	8	2	0	2	0	2	1	1	2	1	0	1	0	0	2	0	16	3	2	2	1	3	3	0	4	1	1	4	1
G[Ins(T):R(0,4)]G	160	39	89	145	1	120	92	8	3	2	83	6	11	7	7	3	36	2	2	3	160	4	5	5	4	28	2	9	4	0	5	17	6	6	0	3	5	2	3	4	6	5	4	1	3	4	3	31	2	2	10	1	5	9	5	7	2	0	4	6
A[Ins(T):R(5,7)]A	1589	535	971	1866	40	1274	903	818	342	21	871	81	676	49	351	52	1630	55	73	67	1895	99	72	136	29	269	50	977	21	28	39	942	53	48	46	41	74	30	52	44	30	107	52	18	76	22	38	1408	41	30	79	24	42	78	21	33	16	26	80	61
A[Ins(T):R(5,7)]C	1115	327	688	1507	53	1003	652	557	246	31	594	69	516	56	266	58	1253	47	61	59	2015	91	57	140	30	202	43	666	27	19	35	693	50	55	43	46	76	20	44	62	25	111	67	21	78	25	39	1038	40	22	87	27	43	88	28	44	17	23	70	63
A[Ins(T):R(5,7)]G	1651	502	933	2086	43	1439	818	275	127	27	841	85	253	53	134	45	712	45	93	53	3078	80	53	165	23	244	59	378	15	16	42	359	71	48	53	35	59	32	48	46	38	88	42	16	73	28	39	631	46	19	82	34	33	84	35	39	11	22	76	76
C[Ins(T):R(5,7)]A	643	243	402	774	22	555	366	538	180	4	394	27	458	20	200	14	1100	17	38	37	530	33	27	62	15	91	19	663	16	15	21	626	20	21	23	22	37	12	18	19	19	35	23	6	35	12	12	965	16	11	31	8	15	46	12	17	11	5	32	26
C[Ins(T):R(5,7)]C	632	185	405	884	23	540	375	522	132	15	314	33	389	25	150	31	965	37	47	39	837	46	33	69	9	107	38	598	15	14	16	526	29	24	29	22	36	15	21	22	17	53	21	8	40	14	22	844	34	12	45	9	16	41	20	11	7	13	36	45
C[Ins(T):R(5,7)]G	835	254	502	1043	23	750	451	226	81	13	457	37	177	34	69	23	512	27	40	31	1050	68	29	69	5	108	34	251	11	12	16	243	29	20	26	18	38	11	27	17	13	43	33	11	39	16	15	426	16	12	41	16	20	45	17	22	11	10	39	32
G[Ins(T):R(5,7)]A	798	304	522	953	23	724	450	397	164	11	472	26	296	29	176	19	759	23	38	34	854	25	17	48	9	104	27	422	16	10	15	458	13	20	20	23	34	13	24	22	19	38	27	4	26	10	22	565	24	15	37	8	11	33	12	11	5	16	30	29
G[Ins(T):R(5,7)]C	811	217	471	1037	27	767	458	389	159	16	456	28	333	27	170	20	772	10	36	35	1215	55	39	65	10	128	34	498	8	17	8	415	33	28	24	21	43	15	24	28	18	44	26	8	33	14	15	711	20	10	39	15	26	42	10	17	6	12	39	39
G[Ins(T):R(5,7)]G	1505	437	770	1988	29	1366	796	190	86	14	837	52	167	35	95	28	383	28	51	45	2164	59	49	82	18	172	24	227	10	9	20	262	36	26	36	22	54	19	33	29	13	70	36	14	46	17	23	359	25	9	59	9	32	69	15	15	22	13	59	46
A[Ins(T):R(8,)]A	1134	522	710	1588	54	1277	613	303	143	25	536	59	254	60	143	31	402	43	70	68	1557	60	67	110	30	24	49	349	21	8	33	472	59	38	50	38	74	22	47	55	19	84	53	15	78	13	35	540	38	30	79	21	19	66	26	33	13	22	59	48
A[Ins(T):R(8,)]C	1011	413	552	1362	39	1053	620	380	160	25	457	51	333	62	160	47	470	46	82	56	1435	88	62	122	19	23	52	366	21	15	34	506	47	49	62	45	62	20	37	54	27	86	46	13	69	17	36	628	47	36	83	23	22	63	22	40	14	30	65	60
A[Ins(T):R(8,)]G	971	457	549	1361	43	1045	497	117	66	19	435	63	116	59	70	30	175	30	54	35	1494	65	52	130	22	12	39	149	10	7	26	213	48	35	62	30	58	25	47	42	22	79	28	12	54	18	29	243	38	17	65	22	23	65	25	27	15	13	54	35
C[Ins(T):R(8,)]A	624	318	363	946	25	706	400	155	48	10	311	28	107	23	71	18	185	22	26	32	708	38	34	69	12	7	28	146	11	9	17	230	22	22	32	21	32	13	29	26	20	36	17	7	26	12	9	260	26	10	35	4	10	42	15	22	10	8	30	28
C[Ins(T):R(8,)]C	705	314	399	1006	19	764	379	257	100	14	309	39	218	37	93	23	310	21	43	48	969	43	35	87	18	15	26	242	14	9	19	352	23	23	30	16	40	19	24	25	21	50	41	8	35	20	22	429	30	8	39	17	12	45	14	18	9	15	46	41
C[Ins(T):R(8,)]G	894	439	487	1238	36	980	439	97	44	16	393	41	67	45	51	30	118	24	44	36	1174	45	43	102	13	21	32	123	13	16	16	148	37	34	28	26	33	11	39	35	25	50	20	10	57	24	26	210	34	13	64	12	13	63	15	18	10	9	33	39
G[Ins(T):R(8,)]A	679	278	332	869	25	745	340	138	52	14	293	17	93	23	78	25	151	15	27	30	867	28	35	58	14	11	23	123	14	8	17	161	26	20	26	19	28	15	26	23	18	42	21	3	35	8	19	206	21	7	37	13	7	30	12	10	7	15	30	14
G[Ins(T):R(8,)]C	596	259	331	810	28	732	366	126	63	16	290	29	107	26	79	25	177	17	24	31	852	35	29	56	6	12	23	164	6	7	19	235	26	17	29	23	26	14	27	24	11	45	18	7	38	11	11	281	20	8	41	21	17	46	13	18	6	12	40	30
G[Ins(T):R(8,)]G	885	373	430	1126	22	993	458	94	34	15	324	33	67	28	35	28	72	20	40	23	1150	26	25	88	15	17	26	70	15	8	20	115	30	20	27	28	32	12	31	25	26	44	25	5	38	19	15	139	28	17	42	10	15	55	12	12	6	7	32	30
Del(2,4):R1	230	90	113	207	20	176	95	5	9	7	124	15	16	13	15	9	19	9	14	19	135	15	13	16	16	18	11	10	7	12	7	19	15	7	5	13	28	7	9	13	11	23	17	7	17	13	13	37	12	12	10	9	9	18	22	16	7	12	7	14
Del(5,):R1	27	13	21	39	10	20	15	7	4	10	5	22	8	7	12	10	8	8	3	11	10	12	14	10	5	7	7	5	24	5	9	14	13	12	8	5	39	9	10	15	6	14	12	2	2	11	8	31	12	10	19	7	5	24	6	26	3	5	4	34
Del(2,8):U(1,2):R(2,4)	904	102	493	646	17	472	532	24	12	19	480	44	21	21	18	21	34	26	45	43	506	43	42	34	20	102	38	13	16	20	42	52	44	41	17	37	60	19	24	48	24	20	37	10	24	8	22	38	22	14	15	13	23	41	29	34	9	19	16	30
Del(2,):U(1,2):R(5,)	3615	284	1349	2588	6	2837	1498	23	4	4	1764	10	6	8	8	6	15	4	10	8	1870	7	9	10	2	160	1	7	10	0	6	36	8	3	3	10	13	7	4	4	9	7	15	1	9	5	6	19	5	3	7	1	9	20	9	6	2	7	1	9
Del(3,):U(3,):R2	436	19	234	313	22	177	256	12	12	18	216	28	13	20	12	8	23	19	21	46	171	37	32	24	15	58	21	11	19	16	16	25	32	21	16	27	46	16	13	49	12	31	26	18	23	14	26	23	20	13	23	15	11	38	36	20	8	22	25	16
Del(3,):U(3,):R(3,)	340	8	210	292	7	267	192	6	5	7	184	7	8	14	6	7	8	7	10	18	204	9	14	10	4	32	5	3	4	7	17	15	11	7	9	13	16	3	8	16	6	11	9	6	7	5	6	11	8	4	11	2	4	14	20	2	3	12	8	4
Ins(2,4):R0	75	52	52	106	8	72	21	81	21	3	12	17	94	8	27	7	97	13	9	13	39	3	9	17	14	3	4	51	8	5	6	76	7	3	5	5	16	2	11	7	4	12	9	4	14	14	2	202	10	9	6	9	5	8	5	0	2	0	5	53
Ins(5,):R0	13	10	9	34	6	16	6	11	8	2	4	4	22	4	4	0	13	2	1	2	4	4	5	5	3	0	0	15	4	0	1	20	1	0	2	1	9	1	8	1	2	1	3	2	1	4	0	43	2	3	2	2	2	5	3	2	1	0	2	9
Ins(2,4):R1	15	17	33	42	3	25	21	17	6	10	14	12	16	9	10	9	19	11	12	21	22	9	9	9	10	0	8	12	12	8	3	11	10	8	4	5	65	5	14	8	6	22	9	5	10	4	10	24	12	13	22	6	6	12	10	17	4	2	12	17
Ins(5,):R1	10	29	23	23	11	19	25	9	12	9	5	25	5	14	15	14	18	15	18	20	7	25	16	18	5	0	10	16	45	4	8	21	9	7	8	18	94	7	14	13	9	13	14	6	13	9	13	24	11	2	30	7	12	16	9	21	10	8	9	117
Ins(2,):R(2,4)	384	103	271	454	11	338	199	42	16	5	171	12	35	15	30	10	138	16	16	14	203	20	19	19	6	30	11	24	9	8	12	98	20	7	7	14	41	6	11	17	7	31	16	0	17	7	8	107	14	9	21	5	10	22	7	13	7	7	13	19
Ins(2,):R(5,)	1872	338	1128	2455	24	1551	797	71	34	13	831	47	69	44	52	26	146	20	36	35	1103	56	52	74	15	121	21	68	13	9	24	228	25	23	21	27	36	13	37	28	8	56	28	3	37	3	7	185	22	23	40	10	10	30	13	16	10	10	27	25
Del(2,5):M1	196	32	149	212	14	126	107	12	10	10	102	21	7	10	7	9	8	16	20	24	95	22	21	18	15	33	10	9	10	14	22	24	20	14	5	20	21	11	14	25	12	20	13	3	12	11	19	35	10	12	7	3	13	25	22	16	11	10	8	7
Del(3,5):M2	223	16	143	205	9	107	132	8	7	8	136	21	10	10	18	16	10	16	9	28	119	25	21	19	11	32	12	10	6	8	22	14	31	13	11	25	30	9	7	28	12	16	11	7	19	2	13	19	14	5	7	8	16	22	14	8	3	11	8	12
Del(4,5):M(3,4)	90	6	38	98	6	41	34	6	0	6	31	7	4	7	8	2	5	6	5	14	36	6	8	3	5	17	2	5	7	4	9	10	9	7	1	8	15	5	4	12	1	2	5	1	4	4	4	12	7	3	10	3	4	7	9	7	0	9	4	5
Del(6,):M1	14	11	20	24	9	18	16	4	3	6	8	8	4	4	8	6	2	6	6	7	6	7	13	15	8	4	11	4	7	3	6	8	6	7	2	5	32	1	8	15	10	12	7	7	10	6	3	23	5	8	16	5	8	29	8	17	4	4	4	22
Del(6,):M2	5	10	14	24	6	9	14	9	7	5	4	10	6	2	7	3	5	6	7	9	7	7	11	9	9	1	7	3	9	13	7	8	8	8	6	9	23	4	7	9	8	11	5	4	8	6	6	39	10	8	12	7	8	19	8	6	3	2	8	18
Del(6,):M3	5	5	10	19	3	8	7	5	3	2	5	4	0	7	4	4	1	3	2	5	5	5	1	2	4	2	2	0	8	3	3	3	16	2	8	4	14	2	4	5	6	7	7	4	4	2	2	18	4	5	2	2	3	9	5	7	2	3	3	3
Del(6,):M(4,)	27	10	12	22	3	24	10	8	4	4	17	12	3	7	2	5	3	3	8	7	5	12	13	11	6	3	3	2	2	2	6	3	11	4	4	5	15	3	6	8	6	10	7	4	7	3	6	28	4	10	9	3	4	17	3	8	2	6	7	8
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
