MutationType	CPCT02150038T	CPCT02040203T	CPCT02300038T	WIDE01010265T	CPCT02310012T	CPCT02080232T	CPCT02180068T	CPCT02290041T	CPCT02040278T	CPCT02310017T	CPCT02150022T	CPCT02150026T	CPCT02150030T	CPCT02180037T	CPCT02150033T	CPCT02230051T	CPCT02340030T	CPCT02340031T	CPCT02230066T	CPCT02180043T	CPCT02120032T	CPCT02300023T	CPCT02180001T	CPCT02330016T	CPCT02180015T	WIDE01010545T
C[Ins(T):R(8,)]G	6	0	38	27	33	46	123	12	18	65	1	50	23	9	3	3	10	26	18	18	117	3	41	42	8	64
G[Ins(T):R(8,)]A	9	0	18	22	30	33	79	22	13	61	5	41	6	10	4	2	4	24	11	12	102	7	31	31	8	38
G[Ins(T):R(8,)]C	9	0	23	20	25	39	85	13	9	65	3	38	12	17	3	2	7	30	10	13	97	2	29	33	14	45
G[Ins(T):R(8,)]G	11	0	27	15	23	34	98	14	11	66	3	44	19	12	10	6	11	28	12	13	80	4	38	32	4	74
Del(2,4):R1	9	5	16	10	16	17	39	15	14	23	8	19	12	10	10	8	28	21	14	16	19	10	25	17	4	19
Del(5,):R1	14	10	29	8	31	33	66	22	18	42	11	35	18	37	38	8	78	13	21	61	7	25	16	15	10	13
Del(2,8):U(1,2):R(2,4)	18	2	32	16	27	37	43	34	28	53	9	24	15	13	9	6	29	32	10	20	44	10	30	42	12	49
Del(2,):U(1,2):R(5,)	8	0	16	14	14	21	34	18	17	24	3	21	13	7	6	1	12	8	4	14	149	11	11	19	4	16
Del(3,):U(3,):R2	14	0	36	21	23	34	59	28	31	57	8	53	12	20	9	9	13	26	13	12	15	19	27	34	7	53
Del(3,):U(3,):R(3,)	13	0	19	20	21	24	25	36	23	66	2	32	6	6	8	6	10	15	4	18	19	18	11	21	4	39
Ins(2,4):R0	15	2	19	19	48	29	43	20	23	66	3	28	24	14	11	9	44	23	13	23	30	9	25	16	6	42
Ins(5,):R0	16	28	67	28	76	58	118	37	22	110	24	58	41	73	62	18	65	36	50	135	38	45	53	23	10	48
Ins(2,4):R1	9	2	12	8	9	10	20	8	9	34	2	14	11	7	7	2	25	11	6	4	15	7	9	13	2	19
Ins(5,):R1	5	0	6	9	11	13	19	9	14	20	0	7	2	2	6	1	27	9	0	3	4	3	5	8	1	12
Ins(2,):R(2,4)	9	1	12	5	19	19	31	14	15	37	2	17	8	6	6	2	13	10	6	7	36	4	24	11	5	30
Ins(2,):R(5,)	11	0	37	29	40	71	118	34	34	95	6	52	29	25	8	6	18	36	13	22	175	10	67	51	7	91
Del(2,5):M1	12	3	26	15	13	26	39	24	20	28	7	22	15	12	14	5	27	16	9	14	17	11	23	25	12	28
Del(3,5):M2	9	0	19	13	16	12	31	14	17	34	5	20	10	10	9	5	14	20	11	8	7	12	25	27	3	30
Del(4,5):M(3,4)	7	0	13	9	4	15	14	15	10	11	2	16	9	9	6	5	9	11	7	5	8	8	15	9	6	22
Del(6,):M1	9	5	18	10	12	17	40	13	21	28	3	14	14	20	12	8	48	15	10	19	8	9	11	11	7	15
Del(6,):M2	8	2	10	10	18	14	71	6	15	21	3	12	7	10	4	1	30	12	7	6	4	2	10	7	5	14
Del(6,):M3	4	1	6	4	5	11	44	6	4	15	2	4	2	1	3	1	9	5	0	6	2	1	8	4	2	6
Del(6,):M(4,)	4	2	7	11	7	8	75	27	13	25	2	18	3	13	6	5	20	11	2	10	14	5	19	7	6	29
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
