MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287
A[Del(T):R(1,4)]A	0	1	1	221	11	294	321	1	3	12	1	15	12	4	4	0	0	4	0	15	1	9	4	4	4	4	12	0	16	0	10	18	5	0	2	1	2	8	29	5	6	45	36	10	18	9	1	177	20	16	19	5	10	12	5	21	35	360	62	19	2	16	7	9	10	19	442	7	19	38	19	5	6	40	17
A[Del(T):R(1,4)]C	0	2	1	110	6	188	221	0	0	5	2	10	6	2	6	0	0	4	0	8	0	4	3	5	5	4	9	0	9	0	3	8	2	0	2	1	0	5	15	5	1	24	22	1	8	4	2	107	17	13	5	6	9	8	4	12	23	165	24	5	5	7	5	7	11	12	257	4	8	30	9	5	0	24	4
A[Del(T):R(1,4)]G	0	0	0	103	4	154	178	2	2	3	2	6	4	0	3	1	1	2	0	7	0	4	1	5	2	4	7	0	10	0	8	7	1	0	0	2	1	3	16	7	2	24	12	6	9	4	1	99	8	12	8	5	5	11	2	8	15	185	38	11	5	5	0	4	9	11	215	5	8	17	7	7	1	14	9
C[Del(T):R(1,4)]A	0	1	0	153	4	210	214	1	2	3	1	4	10	3	3	1	0	0	0	11	0	6	1	3	3	3	8	0	6	0	4	10	2	0	1	0	1	5	17	2	1	28	38	7	12	4	3	142	14	14	8	5	9	5	8	10	13	229	32	9	6	10	7	6	3	16	329	4	13	22	9	6	4	19	9
C[Del(T):R(1,4)]C	0	1	1	162	6	274	296	1	1	10	1	7	11	4	1	1	0	2	0	10	0	4	6	4	0	8	8	1	5	0	3	7	4	0	4	0	0	3	14	5	6	25	13	3	15	4	3	178	8	14	7	13	7	4	2	16	14	300	37	8	1	6	6	4	1	6	380	5	8	26	8	2	0	16	11
C[Del(T):R(1,4)]G	0	0	1	123	4	162	185	0	0	1	0	3	7	2	2	2	0	4	0	5	0	3	4	2	1	7	7	1	9	0	4	10	0	0	3	0	0	1	15	3	6	28	21	7	10	6	4	125	13	17	4	5	10	6	8	11	13	223	45	9	6	10	5	7	3	8	284	11	10	11	7	11	2	18	13
G[Del(T):R(1,4)]A	0	1	0	131	12	151	321	0	2	6	1	7	22	2	4	0	0	2	0	4	0	4	4	0	5	8	8	1	13	0	11	5	0	0	1	1	1	1	20	2	3	51	34	2	8	4	5	188	19	9	7	6	4	6	3	21	22	231	31	10	6	6	6	7	4	15	357	7	9	66	12	5	3	19	5
G[Del(T):R(1,4)]C	0	1	0	135	4	152	306	0	2	2	1	6	12	0	5	1	0	2	0	3	0	1	1	1	4	2	7	0	6	0	3	9	1	0	3	1	0	6	25	2	6	30	23	1	9	2	5	178	11	9	2	7	3	11	1	11	12	216	35	3	3	2	5	3	3	5	307	9	8	24	7	3	1	14	5
G[Del(T):R(1,4)]G	0	2	1	123	8	137	283	0	2	11	1	3	13	3	2	0	0	1	0	5	0	5	4	3	1	4	8	0	5	0	4	4	0	0	0	1	0	3	8	5	1	35	24	1	10	6	2	164	10	15	4	3	7	9	4	17	6	207	39	3	4	7	4	6	1	9	334	3	8	33	8	4	2	13	10
A[Del(T):R(5,7)]A	0	3	3	3878	12	6178	5988	0	10	51	6	53	38	20	16	6	0	9	0	31	0	18	18	5	27	15	34	4	44	0	20	22	11	0	5	3	3	20	166	4	9	81	93	12	72	28	5	2933	36	26	51	33	62	21	18	65	39	5924	53	71	7	33	30	5	23	34	6028	25	12	114	55	26	7	96	15
A[Del(T):R(5,7)]C	0	0	0	1806	9	2264	3937	0	2	31	1	46	20	11	13	2	0	9	0	18	0	13	11	4	5	7	18	2	16	0	12	14	5	0	1	0	1	21	93	3	2	58	71	15	47	24	1	1633	37	16	29	26	36	19	16	38	34	2648	33	55	5	25	12	4	14	17	3154	20	6	84	31	10	5	64	21
A[Del(T):R(5,7)]G	0	0	0	2442	6	3843	4477	0	5	36	3	33	15	4	5	3	0	5	0	11	0	12	9	4	8	10	18	3	31	0	8	9	1	0	1	1	2	11	87	10	2	53	44	7	31	21	4	1986	21	11	39	29	37	12	9	38	18	4226	49	41	6	21	15	4	13	16	4269	11	5	63	28	11	3	43	21
C[Del(T):R(5,7)]A	1	1	0	2271	3	3308	2955	0	3	28	0	34	16	6	5	1	0	6	0	6	0	6	7	0	10	10	13	2	11	0	10	15	1	0	1	0	4	4	61	6	1	38	45	7	23	14	2	1654	30	16	27	31	22	16	5	31	20	3536	25	20	6	13	10	4	12	9	3630	11	8	52	20	10	4	39	14
C[Del(T):R(5,7)]C	0	1	0	2144	4	2611	3864	0	2	33	2	24	15	7	2	1	0	6	0	9	0	9	7	1	7	2	9	1	16	0	3	5	1	0	0	0	1	8	68	5	1	34	32	8	27	10	2	1911	16	8	29	14	18	9	8	30	20	2906	22	21	3	13	12	5	4	10	3330	10	2	51	24	8	4	30	14
C[Del(T):R(5,7)]G	0	0	1	2055	3	3224	2884	0	3	22	0	28	12	7	2	3	0	4	0	6	0	3	5	3	7	6	6	0	12	0	6	13	2	0	1	1	0	4	44	4	4	32	33	3	13	11	1	1411	13	11	17	15	20	11	4	17	14	3320	14	23	1	15	10	1	5	9	3315	7	5	31	22	11	4	28	9
G[Del(T):R(5,7)]A	0	2	0	1900	3	2113	3169	0	7	16	2	13	4	7	1	2	0	3	0	7	0	5	1	2	2	6	8	0	9	0	6	7	3	0	0	0	0	3	28	2	1	29	29	1	16	9	1	1634	9	5	12	14	14	10	2	18	11	2534	27	9	1	10	12	6	6	11	2990	10	6	29	15	9	4	36	5
G[Del(T):R(5,7)]C	0	0	0	1227	1	1286	2575	0	1	16	3	18	2	4	3	1	0	2	0	10	0	2	4	2	5	3	6	2	6	0	8	8	1	0	0	0	0	5	40	1	1	18	25	7	15	8	1	1256	8	10	11	9	25	11	4	14	12	1788	23	16	6	8	5	5	6	3	2120	4	4	34	14	2	0	28	5
G[Del(T):R(5,7)]G	0	0	0	1295	5	1606	2406	0	2	10	1	13	9	3	2	0	0	3	0	5	0	4	5	1	4	7	5	0	7	0	9	9	1	0	2	1	0	4	35	0	2	24	16	6	13	9	1	1111	10	7	14	13	19	10	2	7	10	2009	27	18	0	11	6	5	8	9	2064	6	3	29	15	2	2	20	6
A[Del(T):R(8,)]A	0	1	0	4670	6	8602	6073	0	4	40	0	68	19	13	9	2	0	7	0	21	2	36	8	4	6	9	29	2	38	0	19	17	2	0	1	0	0	23	141	5	3	97	87	14	61	48	0	3866	29	9	97	32	76	27	12	84	35	7215	15	80	11	50	28	5	18	26	5198	9	5	100	81	29	11	61	30
A[Del(T):R(8,)]C	0	1	0	3110	2	4779	5457	0	3	41	1	45	13	7	9	3	0	7	0	18	0	20	3	3	5	7	16	1	31	0	9	10	0	0	0	0	0	16	112	6	5	93	78	9	77	35	0	3288	24	13	58	19	75	18	11	54	45	5001	7	63	11	40	26	8	11	33	3904	13	3	115	56	22	8	57	26
A[Del(T):R(8,)]G	0	0	0	2580	1	4928	3575	0	3	31	1	25	4	9	3	2	0	6	0	9	0	4	3	2	8	3	7	0	18	0	9	5	1	0	0	1	1	6	78	0	4	47	41	3	21	17	1	2346	14	14	35	13	36	15	11	31	18	4394	8	37	3	25	12	2	5	21	2897	5	2	46	27	14	5	27	13
C[Del(T):R(8,)]A	0	0	0	3804	2	5617	4139	0	3	27	0	32	19	13	6	2	0	8	0	12	0	18	3	3	5	5	19	0	30	0	11	8	3	0	0	0	2	9	56	3	4	59	58	7	36	32	0	2665	13	7	44	18	49	17	9	58	18	5505	7	55	3	16	17	5	8	22	4602	3	1	63	47	20	6	40	10
C[Del(T):R(8,)]C	0	0	0	4311	4	5613	6590	0	1	32	2	34	10	4	11	3	0	6	0	15	0	7	4	1	8	6	14	0	15	0	14	9	0	0	0	0	0	12	73	3	8	87	75	9	52	34	1	4313	11	7	57	28	42	18	15	62	36	6195	10	42	1	27	30	4	6	22	5577	11	2	78	65	8	2	52	22
C[Del(T):R(8,)]G	0	0	0	3818	2	6853	4796	0	1	14	0	28	4	6	8	2	0	7	0	5	0	9	2	5	7	5	9	1	23	0	4	6	1	0	1	0	0	4	49	1	2	41	30	4	25	17	0	2965	5	6	36	13	46	13	4	27	8	6387	8	42	4	21	15	2	8	15	4724	4	2	42	34	14	3	34	12
G[Del(T):R(8,)]A	0	1	0	2279	3	3179	3286	0	1	13	0	21	3	5	4	1	0	3	0	2	0	4	1	1	8	1	12	0	8	0	6	2	1	0	1	0	0	3	46	3	0	26	30	4	13	15	1	2180	10	4	21	12	21	12	12	26	14	3312	4	20	2	10	12	4	7	13	2883	4	2	35	26	12	3	22	7
G[Del(T):R(8,)]C	0	0	0	1648	1	2209	2733	0	1	13	1	16	7	0	1	2	0	1	0	7	0	9	2	0	3	4	7	0	5	0	4	1	0	0	0	0	0	2	45	1	0	51	26	3	23	11	0	1709	6	2	28	10	37	3	7	24	15	2445	4	25	0	8	8	3	1	18	2135	6	2	41	23	6	4	15	9
G[Del(T):R(8,)]G	0	0	0	1402	1	2399	2290	0	2	7	1	14	4	1	3	0	0	4	0	3	0	3	5	0	0	1	9	0	5	0	3	6	0	0	1	0	0	3	22	0	0	25	13	3	18	10	1	1425	2	3	18	4	26	8	3	14	7	2402	5	21	2	13	8	0	4	4	1846	6	0	20	13	4	5	17	2
A[Ins(C):R0]A	0	0	0	10	1	22	22	0	0	7	3	26	14	2	1	0	0	0	0	1	0	2	0	7	1	2	3	0	14	0	26	22	1	0	0	1	3	2	14	0	3	76	486	3	60	0	0	52	55	4	10	4	15	13	2	41	2	28	48	13	1	4	3	0	2	1	220	0	1	60	8	3	1	201	2
A[Ins(C):R0]T	0	0	0	0	1	1	2	0	0	1	2	9	4	0	2	0	0	1	0	2	0	2	0	5	0	2	2	0	4	0	15	19	0	0	0	0	1	3	4	0	1	17	303	0	23	0	1	18	29	0	1	3	8	2	4	18	0	9	25	6	1	1	1	0	2	1	82	0	1	22	3	3	0	172	1
Ins(C):R(0,3)	0	3	0	64	5	116	143	0	3	11	3	13	8	2	0	0	0	3	0	5	1	3	2	5	1	2	9	1	10	0	15	9	1	0	0	0	1	4	15	3	5	40	95	6	20	5	1	79	24	7	6	10	12	18	7	21	15	133	26	24	5	9	9	2	3	12	182	8	4	26	18	7	5	73	6
Ins(C):R(4,6)	0	0	0	571	2	960	1147	0	1	19	1	13	7	8	8	2	1	4	0	6	1	9	4	1	1	1	7	1	10	0	4	6	3	0	1	0	0	9	32	4	2	37	16	3	15	7	3	384	13	2	10	10	13	14	6	12	11	957	12	14	8	3	3	4	5	4	1079	6	2	17	8	3	3	32	15
Ins(C):R(7,)	0	0	0	410	3	894	808	0	1	13	0	14	5	4	3	0	0	0	0	3	0	3	3	0	1	0	6	1	6	0	3	3	0	0	0	0	0	8	19	3	2	35	9	1	30	9	3	458	5	6	14	8	20	23	2	24	13	846	7	12	4	7	8	1	4	7	680	6	3	15	10	12	0	18	12
A[Ins(T):R(0,4)]A	0	1	0	100	1	121	124	0	4	11	2	12	12	3	3	1	0	3	0	3	0	6	1	3	7	5	11	2	12	0	11	12	3	0	2	1	0	5	27	3	5	26	66	3	15	7	6	46	14	6	8	5	10	9	4	18	19	133	17	11	4	13	7	7	1	7	184	7	4	13	7	8	5	55	8
A[Ins(T):R(0,4)]C	0	0	0	58	2	74	87	0	1	3	2	8	5	1	0	0	0	0	0	1	0	1	1	0	3	1	1	0	7	0	3	3	3	0	0	0	2	4	11	3	3	8	15	1	9	0	4	27	5	5	4	2	5	7	1	4	6	70	9	4	3	5	2	1	5	2	178	2	6	6	3	0	2	12	5
A[Ins(T):R(0,4)]G	0	1	0	81	1	131	157	0	1	2	1	17	7	4	0	1	0	0	0	3	0	4	3	1	2	2	1	0	8	0	3	1	0	0	0	0	1	3	16	1	1	8	16	1	6	2	2	70	11	3	7	2	9	7	5	10	14	199	15	12	1	5	4	2	5	4	291	2	3	5	4	9	2	18	7
C[Ins(T):R(0,4)]A	0	0	0	41	2	58	69	0	1	4	1	7	3	2	0	0	0	0	0	2	0	5	0	1	0	2	2	0	3	0	2	2	2	0	3	0	0	0	11	2	0	7	10	1	5	2	2	31	9	3	0	2	4	11	1	2	6	83	5	7	2	1	1	3	3	1	84	1	3	2	3	2	0	9	2
C[Ins(T):R(0,4)]C	0	0	0	63	0	92	103	0	1	3	0	5	2	3	1	3	1	1	0	1	0	7	2	2	5	0	5	0	4	0	0	1	1	0	2	0	0	3	7	1	0	9	6	0	7	0	2	39	5	2	6	2	4	3	1	6	8	111	3	4	2	4	1	2	2	2	166	4	3	4	3	2	3	4	1
C[Ins(T):R(0,4)]G	0	1	0	79	1	137	163	0	0	4	1	2	5	1	0	0	0	0	0	1	0	4	0	2	0	1	2	1	0	0	3	1	1	0	4	0	0	1	7	1	0	6	6	2	6	2	1	63	5	5	1	4	6	3	0	5	11	162	6	8	3	3	5	4	1	2	274	0	7	1	1	1	0	8	4
G[Ins(T):R(0,4)]A	0	2	0	24	2	25	29	0	1	7	0	2	4	2	1	1	0	2	0	2	0	4	1	1	0	2	1	0	5	0	5	2	2	0	2	0	0	3	7	3	1	8	6	3	10	3	4	8	7	4	3	0	2	4	3	3	6	32	6	11	5	5	1	4	3	3	30	4	2	4	4	6	0	8	2
G[Ins(T):R(0,4)]C	0	0	0	13	0	14	15	0	0	2	0	1	1	0	1	0	0	1	0	0	0	3	0	0	1	0	3	0	1	0	1	1	0	0	1	0	0	0	1	1	0	7	1	0	1	0	0	7	4	1	0	2	3	2	0	3	3	26	6	2	1	1	1	1	3	3	30	0	0	3	2	1	0	2	0
G[Ins(T):R(0,4)]G	0	1	0	68	3	87	105	0	1	1	0	5	2	1	1	0	1	2	0	0	1	2	0	0	0	1	3	0	2	0	2	5	0	0	2	1	1	4	6	3	0	13	3	2	3	3	1	55	4	2	3	3	1	4	1	4	5	127	11	6	3	2	3	1	1	3	178	4	2	5	0	1	1	8	2
A[Ins(T):R(5,7)]A	0	0	0	905	5	1203	1100	0	9	31	8	70	20	17	11	3	0	7	0	23	0	22	5	1	10	12	15	4	39	0	23	21	2	0	0	2	0	26	76	13	6	79	56	6	67	26	2	515	38	9	47	12	35	42	8	68	36	1197	41	38	34	24	15	13	20	14	1244	20	8	45	21	19	6	107	43
A[Ins(T):R(5,7)]C	0	3	0	632	3	793	731	0	8	52	5	65	22	26	9	4	0	7	0	18	0	24	9	5	14	17	13	2	26	0	27	29	6	0	0	3	2	40	86	25	3	81	37	10	73	23	7	267	28	14	52	19	46	35	16	45	43	827	53	38	21	34	10	13	19	21	1163	12	12	36	26	23	2	120	33
A[Ins(T):R(5,7)]G	0	0	1	827	7	1087	1101	0	14	48	4	76	20	13	13	2	0	4	0	25	0	13	11	4	15	15	9	1	33	0	9	21	5	0	1	1	2	25	89	11	5	68	51	12	67	17	2	399	23	13	59	22	48	34	13	43	28	1305	47	39	26	24	12	25	23	21	1610	17	5	39	32	16	8	87	32
C[Ins(T):R(5,7)]A	0	1	0	361	2	524	433	0	4	19	0	30	14	5	3	1	0	5	0	22	0	6	2	2	6	6	7	3	30	0	6	18	3	0	0	0	0	4	30	10	4	49	20	6	25	16	3	208	14	6	29	10	27	16	1	18	17	534	17	24	15	10	8	12	9	10	492	8	4	15	23	8	3	60	21
C[Ins(T):R(5,7)]C	0	1	0	341	2	413	397	0	5	27	4	25	22	6	1	2	0	1	0	12	0	14	6	3	9	10	11	2	17	0	7	12	4	0	0	1	1	18	46	8	9	59	23	5	34	12	5	165	12	6	30	10	29	24	6	25	16	424	20	16	18	7	10	10	14	4	613	11	3	11	17	13	3	67	24
C[Ins(T):R(5,7)]G	0	1	0	374	1	644	519	0	3	25	1	39	16	6	4	2	0	4	0	10	0	16	6	1	1	5	6	3	20	0	8	9	3	0	1	1	5	15	51	7	6	38	29	4	31	18	5	202	14	9	33	11	24	19	4	30	16	614	19	18	18	17	13	6	14	5	819	8	5	17	13	13	6	48	19
G[Ins(T):R(5,7)]A	0	1	0	484	2	652	563	0	5	20	1	32	7	11	8	1	0	1	0	9	0	9	1	3	9	7	10	2	13	0	4	10	5	0	1	0	1	10	32	8	4	41	22	4	36	10	4	246	12	4	18	9	20	17	5	17	16	602	19	22	8	11	8	4	12	10	533	6	3	19	15	5	4	46	16
G[Ins(T):R(5,7)]C	0	1	1	450	2	576	533	0	4	21	1	34	7	8	2	1	0	2	0	14	0	16	5	3	5	5	7	1	15	0	7	13	6	0	1	1	2	15	26	6	6	44	19	10	32	9	1	174	15	8	29	10	21	22	2	25	18	576	13	20	14	9	9	9	12	3	647	12	7	18	21	13	3	63	18
G[Ins(T):R(5,7)]G	0	1	1	741	1	1087	974	0	5	29	0	36	11	8	4	0	0	7	0	13	0	7	7	2	7	10	5	0	25	0	4	14	0	0	2	1	1	13	46	6	4	53	25	9	39	12	3	396	10	8	26	7	35	20	9	30	17	1056	26	15	23	13	4	8	11	8	1037	9	3	16	22	17	5	50	19
A[Ins(T):R(8,)]A	0	0	0	586	2	937	614	0	2	15	1	42	13	13	3	1	0	5	0	12	0	9	1	2	7	7	8	1	20	0	6	16	2	0	1	0	0	12	46	6	5	85	31	7	57	22	0	300	16	9	60	8	36	24	19	62	17	864	4	25	22	11	17	8	14	12	404	5	3	26	26	12	4	50	36
A[Ins(T):R(8,)]C	0	0	0	488	2	862	509	0	6	28	0	42	10	13	5	1	0	5	0	14	0	12	4	2	2	4	6	4	25	0	6	12	2	0	1	1	1	12	26	5	2	61	40	2	49	23	3	253	10	13	37	13	32	29	6	38	21	663	12	27	22	25	16	10	16	15	390	3	5	19	26	14	8	55	37
A[Ins(T):R(8,)]G	0	0	0	410	2	846	479	0	0	22	1	23	10	13	1	0	0	1	0	13	0	9	4	2	6	0	6	0	19	0	8	10	1	0	0	0	1	14	29	4	2	59	15	1	46	17	1	254	10	4	36	12	29	22	4	35	15	647	6	20	16	9	8	7	16	10	364	5	4	8	30	9	6	34	16
C[Ins(T):R(8,)]A	0	0	0	301	1	485	313	0	1	10	1	15	8	5	1	0	0	2	0	9	0	5	1	1	1	3	5	1	7	0	1	8	2	0	0	0	0	4	21	4	1	41	24	4	33	5	1	181	8	5	24	7	14	16	7	27	8	389	7	13	9	7	4	9	7	7	164	2	4	18	11	11	6	24	14
C[Ins(T):R(8,)]C	0	0	0	289	0	554	278	0	0	14	0	18	4	9	2	1	0	1	0	5	0	6	0	0	0	1	3	1	15	0	6	7	0	0	0	0	0	20	16	4	1	35	8	3	35	6	0	178	7	2	28	4	22	17	5	26	10	439	5	10	18	6	7	3	12	12	167	4	1	17	18	5	4	29	12
C[Ins(T):R(8,)]G	0	0	0	340	3	754	439	0	1	9	1	20	9	6	2	1	0	1	0	7	0	8	1	1	3	2	4	0	11	0	2	8	1	0	0	0	0	7	17	4	4	49	18	6	22	14	2	245	3	5	31	4	24	16	3	18	17	517	8	19	8	6	7	9	10	6	233	7	3	28	16	11	3	31	20
G[Ins(T):R(8,)]A	0	0	0	288	1	496	245	0	1	7	0	12	11	7	2	0	0	1	0	7	0	7	1	2	0	0	2	0	15	0	1	7	1	0	0	0	0	12	22	2	1	33	12	3	28	8	0	159	10	2	19	3	12	11	3	24	4	410	9	13	8	6	8	4	4	13	184	1	1	11	13	6	3	26	12
G[Ins(T):R(8,)]C	0	1	0	300	3	519	280	0	2	11	1	14	5	2	1	0	0	1	0	7	0	8	0	1	1	1	4	0	10	0	7	10	0	0	1	1	0	5	18	1	2	34	15	1	20	6	0	154	8	1	17	3	19	10	5	25	9	396	3	11	9	6	8	4	8	4	188	3	0	16	18	9	3	39	8
G[Ins(T):R(8,)]G	0	0	0	262	0	730	318	0	1	5	0	7	6	4	1	0	0	0	0	4	0	8	2	0	5	1	9	0	9	0	3	6	1	0	0	0	0	6	16	2	0	51	9	0	16	8	1	194	7	1	15	1	20	13	2	17	10	512	6	12	7	7	4	1	10	7	226	1	4	10	19	4	6	24	13
Del(2,4):R1	0	0	0	79	6	176	127	0	6	21	5	17	6	3	1	2	0	8	0	13	0	17	3	6	2	8	14	0	12	0	13	15	4	0	3	1	2	10	27	4	3	25	27	8	16	11	3	58	17	12	9	9	17	16	7	12	32	136	43	27	5	9	13	15	8	5	114	23	23	14	19	9	6	31	12
Del(5,):R1	0	1	0	13	4	25	15	0	1	13	1	14	17	4	4	0	0	12	1	7	0	34	1	6	4	5	12	0	16	0	6	7	4	0	7	1	0	10	28	8	6	45	29	8	17	6	8	13	14	69	8	4	12	33	11	20	28	17	227	43	12	8	16	14	12	16	19	9	79	18	17	16	2	27	9
Del(2,8):U(1,2):R(2,4)	0	2	0	412	4	614	1085	0	5	25	11	24	23	17	9	1	0	8	0	28	0	18	8	6	11	9	33	2	26	1	13	18	6	0	7	0	7	14	43	24	7	52	36	32	39	30	4	345	42	36	25	25	17	29	15	35	55	718	49	51	6	27	25	10	21	22	968	34	17	36	40	21	7	40	18
Del(2,):U(1,2):R(5,)	0	0	0	1332	2	2306	2406	0	0	10	0	2	3	3	1	0	0	1	0	4	1	1	2	0	1	4	6	0	5	0	2	5	4	0	3	0	0	1	21	9	4	10	21	9	13	4	8	1046	9	8	15	17	6	5	8	6	14	2854	15	8	4	9	5	3	10	7	2436	9	6	23	23	8	8	23	8
Del(3,):U(3,):R2	0	1	3	229	10	320	557	0	11	17	6	26	28	8	9	4	0	9	0	29	0	30	6	3	9	15	34	1	28	0	11	18	10	0	3	3	1	19	38	13	7	47	26	23	34	24	6	149	47	31	28	15	28	32	19	27	68	289	57	50	7	28	23	22	25	27	331	33	29	42	58	10	6	44	16
Del(3,):U(3,):R(3,)	0	1	0	159	2	281	365	0	2	11	0	10	4	1	5	1	0	6	0	4	0	11	2	0	1	5	13	0	8	1	1	7	6	0	3	1	1	6	16	10	4	22	16	5	22	9	3	167	12	9	13	12	8	9	5	15	15	299	20	16	3	9	17	11	14	14	265	18	7	19	21	9	12	27	29
Ins(2,4):R0	0	0	0	18	0	62	30	0	0	0	1	8	4	1	0	0	0	1	0	2	0	3	1	4	3	1	4	0	4	0	8	3	0	0	1	0	1	0	6	1	1	32	69	0	16	1	1	19	8	0	7	2	6	6	4	11	6	37	4	11	4	1	3	4	5	14	33	1	6	11	11	4	2	33	2
Ins(5,):R0	0	0	0	2	1	15	10	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	11	7	1	5	1	3	3	5	3	2	0	2	8	1	6	3	7	7	2	2	0	2	2	0	1	3	0	2	8	2	2	0	10	3
Ins(2,4):R1	0	1	0	9	3	34	26	1	5	10	2	7	9	5	3	0	1	1	0	11	0	7	0	2	5	1	6	1	4	0	8	9	2	0	3	0	1	8	20	0	0	13	16	6	18	9	4	24	7	5	5	4	11	7	2	10	15	26	11	45	5	13	8	5	10	25	19	7	4	20	3	12	2	15	9
Ins(5,):R1	0	4	0	7	4	24	2	0	4	9	0	6	8	4	5	0	0	4	0	8	0	9	4	3	5	6	15	0	14	0	10	8	4	0	6	0	0	16	33	4	3	34	50	4	21	12	3	9	12	6	17	4	11	35	8	18	14	14	34	29	5	9	13	4	6	8	16	7	23	19	5	6	2	60	10
