MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241
G[Del(T):R(1,4)]C	4	1	4	3	1	4	2	5	2	3	2	8	2	4	3	1	7	2	3	4	1	2	254	6	3	1	2	0	0	5	12	3	2	2	12
G[Del(T):R(1,4)]G	11	2	1	5	2	6	1	6	4	4	3	7	1	3	11	0	12	0	6	6	0	2	266	8	3	1	3	0	1	11	9	0	0	4	8
A[Del(T):R(5,7)]A	38	13	3	23	2	3	5	16	34	10	10	35	5	5	7	0	91	5	8	1	0	8	6529	4	0	8	2	1	1	4	4	8	0	3	8
A[Del(T):R(5,7)]C	16	10	5	13	2	3	2	15	31	14	9	23	1	2	4	0	46	3	5	4	1	5	3212	0	3	5	1	0	1	4	4	5	0	2	7
A[Del(T):R(5,7)]G	19	9	6	11	1	5	3	7	21	11	9	14	1	3	5	0	65	1	4	1	0	2	4353	3	0	0	8	0	1	4	4	3	0	2	7
C[Del(T):R(5,7)]A	23	10	5	17	1	2	0	9	20	2	1	12	1	2	3	0	46	0	1	1	0	4	3556	3	0	0	0	1	0	1	1	2	1	3	9
C[Del(T):R(5,7)]C	15	3	3	5	0	4	4	6	13	3	4	15	0	2	4	0	38	2	2	4	0	1	3289	1	3	4	0	0	0	4	3	2	0	2	7
C[Del(T):R(5,7)]G	16	5	1	9	0	4	0	3	17	5	3	18	0	2	0	0	41	1	1	2	0	1	3187	3	0	0	1	0	1	0	2	3	0	2	6
G[Del(T):R(5,7)]A	11	6	4	6	0	1	0	4	7	4	1	10	0	3	4	0	54	0	4	1	0	3	2558	2	1	1	1	0	1	1	4	0	0	0	2
G[Del(T):R(5,7)]C	9	1	2	4	3	2	1	5	9	4	4	9	1	0	6	1	22	1	1	2	0	0	1985	2	0	3	1	0	0	0	0	1	0	0	3
G[Del(T):R(5,7)]G	10	1	1	6	1	1	0	2	8	3	5	5	1	1	3	0	35	0	1	2	0	1	1990	0	1	1	0	0	0	0	1	4	0	3	1
A[Del(T):R(8,)]A	50	17	4	44	0	4	1	28	48	15	9	36	1	1	0	0	29	0	2	1	0	5	9211	0	2	6	0	0	0	0	0	12	0	1	1
A[Del(T):R(8,)]C	30	14	7	21	1	3	1	12	42	12	14	23	0	0	0	0	24	1	2	0	0	1	5771	0	0	1	3	0	0	0	2	7	0	2	1
A[Del(T):R(8,)]G	30	7	1	14	1	0	0	8	22	9	5	15	0	0	1	0	16	0	0	0	0	0	5508	0	1	1	0	0	0	1	0	7	0	0	1
C[Del(T):R(8,)]A	28	19	4	14	0	0	1	19	40	9	7	21	0	0	1	0	37	1	1	0	0	4	6436	0	0	1	1	0	0	0	1	10	0	2	0
C[Del(T):R(8,)]C	30	4	3	15	0	2	1	12	39	6	6	18	0	0	1	0	41	1	2	0	0	3	6717	0	2	1	2	0	0	0	1	8	0	0	3
C[Del(T):R(8,)]G	21	15	2	11	0	0	1	14	35	4	1	20	0	0	1	0	37	0	0	1	0	0	7461	1	0	1	2	0	0	2	2	5	0	0	2
G[Del(T):R(8,)]A	11	10	0	11	0	0	1	8	14	5	4	8	0	0	0	0	21	1	1	0	0	1	3622	0	0	1	0	0	0	0	1	2	0	0	0
G[Del(T):R(8,)]C	12	3	0	10	1	1	1	8	10	3	1	7	0	1	0	0	15	0	0	1	0	1	2780	0	1	0	1	0	0	0	1	2	0	0	1
G[Del(T):R(8,)]G	15	4	3	4	0	1	0	6	12	4	1	6	0	0	0	0	10	0	0	0	0	0	2792	0	0	0	0	0	0	0	0	3	0	0	1
A[Ins(C):R0]A	12	1	0	0	0	1	0	11	4	2	13	2	0	0	2	0	0	0	2	1	0	0	136	0	0	1	0	0	0	0	1	1	0	1	1
A[Ins(C):R0]T	4	1	0	1	0	0	0	1	3	1	6	0	0	0	2	0	0	0	0	0	0	0	45	1	0	0	0	0	0	0	1	0	0	0	1
Ins(C):R(0,3)	10	6	3	9	1	5	3	7	9	12	6	10	1	4	10	1	3	2	4	7	1	1	298	3	1	8	4	0	1	1	5	1	1	1	14
Ins(C):R(4,6)	9	4	3	8	0	13	3	7	9	6	10	29	1	0	5	1	15	1	6	0	1	1	1083	0	0	4	3	0	0	1	4	2	0	1	7
Ins(C):R(7,)	10	7	3	4	0	1	10	7	18	10	4	19	0	0	1	0	5	2	1	2	0	0	806	0	3	4	1	0	0	0	0	5	0	1	1
A[Ins(T):R(0,4)]A	11	8	5	12	4	6	2	11	17	10	4	18	4	11	9	2	4	1	4	5	3	3	238	1	1	6	2	2	2	4	5	6	2	2	15
A[Ins(T):R(0,4)]C	6	3	1	3	1	2	3	4	4	2	5	5	2	9	2	2	7	1	2	2	3	0	209	2	0	3	1	0	1	2	3	3	0	3	4
A[Ins(T):R(0,4)]G	8	5	3	5	1	2	2	6	8	5	3	9	0	9	8	2	7	0	10	6	2	3	392	1	2	1	3	0	3	7	4	4	0	0	14
C[Ins(T):R(0,4)]A	5	4	2	2	1	3	3	5	6	4	2	10	3	1	1	0	4	2	1	7	0	1	164	2	3	1	4	1	1	8	4	3	0	0	2
C[Ins(T):R(0,4)]C	7	4	3	2	0	3	3	4	7	4	5	8	0	1	4	0	3	4	1	0	0	3	318	2	1	2	1	0	0	0	1	0	0	1	4
C[Ins(T):R(0,4)]G	6	3	4	2	0	3	5	4	5	7	4	6	0	2	8	0	6	3	5	2	0	1	628	2	3	3	3	0	1	8	2	3	0	0	8
G[Ins(T):R(0,4)]A	0	3	3	4	1	2	1	2	4	6	3	4	1	4	6	0	1	5	4	1	1	3	59	2	6	4	2	0	0	3	8	5	0	4	4
G[Ins(T):R(0,4)]C	3	0	1	1	0	1	0	0	2	3	0	1	1	0	1	0	1	0	0	1	0	0	77	0	1	0	0	0	0	1	3	1	0	1	1
G[Ins(T):R(0,4)]G	5	4	0	2	0	3	0	2	9	4	0	8	2	2	4	0	6	1	2	1	1	0	236	2	3	1	3	1	1	4	2	4	0	1	2
A[Ins(T):R(5,7)]A	38	34	18	22	2	9	17	36	48	29	15	71	5	7	11	1	32	5	20	5	0	10	1623	2	8	17	19	2	1	2	11	13	1	0	8
A[Ins(T):R(5,7)]C	33	34	16	30	7	17	18	40	49	27	15	83	5	3	11	0	20	9	26	6	0	9	1471	1	13	16	20	4	0	6	11	15	1	4	13
A[Ins(T):R(5,7)]G	46	31	18	28	5	14	13	45	56	28	14	77	1	10	16	0	27	9	23	10	0	6	2008	0	9	27	13	0	0	4	5	23	0	10	14
C[Ins(T):R(5,7)]A	8	12	10	14	2	2	7	15	22	19	6	26	3	2	4	0	11	2	10	1	0	4	615	1	3	13	7	0	0	1	9	10	0	3	6
C[Ins(T):R(5,7)]C	18	15	9	16	2	12	11	28	26	9	7	49	6	3	6	0	16	10	18	3	0	4	764	3	7	7	13	0	0	3	6	9	0	2	8
C[Ins(T):R(5,7)]G	16	26	8	14	0	10	11	22	36	14	8	34	4	5	4	1	10	4	15	7	0	6	949	1	4	9	11	0	0	3	6	12	0	3	7
G[Ins(T):R(5,7)]A	18	11	7	7	1	4	8	16	14	10	10	18	2	3	6	1	13	2	9	2	0	6	835	1	5	9	3	1	0	1	9	8	0	2	1
G[Ins(T):R(5,7)]C	11	14	8	5	1	4	7	20	25	11	9	41	2	2	7	0	17	3	10	4	0	3	933	1	4	13	4	1	0	5	5	6	1	2	6
G[Ins(T):R(5,7)]G	27	15	13	16	2	11	10	20	40	17	9	47	3	4	7	0	26	6	12	0	2	4	1794	1	4	18	8	1	0	2	8	12	0	5	3
A[Ins(T):R(8,)]A	24	28	7	22	1	9	11	34	35	18	9	64	1	0	6	0	4	4	8	4	1	7	1429	0	3	12	6	0	0	2	10	21	0	0	10
A[Ins(T):R(8,)]C	25	26	8	22	1	6	9	30	32	20	8	57	5	1	13	0	5	2	6	4	0	2	1188	1	8	11	13	0	0	2	4	16	0	3	10
A[Ins(T):R(8,)]G	30	33	18	21	2	5	6	17	30	21	5	47	2	1	6	0	7	2	8	3	0	4	1177	1	8	11	7	0	0	1	9	17	0	1	8
C[Ins(T):R(8,)]A	15	10	4	8	1	6	7	16	18	14	9	33	0	2	9	0	3	2	3	4	0	1	739	0	3	9	7	0	0	5	7	7	0	0	11
C[Ins(T):R(8,)]C	12	16	6	10	0	3	10	18	30	8	3	39	4	0	5	0	2	2	7	2	0	2	856	1	8	9	3	0	0	1	7	10	0	1	3
C[Ins(T):R(8,)]G	17	12	7	7	0	3	6	25	20	14	5	51	2	1	7	0	4	4	3	4	0	6	969	1	2	6	3	0	0	2	3	7	0	2	6
G[Ins(T):R(8,)]A	9	8	5	10	3	2	4	14	21	9	4	37	1	3	6	0	4	0	2	2	0	1	703	0	1	8	4	0	0	1	7	8	0	1	2
G[Ins(T):R(8,)]C	13	9	4	7	0	4	2	11	13	11	1	21	1	1	3	1	4	0	5	0	0	0	767	0	3	6	3	0	0	1	3	8	0	1	3
G[Ins(T):R(8,)]G	19	18	6	7	2	3	4	13	23	15	5	36	0	1	3	0	3	1	3	2	0	2	948	1	3	5	4	0	0	1	4	2	0	0	5
Del(2,4):R1	13	7	8	19	2	11	6	9	16	9	13	10	6	4	11	0	6	8	11	10	2	3	245	9	1	13	7	0	0	6	15	3	2	5	12
Del(5,):R1	18	7	12	24	5	11	11	9	11	21	9	14	1	8	34	1	0	7	8	73	1	4	37	30	7	4	5	4	3	22	24	11	0	5	48
Del(2,8):U(1,2):R(2,4)	23	5	8	24	8	25	7	17	26	22	22	17	2	7	15	0	37	10	11	10	1	6	1511	7	7	9	9	2	4	14	10	15	1	6	18
Del(2,):U(1,2):R(5,)	1	2	3	7	2	4	3	1	5	0	5	3	1	1	4	0	16	2	2	1	0	0	3864	1	2	1	2	0	1	1	3	5	0	1	5
Del(3,):U(3,):R2	32	13	18	31	8	20	10	8	48	18	20	7	2	9	10	1	39	11	13	11	1	8	678	9	6	13	9	2	3	11	10	18	0	9	16
Del(3,):U(3,):R(3,)	13	10	5	12	1	1	5	6	14	3	5	7	0	6	5	0	14	4	4	2	0	2	639	1	2	4	0	0	0	5	3	2	1	3	5
Ins(2,4):R0	11	3	1	5	1	1	1	8	3	8	2	1	1	1	4	0	0	3	0	2	0	0	97	1	1	2	4	0	0	0	1	3	0	1	7
Ins(5,):R0	0	2	2	5	1	1	2	0	2	2	1	0	0	2	0	1	1	2	0	0	0	0	7	2	0	0	1	0	0	0	0	2	0	0	1
Ins(2,4):R1	10	6	3	4	3	7	4	8	6	12	7	10	0	4	4	0	0	2	2	4	1	4	33	3	5	4	2	0	0	2	7	14	0	1	4
Ins(5,):R1	6	10	7	7	2	5	4	7	6	14	7	16	2	1	7	0	0	2	6	15	0	0	4	5	2	3	5	0	1	2	6	18	1	1	16
Ins(2,):R(2,4)	10	8	1	7	4	1	2	9	8	13	6	12	0	2	2	0	5	4	3	9	0	4	325	3	4	3	3	0	0	5	4	11	1	1	5
Ins(2,):R(5,)	16	7	5	13	1	2	4	17	16	7	4	36	0	5	3	1	24	5	4	1	0	3	1789	3	4	4	3	0	0	0	0	10	1	2	3
Del(2,5):M1	13	10	10	14	4	10	5	10	14	17	12	10	3	10	12	1	10	9	11	12	0	7	318	12	10	4	16	2	4	10	18	5	0	9	17
Del(3,5):M2	16	11	9	12	6	8	6	7	19	14	14	13	3	3	10	0	17	4	5	5	0	5	428	11	7	4	5	1	3	2	11	10	3	7	12
Del(4,5):M(3,4)	7	3	7	13	2	3	6	9	10	9	8	5	3	2	7	1	9	2	3	4	2	3	103	8	1	3	2	2	2	2	3	8	1	5	7
Del(6,):M1	13	12	8	12	4	15	12	16	7	11	9	11	3	8	21	0	1	9	4	63	2	6	16	44	4	5	8	3	3	15	24	5	1	5	53
Del(6,):M2	11	5	6	10	4	11	4	9	7	9	8	7	4	4	12	0	0	5	2	45	1	7	14	82	1	5	3	1	1	9	9	5	1	7	26
Del(6,):M3	8	6	3	9	4	8	2	11	5	4	3	5	0	1	12	0	0	3	2	20	0	0	12	71	5	3	0	3	0	6	5	0	0	0	21
Del(6,):M(4,)	9	11	6	10	1	4	4	9	11	9	6	22	3	8	10	0	0	4	2	16	0	1	24	63	4	4	2	0	2	5	5	6	3	1	14
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
