MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
G[Ins(T):R(0,4)]G	56	82	94	42	94	134	60	2	2	2	2	0	2	1	1	0	5	279	4	2	1	1	1	1	1	97	0	1	3	0	2	2	1	2	1	24	2	3	4	2	6	1	2	3	1	42	0	2	19	2	3	1	4	3	1	6	7	4	15	2	1	17	12	9	13	76	10	33	68	0	2	1	3	3	11	33	9	3	1	1	10	0	2	0	1	3	4	6	3	0	33	5	7	12	7	2	2	4	2	5	75	16	3	3	5	0	4	24	10	4	1	14	4	3	35	75	19	78	139	3	111	41
A[Ins(T):R(5,7)]A	404	684	6390	487	1047	4446	612	14	14	11	6	11	9	9	3	8	22	2152	10	8	9	3	19	6	14	1004	3	7	18	9	14	19	8	7	12	318	311	6	7	9	8	24	11	12	5	243	9	12	166	11	7	14	25	25	2	11	14	12	131	16	5	25	4	33	27	646	18	34	18	20	19	9	9	6	8	221	10	4	13	11	34	7	11	3	5	26	32	11	5	3	232	4	32	12	4	10	11	25	19	24	507	17	4	12	3	3	7	14	17	33	13	12	5	8	8	445	10	10	973	20	447	11
A[Ins(T):R(5,7)]C	315	521	3707	248	727	3080	376	13	13	7	9	11	8	7	13	6	14	1510	6	6	5	5	10	4	17	645	9	7	8	12	9	17	11	5	14	336	238	4	7	14	10	37	9	5	4	192	15	13	135	9	8	14	27	11	3	13	11	11	92	14	7	17	6	22	34	594	16	32	12	20	33	15	17	13	10	158	10	4	5	10	28	4	11	1	7	20	24	18	11	1	134	4	35	12	8	3	12	23	17	17	395	23	2	7	6	7	4	10	20	54	20	12	6	9	9	317	11	6	654	14	303	20
A[Ins(T):R(5,7)]G	506	719	3708	384	1111	2919	571	16	8	7	4	16	14	12	8	7	29	2275	4	10	5	10	10	4	9	933	7	5	11	10	16	17	6	5	9	387	120	2	7	13	9	26	11	12	5	262	5	14	194	10	13	11	27	20	5	12	12	16	120	15	9	21	2	44	45	776	14	29	16	19	36	20	18	7	8	186	13	2	8	6	33	11	10	4	9	19	25	15	2	4	248	2	31	7	7	8	8	19	20	26	540	16	3	12	4	9	6	13	11	39	13	7	12	7	10	432	8	4	1009	22	428	9
C[Ins(T):R(5,7)]A	189	316	1856	203	439	1969	282	8	3	4	2	3	4	2	7	6	7	962	2	4	2	0	6	2	4	374	1	6	2	4	5	7	3	5	4	119	143	1	4	7	6	11	8	4	4	109	8	10	69	2	3	6	9	6	3	3	4	2	47	4	6	8	5	21	13	270	4	14	9	8	11	3	8	11	4	90	3	4	6	6	12	2	5	1	5	7	12	7	3	1	113	4	13	6	3	4	4	8	7	7	224	10	1	6	3	2	4	10	8	13	6	7	2	4	8	176	2	7	395	9	196	9
C[Ins(T):R(5,7)]C	190	264	1559	132	363	1830	193	13	6	8	1	10	7	5	6	5	16	879	6	8	1	2	6	3	15	379	2	3	2	6	10	14	4	1	9	179	93	1	3	7	7	17	8	3	2	84	4	7	73	7	5	1	17	11	2	8	10	4	31	4	4	7	1	17	22	303	11	17	8	6	11	11	4	5	5	101	9	1	9	6	14	4	8	2	5	8	12	3	5	1	91	1	16	6	4	8	7	7	10	13	205	11	4	3	1	5	2	7	11	15	3	7	4	5	10	168	12	5	336	1	173	12
C[Ins(T):R(5,7)]G	245	379	1362	216	548	1549	286	7	6	4	3	6	4	5	8	2	15	1141	4	4	5	2	3	1	6	470	1	3	4	3	8	12	6	5	3	202	40	2	6	8	7	19	6	5	4	137	2	7	87	9	3	4	21	3	4	2	6	13	55	4	5	5	5	20	19	387	8	14	12	8	21	7	14	5	9	100	3	3	7	17	19	5	6	1	3	12	11	8	5	1	121	3	23	6	4	5	13	10	10	10	259	10	2	7	3	3	1	6	8	29	6	6	3	5	5	235	4	2	489	6	217	13
G[Ins(T):R(5,7)]A	231	384	2317	254	572	1668	331	5	5	3	2	2	2	3	7	5	10	1172	1	4	2	2	6	3	2	487	1	2	3	1	7	6	2	0	5	161	176	2	2	4	2	13	5	3	3	149	8	4	76	3	3	6	12	7	2	9	5	4	64	5	3	5	1	12	18	272	3	18	8	9	18	5	5	2	5	101	3	0	3	4	15	7	3	1	3	11	13	2	0	0	109	0	16	6	5	3	5	11	5	7	263	12	1	3	1	2	1	6	5	13	5	6	1	4	2	237	10	10	459	8	251	14
G[Ins(T):R(5,7)]C	260	406	2072	167	499	1702	273	8	5	7	1	6	1	10	3	1	5	1111	4	4	3	2	5	1	5	445	2	7	4	3	3	10	5	5	9	221	133	5	3	8	4	8	7	2	3	143	4	6	91	7	6	3	17	7	1	4	9	3	45	3	4	13	3	14	11	347	4	15	6	6	11	9	9	2	2	100	4	0	5	6	13	2	7	1	6	10	20	6	2	0	96	0	14	10	2	6	7	10	14	16	281	15	1	8	3	3	1	6	9	25	6	10	4	3	7	205	2	6	419	9	210	9
G[Ins(T):R(5,7)]G	519	739	2210	354	989	1797	552	16	8	4	4	7	5	6	8	5	15	2140	4	9	10	2	6	4	8	889	3	8	8	8	10	10	4	6	12	371	60	2	7	5	5	18	3	6	7	238	8	9	149	11	7	6	12	11	1	9	8	10	88	3	4	5	4	13	17	481	9	32	17	10	22	9	12	6	4	186	5	2	11	14	22	6	6	2	3	13	16	12	3	1	192	3	24	6	6	8	13	10	13	13	423	19	2	1	4	4	5	12	12	18	12	7	3	2	8	389	3	14	769	10	407	10
