MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
C[Ins(T):R(0,4)]C	3	3	3	11	3	3	1	16	5	0	5	4	2	5	70	7	13	3	4	4	1	5	0	3	17	5	1	7	6	3	3	7	4	2	10	5	3	0	6	21	4	10	4	1	3	17	8	4	2	54	5	0	2	5	4	2	2	7	3	2	2	3	2	3	53	1	2	107	4	50	4
C[Ins(T):R(0,4)]G	1	1	4	3	4	6	2	15	3	4	1	4	1	5	114	0	7	10	2	4	1	2	0	4	26	0	1	4	5	6	3	1	2	1	6	2	7	2	1	19	8	5	1	1	2	3	5	2	4	76	3	1	4	3	2	1	3	5	0	2	1	3	3	5	64	1	9	144	0	109	6
G[Ins(T):R(0,4)]A	3	5	2	26	9	7	5	9	4	7	4	6	8	4	15	7	23	22	1	3	3	0	1	7	13	6	3	1	9	7	5	9	3	4	8	5	10	4	3	9	6	3	8	3	3	34	7	3	3	23	4	5	2	5	6	1	9	4	3	4	8	3	2	10	15	7	33	34	5	19	25
G[Ins(T):R(0,4)]C	0	1	0	1	6	7	1	2	1	0	7	3	2	0	19	3	12	32	1	2	1	1	0	9	3	4	0	2	1	2	0	1	3	1	4	1	5	0	3	7	3	2	5	4	0	5	4	4	2	13	7	1	0	1	0	0	10	5	1	3	5	3	2	10	20	4	47	32	0	20	15
G[Ins(T):R(0,4)]G	1	4	3	1	6	7	4	15	2	1	17	12	9	13	76	10	33	68	0	2	1	3	3	11	33	9	3	1	1	10	0	2	0	1	3	4	6	3	0	33	5	7	12	7	2	2	4	2	5	75	16	3	3	5	0	4	24	10	4	1	14	4	3	35	75	19	78	139	3	111	41
A[Ins(T):R(5,7)]A	14	25	25	2	11	14	12	131	16	5	25	4	33	27	646	18	34	18	20	19	9	9	6	8	221	10	4	13	11	34	7	11	3	5	26	32	11	5	3	232	4	32	12	4	10	11	25	19	24	507	17	4	12	3	3	7	14	17	33	13	12	5	8	8	445	10	10	973	20	447	11
A[Ins(T):R(5,7)]C	14	27	11	3	13	11	11	92	14	7	17	6	22	34	594	16	32	12	20	33	15	17	13	10	158	10	4	5	10	28	4	11	1	7	20	24	18	11	1	134	4	35	12	8	3	12	23	17	17	395	23	2	7	6	7	4	10	20	54	20	12	6	9	9	317	11	6	654	14	303	20
A[Ins(T):R(5,7)]G	11	27	20	5	12	12	16	120	15	9	21	2	44	45	776	14	29	16	19	36	20	18	7	8	186	13	2	8	6	33	11	10	4	9	19	25	15	2	4	248	2	31	7	7	8	8	19	20	26	540	16	3	12	4	9	6	13	11	39	13	7	12	7	10	432	8	4	1009	22	428	9
C[Ins(T):R(5,7)]A	6	9	6	3	3	4	2	47	4	6	8	5	21	13	270	4	14	9	8	11	3	8	11	4	90	3	4	6	6	12	2	5	1	5	7	12	7	3	1	113	4	13	6	3	4	4	8	7	7	224	10	1	6	3	2	4	10	8	13	6	7	2	4	8	176	2	7	395	9	196	9
C[Ins(T):R(5,7)]C	1	17	11	2	8	10	4	31	4	4	7	1	17	22	303	11	17	8	6	11	11	4	5	5	101	9	1	9	6	14	4	8	2	5	8	12	3	5	1	91	1	16	6	4	8	7	7	10	13	205	11	4	3	1	5	2	7	11	15	3	7	4	5	10	168	12	5	336	1	173	12
