MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
3:Ins:R:0	2	1	0	1	0	3	3	1	0	0	1	2	1	2	5	0	0	0	1	0	1	1	0	3	0	2	0	2	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	2	0	1	3	0	6	3	10	12	6	5	0	6	14	2	4	3	3	5	1	1	4	5	3	2	7	3	13	1	3	21	5	4	1	1	2	2	0	1	1	5	7	1	5	3	1	2	1	2	1	0	1	3	1	0	2	5	5	1	1	1	8	2	9	4
3:Ins:R:1	4	0	2	1	1	4	6	2	2	6	0	2	5	4	0	5	0	1	1	2	2	0	4	4	3	6	1	0	0	2	2	0	5	2	3	2	2	2	3	0	3	1	2	3	6	2	3	0	0	0	2	0	1	1	2	5	5	3	3	5	1	1	3	1	1	5	1	4	1	4	5	0	1	1	2	2	0	5	0	5	3	1	14	4	8	4	1	3	3	1	4	1	0	4	0	4	3	4	2	4	1	3	1	1	2	4	2	1	1	1	0	1	1	5	5	0	4	5	5	2	0	1
3:Ins:R:2	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	2	1	0	1	0	0	1	0	0	1	0	2	2	2	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	0	2	3	0	0	0	2	0	0	1	1	1	0	0	2	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	2	1	1	1	0	1	0	1	2	1	1	0	1	0	0	1	0	0	1	0	3	2	1	0
3:Ins:R:3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
3:Ins:R:4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:5	2	0	2	0	1	1	1	0	1	0	0	0	2	1	2	1	0	1	1	0	0	0	2	1	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	2	1	0	2	0	1	0	0	0	0	0	0	2	1	1	2	0	1	1	3	0	1	81	0	0	2	0	4	1	0	1	0	5	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	2	2	1	0	2	0	5	0	0
4:Ins:R:0	0	0	1	0	0	1	1	0	1	0	0	4	2	0	0	2	0	0	1	1	0	0	0	1	0	0	0	4	1	0	1	0	0	0	1	0	0	1	2	1	3	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	3	4	3	2	2	6	2	5	14	4	9	7	8	10	0	3	3	5	1	4	5	5	12	1	2	16	4	20	4	8	78	3	1	2	4	3	8	1	2	6	5	6	4	5	9	4	4	3	1	2	2	3	1	1	4	4	3	10	2	3	3	7	5	12	4
4:Ins:R:1	2	1	3	2	5	3	9	3	0	1	3	2	6	1	4	1	0	0	3	2	3	1	0	1	7	12	2	2	2	0	1	0	3	6	4	3	2	3	4	2	6	3	3	2	1	4	1	1	0	2	4	2	1	0	6	4	5	0	0	4	4	1	1	2	4	5	6	2	3	3	12	1	0	2	1	2	3	3	2	4	4	0	4	3	9	2	2	9	1	0	7	1	3	2	0	3	2	9	4	1	0	7	2	5	2	2	5	0	1	0	0	1	2	3	8	1	1	2	2	2	1	1
4:Ins:R:2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	2	2	0	2	0	1	0	1	0	0	0	0	0	0	2	0	1	1	1	1	0	0	9	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	1	0
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	29	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
