MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550
1:Ins:C:2	2	13	17	2	13	27	8	0	0	1	0	3	0	1	1	0	0	40	1	1	0	0	1	0	0	14	0	1	3	3	0	2	1	0	1	7	3	4	1	2	1	1	3	0	0	3	1	2	1	4	1
1:Ins:C:3	12	28	37	14	28	51	31	4	3	2	0	1	0	0	0	1	1	101	0	2	1	1	0	0	0	30	1	1	1	0	1	0	0	1	0	6	2	2	0	0	0	1	0	0	0	8	1	0	8	0	2
1:Ins:C:4	76	129	125	119	211	145	146	2	0	1	2	0	0	2	0	0	0	493	2	1	2	0	0	1	1	237	0	1	2	0	0	3	0	0	1	30	3	2	2	1	2	0	0	0	0	50	0	2	43	1	0
1:Ins:C:5	445	795	1009	589	942	972	617	13	4	2	13	10	3	6	7	1	8	2159	4	5	1	3	4	4	5	1172	2	3	4	10	7	10	9	6	6	252	19	1	4	4	3	5	2	6	1	243	3	4	178	6	6
1:Ins:T:0	32	55	142	44	72	296	41	1	0	3	2	3	1	1	2	3	8	159	2	2	4	4	0	3	1	103	1	5	2	3	1	2	6	6	2	21	39	10	1	2	7	1	1	4	2	6	0	5	10	4	2
1:Ins:T:1	20	34	87	28	38	122	23	11	11	8	11	6	10	2	5	5	6	109	9	4	12	3	6	2	5	55	4	6	8	8	7	3	8	6	6	24	13	3	8	6	9	8	4	6	2	20	7	14	9	19	6
1:Ins:T:2	110	166	193	60	170	233	127	5	10	8	2	3	6	2	0	1	3	590	6	5	2	1	4	2	1	159	3	2	7	6	6	5	5	1	6	83	13	0	6	1	6	1	1	4	3	92	2	1	63	7	3
1:Ins:T:3	77	111	250	48	123	323	89	4	3	4	6	3	4	2	1	2	4	334	2	2	4	1	4	2	4	123	3	4	4	7	2	3	5	4	6	61	25	1	3	4	5	5	7	5	4	39	3	1	33	2	5
1:Ins:T:4	105	196	1173	132	283	1664	167	11	2	4	3	7	3	3	0	4	11	651	3	1	2	1	2	2	6	303	1	0	2	1	4	7	2	2	2	134	97	1	6	3	1	9	6	1	4	49	4	3	52	4	2
1:Ins:T:5	5830	10014	41961	5700	12701	33262	7871	162	153	99	72	135	114	134	96	88	195	28573	84	125	85	53	119	50	153	13120	61	86	117	100	188	187	96	86	125	4040	2163	51	134	145	97	272	112	95	71	3118	110	145	1924	92	106
2:Del:R:0	25	79	73	47	148	65	74	8	4	8	4	5	3	4	3	7	3	62	9	6	7	0	7	3	0	87	8	1	11	14	6	5	6	7	5	33	6	4	3	6	4	8	9	12	5	25	12	12	14	15	13
2:Del:R:1	88	149	148	142	401	123	194	19	7	14	10	8	11	10	8	10	6	83	18	13	2	7	6	6	6	147	4	9	12	16	12	7	13	11	13	117	22	10	6	8	7	5	14	20	11	82	22	19	73	19	19
2:Del:R:2	44	95	96	73	227	137	100	3	4	1	5	3	4	3	5	3	2	40	5	3	2	2	2	0	1	103	2	4	6	6	3	3	5	4	2	44	4	3	2	2	3	1	8	4	3	29	6	5	29	3	3
2:Del:R:3	144	370	479	394	1184	560	338	3	0	2	1	1	0	0	1	0	0	185	3	1	1	1	1	0	3	341	0	1	1	1	0	1	1	0	1	89	3	1	2	0	1	0	1	3	0	63	0	1	71	0	1
2:Del:R:4	168	275	356	248	604	315	233	0	1	0	0	0	0	0	1	0	0	103	0	0	1	0	0	1	1	240	1	0	0	0	1	1	0	1	0	128	0	1	1	1	0	2	2	1	0	85	2	0	78	0	0
2:Del:R:5	291	650	618	527	1387	460	550	2	1	5	0	1	3	1	0	0	3	173	1	3	6	1	0	1	2	384	0	0	1	1	1	8	3	0	2	240	2	0	0	1	2	2	2	1	3	156	0	0	103	4	2
3:Del:R:0	6	12	4	12	33	12	11	1	0	1	3	1	1	1	2	2	1	6	4	5	2	2	1	0	1	11	2	1	6	4	1	1	6	3	0	3	4	3	2	0	3	5	2	1	5	2	2	6	2	2	1
3:Del:R:1	96	156	139	136	409	119	162	10	8	17	7	8	2	8	11	9	6	54	29	8	4	4	8	6	11	138	13	9	20	19	8	10	4	3	16	113	11	12	15	6	10	5	7	18	7	71	9	25	79	25	17
3:Del:R:2	25	41	42	53	145	50	50	2	2	1	1	2	1	3	2	1	2	16	4	2	2	0	1	2	0	52	6	1	4	0	1	4	2	3	2	33	2	4	0	0	0	1	3	7	0	33	2	1	32	2	7
3:Del:R:3	16	22	16	15	43	19	14	0	0	1	0	0	1	0	1	1	1	8	1	0	2	0	0	1	0	29	0	0	0	0	2	1	1	0	1	5	1	0	0	0	0	1	0	0	2	12	0	4	6	1	0
3:Del:R:4	12	17	19	14	41	14	17	2	1	3	1	0	0	0	0	0	0	2	0	4	0	1	0	0	1	10	1	2	0	0	1	1	6	1	0	9	0	0	0	0	0	1	0	1	3	5	0	0	5	4	2
3:Del:R:5	11	36	31	27	66	16	42	1	0	1	1	0	0	2	0	1	1	8	3	4	2	0	0	1	0	32	0	0	1	0	0	1	8	0	0	11	1	0	0	0	2	1	1	0	2	5	0	1	6	4	2
4:Del:R:0	3	3	9	7	14	8	5	3	2	4	3	1	2	0	1	1	0	5	1	2	1	1	4	1	1	6	1	1	2	3	2	1	1	2	2	3	3	3	1	3	2	0	1	0	0	5	1	3	1	2	1
4:Del:R:1	33	65	64	56	166	43	73	12	6	7	6	4	4	4	5	9	4	28	23	5	7	5	3	5	7	66	6	2	20	8	5	5	6	2	5	45	12	2	11	8	1	8	11	12	7	33	9	7	30	13	15
4:Del:R:2	11	22	24	18	50	16	19	1	2	4	5	2	2	1	2	3	1	7	5	0	2	3	2	1	3	26	1	2	0	2	0	2	2	1	0	11	3	0	1	2	0	1	3	1	2	8	1	4	6	5	1
4:Del:R:3	9	13	13	14	32	14	12	4	1	3	0	0	0	1	1	1	0	1	4	2	1	1	1	1	0	15	0	2	1	0	0	0	7	1	0	11	0	0	2	0	0	0	1	0	1	4	1	3	6	3	2
4:Del:R:4	7	16	15	12	19	7	10	1	0	5	2	0	1	1	0	0	0	3	0	5	0	1	0	0	0	13	0	0	0	0	2	2	0	0	0	3	0	0	0	0	1	0	1	1	1	4	0	0	1	3	0
4:Del:R:5	5	15	13	21	34	6	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	16	0	0	1	0	0	1	2	0	0	2	0	1	0	0	0	0	0	0	1	5	0	0	3	1	0
5:Del:R:0	7	12	11	20	23	14	7	13	10	15	10	15	10	11	10	8	7	30	11	13	14	7	9	13	8	17	11	7	17	45	4	6	20	8	4	7	14	98	9	19	18	8	15	21	11	15	14	22	17	21	17
5:Del:R:1	6	12	9	5	22	12	10	1	6	2	2	5	3	0	3	2	2	9	9	2	1	3	1	3	2	14	0	1	3	5	0	2	3	2	2	10	6	5	0	0	4	2	5	5	1	4	4	1	8	8	3
5:Del:R:2	2	5	5	1	14	9	12	0	0	1	1	0	0	1	0	0	0	7	0	0	0	0	0	1	0	10	0	1	0	1	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	4	1	1	0	1	2
5:Del:R:3	0	13	2	6	12	4	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	1	1	0	2	0	0	0	0	0	4	0	0	2	1	0	0	0	0	1	0	0	0	3	0	0
5:Del:R:4	2	3	1	7	5	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
5:Del:R:5	1	2	4	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	14	46	55	20	42	51	34	3	1	1	1	4	1	1	0	2	8	135	2	2	2	1	2	3	1	56	0	2	0	0	3	1	0	2	1	8	24	4	2	0	3	4	3	1	2	6	4	1	4	5	1
2:Ins:R:1	6	23	13	6	10	11	6	3	3	4	0	0	0	0	1	1	2	47	1	3	1	4	1	1	2	12	3	1	4	2	2	1	2	1	2	3	4	2	3	1	3	4	3	0	0	5	0	1	5	4	3
2:Ins:R:2	5	17	20	17	18	16	13	2	3	2	1	0	1	2	2	3	3	62	0	0	1	0	0	2	2	20	0	1	0	3	6	1	0	2	8	7	3	1	0	1	2	3	0	3	2	2	0	3	4	5	3
2:Ins:R:3	20	41	117	19	77	117	33	1	1	1	0	1	0	0	0	1	0	213	0	0	0	1	0	0	0	52	1	0	0	2	1	0	1	0	1	6	6	0	1	0	0	1	1	1	0	4	0	1	4	1	0
2:Ins:R:4	128	190	625	135	304	514	151	0	0	1	0	2	1	1	1	0	1	879	0	2	1	1	0	1	0	316	0	2	1	1	3	2	0	0	0	34	21	0	0	1	0	1	0	1	0	46	1	3	36	1	1
2:Ins:R:5	521	926	1010	588	1230	904	776	6	11	4	2	6	7	9	2	5	3	2442	3	4	3	1	3	1	4	1257	5	6	4	6	14	2	3	4	5	173	54	0	9	11	3	5	6	4	1	280	5	6	162	7	8
3:Ins:R:0	2	1	1	3	4	3	2	1	0	0	0	1	0	1	0	0	6	14	0	0	0	1	0	0	0	4	0	1	1	0	0	1	2	1	2	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	3
3:Ins:R:1	3	7	9	0	7	5	6	0	2	5	3	0	1	1	1	3	4	10	2	1	0	1	2	1	2	6	3	2	1	2	1	0	3	2	5	2	0	1	1	4	2	1	0	1	0	1	2	4	3	2	0
3:Ins:R:2	0	3	6	3	8	12	3	2	0	1	0	0	0	0	0	0	0	32	0	0	0	1	1	0	1	5	0	0	2	0	0	0	1	3	6	1	0	0	1	0	0	2	0	1	1	1	0	0	0	2	0
3:Ins:R:3	1	6	8	2	7	6	6	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
3:Ins:R:4	10	16	6	9	22	5	13	0	0	0	0	0	2	0	0	0	0	40	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0
3:Ins:R:5	51	116	78	60	146	44	98	0	1	1	0	1	0	0	0	0	0	291	0	1	2	1	2	0	4	132	0	1	0	0	0	0	0	1	0	16	1	0	1	0	0	0	0	0	0	23	2	1	17	0	0
4:Ins:R:0	0	9	9	5	4	4	7	2	3	1	1	1	1	0	0	0	5	21	1	1	0	0	2	1	0	7	0	1	1	1	0	0	1	0	1	4	9	0	0	0	1	0	2	0	0	2	1	1	0	0	0
4:Ins:R:1	2	4	1	3	10	3	13	2	0	2	1	0	1	3	1	2	3	19	2	2	1	2	1	1	1	3	3	3	3	1	1	4	2	2	2	2	6	1	0	1	0	2	2	2	0	5	2	2	1	8	0
4:Ins:R:2	2	5	7	1	6	5	3	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	1
4:Ins:R:3	3	15	13	4	19	9	9	0	0	0	0	0	1	0	0	0	0	57	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0
4:Ins:R:4	7	12	12	8	23	4	16	0	0	0	1	1	0	1	0	1	1	45	0	0	0	1	0	0	1	21	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	2	3	0	1
4:Ins:R:5	19	42	26	29	46	13	35	0	1	0	0	1	0	3	0	1	1	128	1	0	0	2	1	0	1	72	0	0	1	0	1	0	0	1	1	9	2	1	0	2	2	0	0	1	1	13	1	0	6	1	2
5:Ins:R:0	4	6	14	13	16	11	9	2	0	3	3	3	3	2	2	0	3	37	0	3	1	1	2	1	1	17	0	0	1	2	0	0	2	3	0	6	17	5	1	3	8	5	2	2	0	1	2	2	6	6	1
5:Ins:R:1	5	7	12	5	16	5	8	8	1	18	5	5	4	3	8	3	2	17	13	9	6	6	14	4	10	26	4	6	10	7	6	2	5	8	7	2	16	8	9	2	9	5	7	5	8	9	4	7	1	8	2
5:Ins:R:2	1	1	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	2	0	0	0	0	5	0	0	1	1	1	0	0	0	1	2	0	0	1	1	1	0	1	1	0	0	0	1	2	0	0
5:Ins:R:3	1	5	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
5:Ins:R:4	1	6	1	4	3	0	4	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5:Ins:R:5	2	1	1	2	4	1	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0
2:Del:M:1	62	112	110	88	277	104	102	4	6	9	7	9	1	6	9	13	10	102	18	4	4	2	9	9	9	101	11	7	10	9	11	3	10	4	11	82	16	7	13	7	15	6	13	14	10	52	13	14	55	23	13
3:Del:M:1	7	7	7	7	11	7	4	3	0	2	1	2	0	1	4	2	4	1	4	4	3	2	2	0	0	7	2	2	0	7	4	2	8	3	1	7	2	1	1	2	1	2	3	1	5	4	0	3	3	0	2
3:Del:M:2	48	84	59	61	198	47	85	3	5	7	4	2	8	7	6	4	3	36	16	5	4	4	4	6	15	77	3	6	4	10	7	3	5	6	5	52	11	4	7	5	3	6	7	7	2	31	8	3	29	8	7
4:Del:M:1	13	12	11	14	32	12	13	1	0	4	1	3	3	3	0	3	0	2	3	1	5	3	1	2	2	11	2	1	5	1	2	0	1	1	0	9	6	1	3	2	2	2	1	2	2	7	1	1	6	3	3
4:Del:M:2	20	22	24	21	46	20	32	5	1	4	2	1	4	0	1	2	1	10	13	3	6	1	4	2	2	10	2	3	3	9	5	5	3	3	7	18	6	4	2	2	3	2	8	6	1	10	5	7	10	4	8
4:Del:M:3	31	46	26	32	95	31	37	4	3	7	4	2	4	4	5	8	6	27	10	3	4	3	2	5	3	46	1	0	5	8	5	1	2	4	1	17	6	5	4	5	1	3	6	7	5	18	5	7	23	8	12
5:Del:M:1	7	22	18	18	20	12	11	14	6	15	11	12	6	8	7	16	7	16	12	4	11	8	4	11	4	17	5	2	20	68	8	6	14	14	3	18	11	160	6	14	7	19	9	8	15	16	9	16	6	22	11
5:Del:M:2	9	13	6	12	14	12	16	14	4	7	11	10	6	3	4	15	7	7	26	10	6	17	6	8	6	8	8	9	31	101	3	3	8	15	5	12	9	171	6	7	7	7	21	8	6	10	12	10	2	17	20
5:Del:M:3	7	11	12	14	13	9	8	7	2	7	8	12	1	2	2	10	9	13	18	7	5	1	3	6	4	11	3	7	24	87	3	4	15	6	1	6	3	122	11	7	4	11	12	14	5	8	6	11	3	16	20
5:Del:M:4	3	10	3	2	14	2	7	3	0	7	4	9	3	4	1	8	1	8	10	5	0	3	1	3	1	5	2	2	12	51	4	4	11	2	1	5	2	63	4	4	3	2	6	4	0	1	8	2	3	11	9
5:Del:M:5	3	9	7	10	7	6	5	3	5	5	4	6	3	3	2	4	5	14	9	4	3	4	0	4	1	6	1	1	8	54	3	3	4	3	3	1	3	44	2	2	6	2	7	6	0	1	1	3	4	5	4
