MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
C[Del(T):R(1,4)]A	3	5	1	2	12	4	3	2	5	6	11	3	3	0	4	12	5	2	4	5	1	4	9	8	5	5	5	5	2	2	2	6	11	1	5	5	3	6	1	3	4	4	4	12	3	9	5	9	6	2	7	5	312	2	2	5	3	1	2	2	3	6	5	6	21	33	0	0	2	14	9	3	6	4	0	6	9	3	4	12	2	5	0	0
C[Del(T):R(1,4)]C	1	4	3	1	10	3	3	7	8	8	6	4	4	3	5	9	6	2	5	6	6	2	4	7	2	2	3	2	3	2	2	6	10	4	8	6	2	5	4	2	6	6	7	9	3	10	6	3	5	3	3	2	399	2	1	10	9	3	7	4	2	3	4	0	10	16	2	3	5	8	9	4	5	6	4	5	5	3	0	19	5	5	0	5
C[Del(T):R(1,4)]G	1	3	1	7	12	2	8	3	3	3	7	3	3	0	1	7	2	4	1	8	1	5	5	6	3	1	5	4	4	3	2	4	13	6	3	3	3	8	10	1	4	2	3	8	5	9	3	5	5	1	6	5	249	3	5	5	5	5	1	4	0	5	8	6	10	16	1	3	0	10	8	3	3	2	4	8	3	4	4	16	3	5	1	3
G[Del(T):R(1,4)]A	3	5	3	0	7	3	6	1	8	1	16	5	2	2	4	6	1	1	3	2	2	1	4	6	1	1	3	5	5	3	2	8	5	5	4	4	4	4	3	1	1	1	4	5	0	3	1	7	9	3	5	6	356	3	2	6	7	2	3	3	0	5	5	2	17	15	1	1	3	8	6	5	1	2	3	4	7	1	2	14	6	2	2	4
G[Del(T):R(1,4)]C	2	5	0	0	4	1	3	1	0	5	10	3	3	1	2	3	1	1	3	0	1	1	4	1	0	1	0	3	4	0	0	0	8	2	4	6	3	5	2	1	3	3	2	5	2	10	0	2	4	2	2	3	331	2	0	1	6	0	3	2	0	1	6	3	15	14	0	0	2	5	5	3	2	0	3	0	2	3	1	6	2	2	1	1
G[Del(T):R(1,4)]G	5	3	5	3	12	3	2	2	6	2	7	2	2	1	0	6	1	5	6	0	2	1	4	2	0	0	1	3	7	2	2	2	10	5	4	1	1	6	4	4	4	5	5	7	4	10	0	4	5	2	2	3	372	2	3	4	8	3	5	3	2	3	2	3	15	13	1	1	5	10	4	6	3	2	1	1	2	0	3	14	2	5	2	1
A[Del(T):R(5,7)]A	3	11	7	6	14	10	14	13	4	26	14	7	6	2	26	20	5	10	10	11	5	10	36	21	0	30	1	8	8	8	20	7	10	11	9	10	13	30	16	3	21	6	7	10	2	6	7	18	5	5	7	13	9203	11	0	3	13	5	11	7	12	13	4	17	170	22	1	2	4	38	16	20	11	7	15	9	18	11	8	313	10	8	8	2
A[Del(T):R(5,7)]C	5	3	2	6	8	3	13	11	1	17	6	2	6	1	16	5	2	8	6	8	7	5	25	11	2	16	2	8	3	5	7	4	13	8	10	6	1	24	11	6	8	0	14	2	4	8	2	9	3	3	6	3	4443	13	3	4	9	2	12	5	9	10	3	10	103	10	1	0	4	14	11	8	4	4	10	4	8	2	2	148	6	5	1	5
A[Del(T):R(5,7)]G	2	6	7	2	14	7	9	14	1	9	6	7	2	1	9	5	3	9	8	4	7	3	16	7	0	14	1	5	2	4	6	2	4	11	2	8	1	17	3	2	6	2	12	6	3	10	7	10	5	3	4	9	6371	4	5	5	11	2	7	7	5	9	4	9	60	12	2	2	6	12	5	7	6	2	7	3	8	5	3	246	5	1	5	2
C[Del(T):R(5,7)]A	3	5	4	4	5	6	15	5	2	10	7	3	5	1	7	7	1	7	2	3	4	6	9	9	0	8	3	3	0	6	4	3	3	4	6	4	1	12	2	2	7	4	7	3	0	4	3	8	1	1	2	5	5447	2	1	4	9	1	7	5	3	6	5	5	80	14	1	0	0	13	9	12	6	5	6	5	9	4	6	158	7	2	5	4
C[Del(T):R(5,7)]C	2	5	2	0	5	2	6	5	1	6	4	3	1	1	7	10	2	7	5	2	1	4	18	7	1	8	1	3	3	1	6	9	5	3	6	4	1	12	4	4	4	1	4	2	0	10	2	5	1	1	1	2	4871	5	3	3	4	0	6	2	6	4	2	0	49	7	2	2	2	10	4	8	4	2	8	3	6	2	3	142	5	3	5	3
C[Del(T):R(5,7)]G	3	4	1	3	4	5	6	6	1	7	7	1	5	0	10	4	4	4	3	3	6	2	13	6	0	4	1	0	3	1	5	3	6	2	4	3	1	13	1	1	2	0	5	3	2	3	1	3	3	2	7	8	4846	5	1	1	5	4	5	4	3	7	2	5	40	8	0	1	3	2	4	7	3	4	6	7	7	3	0	179	2	1	0	3
G[Del(T):R(5,7)]A	2	3	6	1	6	1	5	1	1	5	2	1	1	0	2	8	0	3	1	2	0	1	7	5	0	8	1	4	2	4	2	2	2	0	2	4	1	6	3	1	8	1	9	4	1	4	0	6	3	1	3	4	4187	1	2	0	5	4	1	5	7	5	2	2	44	11	0	0	2	4	4	5	4	1	3	1	5	2	4	108	6	2	0	2
G[Del(T):R(5,7)]C	0	5	0	1	4	1	6	3	0	11	5	2	1	1	7	1	3	3	1	1	4	2	4	6	1	4	1	4	0	3	1	1	3	4	1	1	1	7	1	2	2	4	3	0	4	3	3	2	1	1	2	5	2796	2	3	1	1	0	4	5	1	5	0	5	38	11	0	1	1	6	7	5	1	0	2	1	10	2	3	108	4	1	3	3
G[Del(T):R(5,7)]G	1	4	1	2	4	5	3	6	4	8	3	2	1	0	5	5	2	4	4	2	5	3	8	9	0	4	3	3	2	6	2	3	2	1	6	1	2	8	0	0	4	4	2	7	1	2	1	6	4	1	1	0	2997	3	2	3	3	0	6	9	1	3	3	3	38	12	0	0	3	12	2	5	1	1	5	6	4	1	3	124	3	1	4	1
A[Del(T):R(8,)]A	7	23	14	6	12	17	30	36	5	55	4	12	13	2	38	10	7	26	6	19	11	6	50	27	1	41	7	17	4	18	28	11	9	23	19	23	8	53	24	6	23	9	23	9	6	15	13	25	3	1	9	13	16175	14	2	5	20	7	18	23	14	24	8	25	318	15	5	4	7	54	35	35	11	22	17	14	24	14	7	739	19	11	14	4
A[Del(T):R(8,)]C	3	13	9	4	5	6	25	28	4	23	9	7	6	0	25	6	12	20	11	10	9	8	47	22	1	38	2	8	6	11	22	6	7	19	20	9	5	53	18	9	25	5	16	4	8	14	7	32	4	1	5	7	11174	15	0	2	16	7	9	12	9	18	5	17	230	11	2	0	8	36	17	30	15	8	22	8	16	8	6	494	12	4	8	6
A[Del(T):R(8,)]G	1	4	5	6	3	8	18	29	1	28	3	4	11	1	17	6	10	11	6	6	7	3	23	12	1	18	5	7	1	10	11	8	8	15	9	6	1	32	4	2	16	6	6	4	1	7	7	15	1	4	8	9	10132	7	0	4	10	4	12	6	11	13	4	8	164	6	2	0	1	25	6	15	8	3	6	9	8	10	4	529	13	3	5	3
C[Del(T):R(8,)]A	2	18	7	3	2	7	21	17	3	23	7	7	10	0	18	7	4	17	2	11	17	8	36	15	1	27	1	13	4	13	21	5	3	14	12	12	5	26	7	8	19	7	11	2	5	8	4	17	2	4	6	11	12062	12	1	6	13	1	13	10	8	16	4	15	189	4	7	1	5	39	7	22	7	7	26	13	15	13	5	472	5	5	8	4
C[Del(T):R(8,)]C	6	11	12	3	5	12	17	24	3	19	6	2	8	0	15	6	9	16	10	10	3	3	23	15	0	25	4	6	5	8	18	8	6	15	21	12	1	42	12	4	24	7	11	7	3	6	9	20	3	3	8	5	14696	11	0	5	17	3	9	8	8	11	4	10	205	6	2	1	4	27	16	23	15	6	15	17	21	6	4	460	7	5	16	6
C[Del(T):R(8,)]G	4	5	2	3	0	5	17	24	4	15	6	6	8	0	14	7	2	7	1	5	4	2	33	11	1	30	0	6	4	13	16	8	7	15	9	10	1	17	2	9	8	6	7	5	1	8	3	14	4	2	12	4	12729	9	0	1	17	3	11	8	5	16	3	13	171	4	2	1	2	15	8	13	6	10	5	13	3	5	5	610	7	6	4	4
G[Del(T):R(8,)]A	0	6	8	2	3	4	13	9	0	7	2	7	9	2	13	2	3	8	4	7	9	3	16	9	1	9	4	7	0	8	9	8	0	4	10	7	0	16	3	3	5	3	10	2	4	6	3	8	1	1	8	0	7723	8	0	2	9	2	3	4	6	4	2	6	105	3	1	0	0	21	4	14	7	6	11	10	8	6	2	298	5	3	6	0
G[Del(T):R(8,)]C	0	8	5	1	4	5	9	10	1	9	4	5	3	0	9	3	3	9	3	4	5	4	16	10	0	16	1	7	2	3	9	2	4	5	6	1	3	11	5	3	6	2	9	2	0	6	4	8	1	1	3	2	5832	2	0	3	7	2	8	4	7	8	1	10	103	5	1	0	3	17	6	10	7	2	6	3	9	6	4	280	6	3	3	0
G[Del(T):R(8,)]G	1	4	2	3	3	2	7	11	3	10	2	2	3	0	8	8	1	5	3	2	6	2	12	5	0	4	3	3	4	2	8	4	3	5	6	1	1	20	3	3	6	1	2	0	1	4	4	6	3	1	6	3	5916	5	0	1	6	0	2	2	4	1	0	5	68	5	1	0	2	15	3	10	2	5	5	3	7	2	4	287	4	5	2	0
A[Ins(C):R0]A	1	10	1	1	3	4	1	3	2	3	1	1	1	0	2	2	1	0	2	0	2	0	5	2	1	1	1	1	2	4	2	2	6	1	1	0	0	3	1	1	0	2	1	3	0	7	1	22	3	2	4	1	89	11	0	4	6	1	1	0	1	5	3	0	31	3	0	0	1	36	9	3	2	2	2	0	3	1	1	7	1	0	2	0
A[Ins(C):R0]T	1	2	4	1	0	1	0	1	0	2	3	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	4	1	1	0	0	2	0	0	0	1	2	3	0	3	1	17	0	0	2	1	14	4	0	1	0	0	0	1	0	2	0	1	7	2	0	0	0	14	3	0	3	0	1	1	0	0	2	0	1	1	1	0
Ins(C):R(0,3)	5	6	12	4	13	5	11	9	6	19	23	7	7	5	5	6	6	6	8	10	6	6	10	10	3	2	3	6	10	12	0	7	17	7	4	6	3	9	10	2	6	10	10	12	7	12	14	19	7	4	8	6	277	8	6	2	12	7	8	4	3	8	4	6	19	15	6	3	6	17	16	9	10	13	16	11	7	4	1	34	7	5	4	12
Ins(C):R(4,6)	4	4	4	7	4	3	15	3	2	18	10	5	6	2	8	4	4	4	9	8	5	5	10	4	3	8	6	3	5	7	4	6	7	3	11	7	2	15	4	5	6	5	2	1	5	8	9	8	2	4	6	1	1129	3	3	3	4	4	9	2	2	7	5	4	30	3	1	2	3	13	16	13	2	25	16	4	10	5	3	41	4	2	7	2
Ins(C):R(7,)	1	8	5	5	7	9	15	14	0	15	10	8	6	1	9	1	5	10	7	11	9	4	9	12	2	6	4	6	8	4	5	10	18	11	10	15	5	22	8	2	7	9	3	8	8	8	11	11	3	5	3	5	1307	6	3	5	17	5	15	1	3	10	4	15	46	2	1	1	13	16	9	9	13	13	20	5	12	5	0	110	9	3	5	4
A[Ins(T):R(0,4)]A	4	8	10	8	12	6	14	8	2	14	10	11	5	2	5	4	4	6	7	7	4	9	9	15	3	7	7	9	14	4	2	4	8	8	15	12	8	8	5	6	18	0	7	14	17	9	15	11	5	4	12	7	411	7	9	7	19	5	9	6	2	6	4	13	27	8	3	3	10	30	17	10	9	4	15	6	15	8	6	40	11	13	2	4
A[Ins(T):R(0,4)]C	2	3	2	0	2	2	6	4	1	2	3	2	3	1	0	2	3	3	2	4	1	2	3	2	0	4	1	7	3	2	4	1	6	1	2	4	1	3	2	0	2	1	2	1	2	5	6	1	8	1	1	5	100	6	2	0	2	0	2	1	0	4	0	1	11	5	1	0	2	11	5	4	2	4	7	1	4	1	0	7	4	3	3	0
A[Ins(T):R(0,4)]G	2	8	4	2	5	2	7	3	1	7	4	1	3	1	3	5	3	1	3	3	4	4	2	8	0	3	4	1	8	1	3	6	6	0	9	7	2	8	5	0	2	2	1	6	5	7	5	6	0	0	3	6	203	8	3	2	1	2	11	4	1	3	2	3	22	5	0	0	5	9	18	5	3	3	5	2	2	0	2	18	6	1	2	2
C[Ins(T):R(0,4)]A	1	2	4	3	1	2	1	1	2	1	6	4	1	2	4	3	3	1	0	5	1	1	2	3	1	1	3	3	4	4	1	5	8	1	5	1	3	5	2	1	3	3	4	6	2	4	2	5	6	1	1	1	83	3	0	1	6	4	0	4	0	2	1	2	7	3	1	1	4	4	4	3	2	6	4	2	5	1	1	5	5	2	4	1
C[Ins(T):R(0,4)]C	2	2	3	5	6	1	2	3	5	4	6	2	5	0	3	4	4	0	0	0	1	1	1	8	1	1	1	1	5	5	3	3	7	7	4	6	1	5	4	1	4	1	5	6	3	2	5	9	2	0	2	4	158	2	7	0	3	1	7	1	2	4	0	7	18	5	1	1	3	6	7	2	4	2	5	1	7	1	0	10	3	1	2	1
C[Ins(T):R(0,4)]G	1	4	3	3	4	0	4	4	0	6	4	3	3	3	5	5	2	2	2	1	2	5	1	2	1	3	1	2	6	1	2	5	8	1	1	5	0	1	1	0	5	1	5	2	3	3	2	4	0	1	3	2	205	2	3	1	2	5	5	1	0	4	1	4	13	8	1	0	1	6	10	3	2	3	3	1	6	1	0	18	3	0	2	0
G[Ins(T):R(0,4)]A	3	2	2	2	5	2	3	5	2	8	4	2	2	4	3	2	3	2	1	6	0	0	2	6	1	1	1	2	2	7	0	5	8	3	4	3	1	4	4	4	4	2	1	7	1	5	3	1	3	2	4	5	43	2	1	2	2	4	4	1	4	6	1	4	1	4	4	1	4	5	3	2	4	4	5	2	7	3	1	9	5	2	5	0
G[Ins(T):R(0,4)]C	0	1	2	1	3	0	0	1	1	2	3	0	0	0	1	1	0	0	1	2	2	1	1	2	2	0	0	0	4	0	0	0	7	0	0	3	0	3	0	2	0	1	1	3	2	1	2	2	1	2	1	1	35	0	2	2	1	0	0	1	1	2	0	0	3	4	0	0	1	2	0	2	1	1	1	1	7	1	0	4	1	2	0	0
G[Ins(T):R(0,4)]G	2	1	2	3	6	3	2	3	1	12	4	3	4	0	1	6	3	2	2	2	3	3	4	6	1	0	1	1	2	5	0	1	8	0	2	3	1	5	7	0	4	3	2	5	0	0	3	3	6	0	2	2	185	2	4	2	5	3	6	0	2	2	3	0	9	7	1	1	3	5	7	2	4	2	5	4	3	2	3	16	5	0	0	2
A[Ins(T):R(5,7)]A	12	11	16	23	13	24	34	20	8	35	24	19	21	1	13	15	12	19	13	21	19	14	20	38	5	24	12	16	30	10	12	23	26	19	26	36	15	35	8	12	36	13	17	15	20	22	32	24	13	3	13	22	1792	12	2	10	46	10	22	17	10	16	11	26	93	10	8	6	25	43	44	19	35	28	56	13	19	16	8	105	37	8	15	4
A[Ins(T):R(5,7)]C	11	14	30	26	12	33	39	14	7	35	19	26	16	3	19	9	18	13	16	13	26	19	24	39	8	45	15	5	25	14	18	18	23	25	34	32	16	33	9	13	27	11	13	14	14	31	40	25	16	7	8	24	974	21	4	8	35	10	39	13	10	15	8	37	140	5	4	5	15	38	49	25	23	31	67	19	25	13	12	73	33	11	16	8
A[Ins(T):R(5,7)]G	8	11	24	30	21	27	23	25	15	33	19	21	18	4	27	19	14	20	17	25	33	19	26	44	8	37	10	11	20	11	22	16	39	25	26	29	15	25	5	11	26	16	13	20	17	28	49	30	16	8	19	21	1559	19	9	12	29	11	40	19	6	16	7	27	124	8	9	4	9	51	50	19	28	33	60	11	27	12	12	126	30	12	12	5
C[Ins(T):R(5,7)]A	5	8	7	14	7	10	12	13	2	15	7	11	8	0	9	3	7	4	6	9	17	7	14	19	0	13	5	8	13	3	11	12	12	8	16	12	3	15	2	6	5	6	7	4	12	13	15	19	5	1	7	9	776	6	6	1	20	3	16	13	7	7	7	22	34	2	5	0	5	19	13	9	10	8	31	2	10	6	8	63	12	2	6	3
C[Ins(T):R(5,7)]C	7	7	14	13	6	14	16	6	4	19	13	8	13	1	14	5	14	11	6	10	22	5	17	24	2	14	7	6	19	11	9	8	14	10	20	22	5	17	7	5	15	11	8	15	11	10	16	20	8	6	6	8	563	11	4	2	24	4	22	7	8	8	4	20	50	3	7	4	12	24	21	12	13	17	41	8	7	14	8	47	24	4	9	5
C[Ins(T):R(5,7)]G	1	5	23	10	12	13	23	10	5	20	5	6	8	3	8	6	10	8	7	11	15	10	17	18	1	17	4	5	14	3	5	10	20	13	11	18	8	15	4	6	16	3	10	5	15	9	25	15	7	2	7	20	737	15	7	7	12	9	14	12	7	13	5	18	63	6	8	0	6	20	23	16	11	15	34	4	14	10	1	50	22	3	9	11
G[Ins(T):R(5,7)]A	3	5	6	9	4	11	18	19	5	19	10	8	9	1	6	3	7	10	10	6	13	8	5	14	2	10	6	6	13	1	7	9	7	2	13	14	3	13	6	2	7	5	6	3	5	5	14	11	6	4	5	7	804	9	3	4	14	3	18	4	4	4	5	10	27	6	4	1	5	16	15	10	6	10	26	10	14	3	4	42	13	4	4	4
G[Ins(T):R(5,7)]C	4	6	14	20	6	7	17	11	9	15	12	10	9	0	12	3	11	6	6	15	16	14	13	10	2	25	5	6	17	9	12	10	14	8	17	17	11	16	3	4	24	4	5	8	10	15	17	13	12	5	7	10	627	8	3	6	13	3	15	11	5	5	7	7	53	4	6	2	8	23	16	6	13	11	36	9	9	6	2	45	13	6	5	1
G[Ins(T):R(5,7)]G	3	10	12	15	4	14	21	11	7	18	20	13	9	5	8	6	3	12	9	9	13	16	21	25	2	16	6	3	16	8	5	10	20	18	13	21	8	20	4	5	24	6	8	9	13	17	17	17	11	2	17	12	1228	9	11	7	20	8	23	15	1	13	7	19	64	4	6	2	14	31	14	14	14	23	42	6	19	6	5	114	20	5	7	5
A[Ins(T):R(8,)]A	10	9	28	15	17	24	23	17	9	44	24	20	27	1	16	7	13	25	19	21	28	23	38	35	7	40	19	12	25	11	18	18	24	18	32	40	11	37	17	20	25	15	18	19	19	20	28	32	18	6	20	23	1462	21	7	10	35	8	30	16	13	24	7	32	87	8	3	5	21	48	36	25	30	25	50	12	27	13	5	110	26	10	12	7
A[Ins(T):R(8,)]C	10	9	25	21	13	26	29	28	14	41	22	31	20	2	15	8	17	16	23	30	26	14	44	38	4	19	11	18	28	16	16	19	26	22	26	28	14	32	8	12	32	10	11	21	23	18	50	30	23	4	11	17	1151	26	9	8	33	13	37	18	8	16	12	25	110	11	14	9	7	46	37	28	26	24	46	16	19	10	5	117	22	13	9	9
A[Ins(T):R(8,)]G	7	9	23	17	17	21	27	22	8	37	18	19	14	3	8	10	10	8	12	23	23	10	24	36	6	17	12	10	12	13	9	18	24	29	19	27	15	33	11	12	23	13	16	12	16	26	42	29	11	0	10	16	1197	23	8	10	30	8	24	20	10	15	8	24	74	8	6	5	11	41	26	27	24	17	42	9	14	6	10	103	21	8	8	2
C[Ins(T):R(8,)]A	4	6	17	8	6	14	13	10	7	28	11	6	9	0	6	10	9	8	6	8	11	9	14	19	3	9	6	13	11	12	9	6	26	17	10	22	10	23	5	3	18	7	11	8	6	10	25	12	6	4	8	9	792	3	6	3	20	3	15	7	5	10	11	12	48	4	4	2	7	25	19	13	14	12	35	5	17	5	4	83	15	7	7	3
C[Ins(T):R(8,)]C	5	13	14	8	9	14	14	20	3	26	9	13	9	4	6	7	12	13	8	14	21	5	15	25	1	7	5	11	20	9	10	17	14	15	12	22	13	24	8	8	23	9	9	11	16	14	25	23	4	1	6	9	746	9	4	2	26	3	22	10	8	11	7	18	58	7	1	3	11	26	15	10	11	12	30	6	14	4	2	88	15	6	11	2
C[Ins(T):R(8,)]G	6	9	12	21	14	11	25	14	9	37	14	13	6	0	9	9	9	6	16	9	21	6	25	18	5	10	8	7	13	15	7	8	13	12	11	21	10	17	14	4	21	9	5	12	19	8	38	17	13	3	7	11	899	12	4	5	25	8	21	15	2	16	5	23	63	4	5	2	10	22	16	11	15	11	32	7	15	7	5	112	13	9	10	4
G[Ins(T):R(8,)]A	6	7	13	10	10	12	21	14	2	22	12	12	12	2	10	5	12	6	16	12	15	13	14	16	1	11	5	7	18	10	12	8	22	11	13	18	8	18	6	6	14	4	7	6	14	11	20	13	7	4	4	14	731	10	5	5	15	3	18	10	4	9	9	18	55	0	6	0	12	27	19	11	16	12	18	3	11	4	3	73	10	5	10	4
