Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP107088	5	14	2	9	31	6	37	27	0	4	3	97	7	0	0	0	2	4	0	14
SP107091	113	33	72	2	30	106	33	56	85	5	12	0	17	9	21	14	0	7	14	26
SP107094	41	10	20	20	4	15	0	27	0	9	7	27	3	0	0	7	0	0	2	12
SP112224	22	21	25	27	27	82	27	17	0	12	10	166	30	26	18	31	0	4	19	9
SP107097	82	12	25	20	32	94	58	0	5	4	4	92	5	0	73	8	0	5	15	0
SP107101	224	43	111	203	99	84	0	86	0	177	137	0	19	0	0	13	0	3	19	0
SP98900	80	12	4	92	20	25	19	0	0	106	38	123	9	0	0	15	0	1	16	0
SP107104	17	9	11	21	39	96	14	0	48	11	44	43	0	0	39	0	0	6	2	4
SP107109	77	13	3	0	17	18	0	40	41	27	6	2	1	22	5	6	0	0	0	14
SP107111	183	26	3	12	23	161	100	4	40	0	43	0	9	37	9	0	0	0	17	0
SP107115	1	3	1	0	0	0	0	2	0	3	0	0	0	0	0	0	3	2	0	2
SP98902	141	12	136	0	126	0	157	59	0	25	54	0	55	23	21	34	0	2	18	0
SP107119	166	20	73	0	24	112	0	33	37	32	35	113	16	0	0	0	45	6	0	16
SP98904	18	11	27	54	0	0	30	25	0	0	18	0	3	0	110	2	0	0	0	21
SP98909	85	17	181	0	66	156	59	50	70	0	60	0	15	20	0	29	0	2	2	42
SP107121	209	37	105	53	53	89	0	155	4	75	64	0	27	82	0	30	0	5	7	4
SP107123	147	7	48	162	40	9	50	0	1	0	14	27	7	3	0	63	0	4	18	0
SP98907	149	26	144	0	37	129	44	75	23	53	41	0	10	62	25	68	0	13	14	0
SP107132	14	7	2	19	5	36	0	4	2	0	6	0	2	0	3	0	0	0	0	0
SP107136	115	26	71	0	116	36	69	93	85	39	86	0	24	33	11	14	0	4	27	24
SP107141	56	13	15	0	20	40	13	39	1	0	14	0	12	0	7	10	0	2	8	6
SP98913	114	25	98	0	55	43	69	68	24	65	22	0	32	13	0	59	0	3	20	0
SP107146	149	22	66	0	39	26	37	14	0	82	21	12	5	0	44	0	21	2	10	44
SP107150	72	15	19	186	28	30	29	14	1	32	39	0	0	7	2	3	0	4	12	0
SP98915	154	19	26	13	12	32	10	4	0	0	35	0	1	0	58	0	22	2	18	20
SP107152	160	8	142	0	8	52	62	26	0	20	14	0	12	80	15	9	0	12	13	43
SP107155	123	9	13	0	23	68	14	38	0	53	38	0	5	5	0	10	10	0	1	25
SP112125	50	6	68	0	37	29	0	87	10	48	24	0	3	0	0	18	0	0	2	16
SP98921	70	10	17	98	20	22	11	15	0	50	18	0	23	0	2	0	0	7	14	12
SP112130	114	14	52	0	16	86	12	68	0	9	10	0	11	0	25	34	0	2	14	29
SP112133	70	16	55	0	57	9	28	99	0	22	93	0	31	63	15	18	68	5	7	0
SP98925	100	17	14	73	25	13	0	0	0	11	14	0	22	0	7	22	0	2	0	23
SP112138	155	74	9	0	23	9	0	35	26	30	21	10	1	14	34	3	0	2	0	18
SP112141	68	23	141	219	47	0	65	3	0	0	4	42	79	152	0	0	0	2	2	0
SP98927	145	21	87	0	48	12	0	82	0	133	81	0	27	0	3	27	0	2	8	10
SP112147	92	22	20	114	33	99	0	10	6	81	0	0	7	0	0	16	26	7	7	0
SP112152	104	54	18	30	0	21	0	29	60	6	7	0	19	13	19	11	32	4	30	0
SP112156	80	8	31	4	0	79	27	17	1	35	13	0	1	38	0	6	0	0	4	0
SP98933	115	22	62	0	19	23	62	48	5	34	8	0	3	32	6	32	0	0	5	18
SP112160	72	14	51	52	18	7	78	24	0	0	9	193	12	0	14	1	0	6	18	0
SP98937	0	0	29	0	4	0	3	39	0	19	10	32	0	2	9	3	0	0	0	0
SP112165	126	5	19	15	22	49	48	39	4	18	9	0	5	0	4	2	51	2	6	66
SP112168	160	10	172	0	51	52	1	71	0	147	60	26	21	37	9	15	0	2	19	13
SP98941	141	7	121	216	18	77	49	20	29	56	49	0	7	24	46	28	0	4	10	0
SP112170	133	29	151	157	54	120	0	0	42	9	96	0	2	0	41	39	0	5	29	33
SP112174	45	15	20	11	61	15	0	38	0	20	14	0	18	45	0	0	0	11	3	45
SP98945	57	10	30	12	39	17	29	1	9	0	12	57	32	27	0	0	0	0	2	0
SP112178	110	24	36	367	118	0	74	8	0	71	167	0	29	41	8	0	0	4	28	0
SP112180	203	28	69	0	43	57	52	41	0	0	17	0	22	40	16	37	23	5	22	0
SP98949	184	32	194	62	43	106	80	55	0	10	20	56	0	0	28	18	0	7	15	14
SP112182	26	12	63	0	33	82	57	33	0	14	20	117	3	0	0	0	0	0	4	0
SP98953	499	40	59	0	29	49	14	4	175	26	28	14	22	55	56	111	0	6	9	10
SP112186	88	16	59	80	36	80	0	0	19	3	33	0	10	0	20	0	125	2	2	0
SP98955	210	32	146	0	168	167	171	226	0	18	86	0	70	83	57	70	0	9	14	0
SP112188	50	7	59	22	7	40	45	0	0	0	10	0	3	44	26	0	0	4	0	8
SP112190	29	13	129	21	114	117	9	85	19	47	107	245	39	0	19	43	6	6	25	0
SP112192	77	49	111	0	80	20	23	55	0	70	45	33	11	75	0	0	0	0	7	27
SP112194	152	29	74	147	27	2	15	0	0	40	86	0	15	74	6	0	0	0	13	19
SP98959	87	4	7	50	10	0	15	18	0	18	10	0	18	0	34	0	0	1	5	15
SP112196	148	33	98	0	49	0	0	64	0	93	27	0	28	17	53	1	171	1	7	0
SP112198	41	14	74	2	12	0	9	58	19	61	46	0	0	99	6	16	0	2	0	0
SP112201	23	8	40	0	8	1	20	27	0	0	2	24	2	48	0	0	0	0	0	9
SP98965	126	21	31	95	8	33	61	0	0	26	7	165	22	26	37	6	20	0	24	8
SP112205	146	20	95	49	52	0	90	0	7	45	35	0	22	0	26	4	0	1	16	29
SP112208	225	48	4	218	47	0	40	26	21	62	81	0	45	0	22	21	0	1	19	0
SP98967	84	19	77	0	17	0	43	54	12	6	36	0	6	0	0	27	0	4	6	13
SP112210	217	25	0	204	48	93	112	0	26	0	73	0	22	11	55	35	0	1	0	0
SP112211	185	36	24	0	32	82	0	110	83	17	58	0	62	50	0	49	10	14	40	24
SP98973	243	225	64	15	79	182	96	36	0	72	86	0	255	206	0	62	0	3	15	53
SP112213	68	16	117	45	30	40	60	0	0	36	4	79	10	68	31	21	0	4	23	25
SP50097	243	34	237	136	21	211	22	3	0	0	255	0	39	0	51	50	106	4	17	0
SP112215	47	14	150	44	13	65	77	37	26	0	20	70	30	26	32	8	0	3	13	0
SP112217	89	35	149	115	100	40	0	95	26	70	28	0	96	12	42	0	0	4	12	4
SP98975	27	9	22	124	35	45	3	0	24	0	19	42	3	0	0	21	0	2	1	0
SP112219	92	54	90	205	115	60	0	57	58	60	92	0	21	14	22	47	0	2	7	3
SP112221	45	6	31	8	0	53	7	27	0	14	0	0	5	13	5	3	0	0	0	18
SP112228	123	32	126	11	48	27	17	32	0	25	61	0	39	70	0	10	0	8	19	17
SP50099	138	24	112	0	39	1	31	27	188	0	23	39	37	0	21	13	0	7	13	24
SP98981	52	34	56	27	29	0	0	26	101	21	16	0	10	20	7	22	0	5	13	42
SP112234	152	37	182	0	54	12	24	68	0	58	60	0	23	0	85	17	117	2	20	20
SP98985	56	14	105	179	27	65	54	0	77	30	16	128	0	0	11	0	0	1	0	2
SP112237	86	35	14	23	8	2	53	17	51	104	9	0	10	0	21	3	0	0	0	0
SP98989	121	9	42	0	0	0	2	46	31	0	12	0	11	37	2	12	0	1	1	10
SP112241	186	3	46	0	56	0	52	28	15	0	41	0	6	39	0	7	59	0	0	16
SP112245	60	17	34	0	31	3	47	18	27	21	10	0	3	4	0	9	0	1	8	2
SP98991	50	19	0	0	42	43	0	21	0	47	13	0	9	0	1	22	0	3	0	19
SP112248	90	33	93	0	107	57	28	38	0	0	55	49	34	31	44	27	13	2	19	0
SP112051	134	38	98	0	72	28	0	94	0	65	80	16	32	79	8	0	0	8	7	12
SP98997	98	21	209	80	66	27	133	80	0	0	108	0	50	0	21	26	0	2	30	10
SP112252	167	53	69	28	32	44	41	46	103	25	33	52	0	37	54	14	122	0	1	0
SP99001	76	5	20	0	5	31	56	22	0	0	24	0	9	26	10	12	0	0	0	19
SP112257	3	0	2	4	2	0	15	12	0	10	0	0	0	0	0	0	0	0	0	0
SP99007	109	25	9	0	28	35	11	43	0	29	13	0	14	0	0	3	18	0	6	41
SP112261	29	10	0	45	34	44	29	23	0	9	0	0	5	15	15	40	0	2	2	8
SP50101	40	11	20	0	24	99	18	38	11	18	0	0	9	120	20	13	71	3	0	0
SP112265	128	18	0	10	32	24	8	52	0	52	62	0	21	29	8	4	77	3	25	0
SP112268	106	21	120	0	52	28	98	72	0	17	39	0	40	31	2	85	0	2	41	22
SP99011	78	25	144	0	70	152	0	75	11	66	28	4	32	0	5	16	90	8	34	18
SP112269	139	12	60	0	22	0	106	39	0	98	43	67	20	0	21	16	0	2	26	11
SP99013	129	3	0	0	105	0	0	49	55	35	55	0	118	129	0	6	0	76	28	38
SP112273	251	92	141	156	35	25	50	34	197	41	61	89	50	0	0	42	0	4	22	11
SP112274	16	5	0	56	9	6	8	10	0	38	0	0	2	0	1	8	1	2	0	0
SP50105	79	16	89	0	41	10	63	80	22	61	33	0	31	40	0	4	0	1	14	0
SP112276	39	0	2	0	0	59	17	13	6	2	17	17	2	0	0	6	0	0	0	25
SP99019	195	37	17	132	38	29	0	21	0	97	4	0	11	0	11	33	0	1	10	3
SP99021	60	15	72	34	34	61	22	0	0	0	27	89	41	21	0	17	0	5	7	26
SP112283	28	3	0	6	20	77	0	18	0	14	22	0	5	0	13	0	0	0	6	0
SP112288	108	21	6	0	15	150	14	71	15	9	30	67	24	1	22	35	0	1	16	0
SP99025	80	34	45	89	38	45	12	0	127	69	40	0	28	0	0	26	0	5	6	0
SP112290	98	12	218	0	91	109	26	118	0	20	57	144	46	50	18	6	10	5	8	0
SP99029	48	7	137	135	20	32	0	7	0	0	22	43	0	5	0	2	0	2	1	0
SP99033	49	34	102	203	0	95	0	0	78	32	21	0	7	45	0	0	0	0	0	0
SP99037	15	0	18	24	0	0	20	12	0	17	10	0	6	0	0	0	0	0	3	17
SP99041	106	14	66	144	21	19	5	12	5	66	25	0	17	0	0	32	0	4	3	14
SP99045	127	50	133	0	75	0	35	66	79	37	67	0	12	1	73	30	0	7	11	24
SP112300	127	7	16	13	5	0	0	7	0	77	0	0	22	43	0	0	64	1	0	0
SP99049	74	10	35	114	132	98	94	21	29	0	59	0	47	0	39	40	0	6	22	29
SP112304	146	7	30	0	31	115	47	25	0	15	20	0	51	32	37	6	0	0	17	20
SP50107	149	33	118	102	42	55	25	81	0	98	74	0	20	0	0	21	131	12	20	0
SP112310	64	21	58	152	74	0	32	121	0	27	24	9	4	0	0	0	112	4	24	10
SP99053	67	18	31	146	15	0	40	0	0	0	18	0	11	29	8	0	0	4	0	22
SP99057	3	0	4	37	0	4	2	0	0	15	16	0	14	34	0	0	0	0	0	0
SP99061	158	64	227	0	22	265	10	62	0	75	204	0	26	0	89	0	72	0	37	1
SP50109	99	5	11	0	40	61	104	80	0	0	53	0	34	52	6	7	0	1	7	0
SP99065	36	34	22	0	21	66	5	1	0	10	21	218	7	0	0	0	0	6	5	31
SP106993	141	42	193	183	38	19	130	59	70	42	34	0	17	0	0	14	0	4	30	0
SP50111	196	24	15	16	8	0	23	25	0	67	16	0	12	0	12	24	0	6	1	0
SP99069	99	0	80	0	150	61	26	8	0	2	60	0	73	0	44	0	193	1	11	2
SP99073	61	10	107	0	31	0	53	18	0	12	97	192	36	91	6	11	0	2	2	0
