Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
DRUP01020027T	428	492	371	0	0	0	439	0	0	0	390	0
CPCT02050349T	0	0	2513	0	0	0	0	0	0	0	0	0
CPCT02040242T	686	842	0	0	0	540	0	0	0	0	0	0
CPCT02300039T	779	694	0	0	0	0	0	0	0	0	0	0
CPCT02010815T	789	2437	0	0	0	0	0	0	0	0	0	0
CPCT02010813T	567	541	0	0	0	0	0	0	0	0	235	0
WIDE01010355T	941	900	0	0	0	0	0	0	0	0	0	0
CPCT02330072T	956	1342	0	0	0	0	0	0	0	0	0	0
CPCT02130091T	402	784	0	0	0	0	399	696	0	823	0	0
CPCT02230097T	300	385	0	0	0	0	0	171	0	0	0	0
CPCT02050357T	492	431	0	0	0	0	252	266	0	0	0	0
CPCT02010833T	1045	1221	0	0	0	0	0	0	0	0	0	0
CPCT02060213T	438	697	0	0	0	0	0	0	0	0	0	0
CPCT02130107T	924	726	0	0	0	0	0	0	0	0	0	0
CPCT02070342T	292	225	0	0	0	0	138	0	0	0	251	0
CPCT02050362T	1134	1453	0	0	0	0	0	0	0	0	0	0
CPCT02150012T	1684	2308	0	0	0	0	0	0	0	0	0	0
DRUP01210002T	1005	1682	0	0	0	0	0	0	0	0	0	0
CPCT02130105T	163	131	0	0	0	0	165	0	0	0	238	0
CPCT02100176T	683	661	0	0	532	0	0	0	0	0	0	0
CPCT02230106T	877	813	0	0	0	0	503	0	0	0	0	0
CPCT02060199T	132	112	0	0	0	0	0	0	0	0	77	0
DRUP01330005T	1544	1891	0	0	0	0	0	0	0	0	0	0
CPCT02120150T	804	1560	0	0	0	0	0	0	0	0	0	0
CPCT02060248T	581	611	0	0	0	0	0	0	0	0	241	0
CPCT02060255T	421	726	0	0	0	0	0	0	0	242	0	0
DRUP01010088T	721	445	0	0	0	0	0	0	0	0	0	0
CPCT02440014T	1395	1932	0	0	0	0	0	0	0	0	0	0
CPCT02050384T	598	571	0	0	0	0	0	0	0	0	331	0
CPCT02030519T	1370	1881	0	0	0	0	0	0	0	0	0	0
CPCT02050380T	1580	2862	0	0	0	0	0	0	0	0	0	0
CPCT02130140T	9419	65289	0	0	0	0	0	0	0	0	0	0
CPCT02220056T	758	914	0	0	0	0	0	0	0	0	0	0
DRUP01210003T	1114	1271	0	0	0	0	0	0	0	0	0	0
DRUP01050030T	287	218	0	0	0	0	148	173	0	0	170	0
CPCT02210067T	541	1461	0	0	0	0	0	0	0	0	0	0
CPCT02150021T	1486	1572	0	0	0	0	0	0	0	0	0	0
CPCT02080255T	1286	1647	0	0	0	0	0	0	0	0	0	0
CPCT02330124T	1008	970	0	0	0	0	0	0	0	0	0	0
CPCT02100186T	970	1284	0	0	0	0	0	0	0	0	0	0
CPCT02050403T	258	237	0	0	0	0	121	0	0	0	233	0
DRUP01330013T	1232	1464	0	0	0	0	0	0	0	0	0	0
DRUP01050033T	389	368	0	0	0	0	0	254	0	0	232	0
DRUP01440001T	1500	2108	0	0	0	0	0	0	0	0	0	0
CPCT02040156T	875	760	0	0	0	0	0	0	0	0	333	0
