MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
2:Ins:R:5	4.78E-05	4.46E-04	1.30E-03	4.51E-05	6.77E-04	1.60E-04	2.66E-04	9.03E-05	8.52E-04	5.73E-05	3.11E-04	1.18E-03	6.22E-03	1.80E-04	4.13E-05	1.51E-04	5.45E-04
3:Ins:R:0	0.00E+00	0.00E+00	7.49E-05	0.00E+00	6.30E-04	3.74E-04	3.70E-04	7.86E-05	5.84E-04	3.27E-05	5.45E-04	1.15E-03	4.10E-04	3.72E-06	7.37E-04	1.02E-04	9.05E-04
3:Ins:R:1	1.84E-04	4.94E-06	6.45E-05	1.41E-04	3.86E-04	5.36E-04	1.81E-04	9.32E-05	7.42E-04	6.25E-05	1.87E-03	1.30E-03	5.53E-04	3.08E-04	2.08E-04	2.88E-04	5.38E-04
3:Ins:R:2	4.15E-05	5.89E-06	5.73E-05	2.43E-05	3.13E-05	2.68E-04	3.11E-05	4.89E-06	1.91E-04	2.81E-05	2.77E-04	2.13E-04	2.33E-04	7.40E-05	1.44E-04	3.36E-05	1.25E-04
3:Ins:R:3	2.11E-06	1.37E-06	5.14E-05	0.00E+00	7.83E-06	4.12E-05	2.50E-05	2.26E-10	6.31E-05	8.70E-06	5.38E-05	1.13E-04	1.12E-04	2.00E-06	5.72E-05	5.57E-05	8.13E-05
3:Ins:R:4	1.56E-06	1.01E-05	4.15E-05	1.33E-06	5.08E-06	3.25E-05	0.00E+00	3.53E-06	2.96E-05	1.38E-05	6.91E-06	2.52E-05	3.98E-05	2.98E-06	3.47E-05	5.03E-05	3.57E-06
3:Ins:R:5	1.77E-05	4.39E-05	1.78E-04	2.62E-05	7.68E-06	3.92E-05	8.34E-06	0.00E+00	8.97E-05	3.16E-05	1.55E-04	2.02E-04	4.48E-04	9.32E-05	7.20E-05	4.76E-05	3.13E-04
4:Ins:R:0	3.20E-09	1.78E-05	4.80E-10	1.49E-09	2.88E-03	1.66E-04	5.35E-04	4.31E-09	2.34E-03	1.41E-05	2.00E-05	1.37E-03	4.48E-04	1.36E-09	1.41E-05	7.81E-05	5.63E-04
4:Ins:R:1	1.92E-04	1.40E-47	1.52E-04	2.17E-04	4.46E-04	7.27E-04	2.28E-04	5.36E-05	9.51E-04	9.48E-05	1.93E-03	1.23E-03	6.76E-04	1.81E-04	1.76E-04	2.93E-04	1.78E-04
4:Ins:R:2	1.51E-05	3.71E-06	5.10E-05	1.77E-06	1.20E-04	9.14E-05	1.09E-04	2.45E-05	9.90E-05	8.44E-06	1.69E-04	2.45E-04	1.86E-04	2.12E-05	5.11E-05	1.13E-04	5.48E-05
