MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID18	ID19	ID23
2:Ins:R:5	0.01812158	0.01363338	0.00010369	0.00074864	0.00176438	0.00000000	0.00200402	0.03327522	0.00000259
3:Ins:R:0	0.00000031	0.00005780	0.00002630	0.00121919	0.00066786	0.00025457	0.00400803	0.05448195	0.00077334
3:Ins:R:1	0.00025469	0.00122705	0.00045098	0.00028861	0.00067172	0.00082336	0.00000000	0.00510145	0.00152975
3:Ins:R:2	0.00004410	0.00021007	0.00060034	0.00074653	0.00013577	0.00011826	0.00000000	0.00126260	0.00004958
3:Ins:R:3	0.00016670	0.00000302	0.00007420	0.00024974	0.00003790	0.00000518	0.00000000	0.00056696	0.00004653
3:Ins:R:4	0.00008890	0.00014181	0.00007400	0.00015595	0.00012204	0.00001610	0.00000000	0.00020118	0.00001575
3:Ins:R:5	0.00124870	0.00186471	0.00003960	0.00001980	0.00003660	0.00000000	0.00000000	0.00101487	0.00001267
4:Ins:R:0	0.00000000	0.00001680	0.00016664	0.00146792	0.00077776	0.00016439	0.00000000	0.04975165	0.00052016
4:Ins:R:1	0.00074438	0.00120373	0.00126643	0.00047628	0.00110390	0.00071557	0.00200402	0.00147968	0.00136458
4:Ins:R:2	0.00007550	0.00001220	0.00009840	0.00052866	0.00007990	0.00004240	0.00000000	0.00101738	0.00039980
4:Ins:R:3	0.00015754	0.00013417	0.00005250	0.00033482	0.00000858	0.00002150	0.00000000	0.00030994	0.00000479
4:Ins:R:4	0.00031965	0.00024939	0.00014691	0.00005600	0.00020551	0.00000000	0.00000000	0.00152857	0.00003082
4:Ins:R:5	0.00100132	0.00219354	0.00013521	0.00010686	0.00088523	0.00000218	0.00000000	0.00000012	0.00000719
5:Ins:R:0	0.00000000	0.00000000	0.00008580	0.00871678	0.00031833	0.00016585	0.01202410	0.33665180	0.00072143
5:Ins:R:1	0.00144313	0.00013566	0.00213585	0.00540564	0.00976111	0.00125400	0.00200402	0.00843231	0.00229238
5:Ins:R:2	0.00025483	0.00000553	0.00022203	0.00132184	0.00010115	0.00010285	0.00000000	0.00024644	0.00021296
5:Ins:R:3	0.00023709	0.00009770	0.00000759	0.00002880	0.00007090	0.00008020	0.00000000	0.00173759	0.00000302
5:Ins:R:4	0.00026187	0.00000215	0.00002530	0.00004830	0.00000674	0.00005050	0.00000000	0.00016509	0.00005035
5:Ins:R:5	0.00011983	0.00011563	0.00016023	0.00006170	0.00019055	0.00000989	0.00000000	0.00000224	0.00000260
2:Del:M:1	0.00119782	0.00017555	0.18899749	0.00063287	0.00491367	0.00390097	0.01803614	0.00236192	0.03953384
3:Del:M:1	0.00008190	0.00000055	0.00703416	0.00099010	0.00929034	0.00301133	0.00000000	0.00014290	0.00210806
3:Del:M:2	0.00147959	0.00294406	0.04941660	0.00443363	0.00430269	0.00154330	0.00000000	0.00118844	0.00445127
4:Del:M:1	0.00008380	0.00014700	0.01098172	0.00274539	0.00580955	0.00192772	0.00601205	0.00123037	0.00334573
4:Del:M:2	0.00014548	0.00055061	0.02948388	0.00868271	0.00159159	0.00329745	0.00000000	0.00011789	0.00271152
4:Del:M:3	0.00016068	0.00069357	0.04886664	0.00477309	0.00109834	0.00254408	0.00000000	0.00041202	0.00175756
5:Del:M:1	0.00000082	0.00062496	0.00045312	0.07106658	0.28072426	0.00003540	0.03006024	0.00007270	0.01006779
5:Del:M:2	0.00000000	0.00011771	0.00013623	0.25310835	0.12361016	0.00022124	0.02204418	0.00069074	0.00828299
5:Del:M:3	0.00000000	0.00005670	0.00111224	0.21680603	0.04613041	0.00057091	0.00601205	0.00061764	0.00336542
5:Del:M:4	0.00003880	0.00046284	0.00365295	0.12048394	0.01636726	0.00044831	0.00400803	0.00005320	0.00213513
5:Del:M:5	0.00066512	0.00236732	0.00004560	0.09928300	0.01281488	0.00000000	0.00000000	0.00331746	0.00074925
