Samples	ID83A	ID83B	ID83C
SP94661	1.12E+00	1.52E+00	1.41E+00
SP93652	8.55E-01	1.32E+00	9.83E-01
SP90125	9.81E-01	1.35E+00	1.32E+00
SP94540	6.54E-01	1.41E+00	1.29E+00
SP95222	1.61E+00	1.55E+00	1.42E+00
SP89389	1.41E+00	1.50E+00	1.45E+00
SP90503	8.43E-01	1.12E+00	1.02E+00
SP92460	1.15E+01	1.13E+01	2.07E+00
SP92931	1.17E+00	1.35E+00	1.40E+00
SP91265	1.67E+00	1.87E+00	1.67E+00
SP89909	1.04E+01	1.03E+01	1.99E+00
SP90629	1.57E+00	1.61E+00	1.88E+00
SP95550	1.59E+00	1.66E+00	1.53E+00
CPCT02020389T	1.26E+00	1.45E+00	1.34E+00
CPCT02080033T	7.78E-01	1.92E+00	1.79E+00
CPCT02060156T	2.16E+00	2.40E+00	1.92E+00
DRUP01340014T	7.49E-01	1.66E+00	1.41E+00
DRUP01010121T	2.00E+00	1.99E+00	2.01E+00
CPCT02130034T	1.50E+00	1.95E+00	1.89E+00
CPCT02260015T	1.88E+00	2.16E+00	2.36E+00
CPCT02220071T	1.14E+01	1.10E+01	3.29E+00
CPCT02010710T	1.52E+00	1.65E+00	1.43E+00
CPCT02340068T	9.37E-01	1.29E+00	1.18E+00
CPCT02130050T	1.48E+00	2.32E+00	2.09E+00
DRUP01060016T	9.26E-01	1.57E+00	1.40E+00
CPCT02260017T	1.66E+00	2.08E+00	1.84E+00
CPCT02020682T	2.80E+00	2.96E+00	2.27E+00
DRUP01030013T	3.52E+01	3.42E+01	5.90E+00
CPCT02130059T	1.59E+00	1.79E+00	1.79E+00
WIDE01010296T	1.98E+00	2.69E+00	2.27E+00
CPCT02380044T	1.03E+00	2.03E+00	1.86E+00
CPCT02060117T	1.18E+00	1.65E+00	1.37E+00
CPCT02080220T	7.50E-01	1.88E+00	1.75E+00
CPCT02210056T	1.28E+00	1.69E+00	1.38E+00
CPCT02020734T	1.10E+00	1.83E+00	1.72E+00
CPCT02020716T	8.47E-01	1.46E+00	1.46E+00
CPCT02080226T	1.01E+00	1.62E+00	1.64E+00
DRUP01080014T	1.58E+01	1.65E+01	3.97E+00
DRUP01270003T	1.17E+00	1.55E+00	1.43E+00
CPCT02190044T	8.94E-01	1.35E+00	1.17E+00
CPCT02130131T	9.48E-01	1.69E+00	1.53E+00
CPCT02220054T	1.67E+00	2.09E+00	1.94E+00
CPCT02330075T	2.41E+00	2.68E+00	2.29E+00
CPCT02130134T	1.04E+00	1.92E+00	1.64E+00
CPCT02130148T	1.24E+00	2.06E+00	1.92E+00
CPCT02070381T	2.83E-01	8.69E-01	8.46E-01
DRUP01070053T	1.45E+00	1.64E+00	1.37E+00
DRUP01060025T	1.47E+00	3.56E+00	3.11E+00
DRUP01100007T	2.10E+00	2.92E+00	2.02E+00
CPCT02380019T	1.22E+00	1.98E+00	1.82E+00
CPCT02020598T	7.24E-01	1.42E+00	1.30E+00
DRUP01070059T	4.74E-01	1.40E+00	1.28E+00
CPCT02080152T	1.75E+01	1.72E+01	3.82E+00
CPCT02070406T	8.37E-01	1.30E+00	1.32E+00
CPCT02450002T	2.31E+00	2.69E+00	2.27E+00
DRUP01070024T	8.47E-01	1.79E+00	1.53E+00
DRUP01060027T	1.14E+00	1.84E+00	1.76E+00
CPCT02030381T	7.51E-01	1.66E+00	1.50E+00
DRUP01220005T	1.70E+00	2.76E+00	2.44E+00
CPCT02370010T	1.37E+00	3.34E+00	3.46E+00
CPCT02020623T	1.89E+00	2.27E+00	1.89E+00
CPCT02290023T	1.79E+00	2.33E+00	2.10E+00
DRUP01010022T	3.44E+01	3.52E+01	5.23E+00
CPCT02070159T	6.59E-02	1.77E+00	1.77E+00
CPCT02030354T	9.02E-01	1.31E+00	1.20E+00
CPCT02020565T	9.71E-01	1.38E+00	1.29E+00
CPCT02060114T	8.38E-01	1.28E+00	1.26E+00
CPCT02060118T	1.16E+00	1.52E+00	1.42E+00
CPCT02220002T	9.26E-01	1.09E+00	1.00E+00
DRUP01030002T	1.02E+00	2.03E+00	1.90E+00
CPCT02070060T	1.70E+00	2.23E+00	1.83E+00
CPCT02030320T	1.76E+00	2.41E+00	1.73E+00
CPCT02060035T	1.25E+00	1.51E+00	1.27E+00
CPCT02070110T	8.83E-01	1.88E+00	1.66E+00
