"InsDel1a_converted"	"InsDel1b_converted"	"InsDel1c_converted"	"InsDel_P_converted"	"InsDel1d_converted"	"InsDel2a_converted"	"InsDel2b_converted"	"InsDel2c_converted"	"InsDel3a_converted"	"InsDel3b_converted"	"InsDel4a_converted"	"InsDel4b_converted"	"InsDel5a_converted"	"InsDel5b_converted"	"InsDel6_converted"	"InsDel7_converted"	"InsDel8_converted"	"InsDel9_converted"	"InsDel10_converted"	"InsDel11_converted"	"InsDel12_converted"	"InsDel13_converted"	"InsDel14_converted"	"InsDel15_converted"	"InsDel16_converted"	"InsDel17_converted"	"InsDel18_converted"	"InsDel19a_converted"	"InsDel19b_converted"	"InsDel19c_converted"	"InsDel23_converted"	"InsDel_A_alpha_converted"	"InsDel_A_beta_converted"	"InsDel_B_converted"	"InsDel_C_converted"	"InsDel_D_converted"	"InsDel_E_converted"	"InsDel_F_converted"	"InsDel_G_converted"	"InsDel_H_converted"	"InsDel_I_converted"	"InsDel_J_converted"	"InsDel_K_alpha_converted"	"InsDel_K_beta_converted"	"InsDel_M_converted"	"InsDel_N_converted"	"InsDel_O_converted"
"A[Del(T):R(5,7)]C"	0.00467181	0.026368013	0.01185453	0.032452335	0.000700418	0.015786381	0.051078928	0.023090389	0.005122699	0.001780246	0.003708488	0.009785261	0.009883493	0.006083703	0.002781078	0.01863104	0.002281457	0.014303021	0.005711652	0.001257083	0.003542284	0.003474672	0.012674528	0.023310024	0	0.000413177	0.037385633	0.001447945	0.000977792	0.003328368	0.00223851	0.003437474	0.006171512	0.003459622	0.015355212	0.005195885	0.001434238	0.001712575	0.003137787	0.004145563	0.003370425	0.011303088	0.046547944	0.062936953	0.000576448	0.009931084	0.001610971
"A[Del(T):R(5,7)]G"	0.005080002	0.013858922	0.003648855	0.023486924	0.001471123	0.014096938	0.077366423	0.008636953	0.005847955	0.003247558	0.000907888	0.00667442	0.011293114	0.005767407	0.003982061	0.034476773	0.001790376	0.018830275	0.009195112	0.001091947	0.002227578	0.002403257	0.008365129	0.018510901	0	0.000423724	0.053937213	0.003085116	0.002075154	0.001312174	0.004585334	0.002583562	0.00261273	0.003632657	0.018522446	0.005047279	0.002304065	0.001992443	0.003660404	0.004323231	0.013894061	0.01881251	0.026997808	0.062648498	0.007867208	0.019247527	0.001154644
"C[Del(T):R(5,7)]A"	0.003483146	0.026037361	0.003069414	0.016167398	0.004698114	0.010827885	0.066402318	0.009999838	0.012239708	0.005165913	0.00253757	0.00631384	0.005748609	0.006513613	0.001621228	0.028980741	0.002133502	0.014142307	0.005492168	0.001080843	0.002056629	0.007809661	0.00841816	0.011517894	0	0.000435659	0.001596662	0.001832724	0.001257845	0.001224575	0.002057985	0.001276154	0.002799666	0.002068726	0.016721199	0.006644321	0.003131773	0.001267752	0.005785309	0.003971034	1.21e-05	0.015694112	0.06735938	0.021891255	0.003896385	0.015075952	0.001684729
"C[Del(T):R(5,7)]C"	0.001301648	0.009044958	0.005043372	0.017118256	0.0001127	0.010056446	0.04946526	0.03481127	0.009539346	0.004125627	0.005875074	0.006170555	0.006303707	0.007219824	0.001238546	0.019922794	0.001737672	0.013315422	0.002543379	0.0003535787	0.006164468	0.00220478	0.007069994	0.033456739	0	2.241e-05	0.002128727	0.00167555	0.000491845	0.002841813	0.00202188	0.002494174	0.002707139	0.002517339	0.016939272	0.001951964	0.001219266	0.00175139	0.002944617	0.005513201	2.42e-05	0.013691588	0.044565903	0.01321027	0.002325444	0.01210601	0.00106849
"C[Del(T):R(5,7)]G"	0.001134118	0.003347674	0.001411857	0.013986424	0.002709357	0.008298847	0.059477552	0.006681339	0.006610436	0.00470746	0.001490968	0.005010684	0.005470439	0.005257143	0.001850872	0.028391085	0.002105035	0.014089268	0.002886813	9.137e-07	0.003127669	0.001157339	0.006159041	0.021390374	0	0.000483718	0.000794092	0.001145357	0.000775678	0.001535805	0.002996715	0.000990273	0.001384204	0.001989094	0.009203699	0.002044833	0.001360262	0.000885207	0.003126445	0.004895087	0.003588733	0.014912313	0.021351992	0.015952642	0.001083222	0.015938391	0.000544534
"G[Del(T):R(5,7)]A"	0.001119501	0.005374498	0.002045294	0.009610158	0.003667084	0.00648479	0.042403183	0.019175696	0.005431143	0.001378819	0.002297386	0.004944583	0.004938177	0.005297246	0.001809015	0.018189091	0.001969181	0.014398212	0.004878857	0.000542751	0.002844035	0.005524281	0.003591038	0.007130125	0	0.000223735	0.0023068	0.001517956	0.00094176	0.001704838	0.00119146	0.00169361	0.002493817	0.002506575	0.003495165	0.003229742	0.001065481	0.002340044	0.002259902	0.00324452	1.21e-05	0.011622078	0.0312622	0.017591572	0.001867502	0.008471739	0.001136002
"G[Del(T):R(5,7)]C"	0.001744839	0.004208884	0.003125269	0.010272017	0.001115059	0.006595423	0.030571002	0.021351494	0.00609344	0.001170352	0.002379027	0.003995893	0.004277393	0.004814732	0.001623239	0.012152296	0.000780347	0.009786799	0.005124992	0.000363723	0.003888556	0.001625537	0.004127671	0.02166461	0	0.000232349	0.001169867	0.001866758	0.000600779	0.002274167	0.001263665	0.001306352	0.002967279	0.001656079	0.013447532	0.001246703	0.001801327	0.000625272	0.002141084	0.004050098	1.21e-05	0.007722732	0.027493318	0.009843761	0.000387645	0.006471784	0.001318213
"G[Del(T):R(5,7)]G"	0.000882328	0.002763283	0.001667804	0.00928171	0.000102	0.005936234	0.031696712	0.011568891	0.00544428	0.002179655	0.00191088	0.005265618	0.004504235	0.004299641	0.002342988	0.015895417	0.00189353	0.01727687	0.004623232	0.000723883	0.005011827	0.00151938	0.003982752	0.019470725	0	0.0008611	0.001340569	0.002006993	0.001038959	0.002919892	0.00155251	0.001327728	0.003447941	0.00152873	0.004949565	0.001981534	0.001181562	0.001462326	0.001812836	0.004583477	2.42e-05	0.009102361	0.01450494	0.009311128	0.001726963	0.008222857	0.000978067
"A[Del(T):R(8,)]A"	0.005928259	0.025308653	0.014658201	0.063359268	8.61e-05	0.100867019	0.002175842	0.053253417	0.005017788	0.000547979	0.007979327	0.006487352	0.000365471	0.000584257	0.001077703	0.08113485	0.001476144	0.00501764	0.004560551	0.001045978	0.001722475	0.003043396	0.00540058	0	0	0.000832566	0.007568584	0.005218674	0.002281371	0.007214102	0.000252735	0.00504867	0.002557206	0.000424309	0.002666669	0.013729389	0.002560198	0.000969109	0.005434937	0.004877888	0.002885465	0.085648012	1.5e-05	0.006847933	0.001073695	0.094163406	0.022738988
"A[Del(T):R(8,)]C"	0.009438955	0.011729908	0.011910031	0.046875664	0.001715583	0.090788215	0.001578976	0.088931976	0.002015896	0.00037707	0.005092613	0.007873273	0.000620243	0.000627456	0.001254084	0.042947841	0.000694424	0.006156388	0.003901818	0.001420714	0.001062913	0.001439635	0.007979227	0	0	0.00098673	0.004733915	0.005792508	0.002434877	0.004467719	0.002852295	0.005951101	0.004414377	0.000605407	0.003569009	0.011690591	0.002661365	0.000839177	0.008277158	0.002373332	0.003043125	0.062119242	0.000915943	0.009334633	0.003596846	0.071125332	0.015349892
