"InsDel1a_converted"	"InsDel1b_converted"	"InsDel1c_converted"	"InsDel_P_converted"	"InsDel1d_converted"	"InsDel2a_converted"	"InsDel2b_converted"	"InsDel2c_converted"	"InsDel3a_converted"	"InsDel3b_converted"	"InsDel4a_converted"	"InsDel4b_converted"	"InsDel5a_converted"	"InsDel5b_converted"	"InsDel6_converted"	"InsDel7_converted"	"InsDel8_converted"	"InsDel9_converted"	"InsDel10_converted"	"InsDel11_converted"	"InsDel12_converted"	"InsDel13_converted"	"InsDel14_converted"	"InsDel15_converted"	"InsDel16_converted"	"InsDel17_converted"	"InsDel18_converted"	"InsDel19a_converted"	"InsDel19b_converted"	"InsDel19c_converted"	"InsDel23_converted"	"InsDel_A_alpha_converted"	"InsDel_A_beta_converted"	"InsDel_B_converted"	"InsDel_C_converted"	"InsDel_D_converted"	"InsDel_E_converted"	"InsDel_F_converted"	"InsDel_G_converted"	"InsDel_H_converted"	"InsDel_I_converted"	"InsDel_J_converted"	"InsDel_K_alpha_converted"	"InsDel_K_beta_converted"	"InsDel_M_converted"	"InsDel_N_converted"	"InsDel_O_converted"
"DEL:T:1:4"	0.007923956	0.027994866	0.009732251	0.031668637	0.005349717	0.013968301	0.120085228	0.028397601	0.030011153	0.01487637	0.005710834	0.023464763	0.041620705	0.029269753	0.012936946	0.035903878	0.004730914	0.063604383	0.021467897	0.002527326	0.016384545	0.025320397	0.021928303	0.098176334	0	0.001448323	0.087275421	0.007760284	0.00417279	0.007354258	0.008195835	0.005155437	0.009057927	0.014706604	0.074105229	0.010586478	0.005619204	0.005271212	0.008846431	0.012395399	0.006753022	0.020664981	0.128172015	0.129366204	0.00602829	0.016253718	0.00205514
"DEL:T:1:5+"	0.051375948	0.16284176	0.094364685	0.398485468	0.024609742	0.641478385	0.437192338	0.676558779	0.053237314	0.015440899	0.051589273	0.065166081	0.029574274	0.029372596	0.014640152	0.644929129	0.018598491	0.097761593	0.048736035	0.0114278994	0.028625132	0.029143128	0.0830852	0.068970245	0	0.007160576	0.082188135	0.036190388	0.020827339	0.044222835	0.022132334	0.037835354	0.04164501	0.0133976	0.078143811	0.092627643	0.030154244	0.01782342	0.049787925	0.052305721	0.030442974	0.639198149	0.250653035	0.268994794	0.338422675	0.685954271	0.112671105
"INS:C:1:0"	0.004496535	0.048756682	0.001990013	0.007293828	0.005550655	0.005693228	0.000726268	0.002353312	0.006782595	0.007833126	0.001092413	0.007045233	0.002003925	0.007150934	0.003770493	0.001231211	0.004754637	0.007072172	0.011351986	0.0005405138	0.003309311	0.015574993	0.378061009	0	0.353917052	0.007230972	0.007449474	0.010992607	0.005828731	0.018303927	0.0044409	0.003372703	0.004169215	0.00161679	0.030800512	0.503422327	0.198529892	0.001909441	0.006395239	0.013874156	0.13766807	0.000412904	0.002597614	0.006488742	0.007797537	0.00018255	0.002538762
"INS:C:1:1"	0.001181384	0.0014736164	0.000575155	0.001303173	0.003456633	0.000891045	0.000392487	0.000662321	0.003921339	0.004316971	0.002484899	0.00391005	0.006518638	0.003433049	0.001229114	0.000167196	0.002321345	0.004818638	0.007743551	0.224902045	0.005431003	0.004047774	0.015191321	0	0.144700463	0.00852646	0.001448615	0.007197992	0.004216731	0.005572667	0.00324945	0.002241988	0.003284295	0.004862588	0.006650372	0.016423319	0.060395143	0.001789002	0.009025353	0.008991301	0.003818945	7.25139e-05	6e-05	0.001205933	0.004339439	4.8996e-05	0.00048407
"INS:C:1:2"	0.00054828	0.0007159114	0.0002784	0.000459351	0.00388402	0.00032593	0.000368111	0.000443529	0.002080571	0.004013205	0.00162611	0.002426305	0.006949087	0.002611195	0.000496688	0.00019548	0.001522616	0.002612001	0.005186608	0.114567882	0.004677337	0.001815856	0.002682429	0	0.05529954	0.009633368	0.000954744	0.004157514	0.002719465	0.003690099	0.005054675	0.001442062	0.002887727	0.003926799	0.002153162	0.002393506	0.011604692	0.000570278	0.005581542	0.00527645	0.000193816	7.5731e-06	1.5e-05	0.001307515	0.008677678	2.9649e-05	0.0002009
"INS:C:1:3"	0.00107395	0.000771001	0.001073764	0.000568361	0.0003084	0.000570083	0.001769639	0.001050989	0.005440095	0.006837031	0.000783641	0.00135946	0.002345583	0.002272027	0.0002002	0.000537114	0.000782365	0.001134146	0.004204947	0.041202926	0.002851165	0.000650532	0.00217177	0	0.010138249	0.021518009	0.000876236	0.003570662	0.004095884	0.003166554	0.00621006	0.001078813	0.002457984	0.002152941	0.00417076	0.000924021	0.016302009	0.000935214	0.004474791	0.004533142	3.63e-05	5.249e-05	6e-05	0.001123853	0.000625405	6.093e-05	0.000734574
"INS:C:1:4"	0.001239937	0.000952805	0.002505071	0.001130844	0.0002913	0.000944905	0.009986987	0.003090804	0.003652151	0.006118657	0.000715167	0.001084858	0.000612285	0.001752468	0.00027832	0.002455678	0.000854933	0.000790539	0.003946266	0.014634462	0.003324993	0.00050789	0.002293215	0	0.004608295	0.007057714	0.000985526	0.003190688	0.00277195	0.001679176	0.000469365	0.001582925	0.003083628	0.000962933	0.005615809	0.000931509	0.01189703	0.000436756	0.003043286	0.003231445	0.0001211	0.001295249	6e-05	0.002062742	0.002318925	0.000486953	0.001224114
"INS:C:1:5+"	0.012485375	0.0029867541	0.030752241	0.014201741	0.004676106	0.006715179	0.019598473	0.01575694	0.007815293	0.006794048	0.002880814	0.004965012	0.001823583	0.005876902	0.00086467	0.012984405	0.001766549	0.002195004	0.014990026	0.0043966652	0.014767083	0.002101968	0.010930927	0	0	0.002744926	0.003924613	0.009078231	0.005626255	0.008680267	0.00588508	0.006322797	0.010333845	0.002331164	0.010978387	0.002165264	0.038475257	0.003586119	0.012741449	0.017688565	0.000678604	0.0058635896	0.001110974	0.005232426	0.00690015	0.003583792	0.025561159
"INS:T:1:0"	0.006248842	0.00905528	0.002294571	0.005557429	0.011719887	0.003656947	0.001347157	0.000793302	0.009718021	0.021561936	0.001847735	0.006646065	0.008206613	0.007773951	0.005461616	0.000872301	0.005984902	0.010230422	0.006031115	0.0005444004	0.006290079	0.027974823	0.024931203	0	0.30046083	0.00782488	0.003945079	0.017592388	0.009350015	0.044835654	0.013467163	0.005299679	0.006276558	0.003535094	0.038355987	0.037638212	0.087247077	0.003706085	0.051080659	0.008349661	0.204495532	0.000693004	0.003528572	0.014200797	0.006211705	0.000693966	0.004393534
"INS:T:1:1"	0.004501241	0.002068545	0.002731443	0.002719508	0.012678603	0.001309247	0.001155138	0.000928808	0.017143487	0.045768334	0.009072109	0.018752732	0.03006591	0.029547661	0.002766221	0.000442875	0.005700655	0.011235297	0.017369919	0.231378326	0.016274998	0.013247378	0.013170206	0	0.080184333	0.036297159	0.005769787	0.020745026	0.012533642	0.019974906	0.018485759	0.017569533	0.017684644	0.008849456	0.004123767	0.016578286	0.024792719	0.004656033	0.180619507	0.014509189	0.036384041	0.000120297	0.003693758	0.004697852	0.021312525	9.892e-05	0.000903255
"INS:T:1:2"	0.00473978	0.002041756	0.007681704	0.00251426	0.007651972	0.001340066	0.007019161	0.000693489	0.011158109	0.055753677	0.001577314	0.007463846	0.036000652	0.014990681	0.001497197	0.003626664	0.002432794	0.003470189	0.013731472	0.141095859	0.015089612	0.009182679	0.00793486	0	0.031336406	0.030390929	0.002540762	0.009407327	0.004632487	0.01615538	0.013611583	0.011987632	0.01352793	0.007467709	0.028961537	0.007685265	0.018484354	0.001943097	0.142368139	0.011300988	0.014560856	0.001006483	0.005540661	0.005772906	0.009258868	0.00034131	0.002437029
"INS:T:1:3"	0.005620347	0.009530849	0.008134382	0.00403601	0.003482161	0.001423618	0.004320717	0.001731157	0.007220251	0.029819164	0.00321926	0.007738038	0.022131029	0.012220897	0.001580647	0.002409163	0.002558668	0.002888215	0.015706852	0.091884127	0.013787311	0.011057892	0.005576198	0	0.011981567	0.006480056	0.003903136	0.007500199	0.004105865	0.013414754	0.00819583	0.00824422	0.011843435	0.00390728	0.030143057	0.004101287	0.004500905	0.001751661	0.063408987	0.008251102	0.00727433	0.000567391	0.004399516	0.018868953	0.002395687	0.00024062	0.0019372
"INS:T:1:4"	0.006033814	0.044684765	0.019575123	0.009815052	0.003082336	0.001920398	0.014905148	0.004017451	0.006089241	0.008260817	0.00146415	0.003700777	0.011569236	0.008352106	0.001517484	0.0031709	0.001249818	0.002489927	0.012453485	0.046476911	0.007593426	0.009831444	0.005300985	0	0.004608295	0.003034967	0.00882573	0.004109756	0.00228847	0.008029417	0.006607215	0.006753928	0.012623072	0.001884265	0.007763055	0.002875879	0.003330153	0.00239495	0.028876045	0.007596527	8.48e-05	0.001033421	0.00361865	0.058598225	0.003317532	0.000603781	0.002933631
"INS:T:1:5+"	0.645656834	0.561490402	0.756315501	0.34779647	0.669266106	0.165208329	0.208022662	0.145277219	0.070277358	0.021588169	0.026243773	0.115379992	0.012818549	0.147311824	0.012709041	0.153837686	0.022855543	0.033054351	0.116563708	0.0538524484	0.101124166	0.051669557	0.116843071	0	0.002764977	0.02141718	0.064248518	0.159772156	0.075489357	0.079738403	0.03213345	0.066223468	0.106731817	0.014644632	0.066870196	0.091135402	0.060953668	0.01994846	0.103404507	0.097412989	0.089414403	0.040652418	0.105303429	0.17333865	0.032597848	0.043186161	0.722253701
"DEL:repeats:2:0"	0.003794487	0.00061079	0.000490417	0.001245701	0.006438131	0.003280802	0.00138156	0.000649785	0.007064354	0.007076168	0.02897146	0.021126799	0.02281927	0.010126092	0.005542817	0.001566271	0.004393636	0.018372654	0.002707319	9.6e-07	0.002771938	0.014176778	0.003236556	0	0	0.02714008	0.007149754	0.014534065	0.010172733	0.001045619	0.019424486	0.07549544	0.007251629	0.030284794	0.004597557	0.004606706	0.006573068	0.091078839	0.00855016	0.008090915	0.028151938	0.002402527	0.020991622	0.000730354	0.008208432	0.001789517	0.000736899
"DEL:repeats:2:1"	0.007607795	0.000773105	0.000953337	0.010229696	0.004243193	0.014267098	0.009155273	0.015126221	0.011423605	0.01276091	0.093212218	0.032546063	0.021832998	0.01216766	0.00763557	0.009293983	0.007884679	0.013251366	0.019789677	0.001439402	0.006823745	0.008664969	0.005751364	0.000137118	0	0.007750616	0.018746876	0.018664747	0.008965568	0.00489547	0.063544788	0.015292249	0.007049816	0.022335508	0.006550767	0.004218736	0.00889884	0.271278415	0.004951719	0.007311021	0.005771002	0.147723748	0.056983693	0.001251385	0.008292993	0.160660292	0.003177876
"DEL:repeats:2:2"	0.002771776	0.000185095	0.00014889	0.001596754	0.000329506	0.001135686	0.001342701	0.000477942	0.015935218	0.010705961	0.023315532	0.006968346	0.003363571	0.004359942	0.000936344	0.001293174	0.001580752	0.002941244	0.002618826	0.000177475	0.001603613	0.000806077	0.000786743	0	0	0.002321005	0.000855767	0.005033608	0.002751583	0.000916573	0.033324909	0.001820018	0.002515363	0.003078096	0.00330114	0.000676125	0.002037819	0.061569488	0.00419207	0.002775675	0.003164365	0.00091161	0.004084207	0.000199264	0.000269763	0.000569683	0.000278255
"DEL:repeats:2:3"	0.001295494	8.29e-05	0.000197795	0.00086637	0.001022533	0.000709888	0.002527847	0.0011504	0.014250756	0.006887775	0.009102842	0.001967044	0.000754801	0.001997294	0.000220376	0.002217281	0.000175229	0.000799784	0.001376577	9.14e-08	0.000769584	0.000156018	0.000405617	0	0	0.000696017	0.000560442	0.004419993	0.002929507	0.002253688	0.008015309	0.000468878	0.001819465	0.000525441	3.78e-05	9.27e-05	0.002407782	0.021635525	0.001258393	0.001041687	0	0.002135591	0	0.000194882	0.000313235	0.001075851	0.000479726
"DEL:repeats:2:4"	0.00311378	5.16e-05	0.000510073	0.001141945	0.003294002	0.003660421	0.001062149	0.008070299	0.015993938	0.006262195	0.015951045	0.004662851	0.000351145	0.001173011	5.41e-05	0.010270801	0.000337419	0.004199169	0.000276197	2.74e-07	0.203074763	0.000132023	0.000488445	0	0	0.000802958	0.000757626	0.015008347	0.007714949	0.003910651	0.00043326	0.000783902	0.002180376	0.001074775	0.000578665	0.000200279	0.003391452	0.011618772	0.000807475	0.001088787	1.21e-05	0.017771873	0.015495961	0.00051163	0.036123886	0.00528144	0.002650167
"DEL:repeats:2:5+"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEL:repeats:3:0"	0.000953576	0.00023408	0.00021114	0.000735779	0.003100573	0.000624598	0.000314058	0.000395909	0.002075754	0.000585535	0.006572008	0.006879926	0.012704497	0.005285152	0.005408091	0.000276907	0.003905948	0.003556994	0.003344284	0.0001786627	0.004112735	0.003191906	0.00153403	0	0	0.018975307	0.002975681	0.006877956	0.004552988	0.001010833	0.002419035	0.007328368	0.002015601	0.022570925	0.004516853	0.000855885	0.002279498	0.00213241	0.001449372	0.002359272	0.003406845	0.001106154	0.005570738	0.000137	0.005018314	0.000970312	0.0001394
"DEL:repeats:3:1"	0.005573156	0.000507018	0.000752083	0.006110523	0.006299951	0.00395036	0.004031469	7.62e-05	0.001382256	0.000512772	0.092690369	0.025997543	0.006231902	0.006440049	0.004893853	0.003387296	0.002893093	0.007389659	0.010199435	0.000529409	0.003082377	0.002067452	0.002560828	0	0	0.008967021	0.001816005	0.010774275	0.005135332	0.000871886	0.00093873	0.005737152	0.002994896	0.007739287	0.001529085	0.001703716	0.002956184	0.014722969	0.003636119	0.002290145	0.005504298	0.000940367	0.009084357	0.000546413	0.004288226	0.000103717	0.000139617
"DEL:repeats:3:2"	0.001482297	0.000126836	0.000229737	0.002053186	0.000482568	0.001696869	0.000859693	0.000133881	0.000370832	0.00018534	0.028386562	0.005463066	0.000992658	0.001619661	0.000539825	0.001182279	0.000864904	0.001539121	0.003202574	0.000177566	0.003034138	0.000257206	0.000948199	0	0	0.000178581	0.001216742	0.003170198	0.001543749	0.000241041	0.00086652	0.001642299	0.003575336	0.000571727	0.002122346	0.000542028	0.001429212	0.002103119	0.000836636	0.000678805	0.00693493	0.000442181	0.000480495	0.000199927	0.001539379	0.000141921	5.11e-05
"DEL:repeats:3:3"	0.000188673	1.5e-05	7.76e-05	0.000519579	4.36e-05	0.000286311	0.000172759	0.000220885	0.000132404	2.14e-05	0.007866873	0.00147569	0.000237209	0.000647472	0.000214049	0.000354736	0.00018219	0.000469832	0.001141807	0.000181587	0.002489873	4.73e-05	0.000250192	0	0	0.000214374	0.000206403	0.001053357	0.000693754	0.000134338	0.00057768	0.000371008	0.000500053	0.000208628	0.001405453	9.84e-05	0.000479402	0.000173267	0.000272158	0.000691599	1.21e-05	0.000264506	0	5.81e-05	0.001805569	0.000146464	4.83e-05
"DEL:repeats:3:4"	0.000393159	7.32e-05	0.000396245	0.000258175	0.001026785	0.000565956	0.000503831	0.000131143	0.000286791	1.88e-05	0.005232338	0.00435535	0.000165836	0.000130477	9.4e-05	0.000548299	8.88e-05	0.001051047	0.000690499	4.57e-08	0.168467805	0.000276188	0.000566008	0	0	0.0006817	0.000221604	0.001153174	0.000318146	0.000206028	0	0.000657229	0.000557252	0.000152339	4.89e-05	0.000129649	0.000618633	0.000201592	0.00086435	0.001310321	0.003528085	0.000838032	0.009234512	7.54e-05	0.003253835	0.000164133	9.68e-05
"DEL:repeats:3:5+"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEL:repeats:4:0"	0.001105696	0.000181009	0.0001161	0.000563364	0.003380099	0.000670474	0.00023874	0.0001674	0.003625189	0.000344589	0.006835893	0.005005769	0.00873148	0.004079998	0.005150483	0.0001017	0.003523837	0.002000936	0.002130648	7.76e-07	0.001829978	0.003034329	0.001439754	0	0	0.020422807	0.005216244	0.00669814	0.004576738	0.003592594	0.00194967	0.001995626	0.003366221	0.0184837	0.003570736	0.000514624	0.003541554	0.001805296	0.001363295	0.002248575	1.21e-05	0.000424446	0.000540557	0.000164802	0.003531936	0.000272081	0.0001124
"DEL:repeats:4:1"	0.002511599	0.000333054	0.00052884	0.00337602	8.18e-05	0.002765709	0.001940748	0.0001079	0.001005743	0.000134562	0.08407178	0.019671926	0.004571257	0.006124037	0.004000469	0.001556705	0.001724793	0.006406702	0.002237424	0.0003525284	0.003967069	0.000394993	0.003068524	0	0	0.00287713	0.00240768	0.010383782	0.005066735	0.000763512	0.00122757	0.00290145	0.004798732	0.003402049	0.000579523	0.00095464	0.002040456	0.013176653	0.001645558	0.001793883	0	0.000443218	0.002372443	0.000603941	0.001413137	0.00014307	0.000298032
"DEL:repeats:4:2"	0.000733641	1.87e-05	7.91e-05	0.000845761	0.000361394	0.000857273	0.000205153	0.000141415	0.000590057	3.42e-05	0.021929712	0.004613109	0.000682592	0.000792635	0.000441966	0.000391244	0.000214733	0.00185096	0.000468457	4.11e-07	0.00094562	7.72e-05	0.000790372	0	0	0.000157433	0.000654469	0.003450921	0.00179585	0.000230026	7.22e-05	0.000987219	0.001982	0.000241776	2.66e-05	0.000174131	0.001095037	0.002247778	0.000331658	0.00067843	0.003127993	0.000277089	3e-05	4.56e-05	0.000252494	8.26e-05	0.00015367
"DEL:repeats:4:3"	0.001256958	8.92e-05	0.0001638	0.000926501	0.000927916	0.001778378	0.000195735	0.000317161	0.00047912	4.01e-05	0.020583225	0.003846582	0.000513368	0.000477348	0.000402703	0.000400557	0.000399001	0.001231064	0.001372228	1.0054e-06	0.025020114	0.000206176	0.000671593	0	0	0.00076487	0.00061818	0.006096937	0.002918991	0.00112392	0	0.00076245	0.001397422	0.00057667	0.001151355	0.0001421	0.002269161	0.004155557	0.000809385	0.001380761	4.84e-05	0.003112285	0.002447521	5.11e-05	0.002446927	0.001277517	0.000395702
"DEL:repeats:4:4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEL:repeats:4:5+"	0.000168457	2.09e-05	0.000154788	0.000205782	0.001462583	0.000650093	0.000154522	0.000124498	0.00030602	9.55e-06	0.007527331	0.002199281	0.00022745	0.000424887	9.71e-05	0.000533139	0.000114533	0.000968332	0.000373582	1.83e-07	0.039394748	7.39e-05	0.000183189	0.000274236	0	0.000211641	0.000307323	0.00145373	0.000587307	0.000121748	0	0.000252026	0.000619171	4.86e-05	3.95e-05	4.99e-05	0.00029049	0.000538985	0.000206032	0.000700269	2.42e-05	0.000675417	0.004429562	2.33e-05	0.000118505	0.000107141	0.000156671
"DEL:repeats:5+:0"	0.007000491	0.000761867	0.000825057	0.00255232	0.010206194	0.002863954	0.00110812	0.000652483	0.013614046	0.004457203	0.005144046	0.034376582	0.051349306	0.045817708	0.067005183	0.000287445	0.200987267	0.010697404	0.043841794	0.0010697391	0.014346356	0.042455664	0.011467679	0.001371178	0	0.052137684	0.013400923	0.035986401	0.150752734	0.008840446	0.013755994	0.00871472	0.010546628	0.12592034	0.015180134	0.004647532	0.008635804	0.01407967	0.007622499	0.058791529	0.0001332	0.000209306	0.003873959	0.00056174	0.00462941	0.000146367	0.000499644
"DEL:repeats:5+:1"	0.003353934	0.00014922	0.0002967	0.003140894	0.000987411	0.003023024	0.000440467	0.000593119	0.001216133	0.000211173	0.023774242	0.007694484	0.001411962	0.00198555	0.006862321	0.000558141	0.002621002	0.004367934	0.009305835	0.0005410614	0.002225677	0.001417476	0.002715312	0	0	0.00275634	0.000945219	0.012657641	0.00611708	0.002504375	0.001191465	0.002263373	0.002039405	0.002297023	0.000821555	0.00131838	0.002232279	0.005625584	0.002593854	0.071425803	0	0.000399405	0.001666686	0.00010394	0.00058419	8.31e-05	0.000332047
"DEL:repeats:5+:2"	0.000175765	1.68e-06	4.64e-05	5.84e-05	3.08e-05	7.08e-05	2.48e-05	1.77e-05	0.000126643	7.09e-06	0.003408264	0.000670294	4.53e-05	0.000220908	0.000227565	5.91e-05	0.000114879	0.000480486	0.000364702	2.28e-07	0.002942508	2.85e-05	0.000709004	0	0	6.07e-06	0.000270575	0.000711767	0.000215928	7.45e-05	0	0.00015246	0.000551609	0.000180476	4.46e-05	5.95e-05	0.000170776	0.000829398	0.000192064	0.000329842	0	6.52e-05	1.5e-05	4.48e-05	5.06e-05	1.74e-05	5.18e-05
"DEL:repeats:5+:3"	0.00010922	5.98e-07	4.69e-05	7.71e-05	1.91e-05	4.95e-05	0.000166427	5.98e-05	6.51e-05	9.31e-06	0.001778045	0.000278357	4.03e-05	3.46e-05	0.000108818	8.96e-05	3.21e-05	7.29e-05	0.00016869	1.37e-07	0.000582475	1.37e-05	0.000110839	0	0	3.77e-06	5.81e-05	0.000317944	0.000147617	0.000113131	3.61e-05	6.25e-05	0.000179652	2.97e-05	4.55e-05	4.83e-05	2.12e-05	0.000457474	6.3e-05	0.000260902	2.42e-05	5.71e-05	0	1.11e-05	5.3e-05	6.76e-06	4.13e-05
