Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP112156	9	78	43	0	59	101	0	0	20	0	5	27	0	2	0
SP98933	25	74	64	84	82	10	24	22	8	34	7	38	22	0	0
SP112160	22	85	44	275	21	0	19	41	11	0	16	10	0	18	7
SP98937	0	0	26	50	1	5	2	46	11	0	0	6	3	0	0
SP112165	8	112	29	88	99	1	29	17	12	0	7	0	76	10	2
SP112168	11	103	139	209	0	217	50	22	68	0	27	7	0	11	2
SP98941	8	122	196	107	61	148	24	94	60	31	14	19	0	13	5
SP112170	30	105	246	0	0	142	65	39	116	110	1	37	14	29	6
SP112174	15	37	18	23	0	43	70	51	21	0	24	0	47	0	12
SP98945	13	89	54	0	40	0	48	0	18	0	40	21	6	5	0
SP112178	26	35	83	315	1	123	126	107	194	0	43	0	0	28	4
SP112180	33	200	104	0	82	0	52	39	23	0	28	77	4	27	6
SP98949	38	160	294	27	154	4	57	47	27	62	0	13	22	11	8
SP112182	18	55	100	69	113	20	44	0	30	0	4	7	0	4	0
SP98953	42	483	62	0	0	81	35	12	31	287	27	127	11	0	8
SP112186	22	104	105	88	18	67	44	39	47	0	16	0	0	20	3
SP98955	39	193	219	0	325	0	191	218	111	0	84	135	0	2	10
SP112188	8	46	97	0	70	12	17	1	15	0	7	12	36	0	4
SP112190	19	74	203	11	87	62	126	76	131	137	43	77	0	21	6
SP112192	54	50	103	117	30	90	94	34	56	0	20	0	35	0	0
SP112194	32	138	114	64	0	86	35	49	107	0	27	0	35	12	0
SP98959	4	72	11	56	17	14	9	45	10	0	21	0	28	4	1
SP112196	41	107	61	250	0	84	47	84	31	0	43	0	15	25	2
SP112198	16	37	63	50	0	89	19	72	59	0	0	52	0	0	2
SP112201	10	13	41	61	5	0	11	39	5	0	7	8	12	0	0
SP98965	30	141	34	247	0	79	11	54	12	0	31	27	17	33	0
SP112205	23	96	80	177	24	67	54	0	34	0	27	0	37	17	1
SP112208	53	193	24	198	25	73	47	91	93	0	57	0	0	25	1
SP98967	21	8	41	245	0	0	11	16	37	14	6	0	0	0	5
SP112210	29	246	95	0	171	41	65	53	92	0	29	70	24	4	3
SP112211	39	238	53	0	66	10	31	114	73	0	73	101	2	61	15
SP98973	242	220	104	0	167	201	83	0	118	0	317	166	72	0	2
SP112213	21	99	161	3	60	84	45	15	10	0	19	73	54	28	5
SP50097	43	254	425	0	119	34	28	43	315	0	48	81	0	33	6
