Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02130140T	7.32E+02	4.22E+02	2.39E+02	6.90E+01	7.74E+02	2.64E+01	5.67E+00
CPCT02210064T	6.07E+01	7.76E+01	2.95E+01	1.26E+01	6.13E+01	4.25E+00	1.38E+00
CPCT02170035T	2.01E+03	2.18E+03	1.38E+02	1.33E+02	1.25E+03	1.17E+02	1.59E+01
CPCT02010911T	9.60E+00	1.23E+01	5.30E+00	1.07E+01	1.41E+01	9.54E+00	1.20E+01
CPCT02130146T	1.13E+02	1.25E+02	2.79E+02	1.67E+02	3.14E+02	1.86E+01	1.61E+00
CPCT02020815T	4.17E+00	6.25E+00	3.91E+00	1.02E+01	7.20E+00	8.64E+00	1.19E+01
CPCT02330125T	6.93E+02	4.31E+02	2.63E+02	4.81E+01	9.91E+02	4.27E+01	1.61E+01
DRUP01010096T	9.48E+00	1.21E+01	7.08E+00	8.96E+00	1.67E+01	8.72E+00	1.04E+01
CPCT02030532T	2.69E+01	9.01E+01	1.62E+02	2.97E+02	9.61E+01	6.02E+01	5.63E+00
DRUP01070020TII	3.93E+02	4.35E+02	1.36E+02	6.45E+01	3.15E+02	1.08E+01	1.44E-01
CPCT02030546T	1.02E+03	1.07E+03	7.19E+02	1.79E+02	1.82E+03	4.33E+01	3.84E+01
CPCT02010654T	5.93E+02	4.63E+02	3.26E+02	6.95E+01	8.50E+02	2.78E+01	8.30E+00
CPCT02140091T	6.50E+01	8.61E+01	4.04E+01	1.18E+01	9.35E+01	3.39E+00	1.46E+00
CPCT02230056T	7.62E+01	9.16E+01	7.45E+01	5.16E+01	8.90E+01	8.29E+00	5.40E+00
CPCT02040169T	1.61E+02	1.66E+02	5.20E+01	2.16E+01	1.40E+02	7.36E+00	3.85E+00
CPCT02080152T	2.42E+02	1.53E+02	9.87E+01	8.93E+00	3.35E+02	1.21E+01	2.85E+00
CPCT02010986T	3.27E+01	5.41E+01	0.00E+00	4.89E+00	2.42E+01	2.30E+01	5.41E+00
DRUP01010047T	2.05E+03	2.16E+03	1.17E+02	1.22E+02	1.09E+03	1.12E+02	1.39E+01
CPCT02080273T	9.26E+02	5.87E+02	1.99E+02	8.67E+01	1.09E+03	6.79E+01	1.26E+01
CPCT02080157T	3.51E+02	3.26E+02	1.12E+02	4.91E+01	4.26E+02	2.07E+01	6.82E+00
DRUP01010108T	5.79E+01	7.54E+01	3.33E+01	2.07E+01	5.86E+01	6.09E+00	2.56E+00
CPCT02030392T	1.21E+02	5.55E+02	2.87E+02	1.99E+01	8.72E+02	5.18E+01	1.50E-01
CPCT02050279T	1.64E+03	1.00E+03	2.50E+02	6.90E+01	1.19E+03	7.67E+01	7.55E+00
CPCT02160034T	5.93E+01	7.09E+01	3.29E+01	1.92E+01	5.71E+01	4.12E+00	1.62E+00
CPCT02040280TII	2.18E+00	1.19E+01	7.62E+00	1.18E+01	1.77E+01	7.20E+00	1.16E+01
CPCT02190020T	3.16E+00	1.20E+01	7.37E+00	1.06E+01	1.85E+01	1.12E+01	1.32E+01
CPCT02100120T	6.12E+01	7.63E+01	3.10E+01	2.44E+01	5.11E+01	5.96E+00	2.16E+00
DRUP01010051T	1.45E+03	1.00E+03	2.99E+02	7.69E+01	1.21E+03	7.49E+01	1.03E+01
CPCT02020622T	2.44E+01	2.81E+01	1.07E+01	1.17E+01	1.64E+01	6.20E+00	2.08E+00
CPCT02020630T	6.98E+00	2.48E+01	6.26E+00	1.25E+01	2.49E+01	1.76E+01	8.81E+00
CPCT02340029T	3.72E+01	4.40E+01	1.82E+01	1.45E+01	3.43E+01	5.61E+00	3.42E+00
CPCT02080162T	1.04E+02	1.02E+02	9.07E+01	4.00E+01	1.98E+02	1.27E+01	4.45E+00
DRUP01010044T	5.96E+01	7.06E+01	3.27E+01	2.27E+01	5.14E+01	5.88E+00	1.43E-01
CPCT02050252T	3.71E+01	4.23E+01	2.79E+01	2.73E+01	3.29E+01	6.37E+00	8.21E-01
CPCT02210016T	2.79E+03	2.87E+03	1.38E+02	1.58E+02	1.69E+03	1.49E+02	1.94E+01
CPCT02050170T	1.99E+02	2.25E+02	5.80E+01	2.48E+01	2.68E+02	9.13E+00	2.74E+00
CPCT02010569T	4.37E+01	5.63E+01	2.44E+01	1.15E+01	4.85E+01	4.91E+00	1.99E+00
CPCT02100019T	1.15E+03	7.28E+02	2.62E+02	1.33E+02	9.27E+02	7.93E+01	6.68E+00
CPCT02020514T	3.90E+02	3.14E+02	9.57E+01	1.53E+01	4.14E+02	1.37E+01	2.64E+00
CPCT02070140T	3.73E+02	3.57E+02	1.74E+02	2.94E+01	6.40E+02	2.65E+01	1.09E+01
CPCT02030347T	2.04E+03	2.15E+03	1.39E+02	2.18E+02	1.00E+03	8.28E+01	9.49E+00
CPCT02180033T	2.54E+02	3.42E+02	1.12E+02	1.20E+01	3.48E+02	8.89E+00	3.22E+00
CPCT02070164T	3.93E+02	4.42E+02	1.15E+02	3.21E+01	3.56E+02	1.18E+01	3.54E+00
DRUP01070015T	7.39E+02	6.61E+02	3.33E+02	4.67E+01	1.06E+03	2.39E+01	8.72E+00
DRUP01010022T	5.93E+02	3.37E+02	1.88E+02	2.64E+01	6.46E+02	2.07E+01	4.50E+00
CPCT02030349T	6.30E+02	3.94E+02	2.97E+02	6.07E+01	8.37E+02	2.33E+01	5.99E+00
CPCT02120032T	1.23E+02	1.38E+02	4.83E+01	2.77E+01	1.11E+02	3.34E+00	2.52E+00
DRUP01010025T	1.72E+03	1.37E+03	1.98E+02	1.33E+02	9.81E+02	7.42E+01	7.79E+00
CPCT02220023T	3.58E+00	2.98E+00	1.79E+00	8.70E+00	3.94E+00	9.47E+00	1.06E+01
CPCT02100101T	3.72E+01	6.15E+01	7.92E+01	6.00E+01	6.32E+01	1.52E+01	1.95E+00
CPCT02030357T	3.33E+03	3.82E+03	2.02E+02	2.11E+02	2.23E+03	1.78E+02	2.99E+01
CPCT02070192T	5.86E+02	5.89E+02	2.69E+02	5.70E+01	7.36E+02	1.70E+01	6.93E+00
CPCT02050211T	1.19E+03	9.08E+02	1.76E+02	1.04E+02	8.03E+02	6.92E+01	8.06E+00
CPCT02380016T	7.78E+01	5.10E+01	3.32E+01	3.13E+01	5.26E+01	6.57E+00	9.80E-01
DRUP01090003T	1.86E+03	1.83E+03	1.60E+02	1.07E+02	1.21E+03	1.08E+02	1.53E+01
CPCT02230039T	2.57E+01	3.59E+01	2.06E+01	1.87E+01	1.70E+01	4.92E+00	3.01E+00
DRUP01010037T	6.17E+02	7.69E+02	6.96E+01	4.58E+01	6.01E+02	4.74E+01	9.42E+00
CPCT02120042T	2.69E+03	2.84E+03	1.73E+02	1.85E+02	1.40E+03	1.36E+02	1.65E+01
DRUP01070020T	4.16E+02	4.73E+02	1.16E+02	2.08E+01	3.80E+02	1.40E+01	2.10E-01
CPCT02340022T	4.75E+01	2.68E+01	1.52E+02	1.76E+02	4.10E+01	1.33E+01	3.22E-01
CPCT02070041T	1.51E+02	1.31E+02	3.24E+01	9.46E+00	1.27E+02	1.39E+01	1.51E+00
DRUP01140001T	2.26E+02	2.91E+02	8.55E+01	2.16E+01	2.20E+02	7.18E+00	5.38E+00
CPCT02210004T	5.32E+02	6.01E+02	3.39E+02	5.47E+01	9.83E+02	1.79E+01	1.04E+01
CPCT02050089T	5.05E+01	6.12E+01	3.14E+01	2.49E+01	4.03E+01	3.69E+00	1.85E+00
CPCT02050104T	1.25E+00	4.80E-01	2.23E+01	2.92E+01	5.70E-01	1.13E+01	4.51E+00
CPCT02050041T	3.93E+01	4.82E+01	2.51E+01	1.77E+01	3.81E+01	7.40E+00	3.26E+00
DRUP01050001T	1.57E+03	1.34E+03	2.29E+02	7.71E+01	1.21E+03	7.65E+01	1.24E+01
DRUP01050003T	7.84E+00	4.41E+01	1.27E+02	1.94E+02	4.45E+01	5.79E+01	3.14E+00
DRUP01070008T	1.15E+03	8.66E+02	5.32E+02	7.74E+01	1.61E+03	6.12E+01	1.99E+01
CPCT02370001T	5.40E+01	6.18E+01	4.26E+01	2.78E+01	6.17E+01	6.62E+00	3.23E+00
CPCT02020491T	1.31E+00	9.43E+00	9.26E+00	1.40E+01	1.28E+01	7.20E+00	1.07E+01
CPCT02020486T	3.94E+01	5.06E+01	3.11E+01	2.26E+01	3.85E+01	4.52E+00	2.34E+00
DRUP01010018T	2.36E+03	2.36E+03	2.51E+02	1.54E+02	1.63E+03	1.28E+02	1.99E+01
DRUP01050002T	2.37E+03	2.47E+03	1.45E+02	1.58E+02	1.46E+03	1.48E+02	1.89E+01
CPCT02040104T	2.18E+00	2.06E+01	1.06E+01	1.12E+01	2.46E+01	1.91E+01	1.19E+01
CPCT02070131T	2.75E+02	3.34E+02	1.42E+02	3.01E+01	3.77E+02	5.66E+00	5.20E+00
DRUP01070026T	6.21E+02	5.90E+02	2.92E+02	5.56E+01	8.20E+02	2.12E+01	8.66E+00
CPCT02380029T	1.34E+03	1.60E+03	4.28E+01	1.31E+02	9.45E+02	5.39E+01	1.01E+01
CPCT02360007T	4.79E+02	4.87E+02	2.31E+02	3.48E+01	6.87E+02	1.76E+01	6.09E+00
CPCT02340041T	3.76E+01	4.66E+01	1.78E+01	1.25E+01	3.04E+01	5.73E+00	2.18E+00
CPCT02040196T	4.23E+01	5.25E+01	2.23E+01	1.28E+01	4.29E+01	4.90E+00	2.20E+00
DRUP01110002T	8.98E+02	7.58E+02	1.84E+02	6.97E+01	9.78E+02	7.01E+01	1.39E+01
CPCT02220030T	9.49E+02	6.45E+02	4.16E+02	8.36E+01	1.35E+03	7.44E+01	1.64E+01
DRUP01050017T	8.15E+02	5.94E+02	8.99E+01	1.96E+01	5.06E+02	5.93E+01	2.53E+00
CPCT02030430T	1.50E+02	1.95E+02	6.69E+01	1.51E+01	2.16E+02	1.27E+01	2.34E+00
CPCT02070023TII	1.29E+03	8.21E+02	5.16E+02	6.65E+01	1.70E+03	8.53E+01	2.07E+01
WIDE01010443T	3.12E+01	3.37E+01	2.87E+01	2.41E+01	3.76E+01	5.52E+00	1.43E+00
WIDE01010470T	1.01E+02	1.30E+02	3.58E+02	4.09E+02	4.04E+01	1.56E+01	4.62E+00
DRUP01010167T	3.71E+02	2.34E+02	1.34E+02	3.08E+01	5.06E+02	2.00E+01	5.48E+00
CPCT02080048T	2.23E+02	1.93E+02	8.57E+01	4.50E+01	2.43E+02	2.60E+01	9.82E+00
DRUP01070119T	1.19E+02	1.35E+02	3.25E+01	2.78E+00	1.10E+02	5.09E+00	7.13E-01
WIDE01010539T	3.03E+01	3.63E+01	1.42E+01	1.35E+01	2.98E+01	4.83E+00	1.57E+00
WIDE01010557T	2.22E+00	8.95E+00	4.96E+00	1.30E+01	1.29E+01	8.68E+00	1.28E+01
WIDE01010578T	3.03E+02	3.62E+02	1.14E+02	2.73E+01	4.36E+02	1.39E+01	8.53E-01
WIDE01010648T	9.99E+00	1.01E+01	1.70E+01	1.72E+01	2.08E+01	5.75E+00	8.83E+00
