Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02170024T	12	0	69	52	85	1	7	67	70	13	65	0	0	58	17	0	0	53
CPCT02050342T	97	0	227	47	57	0	22	0	2	53	134	0	32	60	42	19	92	0
CPCT02130064T	15	28	103	102	91	9	9	0	27	56	153	0	0	0	16	10	0	0
CPCT02130063T	875	0	264	0	175	161	175	0	47	66	84	0	273	0	31	0	0	0
CPCT02080208T	22	0	20	25	53	5	14	0	22	31	88	0	17	6	1	0	0	0
CPCT02130066T	392	0	477	0	58	1	250	0	0	0	0	5	0	130	18	1	0	0
CPCT02130067T	0	181	269	0	91	20	68	0	203	0	26	0	0	0	10	97	0	0
CPCT02100172T	37	0	48	13	96	2	22	16	0	0	0	0	13	22	8	0	0	0
CPCT02130084T	24	0	180	0	38	28	53	0	43	22	45	32	0	7	11	0	0	123
CPCT02060220T	52	0	181	89	149	14	15	0	56	29	34	21	55	11	4	0	0	0
CPCT02100169T	510	0	158	171	109	29	0	489	0	42	100	241	0	0	52	46	0	0
CPCT02080218T	294	18	391	0	156	50	4	548	65	21	6	0	0	23	21	83	0	0
CPCT02050332T	46	0	78	0	33	227	15	0	4	143	0	41	0	0	11	29	3	0
DRUP01080031T	47459	22559	1788	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02040245T	293	49	70	738	33	0	25	75	19	30	20	0	6	0	65	0	87	0
DRUP01050048T	54299	51686	4291	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0
DRUP01010142T	29498	24142	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02080224T	24	29	0	196	67	6	38	0	34	61	45	0	49	0	7	0	0	0
CPCT02260021T	0	8	131	0	73	0	1	3	22	6	0	30	0	82	1	29	31	0
CPCT02020762T	0	0	86	0	136	33	20	0	16	42	0	30	1	10	0	56	0	0
CPCT02130116T	0	0	174	0	20	15	8	0	4	1	43	41	20	49	19	0	86	0
CPCT02050342TII	91	0	119	160	18	0	35	36	9	40	72	0	22	71	40	27	0	54
CPCT02130138T	59	20	15	241	46	17	53	0	3	50	143	0	38	0	0	0	8	0
CPCT02130139T	200	0	158	145	101	18	77	112	0	17	0	0	0	27	198	0	0	0
