"","type89","exemplar","type83","type476","tmp","cosmicID","cosine_v_cosmic","jinID","cosine_v_jin","KohID","cosine_v_koh","cosine_v_exemplar83","exemplar83","cosine_v_exemplar89","exemplar89","cosine_v_exemplar476","exemplar476","cosine_koh_v_exemplar_koh","exemplar_koh"
"26","InsDel17","Other::CPCT02250003T","C_ID17","InsDel17_476","H","ID17",0.913211851199624,"jinID17",0.819535100081141,"InD29",0.441944566016115,0.998055396137296,"Other::CPCT02250003T",0.999098612037334,"Other::CPCT02250003T",0.999651240336938,"Other::CPCT02250003T",0.955846149773534,"Kidney::SP102795"
"27","InsDel18","Head::CPCT02070053T","C_ID18","InsDel18_476","H,S","ID18",0.974862688197093,"jinID18",0.87862623225877,"InD18",0.997866554953489,0.926638815782996,"Head::CPCT02070053T",0.990826011212309,"Head::CPCT02070053T",0.994357147354016,"Head::CPCT02070053T",0.990328680599254,"Head::CPCT02070053T"
"28","InsDel19a","Bone.SoftTissue::CPCT02020325T","C_ID19","InsDel19a_476","H,S","ID19",0.934723603524427,"jinID23",0.862587672187798,"InD10",0.73910545675909,0.963050487422271,"Kidney::CPCT02180003T",0.956199772930876,"Bone.SoftTissue::CPCT02010408T",0.898058905377779,"Breast::CPCT02380034T",0.797738431994018,"Bone.SoftTissue::CPCT02080181TII"
"29","InsDel19b","Skin::CPCT02340081T","C_ID19","InsDel19b_476","H,S","ID19",0.934723603524427,"jinID23",0.862587672187798,"InD10",0.550464944722311,0.963050487422271,"Kidney::CPCT02180003T",0.99171174719966,"Skin::CPCT02340081T",0.978119192340663,"Other::CPCT02050192T",0.797738431994018,"Bone.SoftTissue::CPCT02080181TII"
"30","InsDel19c","Skin::CPCT02060041T","C_ID19","InsDel19c_476","H,S","ID19",0.934723603524427,"jinID23",0.862587672187798,"InD10",0.744076371059497,0.963050487422271,"Kidney::CPCT02180003T",0.841388768467176,"Other::CPCT02010697T",0.805215027866111,"Bone.SoftTissue::CPCT02340026T",0.797738431994018,"Bone.SoftTissue::CPCT02080181TII"
"31","InsDel23","Kidney::SP102957","C_ID23","","","ID23",0.988733344616106,"jinID5",0.728734139833822,"InD5",0.787390072120304,0.966191991081462,"Kidney::SP102957",0.960618679596976,"Kidney::SP102957",NA,NA,0.88685969559159,"Skin::SP124409"
"32","InsDel_A_alpha","Other::CPCT02330041T","ID_A","InsDel_A_alpha_476","H,S","ID9",0.852675372057394,"jinID3",0.904943855918706,"InD9a",0.919336320026093,0.909363213741027,"Breast::SP2293",0.857618041212665,"Breast::SP2293",0.725003777057357,"Lung::CPCT02010609T",0.916164924074037,"Breast::SP2293"
"33","InsDel_A_beta","Breast::SP2293","ID_A","InsDel_A_beta_476","H,S","ID9",0.852675372057394,"jinID3",0.904943855918706,"InD9a",0.965491583140524,0.909363213741027,"Breast::SP2293",0.928962481361076,"Breast::SP2293",0.944728428552219,"Breast::SP2293",0.916164924074037,"Breast::SP2293"
"34","InsDel_B","Liver::CPCT02020413T","ID_B","InsDel_B_476","H,S","ID5",0.775301890061746,"jinID18",0.686327526872365,"InD29",0.892325880597779,0.981409205127698,"Liver::SP50145",0.985553780843009,"Bone.SoftTissue::SP116578",0.960909445907157,"Liver::CPCT02020413T",0.955846149773534,"Kidney::SP102795"
"35","InsDel_C","Breast::CPCT02010772T","ID_C","","","ID23",0.787883368615443,"jinID18",0.56558230473009,"InD13",0.925576196874315,0.803793159285821,"Breast::CPCT02010772T",0.969795187946341,"Breast::CPCT02010772T",NA,NA,0.989141237028082,"Skin::SP124439"
"36","InsDel_D","Colon::CPCT02340014T","ID_D","InsDel_D_476","S","ID14",0.927074459637739,"jinID14",0.95340938295695,"InD12",0.949138309714641,0.989772746577813,"Colon::CPCT02340014T",0.975318022177494,"Colon::CPCT02040258T",0.992898287511297,"Colon::CPCT02050104T",0.985997843632141,"Colon::CPCT02050104T"
"37","InsDel_E","Uterus::DRUP01340014T","ID_E","InsDel_E_476","H ","ID16",0.744733593573247,"jinID25",0.82825441248977,"InD10",0.57478267728994,0.874208560882994,"Bone.SoftTissue::DRUP01340015T",0.960943721195381,"Uterus::DRUP01340014T",0.950365372463449,"Uterus::DRUP01340014T",0.797738431994018,"Bone.SoftTissue::CPCT02080181TII"
"38","InsDel_F","Skin::SP103894","ID_F","InsDel_F_476","H,S","ID4",0.928441806867565,"jinID4",0.986852391871934,"InD4a",0.712403539363777,0.962646710707664,"Skin::SP103894",0.986810513388783,"Skin::SP103894",0.991816243850662,"Other::CPCT02340010T",0.978429398753506,"CNS::SP48189"
"39","InsDel_G","Other::DRUP01030015T","ID_G","InsDel_G_476","H ","ID11",0.88020473693788,"jinID11b",0.936729598831414,"InD32",0.857078277218268,0.774052275795918,"Biliary::SP99317",0.928329826661787,"Other::DRUP01030015T",0.866109790898112,"Other::DRUP01030015T",0.917595270427025,"Lung::DRUP01270004T"
"40","InsDel_H","Bone.SoftTissue::CPCT02010648T","ID_H","InsDel_H_476","H","ID8",0.678544293115708,"jinID22",0.631018398372205,"InD6",0.757379256845976,0.769659825662181,"Breast::SP2714",0.850413851972058,"Bone.SoftTissue::CPCT02010648T",0.67599530061147,"Bone.SoftTissue::CPCT02010648T",0.973099321757497,"Ovary::SP62616"
"41","InsDel_I","CNS::SP107439","ID_I","","","ID23",0.561603738247129,"jinID25",0.928952639557499,"InD9b",0.665082715871105,0.959775759915374,"CNS::SP107439",0.995254467621926,"CNS::SP107439",NA,NA,0.911745858901143,"Bone.SoftTissue::SP121761"
"42","InsDel_J","Breast::DRUP01010037T","ID_J","InsDel_J_476","H,S","ID12",0.789015627345021,"jinID12",0.738823103119357,"InD7",0.831590077096052,0.896514474592634,"Prostate::SP112959",0.998585593823146,"Colon::DRUP01230004T",0.981033221205799,"Colon::CPCT02170035T",0.991802585916902,"Colon::SP21017"
"43","InsDel_K_alpha","Prostate::SP112817","ID_K","","","ID18",0.644066095919791,"jinID26",0.991819220357599,"InD20",0.660100328823997,0.587842143945264,"Bladder::CPCT02020717T",0.984695082908958,"Prostate::SP112817",NA,NA,0.952211666463103,"Colon::SP17905"
"44","InsDel_K_beta","Colon::SP17905","ID_K","InsDel_K_beta_476","H ","ID18",0.644066095919791,"jinID26",0.991819220357599,"InD20",0.894385543396946,0.587842143945264,"Bladder::CPCT02020717T",0.837689830645915,"Colon::SP17905",0.898470394808741,"Uterus::SP93227",0.952211666463103,"Colon::SP17905"
"45","InsDel_L","Pancreas::SP70106","ID_L","","","ID20",0.582177857741232,"jinID20",0.873733294725778,"InD30",0.969213303775498,0.596032536249842,"Pancreas::SP70106",0.66987386568394,"Pancreas::SP70106",NA,NA,0.671428811840966,"Pancreas::SP70106"
"46","InsDel_M","Prostate::SP112777","ID_M","","","ID9",0.671229038197409,"jinID25",0.70844045336847,"InD7",0.472397782784999,0.636390400629932,"Bone.SoftTissue::SP116419",0.99790446163642,"Prostate::SP112777",NA,NA,0.991802585916902,"Colon::SP21017"
"47","InsDel_N","Stomach::CPCT02030347T","ID_N","InsDel_N_476","H,S","ID12",0.581724094356316,"jinID12",0.530291968519896,"InD7",0.831590077096052,0.628075631805227,"Thymus::SP85495",0.998585593823146,"Colon::DRUP01230004T",0.996625929831161,"Colon::CPCT02120042T",0.991802585916902,"Colon::SP21017"
"48","InsDel_O","CNS::CPCT02100101T","ID_O","InsDel_O_476","H,S","ID20",0.684017022927988,"jinID21",0.593628320289162,"InD1",0.937662893137789,0.48420817501536,"Uterus::DRUP01070059T",0.957282138940814,"CNS::DRUP01050003T",0.964264784323166,"CNS::CPCT02100101T",0.956997499985148,"Biliary::DRUP01010095T"
"49",NA,NA,NA,"InsDel15_476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994759255835994,"WES::TCGA.EW.A2FV.01A.11D.A17D.09",NA,NA
"50",NA,NA,NA,"InsDel16_476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999999,"WES::TCGA.13.0889.01A.01W.0420.08",NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD2a",NA,NA,NA,NA,NA,NA,NA,0.975590633083282,"Kidney::SP123975"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD11",NA,NA,NA,NA,NA,NA,NA,0.920518741719689,"Prostate::SP112907"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD16b",NA,NA,NA,NA,NA,NA,NA,0.973048627604202,"Colon::SP18946"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD19",NA,NA,NA,NA,NA,NA,NA,0.933071594771272,"Ovary::SP102133"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD23",NA,NA,NA,NA,NA,NA,NA,0.948451391125051,"Other::SP109957"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD24",NA,NA,NA,NA,NA,NA,NA,0.679857357227364,"Other::WIDE01010510T"
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD26",NA,NA,NA,NA,NA,NA,NA,0.722471826564047,"Uterus::DRUP01070059T"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD27",NA,NA,NA,NA,NA,NA,NA,0.73139614849192,"Colon::CPCT02110011T"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD28",NA,NA,NA,NA,NA,NA,NA,0.770822554332952,"Breast::CPCT02140091T"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD28m",NA,NA,NA,NA,NA,NA,NA,0.795855033292072,"Other::CPCT02020559T"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD31",NA,NA,NA,NA,NA,NA,NA,0.747131143919626,"Bone.SoftTissue::CPCT02100091T"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,"InD33",NA,NA,NA,NA,NA,NA,NA,0.748242370889089,"Other::DRUP01170001T"
