Samples	ID83A	ID83B
CPCT02340020T	1.84E+00	1.83E+00
CPCT02080139T	9.39E-01	9.39E-01
CPCT02060061T	2.13E+00	2.13E+00
CPCT02070051T	1.76E+00	1.76E+00
CPCT02010408TII	1.80E+00	1.80E+00
CPCT02010429T	1.38E+00	1.38E+00
CPCT02020438T	1.89E+00	1.89E+00
CPCT02040072T	1.86E+00	1.86E+00
CPCT02020428T	1.13E+00	1.13E+00
CPCT02010494T	2.26E+00	2.26E+00
CPCT02070095T	1.91E+00	1.91E+00
DRUP01070006T	1.03E+00	1.03E+00
DRUP01070005T	2.43E+00	2.43E+00
CPCT02020465T	1.51E+00	1.51E+00
CPCT02030325T	1.75E+00	1.75E+00
CPCT02090011T	1.91E+00	1.91E+00
CPCT02060071T	2.02E+00	2.02E+00
DRUP01070010T	1.93E+00	1.93E+00
CPCT02070111T	1.32E+00	1.32E+00
CPCT02070098T	1.79E+00	1.79E+00
CPCT02090012T	3.43E+00	3.43E+00
DRUP01090001T	1.36E+00	1.36E+00
CPCT02070108T	1.50E+00	1.50E+00
CPCT02010548T	1.24E+00	1.24E+00
CPCT02090014T	1.48E+00	1.48E+00
CPCT02010559T	1.65E+00	1.65E+00
CPCT02080102T	2.45E+00	2.45E+00
CPCT02030422T	1.46E+00	1.46E+00
CPCT02070249T	2.45E+00	2.45E+00
DRUP01070029T	1.94E+00	1.94E+00
CPCT02070247T	1.86E+00	1.87E+00
DRUP01010053T	1.61E+00	1.61E+00
DRUP01100003T	3.91E+00	3.91E+00
CPCT02070257T	2.24E+00	2.24E+00
CPCT02340046T	1.62E+00	1.62E+00
DRUP01080008T	4.82E+00	4.82E+00
DRUP01340002T	1.98E+00	1.98E+00
CPCT02010715T	2.46E+00	2.46E+00
WIDE01010465T	1.28E+00	1.28E+00
WIDE01010487T	1.86E+00	1.86E+00
WIDE01010492T	2.13E+00	2.13E+00
WIDE01010497T	1.53E+00	1.53E+00
WIDE01010521T	2.87E+00	2.87E+00
WIDE01010519T	1.97E+00	1.97E+00
WIDE01010527T	4.62E-01	4.62E-01
WIDE01010517T	2.04E+00	2.04E+00
WIDE01010699T	1.22E+00	1.22E+00
WIDE01010713T	2.38E+00	2.38E+00
