Samples	ID83A	ID83B
CPCT02070313T	131	171
WIDE01010187T	711	184
WIDE01010169T	148	852
CPCT02100161T	816	1010
CPCT02070317T	62	356
WIDE01010239T	2	407
WIDE01010233T	39	597
CPCT02070322T	186	129
WIDE01010262T	672	139
WIDE01010267T	62	485
WIDE01010293T	56	21
WIDE01010167T	128	86
CPCT02060211T	355	244
DRUP01080012T	1520	308
WIDE01010356T	354	159
WIDE01010374T	280	69
WIDE01010393T	944	427
CPCT02090036T	0	668
CPCT02340018TII	1009	241
CPCT02340088T	211	183
WIDE01010452T	37	374
CPCT02080227T	239	227
CPCT02060230T	0	515
CPCT02020750T	130	49
CPCT02060241T	129	146
CPCT02060245T	214	183
CPCT02070319T	289	147
CPCT02010856T	245	317
CPCT02090052T	244	250
CPCT02090053T	146	141
CPCT02070357T	1272	981
CPCT02090057T	181	21
CPCT02270035T	90	311
CPCT02060254T	138	405
CPCT02070365T	120	139
CPCT02060258T	107	107
CPCT02080247T	273	307
CPCT02020794T	433	532
CPCT02020790T	195	139
CPCT02060253T	165	122
CPCT02020775T	105	195
CPCT02030513T	253	272
CPCT02380051T	117	105
CPCT02080248T	168	180
CPCT02070371T	315	80
CPCT02070366T	166	80
CPCT02050392T	238	122
CPCT02130147T	732	671
CPCT02020812T	52	224
CPCT02020820T	241	172
DRUP01090014T	74	621
CPCT02060240T	185	384
DRUP01060024T	307	795
CPCT02020848T	258	17
CPCT02010648T	385	96
CPCT02060130T	219	210
CPCT02010649T	7	573
CPCT02060127T	61	334
CPCT02340106T	218	182
CPCT02150034T	249	633
CPCT02030415T	1427	278
CPCT02060235T	106	161
CPCT02010625T	56	334
CPCT02060275T	84	265
CPCT02340026T	219	113
CPCT02090063T	119	187
CPCT02010549T	318	116
CPCT02060066T	133	102
CPCT02020450T	56	86
CPCT02010406TII	186	50
CPCT02050167T	103	197
CPCT02110036T	191	53
CPCT02010599T	99	188
CPCT02010595T	38	186
CPCT02100091T	1469	193
CPCT02060104T	100	12
CPCT02010600T	42	393
CPCT02110040T	446	815
CPCT02340018T	1000	212
CPCT02050225T	112	290
CPCT02040141T	255	202
CPCT02340020T	197	147
CPCT02080139T	175	14
CPCT02060061T	74	731
CPCT02070051T	212	136
CPCT02010408TII	167	201
CPCT02010429T	121	136
CPCT02020438T	369	180
CPCT02040072T	257	190
CPCT02020428T	0	331
CPCT02010494T	208	218
CPCT02070095T	144	285
DRUP01070006T	53	44
DRUP01070005T	215	348
CPCT02020465T	139	41
CPCT02030325T	85	348
CPCT02090011T	147	333
CPCT02060071T	160	496
DRUP01070010T	110	305
CPCT02070111T	130	54
CPCT02070098T	69	320
CPCT02090012T	261	288
DRUP01090001T	35	310
CPCT02070108T	228	95
CPCT02010548T	81	146
CPCT02090014T	47	459
CPCT02010559T	91	298
CPCT02080102T	250	439
CPCT02030422T	131	104
CPCT02070249T	822	305
DRUP01070029T	115	311
CPCT02070247T	204	59
DRUP01010053T	109	283
DRUP01100003T	2245	243
CPCT02070257T	41	623
CPCT02340046T	244	46
DRUP01080008T	645	457
DRUP01340002T	254	82
CPCT02010715T	268	117
WIDE01010465T	33	252
WIDE01010487T	200	134
WIDE01010492T	193	161
WIDE01010497T	207	72
WIDE01010521T	399	810
WIDE01010519T	651	145
WIDE01010527T	71	7
WIDE01010517T	247	56
WIDE01010699T	101	148
WIDE01010713T	30	848
