rowname	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N	ID_O	C_ID16	C_ID15	ID_P
INS:repeats:3:3	0.000125825	3.06E-05	2.44E-05	9.87E-05	2.92E-05	0.000188015	0.000290883	6.64E-05	5.37E-05	0.000625372	1.40E-06	5.45E-05	9.41E-05	1.27E-06	0.000847545	0.000115019	0.000146776	4.93E-05	0.000287536	2E-08	0.0003564	0.00070304	0.000128144	0.000211718	0.00019727	0.000388007	0.000120981	0.000795039	0.000153922	0.000768281	6.19E-05	0.000494534	0.011123987	0	0	6.21E-05
INS:repeats:3:4	5.14E-05	1.89E-05	1.45E-05	0.000185183	9.24E-06	0.000132899	0.000836692	0.00015542	0.000205119	0.000688444	2.00E-07	0.000281768	2.24E-05	0.000704353	7.55E-07	0.000761593	8.63E-05	0.000103435	0.000304574	3.14E-06	0.001390329	0.000555492	0.000103542	5.52E-05	0.000173294	0.000193435	0.0001945	0.000718613	8.90E-05	0.003546299	4.49E-05	0.000376561	0.003928037	0	0	5.62E-05
INS:repeats:3:5+	0.001118108	0.000160191	1.11E-05	0.000132655	2.23E-05	0.000162747	0.005563013	0.00019446	0.001690527	0.001698369	0.000258886	0.000607643	0.000418517	0.003181218	0.000551221	0.000760086	0.001244331	2.10E-05	0.000736085	9.4E-06	0.001830386	0.002431713	0.000433016	0.000588716	0.000285259	0.001135147	0.000124703	0.001524237	0.000568726	0.019955427	0.002875363	0.001163719	0.008834605	0	0	0.001735206
INS:repeats:4:0	0.002580181	0.000594208	0.00190416	0.000413581	0.001769637	0.000620467	7.47E-05	0.000848197	0.001432948	0.001452593	0.000259884	0.002519189	0.003755286	0.010125939	0.010037811	0.002003123	0.034023439	0.000786994	0.009503708	0	0.006066687	0.016555524	0.020611598	0.002600893	0.004898366	0.002159739	0.000136801	0.00804412	0.000454409	0.001127317	0.002433773	0.001606189	0.006607751	0	0	0.001218188
INS:repeats:4:1	0.001714053	3.66E-05	0.000409224	0.001018312	0.003277941	0.000397611	0.000315708	0.001762137	0.001881493	0.024971027	0.000247639	0.004818373	0.004988142	0.0012101	0.138115595	0.001234587	0.003732736	0.001260398	0.002088852	0.00100279	0.001297422	0.002664697	0.002292469	0.001802834	0.002223385	0.001818069	0.00320971	0.000566426	0.000228666	0.002970901	0.0029759	0.000435115	0.00109737	0	0	0.002028435
INS:repeats:4:2	0.000304795	4.49E-05	5.31E-05	0.000176546	0.00031419	0.000163984	0.000120511	0.000111025	0.000544239	0.001790887	1.66E-06	0.000524359	0.000154521	4.52E-05	0.005408458	0.00029285	0.002087177	0.000298223	0.000286695	9.458E-05	0.000978793	0.000760371	0.000419518	0.000240989	0.000374504	0.000572159	0.000197292	0.001030202	6.36E-05	7.59E-05	0.000143072	0.000493813	0.007672192	0	0	0.0001438
INS:repeats:4:3	0.000274028	4.44E-05	3.16E-05	0.000170563	6.41E-06	0.000344074	0.000740186	6.77E-05	0.000283632	0.000853363	1.06E-06	8.95E-05	3.41E-05	0.002537334	7.55E-07	0.00049334	0.000454336	1.14E-05	0.000362695	9.5E-07	0.00096715	0.000527383	0.000678103	0.000386899	0.000265337	0.000379092	8.00E-05	0.00126483	0.000221914	0.00120931	6.81E-05	0.000745334	0.018201912	0	0	0.000262343
INS:repeats:4:4	0.000418545	4.52E-05	2.20E-05	0.000227594	1.03E-05	7.43E-05	0.000477731	0.000241428	0.001781081	0.000361923	3.33E-07	0.000502439	0.000152843	0.000905355	9.81E-07	0.000611804	0.000354308	1.95E-05	0.000388242	0.00011835	0.001208168	0.001080416	0.000114857	0.00024883	0.000362968	0.000419652	0.000143316	0.001390805	0.000187716	0.000999451	6.88E-05	0.000871816	0.011682439	0	0	0.000382208
INS:repeats:4:5+	0.000986489	5.30E-05	2.53E-05	0.000201009	0.000125291	8.60E-05	0.000955649	0.0002828	0.001892055	0.001830121	4.66E-07	0.003940155	6.57E-05	0.000741706	1.36E-06	0.001346754	0.000307302	0.000174864	0.000842623	0.00016465	0.001595468	0.001309161	0.000759844	0.000212102	0.000496644	0.000721626	0.0001945	0.002767822	0.000411108	0.006792799	0.000100537	0.001733392	0.007375466	0	0	0.002014524
INS:repeats:5+:0	0.001153337	0.002512146	0.000598672	0.000261144	0.002655912	0.003442256	8.16E-05	0.001543502	0.002769076	0.002713056	0.000758756	0.001724855	0.002442556	0.045266351	0.007248276	0.01508201	0.296016713	0.002827391	0.019240493	4.416E-05	0.016232885	0.008662869	0.05495504	0.006785572	0.011644089	0.004910236	0.008289036	0.014232774	0.000836762	0.005984064	0.000102084	0.006679305	0.016154573	0	0	0.002425188
