rowname	InsDel1a	InsDel1b	InsDel1c	InsDel1d	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4a	InsDel4b	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_J	InsDel_K_beta	InsDel_N	InsDel_O
A[Del(C):R(9,)]G	0.000045385	0.00001543	1.86187477205948E-05	1.85173547016892E-05	0.00005728	0.00000141	0.00001535	0.00000458	0.00000342125	0.0000795275	0.0001621	0.00000141	3.02503249327517E-06	0.0000044525	0.00000431625	1.14903255064618E-05	2.80765471912067E-05	0.00000811	0.000556907	0.000015195	0.00005193	0	0	9.2897012459402E-07	2.91140295743886E-05	1.95224192333539E-05	0.000013790625	0.00001151	5.03463659627404E-05	5.42366718028655E-05	0.000016535	0.000001045	4.99722618582345E-05	0	0.000113127	7.30169443833496E-05	0.000068115	8.91892647497409E-06	7.19804800463171E-05	4.42464757199653E-05
A[Del(C):R(9,)]T	0.000036745625	0	9.70505486043148E-06	5.31280947806982E-07	0.0000404525	0.00000465	0.00002576	0.00000028	0.0000097175	0.000065805	0.00001462	0.00000001	3.81641258112734E-06	0.00003278859375	0.0000254046875	1.95026779859367E-05	3.11826993532432E-05	0.00000609	0.001187335	0.00000417	0.00000418	0	0	1.02733166719809E-05	0.000244334	3.96351678049058E-05	0.000024609375	0.00006587	7.29112176622842E-05	5.87994329816145E-05	0.00007813	0.0000131075	6.07962958954905E-05	0	6.29789924183771E-05	0.000132021	0.000064405	7.34408106593146E-06	4.76562137291956E-05	6.16994134349303E-05
G[Del(C):R1]A	0.000361299	0.00011159	0.001388223	0.000702486	0.001176295	0.00000632	0.00010216	0.00833445	0.012381776	0.002012728	0.00445288	0.0052381	0.006587044	0.002183758	0.0000547346875	0.003229309	0.010935919	0.00044893	0.001005264	0.000625795	0.00264677	0.003153709	0	0.001801929	0.000824131	0.002243332	0.001645835	0.00113626	0.025624034	0.00393833	0.007251035	0.001682658	0.000726291	0.00042554	0.005747952	0.000702237	0.000025715	4.59511823806795E-05	2.46231417601213E-05	0.000264565
G[Del(C):R1]G	0.00004996125	0.00000203	0.000303561	0.000250842	0.000485235	0.00002598	0.00007939	0.00151891	0.004137266	0.000720423	0.00047844	0.00065457	0.001125806	0.000554766	0.0000556790625	0.000517356	0.001285897	0.00000739	0.000937588	0.000481095	0.00011431	0.001508296	0	0.000226286	0.00012597	0.001507765	0.000666907	0.00046862	0.00063301	0.000853974	0.00123083	0.000093325	0.000824966	0.00001134	0.0004097	0.000559765	0.0001329	1.2676725916353E-05	0.000203132	0.000127337
G[Del(C):R1]T	0.000757313	0.00098348	0.0043593	0.003779665	0.003357173	0.00014042	0.00014655	0.00759698	0.010434161	0.00330551	0.00272788	0.00826134	0.005382155	0.007845051	0.000131008	0.004951099	0.034716768	0.00010236	0.001079927	0.00455305	0.01204837	0.003839298	0	0.001106076	0.000216616	0.003918938	0.001870489	0.00175785	0.066481869	0.003411283	0.006739895	0.005373745	0.001829824	0.00023021	0.016554716	0.001693262	0.00001766	0.000396487	5.65451364440264E-05	0.000603618
G[Del(C):R2]A	0.000874054	0.00002491	0.001057268	0.001857646	0.001225473	0.00002529	0.00020072	0.0201557	0.032006983	0.002470828	0.00300995	0.00536101	0.015866382	0.002493156	0.000077073125	0.002110967	0.00728945	0.00003746	0.001626236	0.00064377	0.00136558	0.017551076	0	0.001039736	0.000123296	0.003582747	0.002170788	0.00141295	0.029690999	0.005450019	0.005566875	0.001561205	0.001599177	0.0006088	0.009658552	0.002156671	0.0000414	1.87578121492899E-05	4.17416260150949E-05	0.000432676
G[Del(C):R2]G	0.000052445625	0.0000286	0.000155342	0.000200415	0.000126188	0.00000316	0.00005117	0.00231408	0.006294408	0.000322313	0.00172231	0.00082975	0.001894327	0.000266852	0.000028313125	0.000568421	0.00108359	0.00001429	0.000319658	0.00014047	0.0000354	0.006033183	0	0.000443611	4.64773747668165E-05	0.000930611	0.000363728	0.00066429	0.002893581	0.000925024	0.001420335	0.0000930325	0.000611318	0.00000037	0.000399675	0.001817831	0.0000128	8.59148337012365E-06	1.82130500220999E-05	6.669178933772E-05
G[Del(C):R2]T	0.00022713	0.0000775	0.000662109	0.001697753	0.001638595	0.00006111	0.00011497	0.00959666	0.019856819	0.00174938	0.00268269	0.00676959	0.00701135	0.002392178	0.000135716	0.00345336	0.010402553	0.00006556	0.002126349	0.002026195	0.00212821	0.012203483	0	0.00064323	0.000468912	0.001961205	0.001792403	0.00105877	0.023091135	0.002488114	0.007837335	0.001388525	0.000691456	0.00050023	0.006691893	0.001329677	0.00002518	0.000146866	7.48748527574728E-05	0.000336837
G[Del(C):R3]A	0.00018796	0.0000942	0.000689607	0.000980158	0.000584663	0.00000522	0.00029243	0.01196504	0.019739629	0.000651798	0.00303832	0.00310744	0.009459759	0.002243422	0.000139835	0.00096603	0.003941414	0.00002374	0.000614555	0.000171745	0.00034883	0.028246264	0	0.000207379	0.000205633	0.002146801	0.000938549	0.00062434	0.013281002	0.001261878	0.003348025	0.00055399	0.000768366	0	0.004099789	0.002057034	0.000067465	6.28378910736811E-05	4.2429826048318E-05	0.000269514
G[Del(C):R3]G	0.00004236875	0	0.000134853	0.000103467	0.00013622	0.00000645	0.00011002	0.00308709	0.005214003	0.000520665	0.00125293	0.00067125	0.001975906	0.000723788	0.000050243125	0.000635465	0.000692686	0.00001424	0.000457055	0.000147445	0.00040922	0.007541478	0	6.17491906347789E-06	0.000370333	0.000583349	0.00017214	0.00021314	0.001452955	0.000750806	0.000998335	0.000101935	0.000280484	0.0000008	0.000999479	0.001581862	0.000027255	9.87007073192063E-06	5.07170653055309E-06	6.29419399365651E-05
