indel476.class	indel89.class	indel83.class
A[Del(C):R2]A	[Del(C):R2]A	DEL:C:1:1
A[Del(T):R8]G	A[Del(T):R(8,)]G	DEL:T:1:5+
A[Del(T):R5]C	A[Del(T):R(5,7)]C	DEL:T:1:4
Del2:U2:R(5,9)	Del(2,):U(1,2):R(5,)	DEL:repeats:2:4
C[Del(T):R(9,)]A	C[Del(T):R(8,)]A	DEL:T:1:5+
G[Del(T):R(9,)]G	G[Del(T):R(8,)]G	DEL:T:1:5+
A[Del(T):R7]A	A[Del(T):R(5,7)]A	DEL:T:1:5+
A[Del(C):R4]T	[Del(C):R(4,5)]T	DEL:C:1:3
Del4:M1	Del(2,5):M1	DEL:MH:4:1
Del3:M2	Del(3,5):M2	DEL:MH:3:2
C[Del(T):R7]C	C[Del(T):R(5,7)]C	DEL:T:1:5+
A[Del(T):R8]A	A[Del(T):R(8,)]A	DEL:T:1:5+
C[Del(T):R5]A	C[Del(T):R(5,7)]A	DEL:T:1:4
A[Del(C):R1]T	[Del(C):R1]T	DEL:C:1:0
Del2:U2:R4	Del(2,8):U(1,2):R(2,4)	DEL:repeats:2:3
C[Del(T):R8]A	C[Del(T):R(8,)]A	DEL:T:1:5+
A[Del(T):R1]A	A[Del(T):R(1,4)]A	DEL:T:1:0
T[Del(C):R4]T	[Del(C):R(4,5)]T	DEL:C:1:3
C[Del(T):R8]C	C[Del(T):R(8,)]C	DEL:T:1:5+
G[Del(T):R7]A	G[Del(T):R(5,7)]A	DEL:T:1:5+
Del4:M3	Del(4,5):M(3,4)	DEL:MH:4:3
A[Del(T):R6]A	A[Del(T):R(5,7)]A	DEL:T:1:5+
Del(7,):M2	Del(6,):M2	DEL:MH:5+:2
Del3:U3:R2	Del(3,):U(3,):R2	DEL:repeats:3:1
G[Del(T):R6]G	G[Del(T):R(5,7)]G	DEL:T:1:5+
T[Del(C):R2]T	[Del(C):R2]T	DEL:C:1:1
G[Del(T):R8]A	G[Del(T):R(8,)]A	DEL:T:1:5+
Del6:M1	Del(6,):M1	DEL:MH:5+:1
A[Del(T):R8]C	A[Del(T):R(8,)]C	DEL:T:1:5+
G[Del(T):R6]C	G[Del(T):R(5,7)]C	DEL:T:1:5+
C[Del(T):R4]C	C[Del(T):R(1,4)]C	DEL:T:1:3
Del8:U(2,):R1	Del(5,):R1	DEL:repeats:5+:0
Del3:M1	Del(2,5):M1	DEL:MH:3:1
T[Del(C):R1]G	[Del(C):R(1,5)]G	DEL:C:1:0
G[Del(T):R4]A	G[Del(T):R(1,4)]A	DEL:T:1:3
G[Del(C):R1]A	[Del(C):R1]A	DEL:C:1:0
C[Del(T):R7]A	C[Del(T):R(5,7)]A	DEL:T:1:5+
Del4:U4:R2	Del(3,):U(3,):R2	DEL:repeats:4:1
Del(6,):U3:R(3,9)	Del(3,):U(3,):R(3,)	DEL:repeats:5+:1
Del(6,):U(4,):R(2,9)	Del(3,):U(3,):R2	DEL:repeats:5+:1
A[Del(T):R(9,)]C	A[Del(T):R(8,)]C	DEL:T:1:5+
G[Del(T):R2]C	G[Del(T):R(1,4)]C	DEL:T:1:1
A[Del(T):R7]C	A[Del(T):R(5,7)]C	DEL:T:1:5+
Del2:M1	Del(2,5):M1	DEL:MH:2:1
A[Del(C):R1]A	[Del(C):R1]A	DEL:C:1:0
A[Del(T):R3]C	A[Del(T):R(1,4)]C	DEL:T:1:2
C[Del(T):R6]A	C[Del(T):R(5,7)]A	DEL:T:1:5+
C[Del(T):R6]C	C[Del(T):R(5,7)]C	DEL:T:1:5+
Del(6,):U2:R(4,9)	Del(2,):U(1,2):R(5,)	DEL:MH:5+:4
Del2:U1:R(5,9)	Del(2,):U(1,2):R(5,)	DEL:repeats:2:1
T[Del(C):R1]A	[Del(C):R1]A	DEL:C:1:0
Del2:U(2,):R1	Del(2,4):R1	DEL:repeats:2:0
A[Del(T):R2]C	A[Del(T):R(1,4)]C	DEL:T:1:1
A[Del(T):R5]A	A[Del(T):R(5,7)]A	DEL:T:1:4
C[Del(T):R(9,)]G	C[Del(T):R(8,)]G	DEL:T:1:5+
G[Del(C):R(9,)]A	Del(C):R(6,9)	DEL:C:1:5+
A[Del(T):R7]G	A[Del(T):R(5,7)]G	DEL:T:1:5+
Del(10,):U(2,):R1	Del(5,):R1	DEL:repeats:5+:0
C[Del(T):R1]G	C[Del(T):R(1,4)]G	DEL:T:1:0
Del6:M2	Del(6,):M2	DEL:MH:5+:2
Del5:M3	Del(4,5):M(3,4)	DEL:MH:5+:3
G[Del(C):R1]G	[Del(C):R(1,5)]G	DEL:C:1:0
Del(10,):U1:R1	Del(5,):R1	DEL:repeats:5+:0
C[Del(T):R7]G	C[Del(T):R(5,7)]G	DEL:T:1:5+
Del2:U2:R3	Del(2,8):U(1,2):R(2,4)	DEL:repeats:2:2
A[Del(T):R(9,)]G	A[Del(T):R(8,)]G	DEL:T:1:5+
G[Del(T):R1]G	G[Del(T):R(1,4)]G	DEL:T:1:0
G[Del(T):R8]C	G[Del(T):R(8,)]C	DEL:T:1:5+
A[Del(C):R1]G	[Del(C):R(1,5)]G	DEL:C:1:0
A[Del(T):R4]A	A[Del(T):R(1,4)]A	DEL:T:1:3
Del(7,):M(6,)	Del(6,):M(4,)	DEL:MH:5+:5+
Del5:M2	Del(3,5):M2	DEL:MH:5+:2
G[Del(T):R5]A	G[Del(T):R(5,7)]A	DEL:T:1:4
C[Del(T):R1]C	C[Del(T):R(1,4)]C	DEL:T:1:0
Del3:U(2,):R1	Del(2,4):R1	DEL:repeats:3:0
C[Del(T):R4]A	C[Del(T):R(1,4)]A	DEL:T:1:3
T[Del(C):R2]A	[Del(C):R2]A	DEL:C:1:1
Del6:M5	Del(6,):M(4,)	DEL:MH:5+:5+
G[Del(T):R5]G	G[Del(T):R(5,7)]G	DEL:T:1:4
A[Del(C):R3]T	[Del(C):R3]T	DEL:C:1:2
G[Del(T):R1]C	G[Del(T):R(1,4)]C	DEL:T:1:0
G[Ins(T):R5]G	G[Ins(T):R(5,7)]G	INS:T:1:5+
C[Ins(T):R6]C	C[Ins(T):R(5,7)]C	INS:T:1:5+
T[Ins(C):R8]A	Ins(C):R(7,)	INS:C:1:5+
T[Ins(C):R8]T	Ins(C):R(7,)	INS:C:1:5+
Ins(5,):U1:R3	Ins(2,):R(2,4)	INS:repeats:5+:0
A[Ins(T):R5]A	A[Ins(T):R(5,7)]A	INS:T:1:5+
G[Ins(T):R1]G	G[Ins(T):R(0,4)]G	INS:T:1:1
A[Ins(C):R6]T	Ins(C):R(4,6)	INS:C:1:5+
A[Ins(T):R1]G	A[Ins(T):R(0,4)]G	INS:T:1:1
G[Ins(C):R4]G	Ins(C):R(4,6)	INS:C:1:4
C[Ins(T):R1]C	C[Ins(T):R(0,4)]C	INS:T:1:1
G[Ins(T):R0]G	G[Ins(T):R(0,4)]G	INS:T:1:0
A[Ins(C):R8]G	Ins(C):R(7,)	INS:C:1:5+
Ins3:U3:R(5,9)	Ins(2,):R(5,)	INS:repeats:3:5+
Ins(5,):R0	Ins(5,):R0	INS:repeats:5+:0
T[Ins(C):R7]T	Ins(C):R(7,)	INS:C:1:5+
G[Ins(C):R2]T	Ins(C):R(0,3)	INS:C:1:2
A[Ins(C):R2]T	Ins(C):R(0,3)	INS:C:1:2
Ins(5,):U(3,):R(5,9)	Ins(2,):R(5,)	INS:repeats:5+:3
A[Ins(T):R0]C	A[Ins(T):R(0,4)]C	INS:T:1:0
G[Ins(C):R8]T	Ins(C):R(7,)	INS:C:1:5+
G[Ins(C):R7]A	Ins(C):R(7,)	INS:C:1:5+
G[Ins(C):R0]G	Ins(C):R(0,3)	INS:C:1:0
