rowname	InsDel1a	InsDel1b	InsDel1c	InsDel_P	InsDel1d	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K_alpha	InsDel_K_beta	InsDel_L	InsDel_M	InsDel_N	InsDel_O	InsDel15	InsDel16
"A[Del(T):R(5,7)]C"	0.00455854	0.02597592	0.019649674	0.031240822	0.000758951	0.014532313	0.058355859	0.03056651	0.006343561	0.002106065	0.003863413	0.009895335	0.005346704	0.002694994	0.009861124	0.002118332	0.013617627	0.007792223	0.001255442	0.001674806	0.003124983	0.006998046	0.000622659	0.043276015	0.001617999	0.000539969	0.002020817	0.00171608	0.003214538	0.007690345	0.003664585	0.015936685	0.005516927	0.001016085	0.001133141	0.002452487	0.002167845	0.002637937	0.012521308	0.051904862	0.064675645	0.008290284	3.98E-06	0.012521308	0.001007443	0.023310023	0
"A[Del(T):R(5,7)]G"	0.003550447	0.014047386	0.006141478	0.022762411	0.001446691	0.011549134	0.085106696	0.011264716	0.005755069	0.003626531	0.000749298	0.0112964	0.005362288	0.004040363	0.024229048	0.001338611	0.017503284	0.009165237	0.000992135	0.001164795	0.001899518	0.007561077	0.000578731	0.062560449	0.002590163	0.001635835	0.000878986	0.003860137	0.002054971	0.001621203	0.00399571	0.017988818	0.005459658	0.00198259	0.001710727	0.003815846	0.002689301	0.014056379	0.020918709	0.029787512	0.066271202	0.00402428	0.011134717	0.020918709	0.000720745	0.018510901	0
"C[Del(T):R(5,7)]A"	0.003346108	0.024745274	0.004350274	0.016898615	0.005142057	0.00980488	0.069299892	0.008654162	0.012291409	0.005841633	0.002745841	0.005699562	0.005898801	0.001642282	0.022774902	0.002077125	0.013428533	0.005870928	0.001007028	0.00106062	0.007492942	0.008043692	0.000615566	0.000868733	0.001429498	0.000699179	0.000754608	0.002178836	0.000796653	0.002773194	0.002107147	0.015729825	0.006581731	0.003722529	0.000739018	0.006647321	0.002410102	1.26E-05	0.01697449	0.076449631	0.025876029	0.005043144	0.002335558	0.01697449	0.000556088	0.011517894	0
"C[Del(T):R(5,7)]C"	0.002156095	0.007004341	0.008966707	0.01734685	0.000304647	0.008538793	0.052004495	0.039475106	0.00944563	0.004812963	0.007231017	0.006347802	0.006561157	0.001196557	0.012777123	0.001274875	0.012946043	0.003384328	0.000228557	0.003793406	0.002079271	0.0064116	0.000188604	0.001368777	0.001494892	0.00021175	0.001564496	0.001310461	0.001920115	0.002846888	0.002878605	0.015784605	0.001987431	0.000918567	0.00084954	0.003225017	0.004226467	1.26E-05	0.015325622	0.049598863	0.015927241	0.004287263	0.002337549	0.015325622	0.000389961	0.033456739	0
"C[Del(T):R(5,7)]G"	0.001553478	0.002646716	0.002151459	0.013686411	0.002591782	0.007456188	0.051769549	0.007004243	0.006388339	0.005172955	0.001702697	0.005509346	0.004885679	0.001905084	0.019707636	0.002198784	0.01336075	0.002773955	9.93E-07	0.001667509	0.000975919	0.003666065	0.000646732	0.000318118	0.00102478	0.000397654	0.000538714	0.002493633	0.000651456	0.000810327	0.002135385	0.008643704	0.002201349	0.000648541	0.000389856	0.003363786	0.003649975	0.002868803	0.016491346	0.023473135	0.015859013	0.005258885	0.001118499	0.016491346	0.000227884	0.021390374	0
"G[Del(T):R(5,7)]A"	0.001868179	0.00560266	0.003190199	0.009978636	0.003807704	0.005383522	0.055257903	0.033428043	0.004643717	0.001687792	0.002348619	0.004940117	0.005126073	0.001888328	0.008658851	0.001734037	0.013684543	0.005403985	0.000499013	0.001943706	0.00595924	0.005548704	0.000334493	0.001504284	0.001356533	0.000571809	0.000569011	0.000730651	0.001330824	0.002365589	0.002725053	0.00356796	0.003032272	0.000526932	0.001925236	0.002119632	0.001701456	5.05E-06	0.012351369	0.035512774	0.019429483	0.003531382	0.001075691	0.012351369	0.00066303	0.007130125	0
"G[Del(T):R(5,7)]C"	0.001952545	0.003642098	0.00595268	0.010582464	0.000851107	0.005727997	0.033485458	0.028631541	0.005859735	0.001568004	0.002512098	0.004166822	0.004552181	0.001560919	0.004698983	0.000407813	0.009806549	0.004521354	0.000237824	0.00206333	0.001646931	0.004206531	0.000410219	0.000708183	0.001802073	0.000356691	0.002300143	0.001594554	0.000581637	0.002328504	0.002005839	0.01253	0.001283049	0.001554372	0.000340598	0.002168784	0.002052842	2.52E-06	0.008549662	0.03081184	0.011195971	0.001628294	6.47E-06	0.008549662	0.000583828	0.02166461	0
"G[Del(T):R(5,7)]G"	0.002032988	0.002627973	0.002019017	0.00928652	0.000337777	0.005206998	0.039195707	0.023319617	0.005113101	0.002540569	0.001641169	0.004528243	0.004054232	0.002337747	0.008092098	0.001786481	0.016544844	0.00409111	0.000762519	0.004938484	0.001465757	0.003780212	0.000787506	0.000789418	0.001828408	0.000801508	0.001364247	0.001762982	0.001307244	0.004011552	0.001622034	0.004939369	0.002107673	0.000501935	0.001230204	0.001307318	0.002179751	6.31E-06	0.009916451	0.015828518	0.01005457	0.001772384	0.001153343	0.009916451	0.000478107	0.019470725	0
"A[Del(T):R(8,)]A"	0.009158121	0.027901252	0.009920055	0.05363832	0.000273801	0.077867402	0.007779496	0.059145187	0.008364259	0.000642204	0.014211521	8.74E-05	7.35E-05	0.000873771	0.085600804	0.00170363	0.005297343	0.003094424	0.000932762	0.002188309	0.002311977	0.021487665	0.000914648	0.006955051	0.006205708	0.001204769	0.007128158	0.000185122	0.002898029	0.003332723	0.000244762	0.003597074	0.011137305	0.001961936	0.00057879	0.007701832	0.00428188	0.002309929	0.087865058	4.73E-06	0.011294473	0.003488076	0.005416782	0.087865058	0.005284699	0	0
"A[Del(T):R(8,)]C"	0.010576767	0.010984025	0.016697321	0.042080428	0.001498862	0.075839165	0.001524575	0.099856707	0.002094177	0.00039387	0.008382377	0.000523858	0.000132015	0.000916471	0.037079516	0.000710423	0.006168066	0.003969138	0.001492273	0.001235824	0.000529479	0.024017633	0.001252357	0.003516212	0.006955345	0.000954836	0.00514612	0.002751392	0.002959763	0.004430531	0.000601187	0.005250426	0.008084454	0.002704496	0.000480085	0.012103202	0.001740659	0.002462579	0.061933052	0.000687826	0.010282734	0.003871529	0.011300476	0.061933052	0.003956752	0	0
"A[Del(T):R(8,)]G"	0.00576086	0.004074483	0.004797427	0.020934744	0.000305028	0.037731124	0.003780469	0.032116886	0.000747486	0.000274248	0.003274335	0.000381266	9.83E-05	0.00100865	0.052947062	0.000924823	0.001726616	0.001745721	0.000728364	0.001436413	8.95E-05	0.008838024	0.000590465	0.00236969	0.003427239	0.000675281	0.002142593	0.000759467	0.002348933	0.001600466	0.000291431	0.004249451	0.004198402	0.000798186	0.000599868	0.005670349	0.002089627	3.78E-06	0.05883229	5.99E-06	0.008314257	0.005088812	0.110095762	0.05883229	0.001946838	0	0
"C[Del(T):R(8,)]A"	0.00762692	0.012896358	0.007343913	0.026626472	0.003519051	0.042975652	0.002560531	0.035182527	0.000891037	0.000517009	0.008775463	0.00013823	0.000144643	0.000393187	0.078106218	0.000456989	0.00104723	0.000883242	0.000456055	0.001538182	0.000645711	0.022040883	0.001212438	0.002637989	0.003579147	0.001188682	0.004221902	0.000646188	0.003925998	0.003482031	0.000435652	0.001222009	0.009773426	0.001935511	0.000452482	0.001533641	0.003867008	1.39E-05	0.059611705	6.62E-06	0.003893008	0.006631282	0.014971562	0.059611705	0.001272962	0	0
