column_name	original_column	file	file_stem	source	tissue_last	tissue_full	column_index	column_sum	raw_cluster_id	cluster_id	is_retained	is_medoid
hartwig_all.13	hdp.13	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	13	1	13	NA	FALSE	FALSE
hartwig_all.14	hdp.14	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	14	1	14	13	TRUE	FALSE
hartwig_all.15	hdp.15	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	15	1	15	14	TRUE	FALSE
hartwig_all.16	hdp.16	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	16	1	16	NA	FALSE	FALSE
hartwig_all.17	hdp.17	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	17	1	17	15	TRUE	FALSE
hartwig_all.18	hdp.18	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	18	1	18	NA	FALSE	FALSE
hartwig_all.19	hdp.19	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	19	1	19	16	TRUE	TRUE
hartwig_all.20	hdp.20	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	20	1	20	17	TRUE	TRUE
hartwig_all.21	hdp.21	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	21	1	21	18	TRUE	FALSE
hartwig_all.22	hdp.22	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	22	1	22	19	TRUE	FALSE
hartwig_all.23	hdp.23	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	23	1	23	NA	FALSE	FALSE
hartwig_all.24	hdp.24	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	24	0.999999999999999	24	20	TRUE	TRUE
hartwig_all.25	hdp.25	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	25	1	25	NA	FALSE	FALSE
hartwig_all.26	hdp.26	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	26	1	26	NA	FALSE	FALSE
hartwig_all.27	hdp.27	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	27	1	27	21	TRUE	FALSE
hartwig_all.28	hdp.28	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	28	1	28	22	TRUE	TRUE
hartwig_all.29	hdp.29	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	29	1	29	23	TRUE	FALSE
hartwig_all.30	hdp.30	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	30	1	30	NA	FALSE	FALSE
hartwig_all.31	hdp.31	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	31	1	31	24	TRUE	TRUE
hartwig_all.32	hdp.32	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	32	1	32	NA	FALSE	FALSE
hartwig_all.33	hdp.33	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	33	1	33	NA	FALSE	FALSE
hartwig_all.34	hdp.34	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	34	1	34	NA	FALSE	FALSE
hartwig_biliary.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Biliary.txt	CAP9.mSigHdp.Hartwig.Koh89.Biliary	hartwig	biliary	Biliary	35	1	3	3	TRUE	FALSE
hartwig_biliary.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Biliary.txt	CAP9.mSigHdp.Hartwig.Koh89.Biliary	hartwig	biliary	Biliary	36	1	35	25	TRUE	FALSE
hartwig_biliary.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Biliary.txt	CAP9.mSigHdp.Hartwig.Koh89.Biliary	hartwig	biliary	Biliary	37	1	17	15	TRUE	FALSE
hartwig_biliary.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Biliary.txt	CAP9.mSigHdp.Hartwig.Koh89.Biliary	hartwig	biliary	Biliary	38	1	24	20	TRUE	FALSE
hartwig_biliary.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Biliary.txt	CAP9.mSigHdp.Hartwig.Koh89.Biliary	hartwig	biliary	Biliary	39	1	36	NA	FALSE	FALSE
hartwig_bladder.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	40	0.999999999999999	37	26	TRUE	TRUE
hartwig_bladder.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	41	1	3	3	TRUE	FALSE
hartwig_bladder.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	42	1	38	27	TRUE	FALSE
hartwig_bladder.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	43	1	24	20	TRUE	FALSE
hartwig_bladder.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	44	1	39	NA	FALSE	FALSE
hartwig_bladder.6	hdp.6	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	45	1	11	11	TRUE	TRUE
hartwig_bladder.7	hdp.7	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	46	1	20	17	TRUE	FALSE
hartwig_bladder.8	hdp.8	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	47	1	40	28	TRUE	FALSE
hartwig_bladder.9	hdp.9	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	48	1	41	NA	FALSE	FALSE
hartwig_bladder.10	hdp.10	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	49	1	42	NA	FALSE	FALSE
hartwig_bladder.11	hdp.11	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	50	1	43	29	TRUE	FALSE
hartwig_bladder.12	hdp.12	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	51	1	44	NA	FALSE	FALSE
hartwig_bladder.13	hdp.13	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bladder.txt	CAP9.mSigHdp.Hartwig.Koh89.Bladder	hartwig	bladder	Bladder	52	1	45	NA	FALSE	FALSE
hartwig_softtissue.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	53	1	46	30	TRUE	TRUE
hartwig_softtissue.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	54	1	40	28	TRUE	FALSE
hartwig_softtissue.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	55	1	24	20	TRUE	FALSE
hartwig_softtissue.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	56	1	29	23	TRUE	FALSE
hartwig_softtissue.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	57	1	47	NA	FALSE	FALSE
hartwig_softtissue.6	hdp.6	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	58	1	14	13	TRUE	FALSE
hartwig_softtissue.7	hdp.7	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	59	0.999999999999999	6	6	TRUE	FALSE
hartwig_softtissue.8	hdp.8	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	60	1	48	31	TRUE	FALSE
hartwig_softtissue.9	hdp.9	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	61	1	49	NA	FALSE	FALSE
hartwig_softtissue.10	hdp.10	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue.txt	CAP9.mSigHdp.Hartwig.Koh89.Bone.SoftTissue	hartwig	softtissue	Bone.SoftTissue	62	1	50	NA	FALSE	FALSE
hartwig_breast.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	63	1	9	9	TRUE	FALSE
hartwig_breast.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	64	1	3	3	TRUE	FALSE
hartwig_breast.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	65	1	51	32	TRUE	FALSE
hartwig_breast.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	66	1	24	20	TRUE	FALSE
hartwig_breast.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	67	1	22	19	TRUE	FALSE
hartwig_breast.6	hdp.6	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	68	1	17	15	TRUE	FALSE
hartwig_breast.7	hdp.7	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	69	1	2	2	TRUE	FALSE
hartwig_breast.8	hdp.8	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	70	1	19	16	TRUE	FALSE
hartwig_breast.9	hdp.9	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	71	1	29	23	TRUE	FALSE
hartwig_breast.10	hdp.10	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	72	1	4	4	TRUE	FALSE
hartwig_breast.11	hdp.11	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	73	1	18	NA	FALSE	FALSE
hartwig_breast.12	hdp.12	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	74	1	52	33	TRUE	FALSE
hartwig_breast.13	hdp.13	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	75	1	14	13	TRUE	TRUE
hartwig_breast.14	hdp.14	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	76	1	53	NA	FALSE	FALSE
hartwig_breast.15	hdp.15	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	77	1	54	34	TRUE	FALSE
hartwig_breast.16	hdp.16	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	78	1	55	NA	FALSE	FALSE
hartwig_breast.17	hdp.17	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	79	1	56	35	TRUE	FALSE
hartwig_breast.18	hdp.18	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	80	1	48	31	TRUE	FALSE
hartwig_breast.19	hdp.19	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	81	1	57	36	TRUE	FALSE
hartwig_breast.20	hdp.20	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	82	1	58	NA	FALSE	FALSE
hartwig_breast.21	hdp.21	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	83	1	59	NA	FALSE	FALSE
hartwig_breast.22	hdp.22	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Breast.txt	CAP9.mSigHdp.Hartwig.Koh89.Breast	hartwig	breast	Breast	84	1	60	NA	FALSE	FALSE
hartwig_cns.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	85	1	22	19	TRUE	FALSE
hartwig_cns.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	86	1	61	NA	FALSE	FALSE
hartwig_cns.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	87	1	62	NA	FALSE	FALSE
hartwig_cns.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	88	1	63	37	TRUE	FALSE
hartwig_cns.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	89	1	64	38	TRUE	FALSE
hartwig_cns.6	hdp.6	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	90	0.999999999999999	24	20	TRUE	FALSE
hartwig_cns.7	hdp.7	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	91	0.999999999999999	21	18	TRUE	FALSE
hartwig_cns.8	hdp.8	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	92	1	65	NA	FALSE	FALSE
hartwig_cns.9	hdp.9	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.CNS.txt	CAP9.mSigHdp.Hartwig.Koh89.CNS	hartwig	cns	CNS	93	1	66	NA	FALSE	FALSE
hartwig_colon.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	94	1	3	3	TRUE	FALSE
hartwig_colon.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	95	1	32	NA	FALSE	FALSE
hartwig_colon.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	96	1	1	1	TRUE	TRUE
hartwig_colon.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	97	1	67	NA	FALSE	FALSE
hartwig_colon.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	98	1	20	17	TRUE	FALSE
hartwig_colon.6	hdp.6	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	99	1	17	15	TRUE	FALSE
hartwig_colon.7	hdp.7	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	100	1	15	14	TRUE	TRUE
hartwig_colon.8	hdp.8	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	101	1	46	30	TRUE	FALSE
hartwig_colon.9	hdp.9	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.Colon.txt	CAP9.mSigHdp.Hartwig.Koh89.Colon	hartwig	colon	Colon	102	1	2	2	TRUE	FALSE
