	SP90989	SP117290	SP116797	SP84743	SP84982	SP9816	SP124439	SP107363	SP97194	SP5559	SP28659	SP107439	SP102581	SP23925	SP2293	SP53810	SP52667	SP79243	SP116578	SP121761	SP80754	SP96116	SP102133	SP30113	SP67609	SP116276	SP50097	SP116919	SP114898	SP81312	SP92364	SP125584	SP22031	SP26649	SP8831	SP99013	SP107784	SP94741	SP90629	SP94933	SP2155	SP85818	SP1305	SP56553	SP62616	SP107371	SP29559	SP84384	SP57189	SP48189	SP102973	SP69077	SP112907	SP27825	SP55235	SP80615	SP125778	SP80217	SP21017	SP111114	SP54113	SP25494	SP103894	SP82103	SP56704	SP53618	SP116715	SP124369	SP102045	SP79427	SP111031	SP18787	SP31126	SP93540	SP90125	SP94348	SP79998	SP111175	SP107012	SP112290	SP93227	SP77956	SP21400	SP116520	SP112985	SP49229	SP114980	SP96118	SP110847	SP99325	SP114916	SP99329	SP99197	SP59368	SP101740	SP69898	SP17172	SP81137	SP17905	SP89909	SP31030	SP111119	SP102143	SP33688	SP110851	SP102897	SP123846	SP86775	SP114968	SP57629	SP16886	SP19295	SP63546	SP116819	SP102035	SP114973	SP125746	SP125732	SP114917	SP114937	SP114944	SP112777	SP124384	SP114903	SP975	SP105018	SP135287	SP90209	SP59803	SP94332	SP92659	SP112947	SP116545	SP23502	SP25350	SP49114	SP116365	SP123975	SP98953	SP5052	SP23775	SP59448	SP116676	SP111170	SP116589	SP101670	SP103080	SP107076	SP110242	SP125752	SP84392	SP96126	SP95126	SP24135	SP1365	SP57735	SP102957	SP3631	SP18310	SP112817	DRUP01010025T	CPCT02050439T	CPCT02340026T	CPCT02340014T	DRUP01330020T	CPCT02070336T	CPCT02050424T	CPCT02340081T	CPCT02020865T	DRUP01030028T	CPCT02020597TII	DRUP01340014T	WIDE01010510T	CPCT02100089T	CPCT02080153T	CPCT02020815T	CPCT02120078T	CPCT02450014T	CPCT02020413T	CPCT02070357T	CPCT02070053T	CPCT02010605T	CPCT02100101T	CPCT02040317T	CPCT02030278T	CPCT02250003T	DRUP01030015T	CPCT02050117T	CPCT02070466TII	WIDE01010470T	CPCT02210064T	CPCT02010648T	DRUP01050003T	CPCT02100090T	CPCT02050149T	DRUP01020002T	CPCT02030351T	CPCT02020476T	DRUP01010142T	WIDE01010075T	CPCT02130170T	WIDE01010028T	CPCT02080273T	CPCT02220047T	CPCT02100092T	CPCT02140107T	CPCT02050436T	CPCT02080045T	CPCT02070436T	CPCT02010408T	CPCT02060033T	CPCT02010523T	CPCT02020436T	DRUP01010022T	CPCT02040329T	CPCT02050104T	CPCT02010772T	CPCT02070465T	CPCT02030430T	CPCT02030516T	CPCT02030421T	CPCT02220023T	CPCT02010579T	CPCT02340022T	CPCT02160003T	CPCT02030447T	CPCT02060013T	CPCT02020561T	DRUP01230001T	CPCT02130140T	DRUP01340003T	CPCT02050349T	WIDE01010372T	CPCT02080157T	CPCT02440020T	CPCT02360007T	CPCT02060224T	CPCT02020413TII	CPCT02220069T	CPCT02050385T	CPCT02050211T	WIDE01010208T	WIDE01010040T	CPCT02340010T	CPCT02010867T	CPCT02310017T	CPCT02120032T	CPCT02340030T	CPCT02030532T	CPCT02150052T	DRUP01070080T	CPCT02100141T	CPCT02130144T	CPCT02130131T	CPCT02220045T	CPCT02160058T	CPCT02210016T	CPCT02040280TII	CPCT02130146T	WIDE01010134T	CPCT02010635T	WIDE01010556T	CPCT02370010T	CPCT02380029T	CPCT02380026T	CPCT02070024T	CPCT02060054T	CPCT02050370T	CPCT02010373T	WIDE01010071T	CPCT02130184T	CPCT02070373T	CPCT02140057T	CPCT02070069TII	CPCT02010786T	CPCT02011068T	CPCT02120021T	CPCT02180025T	CPCT02080110T	CPCT02180009T	CPCT02090032T	CPCT02160021T	DRUP01030018T	CPCT02160034T	CPCT02450007T	DRUP01010078T	CPCT02340110T	CPCT02070043T	CPCT02180033T	CPCT02060264T	CPCT02070192T	CPCT02060265T	CPCT02070058T	CPCT02060140T	CPCT02040114T	WIDE01010026T	CPCT02100044T	CPCT02060225T	DRUP01070015T	CPCT02040299T	CPCT02080078T	CPCT02030451T	CPCT02050390T	CPCT02190055T	CPCT02011010T	CPCT02070244T	CPCT02070353T	CPCT02060291T	CPCT02020789T	CPCT02070131T	CPCT02070450T	CPCT02070145T	DRUP01040016T	CPCT02110059T	WIDE01010539T	CPCT02010486T	WIDE01010016T	CPCT02080120T	CPCT02310006T	CPCT02050170T	CPCT02010530T	DRUP01050017T	CPCT02040113T	CPCT02240008T	CPCT02060246T	CPCT02010715T	CPCT02010662T	CPCT02140012T	CPCT02090019T	CPCT02080294T	DRUP01070038T	WIDE01010565T	WIDE01010404T	DRUP01070009T	CPCT02050192T	CPCT02010505T	CPCT02050089T	WIDE01010228T	DRUP01010106T	CPCT02020599T	CPCT02180068T	CPCT02020428T	CPCT02390002T	DRUP01340015T	CPCT02010794T	CPCT02370012T
T[Ins(C):R1]T	2	1	0	6	4	0	1	1	2	2	1	0	0	0	0	3	1	0	0	0	0	1	5	1	0	0	3	0	0	6	6	0	1	0	0	0	2	0	0	16	0	0	1	5	0	1	0	0	2	1	2	0	0	0	1	8	1	0	4	0	4	0	2	0	4	0	1	3	1	0	1	0	1	3	1	2	0	4	2	0	3	210	3	0	0	0	0	0	1	15	1	0	0	2	1	0	1	6	8	2	1	0	0	1	0	2	0	0	1	0	3	1	0	1	1	0	2	1	0	0	0	1	5	0	5	1	0	6	0	1	5	0	0	0	0	1	1	2	0	0	2	1	0	1	0	0	4	1	8	0	3	1	0	2	1	2	1	1	4	0	12	0	0	8	23	2	11	1	4	1	3	0	0	1	0	9	0	193	4	1	0	0	3	2	0	8	0	2	2	7	0	0	20	0	0	1	1	1	4	1	1	6	12	0	0	1	0	0	2	0	1	1	0	7	3	10	2	0	4	0	0	0	0	0	0	1	1	1	15	9	8	2	6	12	1	1	2	1	2	2	10	1	1	0	12	5	2	0	25	4	6	4	1	2	0	3	22	6	21	0	0	1	4	4	1	3	3	4	6	0	2	2	4	1	11	0	0	6	0	1	3	0	19	3	0	8	2	1	1	0	4	0	1	2	3	2	1	1	0	1	1	2	1	1	2	1	0	1	2	2	3	0	11	0	3	1	3	0	0	7	3	3	8	2	0	1	1	0	1	0	2	2	0	2	0	0	2	1	1	0	2	2	2	0	2	3
T[Ins(C):R2]A	1	0	0	0	1	1	0	0	4	0	0	0	1	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	2	2	10	0	0	1	1	0	0	0	2	1	1	1	1	0	0	1	3	1	0	1	1	5	0	1	0	0	0	1	1	1	0	1	0	1	3	0	1	0	4	1	0	5	106	0	0	0	1	0	0	2	7	0	0	1	0	0	0	1	1	6	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	5	0	0	2	2	0	1	0	0	1	1	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	1	6	0	1	0	0	0	0	1	2	0	1	0	5	0	0	1	18	3	1	1	0	0	1	0	0	0	1	4	0	48	4	2	1	1	1	0	0	2	0	1	0	1	1	0	5	0	0	0	0	0	1	1	0	1	6	0	0	1	1	2	0	2	1	1	1	1	0	1	1	0	1	1	0	2	1	0	2	0	0	0	2	3	1	0	1	1	1	3	0	2	1	1	2	0	2	1	8	0	2	0	18	1	5	0	0	0	0	0	5	3	5	0	0	2	2	2	0	1	0	0	3	0	2	1	0	0	1	0	0	0	0	1	0	0	4	2	0	8	0	0	3	0	3	0	0	0	1	0	2	0	3	0	0	1	0	2	4	4	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0
T[Ins(C):R2]G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	2	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	3	0	1	0	1	0	0	0	0	0	0	3	0	17	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	2	1	1	0	1	0	0	0	2	1	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
T[Ins(C):R2]T	0	1	0	3	1	3	1	0	4	0	0	0	0	1	0	3	0	0	0	0	0	0	3	3	0	0	2	0	0	1	3	0	1	0	1	0	0	3	0	11	0	0	1	2	1	0	1	5	3	0	1	0	0	0	1	7	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	2	2	1	1	0	0	1	0	11	131	5	0	0	0	0	0	1	14	0	0	1	0	1	0	1	0	8	1	0	1	0	0	1	4	0	0	0	0	4	0	1	1	1	0	0	1	0	0	0	0	2	0	1	2	1	7	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	4	0	6	1	0	1	1	2	2	0	1	0	7	1	0	1	22	2	9	1	3	0	0	0	1	0	0	7	1	78	1	0	0	1	3	1	0	7	1	0	2	7	1	2	29	0	1	1	2	1	2	1	1	0	7	1	0	2	0	1	2	0	1	0	0	5	1	7	0	1	1	0	0	3	0	3	1	2	0	0	5	4	1	1	2	0	1	4	1	0	2	3	4	0	0	0	13	1	1	1	55	1	10	0	0	1	0	0	7	4	22	1	0	3	0	1	2	1	1	0	7	1	1	1	1	0	4	0	0	1	1	0	2	0	4	1	0	6	0	0	5	1	3	1	0	1	0	0	0	1	1	3	0	0	1	1	0	3	1	0	0	3	0	0	6	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	3	0	2	0	0	0	1	0	0	1	2	0	1	0	0	0	1	1
T[Ins(C):R3]A	3	0	0	0	3	0	0	0	2	0	1	0	0	0	0	4	0	0	0	0	1	2	4	5	1	0	1	0	1	0	5	0	0	0	1	0	0	1	0	14	0	0	2	5	0	0	0	11	6	0	0	0	0	0	5	2	0	0	6	1	7	0	1	0	3	4	0	0	0	0	0	0	1	3	0	2	0	1	5	2	13	50	1	0	0	0	0	1	1	21	0	1	1	0	1	0	0	2	4	1	0	1	0	0	0	1	0	0	1	0	2	2	0	0	0	0	5	0	0	2	2	0	2	2	1	0	7	9	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	2	0	0	1	1	14	0	15	1	0	0	0	1	1	0	6	0	12	0	0	0	26	2	1	0	1	0	0	2	2	0	0	10	0	97	2	2	0	0	4	0	0	9	0	0	0	3	0	0	19	0	1	0	2	1	3	1	0	0	8	0	0	0	2	0	0	0	0	3	0	4	0	1	0	0	1	1	0	7	0	1	0	2	0	0	3	6	0	8	1	4	1	3	1	0	0	0	6	0	0	0	14	1	2	1	32	1	15	2	0	0	1	0	6	7	15	0	0	2	0	3	1	1	0	0	12	0	2	2	3	0	10	0	0	0	0	1	0	0	14	2	0	10	0	2	0	0	8	0	0	0	0	1	2	0	15	3	0	0	1	2	2	0	0	2	0	4	0	0	5	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	3	0	1	0	6	2	0	0
T[Ins(C):R3]G	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	2	0	0	0	5	2	0	0	0	0	0	1	0	0	0	2	0	6	1	1	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	1	0	2	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	1	1	0	1	0	3	0	0	0	9	0	0	0	0	0	0	0	1	0	0	5	0	17	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	3	1	0	0	4	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	1	3	0	0	0	1	0	2	0	1	0	1	0	0	0	0	7	0	0	0	9	0	4	1	0	0	0	0	12	6	6	2	0	1	0	0	1	7	0	0	3	1	0	0	1	0	3	0	0	0	0	0	0	0	11	0	0	5	1	1	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	2	1	0	0	3	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1
T[Ins(C):R3]T	2	0	0	4	4	0	0	1	2	0	1	0	0	1	0	5	2	0	0	0	0	0	9	8	0	0	0	0	0	3	6	0	1	0	0	0	0	7	0	17	1	0	0	6	0	0	0	9	5	0	3	0	1	1	4	9	2	0	3	0	4	0	0	0	4	3	0	1	1	0	2	0	2	7	0	3	0	0	8	0	16	57	2	1	0	0	1	1	0	20	0	0	0	0	0	1	1	1	10	3	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	4	0	0	0	0	0	2	0	0	0	3	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	10	0	9	0	0	0	0	1	0	0	6	0	18	1	0	1	35	1	3	0	1	0	0	0	0	0	0	13	1	104	0	0	0	0	6	0	0	7	1	1	0	4	0	0	43	0	0	0	0	0	4	3	1	0	18	0	0	2	2	1	0	0	0	1	1	1	2	1	0	0	0	1	1	7	0	3	1	0	1	1	1	9	2	0	1	11	1	3	1	0	0	1	6	0	0	0	13	5	7	1	57	0	15	0	1	0	1	1	4	6	25	2	0	1	0	8	1	6	1	2	4	2	0	2	1	1	6	1	2	0	0	0	1	2	13	0	0	4	0	1	0	0	6	2	0	0	0	0	1	0	8	0	1	0	1	0	0	0	1	0	0	1	0	0	7	0	1	0	0	0	1	6	3	6	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	4	0	0	0	2	0	1	1
T[Ins(C):R4]A	48	1	0	3	51	0	0	0	1	0	0	0	0	0	0	10	0	0	0	1	0	3	80	14	0	0	2	0	0	5	94	0	1	0	1	0	1	47	1	175	1	0	2	11	0	0	1	160	3	0	0	0	0	0	7	4	1	0	122	7	7	1	0	1	4	8	2	0	0	1	2	2	0	72	0	50	0	7	25	1	42	12	5	0	0	1	0	24	3	76	1	0	5	0	0	1	50	1	4	8	4	1	0	0	0	11	0	0	1	0	1	2	0	0	0	0	41	16	1	1	1	0	30	0	0	2	95	37	0	0	1	0	0	4	0	0	0	5	0	1	0	0	0	2	0	0	0	0	122	0	116	0	0	1	1	3	0	0	99	0	197	0	0	0	131	1	1	1	1	0	2	0	0	0	1	18	0	6173	0	1	0	0	33	2	1	5	0	1	0	11	0	0	50	0	1	0	0	0	47	14	0	0	68	0	0	1	0	1	1	0	1	1	0	50	5	1	1	0	12	1	0	9	1	1	1	0	1	0	20	54	0	1	3	50	0	22	0	1	0	0	87	1	0	0	12	0	15	0	78	1	80	2	2	0	0	0	181	10	114	1	1	3	0	42	0	11	3	0	12	1	1	0	4	0	83	1	1	0	0	0	0	1	176	4	0	16	1	0	8	0	14	0	0	0	0	1	2	0	36	3	0	1	0	0	2	0	0	0	0	3	0	1	133	1	3	0	1	0	0	16	2	38	0	0	0	0	0	2	0	0	11	0	1	1	0	0	2	3	5	1	5	0	1	1	0	3
T[Ins(C):R4]G	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	12	1	0	0	1	0	0	1	2	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	5	1	3	0	0	1	0	6	3	0	0	0	0	0	1	0	19	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	2	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	160	0	0	0	0	2	1	0	1	0	0	0	0	0	0	3	0	2	0	0	0	1	1	0	0	9	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	8	0	5	0	0	0	0	4	0	0	0	5	1	1	0	8	0	14	0	0	0	1	0	10	2	9	0	0	1	0	6	1	3	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	13	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
T[Ins(C):R4]T	19	2	0	0	34	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	34	7	0	0	0	0	0	0	40	0	0	0	0	0	2	28	0	84	0	0	0	4	0	0	0	83	0	0	0	0	1	0	3	6	1	0	69	1	2	1	0	2	4	1	0	0	0	0	2	1	0	37	0	24	0	2	13	0	26	14	3	0	0	0	0	7	1	49	0	0	1	0	1	1	29	3	10	7	1	0	0	0	0	6	0	0	1	1	1	1	0	0	0	0	17	16	0	0	0	0	16	0	1	0	46	26	0	1	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	1	60	1	60	2	0	0	0	1	0	0	66	0	77	0	0	4	90	0	0	0	0	0	0	2	0	1	1	6	0	7786	0	2	1	0	18	0	0	5	1	0	1	0	2	2	40	0	0	0	1	0	22	9	0	0	47	1	0	1	0	0	0	0	0	0	0	19	1	1	1	0	5	0	0	2	2	1	0	1	0	2	13	28	5	2	2	21	1	18	1	0	2	0	41	0	0	0	16	4	5	0	74	0	31	1	1	0	1	0	81	3	53	0	0	1	0	24	0	12	1	0	8	1	0	1	0	0	49	0	0	0	0	0	0	0	94	1	0	13	0	0	8	0	12	1	0	0	0	0	3	0	21	1	0	0	0	0	0	0	1	0	1	7	1	0	55	1	1	0	1	0	0	13	0	24	4	0	0	0	0	0	0	0	11	0	0	0	0	0	3	1	0	1	2	0	0	0	2	4
T[Ins(C):R5]A	13	0	0	2	17	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	31	7	0	0	0	0	0	3	32	0	4	0	0	2	0	16	0	77	0	0	2	5	0	1	0	49	2	0	1	0	0	0	2	3	1	0	38	2	4	0	1	1	2	0	0	0	0	0	0	2	0	24	1	16	0	4	8	1	38	6	3	0	0	0	1	4	1	50	1	0	1	0	1	0	5	0	13	5	0	1	0	1	0	7	0	0	0	1	2	1	0	0	0	0	13	3	1	0	0	0	7	0	0	0	27	34	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	53	0	38	1	0	0	0	0	0	0	51	0	54	1	0	0	72	0	0	0	1	0	1	2	0	0	0	7	0	2246	0	0	0	2	10	4	0	0	0	0	1	9	2	0	62	0	1	0	0	0	15	4	0	0	23	0	0	1	1	0	0	0	0	1	0	19	1	0	0	0	3	0	1	8	0	4	2	0	0	2	3	22	0	3	0	13	0	14	2	0	1	0	30	0	0	0	5	1	7	1	72	0	45	1	3	1	0	0	73	5	46	0	0	0	0	27	0	12	0	0	10	0	0	0	0	0	35	2	0	0	0	0	0	0	64	4	0	9	0	0	7	0	22	0	0	0	0	0	1	0	18	1	0	0	0	1	0	0	0	0	0	13	1	0	40	0	4	0	0	0	0	6	4	11	1	0	0	0	0	1	0	2	9	0	1	0	0	0	1	0	1	0	2	0	2	6	0	2
T[Ins(C):R5]G	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	1	11	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	1	2	0	8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	3	0	1	5	0	4	0	1	0	0	0	0	1	0	9	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	7	0	8	2	0	0	0	0	0	0	10	0	9	0	0	0	18	0	0	0	0	1	0	2	0	0	0	1	0	243	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	2	0	0	1	3	4	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	5	0	1	0	1	0	0	2	0	0	0	2	1	1	0	6	0	7	1	0	0	1	0	11	2	14	0	0	0	0	2	0	4	0	0	2	1	0	0	2	0	6	0	0	1	0	1	0	0	15	0	0	1	0	0	4	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
T[Ins(C):R5]T	18	0	0	1	13	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	1	1	38	2	0	0	0	0	0	4	42	0	0	0	0	0	1	22	1	78	0	0	0	4	0	0	0	66	2	0	0	0	1	0	1	5	1	0	33	4	1	1	1	1	2	1	1	0	0	0	0	2	0	39	0	17	0	2	12	0	36	4	0	0	0	0	1	2	1	58	0	0	1	1	0	0	14	1	8	3	0	1	0	1	0	5	0	0	0	0	4	3	0	0	0	0	22	7	0	0	0	0	12	0	0	1	24	33	1	0	2	0	0	1	0	0	0	1	0	0	0	3	2	0	0	0	0	0	81	0	55	6	0	0	0	0	0	0	66	0	47	2	0	0	125	0	0	0	0	0	1	0	1	0	0	1	0	1678	0	0	0	0	11	0	0	0	1	1	1	2	1	0	63	0	0	0	0	0	22	7	0	0	32	0	0	0	0	0	1	0	0	3	0	11	1	0	0	0	6	0	0	3	1	2	0	0	0	1	12	26	0	0	0	25	1	13	0	0	0	1	35	0	0	1	10	6	10	1	100	1	37	0	1	0	0	0	34	5	50	0	1	2	0	15	2	10	0	0	5	1	1	0	1	0	34	1	1	0	0	0	0	0	74	0	0	6	0	0	7	0	15	1	0	1	0	2	2	0	24	0	0	0	1	0	0	1	0	0	0	12	1	0	65	1	4	0	0	0	1	8	1	15	2	0	0	0	0	1	2	0	7	0	0	0	1	0	2	0	3	1	2	0	1	0	0	0
T[Ins(C):R6]A	17	3	0	1	28	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	45	1	0	0	0	0	0	1	47	0	0	0	0	0	1	36	0	102	0	0	0	3	0	0	0	64	2	0	0	0	0	0	1	8	3	0	58	1	1	1	0	1	1	1	2	1	0	0	3	0	0	39	0	32	0	4	15	0	62	1	6	0	0	0	0	11	0	69	1	0	0	1	1	1	22	1	9	5	2	0	0	0	1	9	0	0	1	1	4	1	0	0	0	0	25	10	3	2	1	0	20	0	0	2	42	55	0	0	1	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	70	0	68	2	0	0	1	0	0	0	67	0	77	1	0	0	189	0	1	0	0	0	0	4	1	0	1	3	1	1783	1	0	0	2	19	0	0	1	0	0	0	10	2	1	108	0	0	0	0	1	27	12	0	0	43	1	0	1	0	0	0	0	1	3	0	20	1	0	1	0	5	0	0	2	2	6	1	0	0	3	16	34	0	2	0	33	0	22	0	0	0	1	45	1	0	0	6	4	17	0	134	2	32	4	2	0	0	0	59	4	74	1	0	2	1	18	0	9	1	0	8	0	0	0	2	0	44	0	1	0	0	0	0	0	78	3	0	12	0	0	9	0	26	0	0	0	1	0	0	0	44	0	0	0	0	1	1	1	0	0	0	9	0	0	54	1	3	0	0	0	0	5	2	30	0	0	1	0	1	2	0	1	9	0	0	0	0	0	3	1	2	0	3	0	0	1	0	2
T[Ins(C):R6]G	7	1	0	0	9	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	12	0	0	0	1	0	0	13	0	25	0	0	0	1	0	0	0	15	1	0	0	0	0	0	0	1	0	0	17	0	2	0	0	1	0	0	0	0	0	0	0	0	0	9	0	10	0	2	4	0	10	0	0	0	0	0	0	1	0	34	0	0	1	1	0	0	2	0	0	2	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	2	0	0	2	8	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	23	0	0	0	0	0	0	0	21	0	26	0	0	1	36	1	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	4	0	0	0	1	0	0	1	1	0	20	0	1	0	0	1	11	4	0	0	15	0	0	2	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	4	7	1	0	0	7	1	7	0	0	0	0	11	0	0	0	1	2	6	0	21	0	9	0	1	0	0	1	23	2	24	0	0	0	0	10	0	5	1	0	0	0	1	0	0	0	12	0	0	0	1	0	0	0	29	0	0	2	1	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	1	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
T[Ins(C):R6]T	15	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	20	1	0	0	0	0	0	0	30	0	2	0	0	0	1	21	0	51	0	0	0	1	0	0	0	35	0	0	0	0	0	0	4	4	1	0	21	1	2	0	0	0	1	0	1	1	0	0	0	1	0	29	0	10	0	2	14	0	42	0	4	0	0	0	0	5	0	35	0	0	0	0	0	1	13	0	3	5	0	0	0	0	1	3	0	0	2	0	3	2	1	0	0	0	17	3	0	0	0	0	6	0	0	0	19	44	0	0	0	0	0	1	0	0	0	1	0	0	0	4	1	1	0	0	0	0	52	1	21	3	0	0	0	0	0	0	34	0	40	2	0	0	79	1	1	0	0	1	0	0	0	0	1	4	0	1132	1	0	0	0	14	0	0	0	0	0	0	4	1	0	85	0	0	0	1	1	17	6	0	0	32	0	0	0	0	1	0	0	0	0	2	11	0	0	0	0	7	0	1	0	0	2	1	0	0	1	9	13	0	0	1	12	1	12	0	0	0	0	23	0	0	0	0	5	9	0	117	0	10	1	1	0	0	0	32	1	50	0	0	1	0	15	0	10	0	1	2	0	1	0	0	0	24	1	0	0	2	0	0	0	55	3	0	1	0	3	4	0	10	0	0	0	1	1	1	0	15	0	0	0	0	1	1	0	0	0	0	6	0	0	37	0	0	0	0	0	0	4	0	17	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
