Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D
SP127630	1:Ins:T:2	0.7524545668255637	0.07633842503545178	0.13881673834502725	0.032390269793957295
SP127630	1:Ins:T:3	0.7866071563572501	0.12716517157791898	0.08070002257062692	0.005527649494203949
SP127630	1:Ins:T:4	0.8909992955013641	0.09838086338064979	0.010540876858596311	7.896425938972808e-05
SP127630	1:Ins:T:5	0.8655244974266569	0.13147899699415094	0.00011512072865351639	0.0028813848505385713
SP127630	2:Del:R:0	0.4948150970518938	0.03315467145217415	0.36746477436603303	0.10456545712989891
SP127630	2:Del:R:1	0.7993340619069808	0.036935857580496334	0.15250956707582225	0.011220513436700639
SP127630	2:Del:R:2	0.6979078839195906	0.07075936418536437	0.19827688971065105	0.033055862184394075
SP127630	2:Del:R:3	0.13728093029942126	0.6776866968512575	0.15761046857822367	0.02742190427109762
SP127630	2:Del:R:4	0.05347083028376262	0.7884349722761425	0.06221143730686865	0.09588276013322629
SP127630	2:Del:R:5	0.0035023004939304437	0.8243408529754205	0.00012390491998346163	0.1720329416106656
SP127630	3:Del:R:0	0.36878653024451175	0.11743721171076416	0.38730700366734705	0.12646925437737702
SP127630	3:Del:R:1	0.8343870657977618	0.010588027919110543	0.14248871503593769	0.012536191247189802
SP127630	3:Del:R:2	0.7857931846097173	0.041266735345704485	0.12531005267327683	0.047630027371301564
SP127630	3:Del:R:3	0.6305180758922226	0.17234909043467522	0.1554419901930927	0.04169084348000945
SP127630	3:Del:R:4	0.48448499130572137	0.05135866652371628	0.2286913635747287	0.23546497859583362
SP127630	3:Del:R:5	0.4055420038292024	0.18120769241749204	0.1567941456846379	0.25645615806866756
SP127630	4:Del:R:0	0.5904678445090533	0.01648974720572227	0.2544583951565516	0.13858401312867294
SP127630	4:Del:R:1	0.7389021293061081	0.017019557705224616	0.20771060803291866	0.03636770495574861
SP127630	4:Del:R:2	0.6835750004665156	0.0440059644137782	0.19336469412410714	0.07905434099559908
SP127630	4:Del:R:3	0.14516901228576362	0.0	0.4141134688108129	0.44071751890342364
SP127630	4:Del:R:4	0.010239854752480279	0.0959549179863605	0.46643035864734905	0.42737486861381
