Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
WIDE01010233T	2.25E+00	4.19E+00	4.05E+00	1.39E+00	1.81E+00	2.07E+00
CPCT02070322T	1.81E+00	1.09E+00	1.57E+00	1.28E+00	1.22E+00	1.80E+00
WIDE01010262T	1.06E+01	1.63E+00	2.64E+00	1.05E+00	1.14E+01	2.39E+00
WIDE01010267T	2.16E+00	2.80E+00	2.81E+00	9.98E-01	9.77E-01	2.22E+00
WIDE01010293T	6.31E-01	5.80E-01	0.00E+00	9.36E-01	5.08E-01	9.89E-01
WIDE01010167T	1.30E+00	7.63E-01	7.74E-01	1.03E+00	1.30E+00	1.54E+00
CPCT02060211T	3.73E+00	2.37E+00	3.36E+00	1.55E+00	1.45E+00	2.92E+00
DRUP01080012T	2.83E+01	2.95E+00	3.11E+00	3.47E+00	2.59E+01	2.81E+00
WIDE01010356T	2.18E+00	1.26E+00	1.80E+00	1.40E+00	2.30E+00	2.71E+00
WIDE01010374T	6.71E+00	1.17E+00	1.40E+00	6.68E-01	6.51E+00	8.82E-01
WIDE01010393T	8.54E+00	2.93E+00	7.82E+00	1.35E+00	1.39E+01	7.20E+00
CPCT02090036T	6.56E-01	6.40E+00	7.02E+00	1.27E+00	1.38E+00	9.24E-02
CPCT02340018TII	5.89E+00	2.27E+00	4.36E+00	2.15E+00	7.32E+00	4.20E+00
CPCT02340088T	2.34E+00	1.42E+00	2.19E+00	1.29E+00	1.85E+00	1.97E+00
WIDE01010452T	2.05E+00	1.81E+00	1.62E+00	8.17E-01	1.25E+00	2.39E+00
CPCT02080227T	3.77E+00	1.27E+00	1.42E+00	1.62E+00	2.90E+00	1.49E+00
CPCT02060230T	2.19E+00	2.10E+00	1.66E+00	1.42E+00	1.21E+00	2.41E+00
CPCT02020750T	1.12E+00	5.89E-01	6.86E-01	9.87E-01	8.94E-01	1.18E+00
CPCT02060241T	1.57E+00	1.54E+00	1.85E+00	1.00E+00	1.14E+00	1.41E+00
CPCT02060245T	3.51E+00	1.59E+00	2.93E+00	1.46E+00	1.11E+00	2.24E+00
CPCT02070319T	2.25E+00	1.06E+00	2.15E+00	1.24E+00	2.43E+00	2.34E+00
CPCT02010856T	2.53E+00	2.34E+00	3.89E+00	1.21E+00	1.50E+00	3.71E+00
CPCT02090052T	6.56E+00	2.03E+00	4.21E+00	1.70E+00	2.69E-01	3.86E+00
CPCT02090053T	1.56E+00	1.48E+00	1.52E+00	1.18E+00	9.99E-01	1.30E+00
CPCT02070357T	1.06E+01	7.85E+00	1.08E+01	2.06E+00	9.35E+00	1.25E+01
CPCT02090057T	1.67E+00	2.53E-01	9.28E-01	8.95E-01	1.62E+00	1.68E+00
CPCT02270035T	1.62E+00	1.43E+00	1.57E+00	1.37E+00	8.19E-01	2.17E+00
CPCT02060254T	5.46E+00	3.22E+00	3.06E+00	1.14E+00	1.25E+00	3.20E+00
CPCT02070365T	1.51E+00	8.68E-01	1.19E+00	1.07E+00	1.26E+00	1.59E+00
CPCT02060258T	1.32E+00	7.28E-01	7.84E-01	1.05E+00	8.59E-01	1.53E+00
CPCT02080247T	1.92E+00	1.51E+00	1.72E+00	2.03E+00	1.22E+00	2.30E+00
CPCT02020794T	3.17E+00	2.39E+00	3.99E+00	1.65E+00	2.71E+00	4.59E+00
CPCT02020790T	2.24E+00	1.04E+00	1.58E+00	1.11E+00	1.33E+00	2.34E+00
CPCT02060253T	1.83E+00	9.75E-01	1.17E+00	1.38E+00	1.06E+00	2.00E+00
CPCT02020775T	1.97E+00	1.27E+00	1.37E+00	1.29E+00	5.99E-01	1.93E+00
CPCT02030513T	2.26E+00	1.51E+00	1.95E+00	1.44E+00	1.92E+00	2.90E+00
CPCT02380051T	1.24E+00	1.22E+00	1.51E+00	1.18E+00	8.40E-01	1.30E+00
CPCT02080248T	1.99E+00	1.57E+00	1.45E+00	1.45E+00	1.66E+00	1.11E+00
CPCT02070371T	5.21E+00	1.12E+00	1.34E+00	1.30E+00	4.99E+00	1.25E+00
CPCT02070366T	1.66E+00	7.50E-01	1.01E+00	1.03E+00	1.69E+00	1.17E+00
CPCT02050392T	2.68E+00	9.96E-01	1.34E+00	1.25E+00	2.40E+00	1.41E+00
CPCT02130147T	2.59E+01	3.48E+00	4.68E+00	1.50E+00	2.28E+01	1.90E+00
CPCT02020812T	1.09E+00	1.38E+00	1.87E+00	9.61E-01	1.03E+00	1.18E+00
CPCT02020820T	2.64E+00	1.25E+00	1.12E+00	1.55E+00	2.03E+00	1.42E+00
