hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7
C[Del(T):R2]A	0.00014090860526532	0.00135480211418405	0.000356650979438313	0.00091202942371579	0.00400492619078054	0.00186855955171862	0.000605354553923707
C[Del(T):R2]C	0.000443819918380589	0.0019830763764762	0.000357851247157577	0.000750275907429715	0.00507996013139984	0.000417751828367197	0.000324824394788331
C[Del(T):R2]G	0.000783013087941419	1.86904734142591e-05	0.000270619760132001	0.000486562589546596	0.00496681898750564	0.00214820844048824	0.0018775040531607
C[Del(T):R3]A	0.000656026590381954	0.00204532079711268	0.000333593204831408	0.000983441347624131	0.00320855265405279	0.000999257017661664	0.00298247853396558
C[Del(T):R3]C	0.000981614063775699	0.001317935584055	0.000365756769879944	0.00121490411922606	0.00435669254345112	0.00148990500985246	0.000871119967841432
C[Del(T):R3]G	0.000124666146275156	1.38892508858256e-05	0.000207113865842846	0.00135312074614543	0.0035224627853692	0.0014869593238832	0.000372928887271647
C[Del(T):R4]A	0.000420827346563344	0.00063530462385165	0.00155598916806214	0.00038550420073381	0.00314650706575684	0.00144160723665524	0.000354353885223634
C[Del(T):R4]C	0.000899241593182724	0.000642677929877459	0.00151097461630509	0.00110973929439611	0.00402224765308322	0.00145778938165518	0.000800630216479742
C[Del(T):R4]G	0.0012883223153562	0.00131879294522079	0.00102566035210332	0.00066954938475072	0.00276929636758592	0.00206423726253348	0.000437226971283999
C[Del(T):R5]A	0.000792610904617425	0.000672857042913327	0.00330779344118127	0.00064430982679153	0.00144631452032672	0.00120082610041503	0.000313869906401041
C[Del(T):R5]C	0.000405639592702411	0.000688461016130736	0.00339447442947846	0.000406236694771716	0.00104507994689207	0.000776781215658968	0.000226233999302723
C[Del(T):R5]G	0.000509000695367092	1.04598062226588e-05	0.00218078717563938	0.000498180798765906	0.000258801402525422	0.00116373723616576	0.000445800049152313
C[Del(T):R6]A	0.000446140269664898	0.000668913181550685	0.00620401237405627	0.00159610156999065	0.000649706537055055	0.00175170763232782	0.000580587884526356
C[Del(T):R6]C	0.00161971066696072	0.00070663707284552	0.00335473925077231	0.000831503214988852	0.000468989624623363	0.00150444216138905	0.000153362837422056
C[Del(T):R6]G	0.000141435957829936	2.91502796369178e-06	0.00257463742980555	0.00216299005431212	0.000982220691179027	0.00057572858434177	0.000657269303237385
C[Del(T):R7]A	0.000825728645675292	0.000649708291436951	0.0144046836359614	0.00188976182370629	0.00018639879337811	0.00336207972162426	0.00319394778805065
C[Del(T):R7]C	0.00157172158358069	3.4294446631668e-06	0.0171623934789473	0.00161402966869975	0.000319109328201841	0.00231613166856679	0.00397695556668997
C[Del(T):R7]G	0.00135603438465286	2.4692001574801e-05	0.016140397101987	0.00192231284091557	0.000721226523919429	0.00174055610687278	0.00169461172530334
C[Del(T):R8]A	0.00200351786348804	0.000687603654964944	0.0316063700897183	0.000796548430354895	0.00107155861538023	0.00293709757315071	0.000969234081223245
C[Del(T):R8]C	0.000685030981435819	2.12625569116342e-05	0.0280373785387728	0.000777117977005361	0.000503287774899433	0.00199004040620397	0.00199609829700571
C[Del(T):R8]G	0.00106419747539452	2.24628625437426e-05	0.0294541637251083	0.00075127747719	0.000324915327906797	0.000737913463129566	0.000588684680290875
C[Del(T):R(9,)]A	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0
G[Del(T):R1]A	0.000599388924942226	1.86904734142591e-05	0.000114052507037991	0.00188225005050416	0.00340304674868223	0.00117341591863617	0.000813966115386008
G[Del(T):R1]C	0.000284243032327872	0.00134657144699245	8.33599467882514e-05	0.0011911669159073	0.00275100953716129	0.000989253162064775	0.00010335321652356
G[Del(T):R1]G	0.000236464889973688	2.43490571084843e-05	0.000482020296400789	0.00232524435547834	0.00512544276091752	0.00106851889360112	0.00114021935648572
G[Del(T):R2]A	0.001089615869009	0.00412853695775336	4.58538367035948e-05	0.000793543721074039	0.00311116080151978	0.00102490743899135	0.000105258344938741
G[Del(T):R2]C	0.000178772519404729	0.000659653680960135	0.00010636357397925	0.00130073864768251	0.00332909955053977	0.000269013814750744	0.00054248531622274
G[Del(T):R2]G	3.05864487477117e-06	0.00133251072387346	5.77843173416882e-05	0.000989050138281729	0.00368642366539822	0.000352984992705506	9.52564207590413e-06
G[Del(T):R3]A	0.000468921900456297	0.00204240576914899	0.000435245953626781	0.00228828643132381	0.00278699018616421	0.000755415428466379	0.000620119299141359
G[Del(T):R3]C	0.000101462633432064	0.00286152862694638	0.000498842093609114	0.000372684107802158	0.00177114710239449	0.000675231561043517	0.000465803897511712
G[Del(T):R3]G	0.000288567323357721	1.68042788495173e-05	0.000392695109293491	0.000437185200364531	0.0011164758149979	0.00170507398042492	9.09698818248844e-05
G[Del(T):R4]A	0.000224019369448757	0.000700121127985503	0.00124072486351512	0.000316496044250153	0.00178895124875814	0.00137286181215196	0.00130215527177609
G[Del(T):R4]C	0.000577345587741289	9.08802835739203e-06	0.00160506477601217	0.000670050169630862	0.00184685954510282	0.00110566514134329	0.000948277668656256
G[Del(T):R4]G	0.000895128243178721	1.02883339895004e-05	0.00139276178281161	0.00125556785149365	0.00263446202289387	0.000927833696822693	0.000385788504074117
G[Del(T):R5]A	0.000219906019444755	0.00135000089165561	0.00362018793268523	0.00136503942629283	0.00184830759728577	0.00143665312843422	0.00113498025334398
G[Del(T):R5]C	0.000766454217412486	0.000670113487182794	0.00278915144248896	0.000609755670061688	0.000570242949644234	0.000699351755895671	0.00136692963789224
G[Del(T):R5]G	0.000480840068416612	7.71625049212531e-06	0.00247185660984545	0.00365132271809607	0.00103337141066996	0.00151356613676135	0.000705373795720701
G[Del(T):R6]A	0.00238395000360182	1.26889452537172e-05	0.00547289591534636	0.00131476062432651	0.000644824532552551	0.000581964257237727	0.000829207142707454
G[Del(T):R6]C	0.000562685186444972	4.80122252843353e-06	0.00383031600468021	0.00114719800343078	0.000487414364779708	0.00059520071626841	0.00310393047043336
G[Del(T):R6]G	0.000535684735136647	0.000677486793208602	0.0031556662761916	0.00133429123465207	0.000431229940081394	0.00146276261770717	0.000640599429604553
G[Del(T):R7]A	0.000581775349284061	0.000719497490332395	0.00948491259867058	0.00210099288615046	0.00021213274931504	0.000850174703087766	0.000708231488343472
G[Del(T):R7]C	0.000117494151396382	0.000670113487182794	0.00822509174647906	0.00109571731775211	0.0015259849723351	0.000620640731457438	0.000558202625647982
G[Del(T):R7]G	3.69146795231003e-05	5.19560866469771e-05	0.00922754090629707	0.00165168869168648	0.000190398175597676	0.000620774626274222	0.000220518614057181
G[Del(T):R8]A	6.62354821157343e-05	4.1839224890635e-05	0.0183526529508374	0.000851234139266472	0.000357834380865775	0.00134879900079271	0.00032387183058074
G[Del(T):R8]C	0.000521973568456638	0.000679030043307027	0.0130317668810796	0.00122612170054126	0.000669469001608979	0.00118540906865386	0.000628692377009672
