hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35	hdp.36	hdp.37	hdp.38	hdp.39
A[Del(C):R4]G	0.000301207780258777	0.000104611633631378	0.000145721227241253	5.13892812364539e-05	0.00032581025527159	0.000278929625160808	0.00060133418343049	4.14629122096947e-05	0.00067376092588267	0.000279965034740611	0.000142150509520086	0.000118116968253914	0.000164254870392211	9.38657723444875e-05	7.01869066969896e-06	0.000795321767115315	4.11375516141777e-05	0.000114212389359252	7.03229020925325e-05	0.000696602846384169	0.00069264878031449	0.000145478992705065	0.000455759288623516	0.00162816514179916	0.00092149315583117	0.000179261583058827	8.88777221233428e-05	0.000271322849584251	0.000227048055655594	0.000249433622452699	0.000810283981119412	0.00268707458113439	0.000281206172273641	0.000101988714568844	0.000327896103186727	6.64364989795392e-05	0.000778678465598265	0.000477677664967045	0.000159529004299651
A[Del(C):R4]T	0.000554171776445542	0.000381748620829885	0.000420321914487822	0.000224583055445977	0.000874721140996755	0.000382283686344824	0.000550944606022657	0.000172473466343766	0.00219952421804631	0.00147834043618068	0.000248275158537911	0.000270572221555342	0.000714461136638637	0.000169319854138308	0.000185063312674489	0.00240663871535498	0.000113173806337727	0.000147035331664668	0.000389719651968073	0.000729319075470162	0.00221706517234478	0.000194672204205228	0.00162751115876488	0.00298293295506549	0.000990331848269424	0.000364010827679475	0.000292308562260253	0.000443112330978778	0.000912688647715516	0.000515283857446001	0.00251927832991835	0.00549259420225386	0.000710696313791675	0.000382395491392574	0.001796773153079	7.39417173080635e-05	0.00175358965676905	0.00129130860248279	0.000783989605560171
A[Del(C):R5]A	0.0023884099660704	0.000607256200859133	0.00066482917847648	0.000256215864068833	0.0010355305846423	0.000585132380214706	0.000641790821103285	6.31847702101578e-05	0.000609287603787257	0.0002064901637271	0.000308609284608663	0.000172957239686889	0.00235975171748927	0.000277601871382119	0.000267918380727771	0.000887998188858062	0.000305016702931827	0.000157817286549878	0.000370129774412288	0.000495705049184412	0.0025771274294887	0.000209276806114408	0.000654293652359836	0.00676933092017065	0.00191779422237554	0.00079214881355449	0.000682286084471314	0.000478706287483574	0.00144833063982304	0.000585359071607304	0.00350899911484856	0.00983640220402407	0.000754872807954962	0.000963717645252247	0.00197843067986199	0.00011280802650935	0.00153194077604431	0.000955267494008267	0.000752754803586854
A[Del(C):R5]G	0.000634052761754232	6.91174434372949e-05	8.97770327363545e-05	4.37705312598593e-05	0.000144434493698254	0.00012507663567778	0.000132938207188912	0.000125211679266987	0.000295256651820078	0.000273189217354683	0.000192375338000919	9.78499114199879e-05	0.000383920540495489	6.02157784851429e-05	2.70392181537583e-05	0.000300569111669376	4.48850462133111e-05	3.80135471351096e-05	0.000116039498921922	0.000282849955009007	0.00029782663793796	0.000155794172206801	0.000177953780616971	0.000969304744197594	0.000420967518581335	0.000295977817241487	3.04543636572079e-05	6.46642618173938e-05	7.28688509439739e-05	0.00016739764935181	0.000314934671069551	0.00102758711632691	0.000354535316709662	8.83140612302456e-05	0.000804279344501912	7.84218731470296e-05	0.000867744426273127	0.000267414223967399	6.70214092593294e-05
A[Del(C):R5]T	0.00260498331486677	0.000295796266782576	0.000325301818762619	0.000185450461273255	0.000613307138432739	0.00019466996903203	0.000332945206295786	0.000264815285596836	0.00125414068388336	0.000239220807032007	0.00044476314260382	0.000326113775231706	0.0013541761307526	0.000407686570115181	7.74184592968351e-05	0.000901844588580148	0.000187653271910122	0.000311073710767782	0.000288023663738675	0.000532318330543868	0.0014443901055688	0.000314405848583971	0.000575130056499003	0.00283634687188533	0.000641922969746964	0.00072187693454139	0.000394024937358238	0.000595903108901293	0.000567802137297516	0.000234341404971844	0.0017320701015981	0.00480342011311784	0.00103533007129303	0.000578875181784254	0.00176437416881177	7.64306927741558e-05	0.000292582774993342	0.000718095854962977	0.000475913808270269
A[Del(C):R6]A	0.00491655062205925	0.000600381750029609	0.000181237332731777	0.000105901797563379	0.000329807535003407	0.000231276438182343	9.9254108013406e-05	0.000140330857963345	0.000916715406660331	0.000689793522469153	0.00014729706102041	0.000274962248398953	0.00299569385339851	0.0001158135229648	0.00021412184265207	0.000144479378180365	0.000622729613380019	0.000485474216424291	0.000187828380449233	0.00133271583747977	0.00121435259141806	0.000454420234660374	0.000339147934103799	0.00280797797513754	0.00136528369342951	0.00183137624279488	0.000653065618966572	0.0018239518333272	0.000126365603778329	0.00124706216065872	0.000891343623668723	0.0034786806634738	0.000286576397323882	0.00128952454154378	0.000362412346304241	8.65014704292675e-05	0.000738225200202241	0.000514541727374335	0.000564703441643541
A[Del(C):R6]G	0.00121363885037524	6.47799690253611e-05	2.18218433995277e-05	1.82602017252975e-05	8.88261581596301e-05	0.00022932076365189	2.16413070906151e-05	3.56736064430514e-05	0.000270729112858311	7.35131524676691e-05	0.000119933030498602	0.000165895327495967	0.000385826967079501	5.45943496564757e-05	2.42202358356005e-05	5.62545112655354e-05	5.15523678927509e-05	0.000187377017730744	1.30352038217937e-05	0.000345906161794737	0.000144892234888497	0.000128435883536858	0.000162077444589884	0.000409002461127886	0.000390185541864401	0.000339787851506093	6.86628030725473e-05	0.000758422138601646	7.62251111027832e-05	0.000210967303717368	0.000129126316438225	0.000580102024325479	0.000182149265989786	4.04433111172356e-05	0.000166647966948966	6.48282379091411e-05	0.000528174589540818	4.79910724465874e-05	5.43175560698049e-05
A[Del(C):R6]T	0.00235190694770552	0.000379075462429676	0.0002022815839621	0.000239175466606338	0.000175480990685269	0.000154896345553636	8.76875647576938e-05	0.000227782866891201	0.000292728713553028	5.54315456204747e-05	9.64978406310591e-05	0.000306712801968365	0.00150203306619142	0.000157611566352148	4.6553479425577e-05	0.00017543492198615	0.000279637551801641	0.000360785201875694	5.82281024920244e-05	0.000491465816711328	0.000511388649443707	0.000310410222231831	0.000164300111717304	0.001110293232576	0.000185328891500909	0.000911800520800984	0.000395010527832963	0.000857192506651931	0.000234750860071107	0.000276498371273671	0.000670075147026226	0.00224460557795919	0.000710970304865667	0.000686815716553116	0.0016754492970996	8.47783335681267e-05	0.00061323899073292	0.00028876623665388	0.000284782129800693
A[Del(C):R7]A	0.00551797393147879	0.000366809692133063	4.71383042378503e-05	3.76832388329915e-05	0.000496749229116219	0.000200366396488623	2.46126095285418e-05	0.00019225279695476	0.000560570310718372	0.000597458655040572	0.00014858369889549	0.000176383003445841	0.00123207150779479	0.000131263385422944	0.000165192363844046	3.15261728296114e-05	0.00072227697050287	0.000350804737442128	0.000114776241355205	0.000328664081736052	0.000291504544392202	0.000544451097847845	9.04392499306253e-05	0.000755054677582709	0.000573980839737358	0.00420109390996902	0.000785896856144556	0.000639050766786528	7.74776866644441e-05	0.00026042315834847	0.000131551810539175	0.00119824752693272	0.000239139409380092	0.000831205995858667	0.000321995680266734	0.000268273263314497	0.000483094520992853	0.000135842763692993	0.000373718912052608
A[Del(C):R7]G	0.001214297682938	4.44070661599981e-05	7.06123415251622e-06	4.28690825052062e-05	2.80085174812879e-05	2.78442560834007e-05	2.02283188363978e-05	3.82764017629307e-06	0.000477714954758677	7.51082130575769e-05	6.55725802764387e-05	0.000159797678389705	0.000156824694987856	2.78774513524874e-05	2.7672050919059e-05	3.33515372637828e-06	0.00010161298887924	0.0001264828265118	2.23266227746167e-05	0.000122538531486529	2.10024599297703e-05	5.7898388618832e-05	4.27694132865417e-05	0.000111670887457139	9.01595761581337e-05	0.00121165377087493	7.47875984528864e-05	0.000383369420060762	5.6360547387725e-05	6.58253775695803e-05	2.07532496213929e-05	0.000252691720709386	4.65328173996168e-05	8.31497334246652e-05	0.000239545681550219	5.22684847879372e-05	0.000453020300505238	2.89227938315262e-05	8.20109750304441e-05
A[Del(C):R7]T	0.000940955133561279	7.97599871134903e-05	5.27860789404961e-05	4.9708699264489e-05	6.03250904400078e-05	4.46220150766485e-05	1.13756935410782e-05	0.000141326044409181	0.000159728651106415	0.000302946667720002	0.000151455658438081	0.000211941519596852	0.00058767710297461	0.000131662325533365	0.00010754129892515	2.73048149374424e-05	0.00018249007677932	0.000201269518892571	6.62534482966294e-05	0.00032803675137008	7.43353450640258e-05	0.000174085914610051	7.36895809865374e-05	0.000231989633767448	0.000239515866355196	0.000828655147480996	0.000156065577590109	0.000808169747693021	0.000206674967674049	6.28057568333561e-05	0.000134455228811734	0.000533248679691429	0.000232088705742701	0.000306490012037595	0.000171867256207819	9.81039252942821e-05	0.00036214113318975	0.000173179788777796	0.000222278191115708
A[Del(C):R8]A	0.00278784044546559	0.000257699748472348	2.15641617840017e-05	0.000445809973613942	0.000806692916650796	2.88109675137514e-05	8.73006125839862e-06	0.00033931073252794	0.000528535230954892	0.000508862609634735	0.000129100325358553	8.14995159153866e-05	0.000198637207176598	0.000130797955294118	0.000154514749185881	7.49166741129431e-06	0.000861105817143726	0.000213158293925288	0.000289592881161819	0.00114626564870845	0.000114780885662698	0.000720361485961336	6.17337828092057e-05	0.000184961767442773	0.000736651868458122	0.00980665806296242	0.00123448759669227	0.00041484317581259	0.000432786268101905	0.000200160240029829	1.28310489462476e-05	0.000279596022425292	0.000152019380886481	0.000753870186970101	0.000161149659081934	0.000198888285705894	0.000158655581054729	0.000177376769489916	0.000908963148191791
A[Del(C):R8]G	0.000148125571376966	1.03071759776185e-05	2.71929893090353e-06	2.54148228821172e-05	6.62937438638245e-05	2.04121983861264e-05	4.28799037742042e-06	5.56921645650641e-06	0.000120818015107983	3.35983562658172e-05	4.83178473445517e-05	0.000107278651182345	3.10849742544644e-05	2.93402317573664e-05	9.41194912756352e-06	1.74538991189272e-06	7.95347809624954e-05	0.000110987344446685	4.30812125445891e-05	3.79249721246702e-05	1.18037081000647e-05	4.90610032752766e-05	1.99054181048379e-05	1.29614606140702e-05	4.65661942107737e-05	0.00194908414974315	0.000105374902220639	0.000253316046293507	7.04654046739493e-05	9.00647502630911e-05	3.23437786839485e-06	2.82342379104485e-05	3.74819789220859e-05	4.80762416906143e-05	7.24299481110736e-05	5.35321184861071e-05	0.000164908017746541	7.00773033848261e-06	0.000100252531019572
A[Del(C):R8]T	0.000560342020474867	4.33129143686081e-05	1.52577831875557e-05	0.000117134720335116	0.000230369264684995	2.00166131460852e-05	7.92113861472029e-06	6.14623321308259e-05	8.28117708171603e-05	9.95955832338409e-05	5.41536691350967e-05	0.000118432545263438	6.90713016207492e-05	4.41735504084947e-05	4.89582439337198e-06	4.66229850148928e-06	0.000284996168429944	8.3202342123031e-05	0.000104030105293607	6.41207674067733e-05	2.32553665093706e-05	0.000259833231311184	2.95469338430459e-05	3.09066203672642e-05	0.000371593668344004	0.00201258162615194	0.000404006906003423	0.000661788170941788	0.000162626060422307	4.65716165009853e-05	1.59450778707022e-05	7.88121726384639e-05	0.000136447554847944	0.000259270886532514	0.000201714040853182	3.71431723401458e-05	9.90073350148428e-05	4.59989986929676e-05	0.000343072705593863
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
