Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
CPCT02070036T	2.23E+00	2.67E+00	1.35E+01	1.56E+00	1.25E+01	2.27E+00
CPCT02070035T	1.16E+00	1.98E+00	4.64E+00	8.54E-01	4.22E+00	1.03E+00
CPCT02020394T	1.50E+00	2.16E+00	6.80E+00	9.67E-01	6.51E+00	1.18E+00
CPCT02140026T	1.67E+00	2.52E+00	7.70E+00	9.17E-01	6.61E+00	1.73E+00
CPCT02140029T	1.57E+00	2.37E+00	5.49E+00	8.93E-01	4.80E+00	1.73E+00
CPCT02140030T	2.10E+00	2.44E+00	8.87E+00	1.14E+00	8.77E+00	1.77E+00
CPCT02020656TII	1.72E+00	3.88E+00	1.49E+01	1.44E+00	1.27E+01	8.55E+00
CPCT02011011T	1.85E+00	3.29E+00	1.42E+01	1.69E+00	1.25E+01	1.73E+00
CPCT02070269T	1.51E+00	2.35E+00	7.82E+00	1.02E+00	7.13E+00	2.01E+00
CPCT02330130T	1.68E+00	2.29E+00	7.30E+00	1.02E+00	7.06E+00	1.83E+00
CPCT02070256T	1.40E+00	2.25E+00	6.35E+00	2.99E+00	6.24E+00	2.23E+00
CPCT02070425T	2.69E+00	3.92E+00	5.94E+00	1.08E+00	3.90E+00	2.01E+00
CPCT02080281T	1.20E+00	1.76E+00	4.36E+00	7.88E-01	4.32E+00	1.62E+00
CPCT02070270T	1.75E+00	2.38E+00	5.75E+00	6.86E-01	4.22E+00	2.59E+00
CPCT02390037T	1.39E+00	1.88E+00	5.34E+00	8.76E-01	5.04E+00	1.70E+00
CPCT02140098T	2.01E+00	2.69E+00	1.94E+01	6.79E+00	2.05E+01	3.32E+00
CPCT02020888T	1.15E+00	2.51E+00	7.78E+00	9.18E-01	6.97E+00	1.35E+00
CPCT02340055T	1.08E+00	2.34E+00	8.35E+00	2.58E+00	7.42E+00	2.46E+00
CPCT02070430T	2.10E+00	2.67E+00	9.88E+00	9.21E-01	9.55E+00	1.46E+00
CPCT02050418T	1.46E+00	2.07E+00	4.20E+00	8.98E-01	3.13E+00	1.94E+00
CPCT02340108T	1.10E+00	1.88E+00	5.60E+00	5.88E-01	5.43E+00	1.36E+00
CPCT02100137T	1.20E+00	2.42E+00	4.11E+00	9.06E-01	3.56E+00	1.98E+00
CPCT02070433T	1.17E+00	2.36E+00	7.50E+00	1.05E+00	7.31E+00	1.85E+00
CPCT02070264T	2.02E+00	2.83E+00	8.92E+00	1.19E+00	7.66E+00	2.68E+00
CPCT02070420T	3.83E-01	1.29E+00	4.56E+00	2.12E+00	4.58E+00	1.52E+00
DRUP01070028TII	1.91E+00	4.57E+00	1.63E+01	5.82E-01	2.61E+00	1.23E+01
CPCT02080180T	1.77E+00	3.06E+00	1.08E+01	1.52E+00	9.71E+00	2.59E+00
CPCT02070446T	1.04E+00	2.41E+00	6.28E+00	6.89E-01	5.32E+00	1.63E+00
CPCT02020704TII	8.75E+01	9.32E+01	5.97E+01	2.16E+00	2.39E+01	1.84E+01
CPCT02220031T	2.88E+00	3.26E+00	7.94E+00	5.25E+00	7.41E+00	3.88E+00
DRUP01070071T	2.14E+00	4.00E+00	1.50E+01	5.22E+00	5.82E+00	9.88E+00
CPCT02140102T	1.06E+00	1.84E+00	4.22E+00	6.76E-01	4.48E+00	1.33E+00
CPCT02070280T	1.10E+00	2.09E+00	6.85E+00	8.28E-01	5.39E+00	2.22E+00
CPCT02100194T	8.12E-01	1.48E+00	8.20E+00	1.07E+00	7.72E+00	1.64E+00
CPCT02070268T	1.92E+00	3.06E+00	1.61E+01	1.34E+00	1.46E+01	2.59E+00
CPCT02011043T	1.15E+00	2.22E+00	4.77E+00	7.94E-01	3.55E+00	1.74E+00
CPCT02070449T	7.95E-01	1.80E+00	8.04E+00	9.08E-01	7.38E+00	1.85E+00
CPCT02340056T	1.62E+00	3.01E+00	7.84E+00	9.81E-01	5.78E+00	3.03E+00
CPCT02070450T	2.15E+00	3.18E+00	1.07E+01	1.01E+00	1.01E+01	1.91E+00
CPCT02220069T	1.70E+00	3.64E+00	8.70E+00	1.04E+00	6.24E+00	3.51E+00
CPCT02070452T	8.76E-01	1.66E+00	7.32E+00	8.22E-01	6.83E+00	1.28E+00
DRUP01070038T	3.22E+01	3.45E+01	7.48E+00	1.82E+00	7.38E+00	5.86E+00
CPCT02150043T	8.84E-01	1.35E+00	4.22E+00	7.67E-01	3.94E+00	1.21E+00
CPCT02090033T	1.38E+00	2.67E+00	6.22E+00	1.16E+00	4.77E+00	3.22E+00
CPCT02070426T	9.54E-01	1.64E+00	6.78E+00	1.05E+00	6.18E+00	1.65E+00
CPCT02150047T	1.02E+00	1.61E+00	4.84E+00	6.96E-01	4.51E+00	1.58E+00
CPCT02070125T	2.17E+00	2.60E+00	9.44E+00	5.30E+00	4.05E+00	5.13E+00
CPCT02190054T	1.91E+00	2.80E+00	1.44E+01	1.76E+00	1.36E+01	2.26E+00
CPCT02130169T	1.62E+00	2.81E+00	1.08E+01	5.41E+00	1.03E+01	3.67E+00
CPCT02020918T	1.32E+00	2.07E+00	5.97E+00	5.35E-01	5.70E+00	1.93E+00
CPCT02070459T	1.37E+00	2.76E+00	7.33E+00	1.06E+00	6.75E+00	1.78E+00
CPCT02140055T	8.92E-01	1.64E+00	5.14E+00	2.01E+00	4.66E+00	2.05E+00
DRUP01070028T	1.94E+00	4.94E+00	6.29E+00	9.84E-01	1.56E+00	6.17E+00
CPCT02160061T	1.94E+00	2.69E+00	1.86E+01	1.57E+00	1.73E+01	2.03E+00
CPCT02020656T	1.29E+00	3.16E+00	2.07E+01	1.66E+00	1.79E+01	3.63E+00
CPCT02020931T	1.16E+00	2.21E+00	6.25E+00	8.25E-01	5.91E+00	1.37E+00
CPCT02070106T	1.84E+00	2.62E+00	9.93E+00	3.86E+00	9.29E+00	3.48E+00
CPCT02070289T	1.19E+00	2.00E+00	6.38E+00	9.29E-01	4.60E+00	2.51E+00
CPCT02210043T	1.79E+00	4.00E+00	9.96E+00	9.71E-01	6.64E+00	3.79E+00
CPCT02010753T	2.97E+00	3.80E+00	1.06E+01	8.24E+00	1.24E+01	4.48E+00
CPCT02020924T	1.36E+00	2.09E+00	7.21E+00	1.26E+00	6.78E+00	1.54E+00
CPCT02070293T	1.36E+00	2.27E+00	6.29E+00	8.37E-01	5.42E+00	2.16E+00
CPCT02020938T	1.51E+00	2.46E+00	1.09E+01	1.15E+00	1.11E+01	2.09E+00
CPCT02200006T	1.07E+00	2.16E+00	1.81E+01	1.57E+00	1.69E+01	1.81E+00
CPCT02020658T	8.47E-01	1.50E+00	6.03E+00	1.08E+00	5.34E+00	1.41E+00
CPCT02070292T	1.30E+00	3.46E+00	7.87E+00	1.08E+00	4.83E+00	3.63E+00
CPCT02070055TII	2.83E+00	4.91E+00	1.69E+01	8.05E+00	4.61E+00	1.12E+01
CPCT02070466T	9.38E-01	1.68E+00	1.07E+01	1.18E+00	1.02E+01	1.61E+00
CPCT02070454T	8.06E-01	1.40E+00	4.02E+00	8.47E-01	3.48E+00	1.23E+00
CPCT02010762T	9.90E-01	2.05E+00	1.42E+01	1.36E+00	1.33E+01	2.03E+00
CPCT02260016T	1.71E+00	2.62E+00	7.89E+00	1.51E+00	6.60E+00	2.02E+00
CPCT02350020T	2.87E+00	3.39E+00	6.97E+00	1.10E+00	6.86E+00	1.69E+00
CPCT02070295T	1.37E+00	2.23E+00	1.02E+01	8.39E-01	9.06E+00	1.83E+00
CPCT02020942T	9.18E-01	1.76E+00	6.90E+00	7.24E-01	6.59E+00	1.44E+00
CPCT02140060T	1.43E+00	3.18E+00	1.05E+01	1.37E+00	8.95E+00	2.35E+00
CPCT02310008T	1.04E+00	1.73E+00	8.28E+00	6.08E-01	7.42E+00	1.60E+00
CPCT02070300T	1.19E+00	2.24E+00	1.25E+01	1.16E+00	1.09E+01	2.24E+00
CPCT02160062T	7.01E-01	1.28E+00	2.76E+00	6.03E-01	2.93E+00	9.92E-01
CPCT02070473T	8.11E-01	1.80E+00	8.16E+00	9.89E-01	7.76E+00	1.74E+00
CPCT02070468T	9.90E-01	1.80E+00	5.20E+00	8.25E-01	4.74E+00	1.31E+00
CPCT02300052T	2.34E+00	2.85E+00	9.87E+00	1.04E+00	9.75E+00	1.53E+00
CPCT02070301T	1.76E+00	3.14E+00	1.14E+01	6.10E+00	1.30E+01	3.53E+00
CPCT02430002T	1.07E+00	1.73E+00	1.27E+01	2.49E+00	1.26E+01	1.26E+00
CPCT02070474T	1.15E+00	2.12E+00	7.41E+00	6.75E-01	7.20E+00	1.54E+00
CPCT02070472T	9.88E-01	1.73E+00	6.71E+00	6.28E-01	6.01E+00	1.18E+00
DRUP01070036T	1.78E+00	5.18E+00	1.75E+01	1.99E+00	1.19E+01	8.16E+00
CPCT02150052T	4.93E+00	0.00E+00	2.15E+01	1.32E+01	2.49E+01	3.90E+00
CPCT02070307T	1.74E+00	2.42E+00	1.00E+01	2.38E+00	8.17E+00	3.04E+00
CPCT02330099T	1.78E+00	3.08E+00	1.11E+01	9.38E-01	9.26E+00	2.55E+00
CPCT02070263T	1.32E+00	2.74E+00	8.40E+00	1.08E+00	5.87E+00	3.19E+00
DRUP01050020T	1.87E+00	3.53E+00	1.24E+01	1.10E+00	1.02E+01	3.07E+00
CPCT02020678T	1.57E+00	1.95E+00	4.89E+00	4.00E+00	5.33E+00	2.81E+00
CPCT02020673T	1.37E+00	3.21E+00	1.09E+01	4.80E+00	1.05E+01	3.87E+00
WIDE01010113T	1.55E+00	2.48E+00	4.89E+00	8.26E-01	3.94E+00	2.38E+00
CPCT02050442T	1.53E+00	2.80E+00	5.44E+00	8.90E-01	4.45E+00	1.72E+00
CPCT02020968T	1.89E+00	3.36E+00	2.74E+01	1.72E+00	2.59E+01	1.88E+00
CPCT02020970T	1.42E+00	3.20E+00	9.10E+00	8.88E-01	3.43E+00	5.96E+00
CPCT02060294T	1.51E+00	3.23E+00	7.67E+00	1.56E+00	5.34E+00	4.40E+00
CPCT02070478T	1.73E+00	3.03E+00	1.64E+01	1.83E+00	1.45E+01	2.34E+00
CPCT02140065T	1.37E+00	2.55E+00	8.59E+00	9.49E-01	6.91E+00	2.24E+00
CPCT02210085T	1.34E+00	2.18E+00	5.39E+00	9.19E-01	4.39E+00	1.79E+00
CPCT02390044T	3.01E+00	3.97E+00	6.76E+00	1.00E+00	5.53E+00	1.88E+00
CPCT02050443T	9.37E+01	9.76E+01	6.47E+01	3.58E+00	3.37E+01	2.29E+01
CPCT02070306T	1.48E+00	2.84E+00	1.01E+01	1.24E+00	8.88E+00	1.80E+00
CPCT02070481T	1.34E+00	2.25E+00	1.94E+01	2.04E+00	1.81E+01	1.71E+00
CPCT02070482T	5.04E-01	8.56E-01	2.57E+00	2.95E-01	1.97E+00	1.17E+00
DRUP01140005T	2.76E+00	5.33E+00	9.39E+00	1.20E+00	5.13E+00	5.18E+00
CPCT02220082T	1.56E+00	1.93E+00	5.71E+00	8.16E-01	5.29E+00	9.87E-01
CPCT02020687T	7.98E-01	1.50E+00	3.79E+00	6.80E-01	3.11E+00	1.58E+00
CPCT02070484T	1.28E+00	2.19E+00	4.78E+00	2.77E+00	4.77E+00	1.23E+00
CPCT02020686T	1.84E+00	2.88E+00	1.62E+01	2.23E+00	1.48E+01	3.37E+00
CPCT02070486T	1.17E+00	2.62E+00	9.96E+00	1.09E+00	9.33E+00	2.30E+00
CPCT02070483T	1.51E+00	2.21E+00	7.94E+00	1.34E+00	7.01E+00	3.24E+00
CPCT02070487T	9.84E-01	1.41E+00	5.10E+00	9.25E-01	4.66E+00	1.23E+00
CPCT02040342T	1.90E+00	2.20E+00	1.08E+01	1.14E+00	9.96E+00	1.52E+00
CPCT02020977T	7.12E-01	1.37E+00	7.59E+00	9.03E-01	7.15E+00	9.80E-01
CPCT02070312T	1.31E+00	3.15E+00	8.06E+00	1.22E+00	7.41E+00	1.99E+00
CPCT02040343T	1.76E+00	2.25E+00	5.13E+00	9.46E-01	4.65E+00	2.19E+00
