MutationType	ID1	ID2	ID9	ID11	ID19	ID23
2:Ins:R:5	0.01812158	0.01363338	0.00000000	0.00028880	0.03327522	0.00000259
3:Ins:R:0	0.00000031	0.00005780	0.00025457	0.00000000	0.05448195	0.00077334
3:Ins:R:1	0.00025469	0.00122705	0.00082336	0.00020708	0.00510145	0.00152975
3:Ins:R:2	0.00004410	0.00021007	0.00011826	0.00022153	0.00126260	0.00004958
3:Ins:R:3	0.00016670	0.00000302	0.00000518	0.00002180	0.00056696	0.00004653
3:Ins:R:4	0.00008890	0.00014181	0.00001610	0.00000000	0.00020118	0.00001575
3:Ins:R:5	0.00124870	0.00186471	0.00000000	0.00009010	0.00101487	0.00001267
4:Ins:R:0	0.00000000	0.00001680	0.00016439	0.00015962	0.04975165	0.00052016
4:Ins:R:1	0.00074438	0.00120373	0.00071557	0.00037764	0.00147968	0.00136458
4:Ins:R:2	0.00007550	0.00001220	0.00004240	0.00000000	0.00101738	0.00039980
4:Ins:R:3	0.00015754	0.00013417	0.00002150	0.00000000	0.00030994	0.00000479
4:Ins:R:4	0.00031965	0.00024939	0.00000000	0.00000000	0.00152857	0.00003082
4:Ins:R:5	0.00100132	0.00219354	0.00000218	0.00000000	0.00000012	0.00000719
5:Ins:R:0	0.00000000	0.00000000	0.00016585	0.00066606	0.33665180	0.00072143
5:Ins:R:1	0.00144313	0.00013566	0.00125400	0.00115191	0.00843231	0.00229238
5:Ins:R:2	0.00025483	0.00000553	0.00010285	0.00036601	0.00024644	0.00021296
5:Ins:R:3	0.00023709	0.00009770	0.00008020	0.00000083	0.00173759	0.00000302
5:Ins:R:4	0.00026187	0.00000215	0.00005050	0.00000225	0.00016509	0.00005035
5:Ins:R:5	0.00011983	0.00011563	0.00000989	0.00000184	0.00000224	0.00000260
2:Del:M:1	0.00119782	0.00017555	0.00390097	0.00038206	0.00236192	0.03953384
3:Del:M:1	0.00008190	0.00000055	0.00301133	0.00020044	0.00014290	0.00210806
3:Del:M:2	0.00147959	0.00294406	0.00154330	0.00030174	0.00118844	0.00445127
4:Del:M:1	0.00008380	0.00014700	0.00192772	0.00000000	0.00123037	0.00334573
4:Del:M:2	0.00014548	0.00055061	0.00329745	0.00000000	0.00011789	0.00271152
4:Del:M:3	0.00016068	0.00069357	0.00254408	0.00078987	0.00041202	0.00175756
5:Del:M:1	0.00000082	0.00062496	0.00003540	0.00028279	0.00007270	0.01006779
5:Del:M:2	0.00000000	0.00011771	0.00022124	0.00037277	0.00069074	0.00828299
5:Del:M:3	0.00000000	0.00005670	0.00057091	0.00075013	0.00061764	0.00336542
5:Del:M:4	0.00003880	0.00046284	0.00044831	0.00013028	0.00005320	0.00213513
5:Del:M:5	0.00066512	0.00236732	0.00000000	0.00051895	0.00331746	0.00074925
