Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
WIDE01010192T	8.71E-01	6.08E-01	9.23E-01	1.34E+00	6.68E-01	1.32E+00	1.14E+00	1.26E+00	7.10E-01	6.06E-01	1.13E+00	8.33E-01	1.13E+00	7.18E-01
WIDE01010005T	1.30E+00	1.36E+00	2.25E+00	2.37E+00	1.09E+00	2.05E+00	1.61E+00	2.22E+00	9.20E-01	9.52E-01	2.42E+00	1.61E+00	2.00E+00	4.86E-01
CPCT02011068T	9.94E-01	1.73E+00	3.15E+00	1.73E+00	4.58E-01	1.83E+00	1.51E+00	2.42E+00	9.66E-01	1.09E+00	3.19E+00	1.94E+00	2.39E+00	8.55E-01
WIDE01010151T	1.07E+00	8.18E-01	1.47E+00	1.41E+00	8.97E-01	1.63E+00	1.79E+00	1.99E+00	9.85E-01	1.13E+00	1.39E+00	1.21E+00	2.03E+00	8.21E-01
CPCT02050346T	1.63E+01	1.16E+00	1.77E+00	2.09E+01	4.85E+00	4.92E+00	2.68E+00	2.64E+00	1.27E+00	2.08E+00	4.00E+00	1.48E+00	2.61E+00	3.09E-01
CPCT02160045T	1.47E+01	2.31E+00	4.60E+00	1.46E+01	3.45E+00	4.70E+00	3.17E+00	4.16E+00	2.10E+00	2.71E+00	7.30E+00	1.88E+00	4.51E+00	1.74E+00
WIDE01010189T	1.01E+01	1.73E+00	2.99E+00	1.15E+01	3.40E+00	3.97E+00	2.57E+00	2.87E+00	1.67E+00	1.37E+00	6.25E+00	1.11E+00	2.91E+00	8.22E-01
CPCT02040215T	8.35E-01	6.91E-01	1.12E+00	8.84E-01	3.92E-01	1.50E+00	1.63E+00	1.24E+00	1.08E+00	1.44E+00	1.11E+00	7.68E-01	1.26E+00	4.53E-01
WIDE01010176T	2.04E+00	9.51E-01	1.84E+00	2.77E+00	1.19E+00	2.42E+00	1.77E+00	2.69E+00	1.13E+00	1.37E+00	1.69E+00	1.39E+00	2.52E+00	8.13E-01
WIDE01010175T	3.55E-02	4.58E-01	9.32E-01	4.09E-01	1.82E-01	4.79E-01	7.02E-01	1.29E+00	3.14E-01	6.15E-01	9.74E-01	4.38E-01	8.44E-01	5.89E-01
WIDE01010188T	5.29E+00	2.52E+00	3.21E+00	6.81E+00	3.57E+00	3.24E+00	2.12E+00	2.56E+00	1.15E+00	1.09E+00	3.22E+00	1.70E+00	2.74E+00	1.40E+00
CPCT02370019T	4.85E+00	1.55E+00	2.39E+00	4.86E+00	1.97E+00	3.32E+00	2.59E+00	1.47E+00	1.37E+00	1.73E+00	3.15E+00	2.71E+00	2.76E+00	9.52E-01
CPCT02010802T	2.28E+00	9.41E-01	1.93E+00	2.43E+00	1.39E+00	2.23E+00	2.32E+00	1.79E+00	1.29E+00	1.63E+00	2.00E+00	1.13E+00	1.93E+00	7.77E-01
CPCT02010807T	5.86E+00	2.04E+00	2.84E+00	9.30E+00	4.34E+00	5.14E+00	1.86E+00	2.60E+00	1.06E+00	1.41E+00	3.62E+00	1.67E+00	2.13E+00	1.18E+00
WIDE01010224T	1.15E+01	2.47E+00	2.28E+00	1.35E+01	1.09E+01	1.02E+01	2.66E+00	4.41E+00	2.04E+00	1.69E+00	4.83E+00	2.35E+00	2.90E+00	1.68E+00
