Samples	ID83A	ID83B
SP79219	1.69E-01	1.69E-01
SP79240	1.17E-01	1.17E-01
SP79255	1.53E-01	1.53E-01
SP79466	2.00E-02	2.00E-02
SP79357	0.00E+00	0.00E+00
SP79443	0.00E+00	0.00E+00
SP79285	3.31E-01	3.31E-01
SP79470	2.45E-01	2.45E-01
SP79309	1.40E-01	1.40E-01
SP79383	1.20E-01	1.20E-01
SP79187	2.65E-01	2.65E-01
SP79315	1.01E-01	1.02E-01
SP79264	1.52E-01	1.52E-01
SP79333	3.46E-01	3.46E-01
SP79204	2.01E-01	2.01E-01
SP79419	1.80E-01	1.80E-01
SP79198	2.62E-01	2.62E-01
SP79339	1.34E-01	1.34E-01
SP79411	0.00E+00	0.00E+00
SP79279	2.11E-01	2.11E-01
SP79451	0.00E+00	0.00E+00
SP79231	2.56E-01	2.56E-01
SP79225	1.04E-01	1.04E-01
SP79267	1.89E-01	1.89E-01
CPCT02030434T	1.37E+00	1.37E+00
CPCT02060161T	7.94E-01	7.94E-01
CPCT02030441T	1.52E+00	1.52E+00
CPCT02030426T	1.64E+00	1.64E+00
CPCT02100147T	1.31E+00	1.31E+00
CPCT02030445T	1.25E+00	1.25E+00
CPCT02060147T	1.04E+00	1.04E+00
CPCT02030453T	1.43E+00	1.43E+00
CPCT02090038T	1.05E+00	1.05E+00
CPCT02100151T	1.08E+00	1.08E+00
CPCT02100159T	1.35E+00	1.35E+00
CPCT02030465T	1.44E+00	1.44E+00
CPCT02100166T	3.35E+00	3.35E+00
CPCT02070311T	1.58E-01	1.58E-01
CPCT02030467T	1.48E+00	1.48E+00
CPCT02060225T	1.74E+00	1.74E+00
CPCT02060224T	8.56E-01	8.56E-01
CPCT02030466T	7.27E-01	7.28E-01
CPCT02070341T	1.61E+00	1.61E+00
CPCT02080225T	1.47E+00	1.47E+00
CPCT02030476T	1.32E+00	1.32E+00
CPCT02070351T	9.14E-01	9.14E-01
CPCT02070353T	1.32E+00	1.32E+00
CPCT02060247T	1.25E+00	1.25E+00
CPCT02060257T	1.02E+00	1.02E+00
CPCT02030506T	1.12E+00	1.12E+00
CPCT02050390T	1.83E+00	1.83E+00
CPCT02030483T	1.27E+00	1.27E+00
CPCT02030487T	1.47E+00	1.47E+00
CPCT02070373T	1.99E+00	1.99E+00
CPCT02050396T	3.60E+00	3.60E+00
CPCT02030510T	1.00E+00	1.01E+00
CPCT02030516T	1.42E+00	1.42E+00
CPCT02030537T	1.40E+00	1.40E+00
CPCT02030529T	1.23E+00	1.23E+00
CPCT02060246T	1.73E+00	1.73E+00
CPCT02030532T	7.81E+00	7.81E+00
DRUP01060020T	1.57E+00	1.57E+00
CPCT02060264T	9.82E-01	9.81E-01
CPCT02030399T	1.34E+00	1.34E+00
CPCT02050254T	1.14E+00	1.14E+00
CPCT02030392T	1.08E+01	1.08E+01
CPCT02030397T	1.40E+00	1.40E+00
CPCT02100121T	1.32E+00	1.32E+00
CPCT02100116T	1.91E+00	1.91E+00
CPCT02030385T	1.44E+00	1.44E+00
CPCT02030387T	1.39E+00	1.39E+00
CPCT02080162T	5.43E+00	5.43E+00
CPCT02100122T	1.16E+00	1.16E+00
CPCT02030386T	1.38E+00	1.38E+00
CPCT02030400T	1.44E+00	1.44E+00
CPCT02030396T	1.24E+00	1.24E+00
CPCT02050176T	1.56E+00	1.56E+00
CPCT02100081T	1.41E+00	1.41E+00
CPCT02100084T	1.29E+00	1.29E+00
DRUP01050008T	8.07E-01	8.07E-01
CPCT02100085T	1.46E+00	1.46E+00
CPCT02100092T	1.20E+00	1.20E+00
CPCT02100090T	1.20E+00	1.20E+00
CPCT02100094T	7.76E-01	7.75E-01
CPCT02100089T	1.27E+00	1.27E+00
CPCT02100101T	2.99E+00	2.99E+00
CPCT02100095T	8.58E-01	8.58E-01
CPCT02030368T	1.70E+00	1.70E+00
CPCT02030369T	1.22E+00	1.22E+00
CPCT02100108T	1.29E+00	1.29E+00
CPCT02030375T	1.29E+00	1.29E+00
CPCT02030377T	7.46E-01	7.46E-01
CPCT02030374T	9.41E-01	9.41E-01
DRUP01050003T	6.68E+00	6.68E+00
CPCT02330058T	1.64E+00	1.64E+00
CPCT02030417T	1.31E+00	1.31E+00
CPCT02100129T	8.44E-01	8.44E-01
CPCT02100134T	1.21E+00	1.21E+00
CPCT02030410T	1.06E+00	1.07E+00
CPCT02030421T	1.53E+00	1.53E+00
CPCT02030430T	5.09E+00	5.09E+00
CPCT02030416T	1.45E+00	1.45E+00
