Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02050103T	31	180	0	125	15	45	50	23	19	19	10	44	64	0	19	20	29	0	5
CPCT02100072T	47	52	0	174	22	32	35	19	35	12	12	51	24	0	0	0	17	0	52
CPCT02100076T	65	28	38	84	182	357	0	30	126	25	114	140	33	0	31	138	27	31	23
CPCT02100077T	55	52	2	48	26	51	77	13	0	24	8	17	37	0	41	0	10	0	3
CPCT02070154T	117	178	0	147	456	104	0	86	21	89	71	56	189	0	0	21	22	0	18
CPCT02330034T	35	0	42	91	141	241	44	57	28	29	52	34	31	53	6	35	842	0	29
CPCT02070156T	354	51	0	162	36	19	134	39	14	39	24	43	5	0	25	29	13	122	13
CPCT02070162T	154	46	1	139	23	0	0	18	7	53	24	50	45	100	0	6	3	32	27
CPCT02070172T	12	0	3	46	125	54	80	66	0	31	32	42	77	0	0	16	19	11	3
CPCT02070188T	110	144	7	134	103	20	128	54	133	21	47	42	49	0	34	26	53	0	28
CPCT02270003T	45	73	6	151	21	30	0	6	46	27	11	35	55	0	0	8	39	0	3
CPCT02160026T	57	0	30	86	151	207	41	11	68	21	21	37	109	0	11	51	27	15	50
CPCT02070149T	101	0	19	0	43	25	151	247	14	28	17	0	132	154	1	20	41	0	4
CPCT02080119T	312	63	0	155	73	69	161	38	0	38	10	45	0	0	21	11	65	238	7
CPCT02110041T	458	332	0	306	19	31	204	57	111	45	34	78	68	0	77	14	40	228	129
CPCT02050216T	54	136	30	89	25	0	5	0	61	56	21	12	48	47	13	6	1	0	20
CPCT02070194T	57	29	3	26	34	46	0	11	50	60	12	35	29	119	0	37	0	0	5
CPCT02330046T	0	11	13	13	95	58	69	24	21	99	1	65	2	170	15	11	30	15	16
CPCT02070204T	231	181	27	126	514	164	0	92	23	118	61	23	310	0	166	29	59	0	12
CPCT02120020T	232	317	16	100	58	40	36	24	85	90	51	66	33	62	55	17	56	116	24
CPCT02260007T	7	17	7	137	22	31	0	6	19	63	28	3	5	0	17	6	16	0	4
CPCT02020583T	359	694	19	321	15	102	19	32	145	73	70	189	0	0	65	27	48	108	42
CPCT02070041T	9728	2088	771	808	14	0	0	0	849	44	0	2	0	0	0	0	0	0	17
CPCT02070043T	128	211	8	174	251	98	4	32	56	13	70	78	256	0	0	31	33	0	17
CPCT02050086T	65	65	0	61	3	2	0	13	48	27	0	15	33	29	19	22	22	0	9
CPCT02070044T	27	24	12	76	22	13	10	12	31	42	7	49	0	0	25	5	9	0	13
CPCT02220005T	129	30	19	0	15	51	31	20	25	23	21	32	0	221	7	123	5	0	25
CPCT02070057T	558	167	6	251	0	34	0	15	24	32	56	126	0	0	155	187	19	513	18
CPCT02330015T	316	261	14	104	75	70	0	74	73	51	90	71	148	0	33	20	21	0	23
CPCT02140037T	34	97	29	106	45	154	0	22	40	36	32	28	0	0	7	30	21	37	13
CPCT02070096T	66	188	27	89	32	171	0	34	57	31	33	25	69	0	32	82	4	0	23
CPCT02040064T	0	58	0	0	19	0	68	0	5	38	15	27	98	0	0	13	34	4	13
CPCT02070094T	102	113	16	102	54	269	0	39	42	46	32	59	0	0	22	36	57	113	47
CPCT02070102T	87	47	9	39	39	44	125	10	22	21	34	37	42	0	0	46	41	0	22
CPCT02050124T	59	289	13	131	39	21	99	54	15	44	36	55	51	0	16	25	50	23	21
CPCT02060073T	9	0	3	30	11	0	14	4	21	36	1	0	17	0	21	13	9	0	3
CPCT02060082T	128	293	0	117	7	0	257	15	48	63	77	94	30	0	25	15	50	187	215
CPCT02040105T	79	84	1	89	21	248	0	23	56	33	49	31	0	0	14	46	19	44	6
CPCT02010665T	25	26	14	0	172	9	0	792	0	125	67	102	78	0	8	0	6	18	13
CPCT02020629T	152	104	3	133	68	3	0	128	70	50	2	29	7	107	30	32	14	0	6
CPCT02080164T	12	28	0	135	300	0	74	875	94	199	28	53	0	0	11	24	45	0	43
CPCT02120080T	196	82	8	8	9	0	6	16	26	15	20	22	11	215	18	1	2	0	9
CPCT02050289T	119	51	2	0	194	42	3	47	23	98	32	23	0	147	75	16	1	0	67
CPCT02050297T	91	64	9	182	0	111	0	15	73	49	31	40	0	0	19	28	17	0	7
WIDE01010621T	49	34	22	0	26	286	0	36	18	47	53	0	92	88	11	43	22	27	29
WIDE01010461T	47	35	42	200	0	188	0	14	0	38	42	41	96	0	25	8	3	20	11
CPCT02120204T	162	332	33	183	29	180	0	25	1	35	27	87	0	0	0	187	20	0	4
CPCT02120206T	41	90	14	211	8	10	0	11	50	25	48	27	22	0	22	21	0	21	7
WIDE01010518T	132	188	7	243	252	95	69	99	151	22	98	69	115	43	0	31	53	0	22
CPCT02020991T	341	256	20	109	0	6	111	21	73	70	2	83	63	0	24	0	33	7	333
WIDE01010609T	140	17	17	21	229	301	0	63	0	31	60	69	49	178	0	117	48	0	20
CPCT02020993T	85	87	11	172	9	5	0	14	51	2	7	26	39	0	18	25	0	0	6
WIDE01010723T	83	36	22	135	72	47	161	90	111	43	22	101	0	81	18	62	27	113	64
