Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02320008T	32	231	15	66	4	107	53	175	53
DRUP01220006T	29	104	14	20	15	42	53	129	319
CPCT02300032T	63	254	10	152	48	52	88	52	27
CPCT02380037T	0	99	32	66	31	41	137	15	23
CPCT02330076T	152105	4352	480	1706	112	958	0	905	0
CPCT02011058T	37	372	69	451	211	68	65	252	94
CPCT02080296T	40	64	811	200	57	83	133	167	60
CPCT02150046T	77	454	65	148	0	62	47	45	30
CPCT02230126T	23	32	93	0	133	68	35	51	24
CPCT02180052T	8	83	12	47	41	60	115	15	1
CPCT02180053T	500	172	553	85	86	111	209	138	5
CPCT02340110T	69	79	735	0	305	82	94	145	73
CPCT02230125T	0	89	12	93	15	45	52	30	28
CPCT02390015T	138	314	6	0	0	29	95	404	11
CPCT02380036T	55	144	24	162	75	91	94	77	15
CPCT02050309T	4	80	14	117	27	29	91	51	5
CPCT02110056T	31	120	32	116	21	113	142	63	25
CPCT02390001TII	66	201	23	92	0	19	56	32	305
CPCT02160037T	90	157	725	0	459	13	81	134	43
CPCT02120183T	27	182	76	283	175	40	39	136	38
CPCT02110057T	21	109	45	0	26	153	65	21	13
CPCT02040321T	22	118	615	130	75	123	72	28	74
CPCT02040323T	28	46	14	53	19	43	31	41	37
DRUP01050019T	0	29	18	87	85	64	190	29	13
CPCT02050431T	13	113	26	47	91	79	31	60	34
CPCT02110079T	35	106	12	37	32	41	31	43	36
CPCT02380052T	208	172	24	108	26	149	56	108	60
CPCT02340066T	3	251	87	317	280	105	108	96	30
CPCT02340060T	65	42	30	87	72	108	70	86	19
CPCT02180057T	71	146	36	174	60	141	103	10	43
CPCT02340058T	101	31	61	28	64	242	111	53	33
CPCT02011073T	0	55	6	94	4	19	20	12	20
CPCT02210082T	21	97	26	71	4	43	42	37	30
CPCT02410017T	533	524	79	318	44	185	52	116	59
CPCT02110080T	18	108	19	0	80	36	54	78	209
CPCT02080196T	1	73	9	32	30	20	80	8	7
CPCT02020666T	10	87	6	26	38	61	129	16	23
CPCT02310004T	569	302	115	323	63	413	109	49	50
CPCT02060197T	39	247	8	77	32	53	64	39	3
CPCT02380039T	148	235	28	30	53	136	56	50	29
DRUP01220001T	97	205	59	0	113	179	89	274	25
CPCT02260028T	43	67	33	101	23	90	35	29	34
CPCT02010731T	245	296	28	0	59	122	154	369	48
WIDE01010011T	49	60	52	74	21	83	38	13	18
CPCT02060285T	4	17	0	11	14	16	31	5	17
CPCT02350021T	136	232	96	184	441	147	56	226	194
CPCT02080300T	19	70	15	102	34	56	31	23	17
CPCT02040219T	21	112	14	64	43	37	94	14	9
DRUP01060008T	48	137	17	0	33	65	138	222	26
CPCT02320009T	10	27	21	36	17	9	25	13	5
CPCT02210051T	5	117	11	86	56	49	28	45	17
CPCT02340112T	0	164	19	158	403	35	37	71	29
CPCT02390043T	5	91	32	121	11	48	40	49	14
CPCT02200007T	43	178	31	35	36	85	27	21	20
CPCT02120108T	34	373	15	0	0	22	91	287	26
CPCT02020946T	36	28	0	49	45	565	35	151	36
CPCT02030463T	8	23	8	39	62	41	61	10	1
WIDE01010018T	19	16	36	115	71	62	66	111	56
CPCT02040331T	9	38	11	92	50	82	38	30	24
CPCT02010765T	189	36	148	217	476	205	103	89	26
CPCT02040325T	46	150	11	38	49	48	58	33	246
CPCT02240011T	26	148	20	24	18	37	64	41	7
CPCT02050434T	4	41	34	82	0	62	22	32	15
CPCT02160039T	3	73	9	67	46	27	102	22	6
CPCT02150051T	64	115	28	0	5	90	57	76	7
CPCT02390021T	38	91	35	21	27	88	167	135	18
CPCT02080200T	256	845	47	56	54	127	102	35	13
CPCT02010772T	0	0	0	428	46	5	69	18	96
CPCT02210044T	34	131	16	12	73	72	115	13	27
CPCT02320010T	22	113	25	53	10	85	32	17	29
CPCT02040337T	7	65	25	44	21	72	33	31	24
CPCT02270021T	27	46	15	65	10	84	65	23	22
CPCT02010768T	56	43	602	135	57	35	95	66	11
CPCT02020966T	0	22	415	80	174	46	63	78	87
CPCT02110049T	77	258	35	80	39	61	82	39	19
CPCT02040329T	0	33	19	1126	0	0	36	873	84
CPCT02340066TIV	5	187	102	249	256	79	60	84	249
CPCT02340071T	10	64	23	38	48	32	55	28	12
CPCT02030464T	221	489	510	134	107	149	91	17	67
CPCT02360012T	51	89	46	65	32	94	55	72	27
CPCT02080312T	0	51	12	115	35	48	35	32	28
CPCT02260029T	154	112	71	281	226	151	62	101	71
WIDE01010072T	36	40	90	394	221	104	29	150	220
CPCT02110063T	63	132	24	86	23	33	41	48	10
CPCT02020969T	12	92	35	63	21	79	51	27	36
WIDE01010069T	83907	10501	0	7782	0	0	137	0	0
WIDE01010067T	67	92	23	75	12	92	24	25	25
WIDE01010076T	26	72	81	98	76	48	29	54	37
WIDE01010074T	115	279	52	91	31	95	39	48	33
CPCT02040071TII	52	122	0	86	121	60	203	12	5
CPCT02020680T	35032	4263	607	789	0	241	563	153	243
CPCT02020685T	124	384	25	97	125	143	120	45	45
CPCT02020693T	52	58	373	0	229	21	97	70	26
CPCT02010773T	193	356	72	48	148	176	99	107	31
CPCT02290030T	18	66	16	16	38	18	96	0	7
CPCT02020688T	95	125	32	151	13	52	65	116	69
CPCT02050337T	159	179	41	11	87	94	103	45	17
CPCT02050338T	2	35	9	48	48	54	130	41	17
WIDE01010124T	25	124	112	149	212	135	72	88	35
CPCT02230089T	64	127	509	0	404	0	57	76	32
CPCT02230120TII	22	179	35	72	0	90	56	19	28
CPCT02050333T	18	43	49	31	66	41	114	21	17
CPCT02020692T	116	96	37	110	67	54	119	49	22
WIDE01010135T	6	22	20	82	18	25	41	27	13
CPCT02230095T	15	80	23	40	18	46	97	13	4
CPCT02060289T	186	242	51	59	85	236	41	98	57
